Orthogroup	Auxenochlorella_protothecoides	Scenedesmus_NREL
OG0000013	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides], RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]	KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000013	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000014	RMZ54969.1 hypothetical protein APUTEX25_000486_ partial [Auxenochlorella protothecoides]	KAF6256541.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]
OG0000014	RMZ53818.1 hypothetical protein APUTEX25_003957_ partial [Auxenochlorella protothecoides]	KAF6252786.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6236267.1 NDH subunit PnsL5_ partial [Scenedesmus sp. NREL 46B-D3], KAF6250332.1 putative peptidyl-prolyl cis-trans isomerase chloroplast precursor [Scenedesmus sp. NREL 46B-D3], KAF6259651.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000016	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000016	RMZ54164.1 hypothetical protein APUTEX25_005320 [Auxenochlorella protothecoides]	KAF6264040.1 ubiquitin-like protein 1 [Scenedesmus sp. NREL 46B-D3]
OG0000016	RMZ57375.1 hypothetical protein APUTEX25_004209 [Auxenochlorella protothecoides]	KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]
OG0000016	RMZ57690.1 hypothetical protein APUTEX25_001890 [Auxenochlorella protothecoides]	KAF6256916.1 hypothetical protein COO60DRAFT_1640361 [Scenedesmus sp. NREL 46B-D3]
OG0000018	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]
OG0000018	RMZ56882.1 hypothetical protein APUTEX25_002971_ partial [Auxenochlorella protothecoides]	KAF6262542.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6256388.1 hypothetical protein COO60DRAFT_115932 [Scenedesmus sp. NREL 46B-D3]
OG0000018	RMZ56699.1 hypothetical protein APUTEX25_002788 [Auxenochlorella protothecoides]	KAF6253755.1 hypothetical protein COO60DRAFT_391601 [Scenedesmus sp. NREL 46B-D3]
OG0000018	RMZ57669.1 hypothetical protein APUTEX25_001869 [Auxenochlorella protothecoides]	KAF6260264.1 c-myb-like transcription factor [Scenedesmus sp. NREL 46B-D3], KAF6255543.1 hypothetical protein COO60DRAFT_204648 [Scenedesmus sp. NREL 46B-D3]
OG0000020	RMZ57168.1 hypothetical protein APUTEX25_004002 [Auxenochlorella protothecoides], RMZ53879.1 hypothetical protein APUTEX25_005625_ partial [Auxenochlorella protothecoides], RMZ52155.1 hypothetical protein APUTEX25_001545 [Auxenochlorella protothecoides]	KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]
OG0000023	RMZ56859.1 hypothetical protein APUTEX25_002948_ partial [Auxenochlorella protothecoides], RMZ54038.1 hypothetical protein APUTEX25_002615_ partial [Auxenochlorella protothecoides]	KAF6262812.1 hypothetical protein COO60DRAFT_1493981 [Scenedesmus sp. NREL 46B-D3]
OG0000023	RMZ55376.1 hypothetical protein APUTEX25_004691_ partial [Auxenochlorella protothecoides]	KAF6257256.1 hypothetical protein COO60DRAFT_25223 [Scenedesmus sp. NREL 46B-D3], KAF6253645.1 hypothetical protein COO60DRAFT_1703722 [Scenedesmus sp. NREL 46B-D3], KAF6262342.1 hypothetical protein COO60DRAFT_1268220 [Scenedesmus sp. NREL 46B-D3], KAF6263383.1 hypothetical protein COO60DRAFT_1267608 [Scenedesmus sp. NREL 46B-D3], KAF6258807.1 hypothetical protein COO60DRAFT_1083841 [Scenedesmus sp. NREL 46B-D3]
OG0000024	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]
OG0000025	RMZ52951.1 hypothetical protein APUTEX25_001070 [Auxenochlorella protothecoides]	KAF6252940.1 hypothetical protein COO60DRAFT_481024 [Scenedesmus sp. NREL 46B-D3]
OG0000026	RMZ52180.1 hypothetical protein APUTEX25_001570 [Auxenochlorella protothecoides]	KAF6252797.1 hypothetical protein COO60DRAFT_1628447 [Scenedesmus sp. NREL 46B-D3]
OG0000028	RMZ53801.1 hypothetical protein APUTEX25_003940 [Auxenochlorella protothecoides]	KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]
OG0000029	RMZ54167.1 hypothetical protein APUTEX25_005323 [Auxenochlorella protothecoides]	KAF6262470.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262467.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000031	RMZ52494.1 hypothetical protein APUTEX25_003637 [Auxenochlorella protothecoides]	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]
OG0000035	RMZ53240.1 hypothetical protein APUTEX25_005229 [Auxenochlorella protothecoides]	KAF6253624.1 LsmAD domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000035	RMZ56375.1 hypothetical protein APUTEX25_004732_ partial [Auxenochlorella protothecoides]	KAF6254848.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254756.1 hypothetical protein COO60DRAFT_1286152_ partial [Scenedesmus sp. NREL 46B-D3], KAF6264839.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261610.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257671.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266311.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251507.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000036	RMZ57667.1 hypothetical protein APUTEX25_001867_ partial [Auxenochlorella protothecoides], RMZ55188.1 hypothetical protein APUTEX25_005466_ partial [Auxenochlorella protothecoides]	KAF6239890.1 nuclear RNase Z [Scenedesmus sp. NREL 46B-D3]
OG0000036	RMZ53707.1 hypothetical protein APUTEX25_003241 [Auxenochlorella protothecoides]	KAF6263822.1 hypothetical protein COO60DRAFT_345552 [Scenedesmus sp. NREL 46B-D3]
OG0000037	RMZ56229.1 hypothetical protein APUTEX25_002419 [Auxenochlorella protothecoides]	KAF6254837.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254840.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254838.1 light-harvesting chlorophyll a/b-binding protein LhcbM3 [Scenedesmus sp. NREL 46B-D3]
OG0000038	RMZ55544.1 hypothetical protein APUTEX25_000127_ partial [Auxenochlorella protothecoides], RMZ55519.1 hypothetical protein APUTEX25_000102 [Auxenochlorella protothecoides], RMZ57629.1 hypothetical protein APUTEX25_001829 [Auxenochlorella protothecoides]	KAF6256320.1 core-2/I-branching enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000043	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]	KAF6262255.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264757.1 glycosyl hydrolases family 31-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253912.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262828.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254921.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258268.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256155.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000044	RMZ56035.1 hypothetical protein APUTEX25_004459 [Auxenochlorella protothecoides], RMZ52121.1 hypothetical protein APUTEX25_003608 [Auxenochlorella protothecoides]	KAF6258012.1 hypothetical protein COO60DRAFT_1164663 [Scenedesmus sp. NREL 46B-D3]
OG0000044	RMZ52019.1 hypothetical protein APUTEX25_001213 [Auxenochlorella protothecoides]	KAF6261176.1 hypothetical protein COO60DRAFT_812643 [Scenedesmus sp. NREL 46B-D3]
OG0000046	RMZ53206.1 hypothetical protein APUTEX25_005195_ partial [Auxenochlorella protothecoides]	KAF6253266.1 hypothetical protein COO60DRAFT_434274 [Scenedesmus sp. NREL 46B-D3]
OG0000049	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides]	KAF6254669.1 hypothetical protein COO60DRAFT_296766 [Scenedesmus sp. NREL 46B-D3]
OG0000049	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]	KAF6251092.1 eukaryotic translation initiation factor 2B alpha [Scenedesmus sp. NREL 46B-D3]
OG0000050	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]	KAF6265287.1 Bestrophin_ RFP-TM_ chloride channel-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000051	RMZ54646.1 hypothetical protein APUTEX25_003024 [Auxenochlorella protothecoides], RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]	KAF6260291.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260289.1 mate-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000052	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]	KAF6255529.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6266010.1 hypothetical protein COO60DRAFT_1456729 [Scenedesmus sp. NREL 46B-D3], KAF6255530.1 hypothetical protein COO60DRAFT_203781 [Scenedesmus sp. NREL 46B-D3], KAF6256863.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6261262.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6259251.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255528.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257009.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6235444.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6262205.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257012.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6257253.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6254409.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6264392.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255124.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6258702.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6252823.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6253639.1 alkaline-phosphatase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6261751.1 hypothetical protein COO60DRAFT_735122 [Scenedesmus sp. NREL 46B-D3]
OG0000055	RMZ54002.1 hypothetical protein APUTEX25_002579_ partial [Auxenochlorella protothecoides]	KAF6266596.1 hypothetical protein COO60DRAFT_1291580 [Scenedesmus sp. NREL 46B-D3]
OG0000055	RMZ54658.1 hypothetical protein APUTEX25_003036_ partial [Auxenochlorella protothecoides]	KAF6266522.1 hypothetical protein COO60DRAFT_1623393 [Scenedesmus sp. NREL 46B-D3]
OG0000059	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides]	KAF6264360.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000059	RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]	KAF6256533.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264285.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000060	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides]	KAF6264570.1 hypothetical protein COO60DRAFT_1698180 [Scenedesmus sp. NREL 46B-D3]
OG0000060	RMZ53684.1 hypothetical protein APUTEX25_003218 [Auxenochlorella protothecoides], RMZ55289.1 hypothetical protein APUTEX25_003772_ partial [Auxenochlorella protothecoides]	KAF6252347.1 hypothetical protein COO60DRAFT_1644120 [Scenedesmus sp. NREL 46B-D3]
OG0000060	RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]	KAF6250815.1 hypothetical protein COO60DRAFT_1298823 [Scenedesmus sp. NREL 46B-D3]
OG0000062	RMZ54088.1 hypothetical protein APUTEX25_002665 [Auxenochlorella protothecoides]	KAF6251143.1 hypothetical protein COO60DRAFT_1562987 [Scenedesmus sp. NREL 46B-D3], KAF6265278.1 EF-hand [Scenedesmus sp. NREL 46B-D3]
OG0000062	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]	KAF6254614.1 hypothetical protein COO60DRAFT_300575 [Scenedesmus sp. NREL 46B-D3], KAF6257749.1 hypothetical protein COO60DRAFT_1639651 [Scenedesmus sp. NREL 46B-D3]
OG0000063	RMZ54150.1 hypothetical protein APUTEX25_005306 [Auxenochlorella protothecoides]	KAF6257295.1 hypothetical protein COO60DRAFT_1701891 [Scenedesmus sp. NREL 46B-D3]
OG0000064	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]	KAF6248325.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0000064	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]	KAF6264244.1 Cullin-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000064	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]	KAF6254705.1 Cullin-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000065	RMZ54882.1 hypothetical protein APUTEX25_000399 [Auxenochlorella protothecoides]	KAF6256829.1 GPR1/FUN34/yaaH family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000069	RMZ52481.1 hypothetical protein APUTEX25_003624 [Auxenochlorella protothecoides]	KAF6260424.1 heat shock protein 83-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000069	RMZ52692.1 hypothetical protein APUTEX25_000811_ partial [Auxenochlorella protothecoides]	KAF6254785.1 heat shock protein 90C [Scenedesmus sp. NREL 46B-D3]
OG0000069	RMZ53095.1 hypothetical protein APUTEX25_002504 [Auxenochlorella protothecoides]	KAF6264589.1 Hsp90 protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000070	RMZ52856.1 hypothetical protein APUTEX25_000975 [Auxenochlorella protothecoides], RMZ53469.1 hypothetical protein APUTEX25_003291_ partial [Auxenochlorella protothecoides]	KAF6260112.1 hypothetical protein COO60DRAFT_1685835 [Scenedesmus sp. NREL 46B-D3]
OG0000071	RMZ54148.1 hypothetical protein APUTEX25_005304 [Auxenochlorella protothecoides]	KAF6261155.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000072	RMZ54387.1 hypothetical protein APUTEX25_001963 [Auxenochlorella protothecoides]	KAF6240834.1 hypothetical protein COO60DRAFT_1652369_ partial [Scenedesmus sp. NREL 46B-D3], KAF6250793.1 Fasciclin domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266036.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3], KAF6266037.1 Fasciclin domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266038.1 hypothetical protein COO60DRAFT_1676428 [Scenedesmus sp. NREL 46B-D3], KAF6261686.1 Fasciclin domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254952.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3], KAF6262784.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3], KAF6262785.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3], KAF6262786.1 fasciclin domain protein [Scenedesmus sp. NREL 46B-D3]
OG0000073	RMZ54907.1 hypothetical protein APUTEX25_000424_ partial [Auxenochlorella protothecoides]	KAF6252841.1 hypothetical protein COO60DRAFT_494549 [Scenedesmus sp. NREL 46B-D3]
OG0000074	RMZ55613.1 hypothetical protein APUTEX25_000196 [Auxenochlorella protothecoides]	KAF6263605.1 hypothetical protein COO60DRAFT_377479 [Scenedesmus sp. NREL 46B-D3], KAF6255024.1 hypothetical protein COO60DRAFT_258769 [Scenedesmus sp. NREL 46B-D3]
OG0000078	RMZ56534.1 hypothetical protein APUTEX25_001381 [Auxenochlorella protothecoides]	KAF6262869.1 phosphofructokinase family protein [Scenedesmus sp. NREL 46B-D3]
OG0000078	RMZ52490.1 hypothetical protein APUTEX25_003633_ partial [Auxenochlorella protothecoides], RMZ53346.1 hypothetical protein APUTEX25_004834 [Auxenochlorella protothecoides]	KAF6265494.1 phosphofructokinase family protein [Scenedesmus sp. NREL 46B-D3]
OG0000079	RMZ57222.1 hypothetical protein APUTEX25_004056 [Auxenochlorella protothecoides]	KAF6255521.1 heat shock cognate 70 kDa protein 2 [Scenedesmus sp. NREL 46B-D3], KAF6257577.1 heat shock protein 70 family [Scenedesmus sp. NREL 46B-D3]
OG0000079	RMZ53096.1 hypothetical protein APUTEX25_002505 [Auxenochlorella protothecoides]	KAF6264590.1 heat shock protein 70 family [Scenedesmus sp. NREL 46B-D3]
OG0000080	RMZ55523.1 hypothetical protein APUTEX25_000106 [Auxenochlorella protothecoides]	KAF6246275.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000081	RMZ56073.1 hypothetical protein APUTEX25_004497_ partial [Auxenochlorella protothecoides]	KAF6260391.1 hypothetical protein COO60DRAFT_901798 [Scenedesmus sp. NREL 46B-D3]
OG0000081	RMZ56025.1 hypothetical protein APUTEX25_004449 [Auxenochlorella protothecoides]	KAF6252813.1 hypothetical protein COO60DRAFT_496525 [Scenedesmus sp. NREL 46B-D3]
OG0000082	RMZ52693.1 hypothetical protein APUTEX25_000812 [Auxenochlorella protothecoides]	KAF6262238.1 hypothetical protein COO60DRAFT_1636100 [Scenedesmus sp. NREL 46B-D3], KAF6252189.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255864.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255804.1 NimA-related protein kinase 4 [Scenedesmus sp. NREL 46B-D3], KAF6266231.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250724.1 hypothetical protein COO60DRAFT_1646246 [Scenedesmus sp. NREL 46B-D3], KAF6254591.1 NimA-related protein kinase 6 [Scenedesmus sp. NREL 46B-D3]
OG0000083	RMZ54832.1 hypothetical protein APUTEX25_000349 [Auxenochlorella protothecoides]	KAF6254050.1 hypothetical protein COO60DRAFT_1286428 [Scenedesmus sp. NREL 46B-D3]
OG0000083	RMZ53760.1 hypothetical protein APUTEX25_003899 [Auxenochlorella protothecoides]	KAF6266105.1 FAM91 N-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000084	RMZ54449.1 hypothetical protein APUTEX25_002025_ partial [Auxenochlorella protothecoides], RMZ55442.1 hypothetical protein APUTEX25_003566_ partial [Auxenochlorella protothecoides], RMZ56130.1 hypothetical protein APUTEX25_004554 [Auxenochlorella protothecoides]	KAF6258715.1 cysteine synthase A [Scenedesmus sp. NREL 46B-D3]
OG0000087	RMZ52173.1 hypothetical protein APUTEX25_001563 [Auxenochlorella protothecoides]	KAF6258900.1 hypothetical protein COO60DRAFT_1270418 [Scenedesmus sp. NREL 46B-D3], KAF6261972.1 hypothetical protein COO60DRAFT_1498627 [Scenedesmus sp. NREL 46B-D3]
OG0000087	RMZ55593.1 hypothetical protein APUTEX25_000176 [Auxenochlorella protothecoides]	KAF6261246.1 major facilitator superfamily domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6251702.1 hexose-phosphate transporter_ major isoform [Scenedesmus sp. NREL 46B-D3]
OG0000088	RMZ52215.1 hypothetical protein APUTEX25_001605 [Auxenochlorella protothecoides]	KAF6253445.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3], KAF6256496.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3], KAF6256488.1 Pyruvate/Phosphoenolpyruvate kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000090	RMZ53227.1 hypothetical protein APUTEX25_005216 [Auxenochlorella protothecoides]	KAF6265090.1 trimeric LpxA-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000090	RMZ55739.1 hypothetical protein APUTEX25_005780_ partial [Auxenochlorella protothecoides]	KAF6252954.1 trimeric LpxA-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000090	RMZ55723.1 hypothetical protein APUTEX25_005764 [Auxenochlorella protothecoides]	KAF6251678.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]
