Orthogroup	Auxenochlorella_protothecoides	Chlorella_KRBP
OG0000187	RMZ54155.1 hypothetical protein APUTEX25_005311_ partial [Auxenochlorella protothecoides], RMZ52453.1 hypothetical protein APUTEX25_000032_ partial [Auxenochlorella protothecoides]	QAXK01014854.1_51-3845
OG0000189	RMZ52678.1 hypothetical protein APUTEX25_000797 [Auxenochlorella protothecoides], RMZ52787.1 hypothetical protein APUTEX25_000906 [Auxenochlorella protothecoides], RMZ53070.1 hypothetical protein APUTEX25_001189 [Auxenochlorella protothecoides]	QAXK01000217.1_14674-15859
OG0000192	RMZ57057.1 hypothetical protein APUTEX25_002289 [Auxenochlorella protothecoides], RMZ53258.1 hypothetical protein APUTEX25_005247 [Auxenochlorella protothecoides]	QAXK01001504.1_2221-4972
OG0000199	RMZ55605.1 hypothetical protein APUTEX25_000188_ partial [Auxenochlorella protothecoides]	QAXK01013035.1_1945-4404
OG0000199	RMZ54657.1 hypothetical protein APUTEX25_003035_ partial [Auxenochlorella protothecoides]	QAXK01010173.1_3319-5256
OG0000201	RMZ54777.1 hypothetical protein APUTEX25_000294 [Auxenochlorella protothecoides], RMZ57240.1 hypothetical protein APUTEX25_004074 [Auxenochlorella protothecoides]	QAXK01000736.1_9467-8726
OG0000207	RMZ56884.1 hypothetical protein APUTEX25_002973 [Auxenochlorella protothecoides]	QAXK01004998.1_5108-4093
OG0000207	RMZ56885.1 hypothetical protein APUTEX25_002974 [Auxenochlorella protothecoides]	QAXK01001786.1_12609-11430
OG0000215	RMZ52374.1 hypothetical protein APUTEX25_000649_ partial [Auxenochlorella protothecoides], RMZ53111.1 hypothetical protein APUTEX25_002520_ partial [Auxenochlorella protothecoides]	QAXK01013809.1_3869-6090
OG0000217	RMZ56040.1 hypothetical protein APUTEX25_004464 [Auxenochlorella protothecoides], RMZ52426.1 hypothetical protein APUTEX25_000005 [Auxenochlorella protothecoides]	QAXK01003927.1_26651-24094
OG0000222	RMZ52628.1 hypothetical protein APUTEX25_000747_ partial [Auxenochlorella protothecoides], RMZ52792.1 hypothetical protein APUTEX25_000911_ partial [Auxenochlorella protothecoides]	QAXK01005046.1_1470-3041
OG0000225	RMZ53161.1 hypothetical protein APUTEX25_005150_ partial [Auxenochlorella protothecoides]	QAXK01000132.1_14211-8944
OG0000226	RMZ56002.1 hypothetical protein APUTEX25_004426 [Auxenochlorella protothecoides], RMZ53350.1 hypothetical protein APUTEX25_004838_ partial [Auxenochlorella protothecoides]	QAXK01001147.1_264-2985
OG0000234	RMZ57622.1 hypothetical protein APUTEX25_001822 [Auxenochlorella protothecoides]	QAXK01001703.1_3693-800
OG0000234	RMZ57328.1 hypothetical protein APUTEX25_004162 [Auxenochlorella protothecoides]	QAXK01001715.1_46567-44103
OG0000243	RMZ52320.1 hypothetical protein APUTEX25_005073 [Auxenochlorella protothecoides], RMZ53256.1 hypothetical protein APUTEX25_005245 [Auxenochlorella protothecoides]	QAXK01017572.1_4284-1659
OG0000255	RMZ56797.1 hypothetical protein APUTEX25_002886_ partial [Auxenochlorella protothecoides], RMZ53756.1 hypothetical protein APUTEX25_003895 [Auxenochlorella protothecoides]	QAXK01003493.1_20875-19869
OG0000256	RMZ54009.1 hypothetical protein APUTEX25_002586_ partial [Auxenochlorella protothecoides]	QAXK01000928.1_4721-1230
OG0000260	RMZ55007.1 hypothetical protein APUTEX25_000524 [Auxenochlorella protothecoides]	QAXK01007811.1_6343-7669
OG0000262	RMZ57102.1 hypothetical protein APUTEX25_002334 [Auxenochlorella protothecoides], RMZ55345.1 hypothetical protein APUTEX25_003483 [Auxenochlorella protothecoides]	QAXK01001305.1_3092-9737
OG0000268	RMZ55826.1 hypothetical protein APUTEX25_003792 [Auxenochlorella protothecoides], RMZ57697.1 hypothetical protein APUTEX25_001897 [Auxenochlorella protothecoides]	QAXK01007959.1_4344-7510
OG0000269	RMZ55908.1 hypothetical protein APUTEX25_004332 [Auxenochlorella protothecoides], RMZ55963.1 hypothetical protein APUTEX25_004387 [Auxenochlorella protothecoides]	QAXK01000159.1_2526-4128
OG0000276	RMZ57398.1 hypothetical protein APUTEX25_004232_ partial [Auxenochlorella protothecoides]	QAXK01013106.1_2869-3857
OG0000290	RMZ57411.1 hypothetical protein APUTEX25_004245_ partial [Auxenochlorella protothecoides], RMZ52846.1 hypothetical protein APUTEX25_000965 [Auxenochlorella protothecoides]	QAXK01007708.1_8045-6769
OG0000293	RMZ52997.1 hypothetical protein APUTEX25_001116_ partial [Auxenochlorella protothecoides]	QAXK01000427.1_18710-23853
OG0000297	RMZ53301.1 hypothetical protein APUTEX25_004789 [Auxenochlorella protothecoides], RMZ56302.1 hypothetical protein APUTEX25_000541 [Auxenochlorella protothecoides]	QAXK01003382.1_7730-10683
OG0000298	RMZ53357.1 hypothetical protein APUTEX25_004845 [Auxenochlorella protothecoides], RMZ53374.1 hypothetical protein APUTEX25_004862 [Auxenochlorella protothecoides]	QAXK01006215.1_8306-11634
OG0000299	RMZ56351.1 hypothetical protein APUTEX25_004708 [Auxenochlorella protothecoides], RMZ53432.1 hypothetical protein APUTEX25_004920_ partial [Auxenochlorella protothecoides]	QAXK01000488.1_8485-5165
OG0000300	RMZ53487.1 hypothetical protein APUTEX25_003309 [Auxenochlorella protothecoides], RMZ54645.1 hypothetical protein APUTEX25_003023 [Auxenochlorella protothecoides]	QAXK01000495.1_4618-6885
OG0000301	RMZ57016.1 hypothetical protein APUTEX25_002248_ partial [Auxenochlorella protothecoides], RMZ53669.1 hypothetical protein APUTEX25_003203 [Auxenochlorella protothecoides]	QAXK01005324.1_4296-8149
OG0000302	RMZ55097.1 hypothetical protein APUTEX25_005723_ partial [Auxenochlorella protothecoides], RMZ53675.1 hypothetical protein APUTEX25_003209 [Auxenochlorella protothecoides]	QAXK01009146.1_0-3841
OG0000304	RMZ54339.1 hypothetical protein APUTEX25_001497 [Auxenochlorella protothecoides], RMZ53724.1 hypothetical protein APUTEX25_003258 [Auxenochlorella protothecoides], RMZ54285.1 hypothetical protein APUTEX25_001443 [Auxenochlorella protothecoides]	QAXK01014492.1_877-182
OG0000315	RMZ55874.1 hypothetical protein APUTEX25_003840_ partial [Auxenochlorella protothecoides], RMZ55539.1 hypothetical protein APUTEX25_000122 [Auxenochlorella protothecoides]	QAXK01002353.1_19232-23410
OG0000316	RMZ55571.1 hypothetical protein APUTEX25_000154 [Auxenochlorella protothecoides], RMZ56868.1 hypothetical protein APUTEX25_002957_ partial [Auxenochlorella protothecoides]	QAXK01003905.1_19782-15375
OG0000317	RMZ55600.1 hypothetical protein APUTEX25_000183 [Auxenochlorella protothecoides], RMZ57048.1 hypothetical protein APUTEX25_002280_ partial [Auxenochlorella protothecoides]	QAXK01008437.1_3645-238
OG0000320	RMZ55896.1 hypothetical protein APUTEX25_003862_ partial [Auxenochlorella protothecoides]	QAXK01008510.1_15994-20405
OG0000321	RMZ57699.1 hypothetical protein APUTEX25_001899 [Auxenochlorella protothecoides], RMZ55997.1 hypothetical protein APUTEX25_004421 [Auxenochlorella protothecoides]	QAXK01000378.1_25585-26545
OG0000340	RMZ54531.1 hypothetical protein APUTEX25_001703_ partial [Auxenochlorella protothecoides], RMZ52175.1 hypothetical protein APUTEX25_001565 [Auxenochlorella protothecoides]	QAXK01005276.1_5688-3058
OG0000352	RMZ53381.1 hypothetical protein APUTEX25_004869 [Auxenochlorella protothecoides]	QAXK01000899.1_7462-5804
OG0000353	RMZ53384.1 hypothetical protein APUTEX25_004872 [Auxenochlorella protothecoides]	QAXK01000970.1_11060-12297
OG0000355	RMZ53509.1 hypothetical protein APUTEX25_003331_ partial [Auxenochlorella protothecoides], RMZ54411.1 hypothetical protein APUTEX25_001987_ partial [Auxenochlorella protothecoides]	QAXK01000575.1_38061-33279
OG0000356	RMZ53540.1 hypothetical protein APUTEX25_003362 [Auxenochlorella protothecoides], RMZ55512.1 hypothetical protein APUTEX25_000095 [Auxenochlorella protothecoides]	QAXK01001458.1_25468-28021
OG0000362	RMZ54367.1 hypothetical protein APUTEX25_001943 [Auxenochlorella protothecoides], RMZ55309.1 hypothetical protein APUTEX25_003447_ partial [Auxenochlorella protothecoides], RMZ57739.1 hypothetical protein APUTEX25_001715_ partial [Auxenochlorella protothecoides]	QAXK01002504.1_1584-235
OG0000372	RMZ55145.1 hypothetical protein APUTEX25_005423_ partial [Auxenochlorella protothecoides], RMZ55120.1 hypothetical protein APUTEX25_005398 [Auxenochlorella protothecoides]	QAXK01000007.1_3483-1851
OG0000374	RMZ55186.1 hypothetical protein APUTEX25_005464 [Auxenochlorella protothecoides], RMZ55200.1 hypothetical protein APUTEX25_005478_ partial [Auxenochlorella protothecoides]	QAXK01001576.1_25385-29462
OG0000375	RMZ55260.1 hypothetical protein APUTEX25_005538 [Auxenochlorella protothecoides]	QAXK01008707.1_239-2925
OG0000383	RMZ56512.1 hypothetical protein APUTEX25_001359 [Auxenochlorella protothecoides]	QAXK01011194.1_5918-9002
OG0000390	RMZ57399.1 hypothetical protein APUTEX25_004233 [Auxenochlorella protothecoides]	QAXK01005078.1_1174-132, QAXK01003294.1_6337-3495
OG0000408	RMZ52140.1 hypothetical protein APUTEX25_001530 [Auxenochlorella protothecoides], RMZ56791.1 hypothetical protein APUTEX25_002880 [Auxenochlorella protothecoides]	QAXK01003094.1_1529-6518
OG0000412	RMZ54660.1 hypothetical protein APUTEX25_003038 [Auxenochlorella protothecoides], RMZ52499.1 hypothetical protein APUTEX25_003642 [Auxenochlorella protothecoides]	QAXK01007672.1_3589-1228
OG0000417	RMZ52852.1 hypothetical protein APUTEX25_000971 [Auxenochlorella protothecoides]	QAXK01003046.1_10052-9637
OG0000418	RMZ52947.1 hypothetical protein APUTEX25_001066_ partial [Auxenochlorella protothecoides]	QAXK01005097.1_6985-2749
OG0000431	RMZ53709.1 hypothetical protein APUTEX25_003243_ partial [Auxenochlorella protothecoides]	QAXK01001330.1_10692-5073
OG0000443	RMZ54734.1 hypothetical protein APUTEX25_003112 [Auxenochlorella protothecoides]	QAXK01002390.1_2379-454
OG0000446	RMZ55066.1 hypothetical protein APUTEX25_005692 [Auxenochlorella protothecoides], RMZ56155.1 hypothetical protein APUTEX25_004579 [Auxenochlorella protothecoides]	QAXK01006391.1_1754-3793
OG0000449	RMZ55262.1 hypothetical protein APUTEX25_005540_ partial [Auxenochlorella protothecoides]	QAXK01017753.1_1728-436
OG0000452	RMZ57028.1 hypothetical protein APUTEX25_002260_ partial [Auxenochlorella protothecoides], RMZ55356.1 hypothetical protein APUTEX25_002214 [Auxenochlorella protothecoides]	QAXK01003135.1_2479-16
OG0000455	RMZ55403.1 hypothetical protein APUTEX25_003527_ partial [Auxenochlorella protothecoides], RMZ55435.1 hypothetical protein APUTEX25_003559_ partial [Auxenochlorella protothecoides]	QAXK01015054.1_2845-4309
OG0000468	RMZ57221.1 hypothetical protein APUTEX25_004055 [Auxenochlorella protothecoides], RMZ56355.1 hypothetical protein APUTEX25_004712_ partial [Auxenochlorella protothecoides]	QAXK01006097.1_2371-905
OG0000470	RMZ57656.1 hypothetical protein APUTEX25_001856 [Auxenochlorella protothecoides], RMZ56552.1 hypothetical protein APUTEX25_001399 [Auxenochlorella protothecoides]	QAXK01000050.1_24428-29981
OG0000471	RMZ56752.1 hypothetical protein APUTEX25_002841_ partial [Auxenochlorella protothecoides]	QAXK01001670.1_7180-6388
OG0000474	RMZ57017.1 hypothetical protein APUTEX25_002249 [Auxenochlorella protothecoides], RMZ57001.1 hypothetical protein APUTEX25_002233 [Auxenochlorella protothecoides]	QAXK01000042.1_28045-28765
OG0000479	RMZ57644.1 hypothetical protein APUTEX25_001844 [Auxenochlorella protothecoides], RMZ57382.1 hypothetical protein APUTEX25_004216 [Auxenochlorella protothecoides]	QAXK01004028.1_58546-56431
OG0000499	RMZ52031.1 hypothetical protein APUTEX25_001225_ partial [Auxenochlorella protothecoides], RMZ57844.1 hypothetical protein APUTEX25_001201_ partial [Auxenochlorella protothecoides]	QAXK01009964.1_53-2582
OG0000501	RMZ52092.1 hypothetical protein APUTEX25_001286_ partial [Auxenochlorella protothecoides]	QAXK01019765.1_356-165
OG0000506	RMZ52573.1 hypothetical protein APUTEX25_003716_ partial [Auxenochlorella protothecoides], RMZ52560.1 hypothetical protein APUTEX25_003703_ partial [Auxenochlorella protothecoides]	QAXK01002250.1_1739-4040
OG0000512	RMZ52907.1 hypothetical protein APUTEX25_001026 [Auxenochlorella protothecoides]	QAXK01000565.1_7520-10250
OG0000517	RMZ53153.1 hypothetical protein APUTEX25_005142 [Auxenochlorella protothecoides]	QAXK01001595.1_3107-7081
OG0000519	RMZ53264.1 hypothetical protein APUTEX25_005253_ partial [Auxenochlorella protothecoides], RMZ54388.1 hypothetical protein APUTEX25_001964_ partial [Auxenochlorella protothecoides]	QAXK01004538.1_836-4145
OG0000520	RMZ53266.1 hypothetical protein APUTEX25_005255_ partial [Auxenochlorella protothecoides]	QAXK01002274.1_7306-5678
OG0000521	RMZ53354.1 hypothetical protein APUTEX25_004842 [Auxenochlorella protothecoides], RMZ53359.1 hypothetical protein APUTEX25_004847 [Auxenochlorella protothecoides]	QAXK01000876.1_25410-28882
OG0000522	RMZ53397.1 hypothetical protein APUTEX25_004885 [Auxenochlorella protothecoides], RMZ56227.1 hypothetical protein APUTEX25_002417_ partial [Auxenochlorella protothecoides]	QAXK01010222.1_2855-4006
OG0000528	RMZ53744.1 hypothetical protein APUTEX25_003883 [Auxenochlorella protothecoides]	QAXK01011871.1_1755-3976
OG0000535	RMZ54061.1 hypothetical protein APUTEX25_002638 [Auxenochlorella protothecoides]	QAXK01008326.1_3715-2230
OG0000542	RMZ54410.1 hypothetical protein APUTEX25_001986 [Auxenochlorella protothecoides]	QAXK01007731.1_21245-25168
OG0000546	RMZ54704.1 hypothetical protein APUTEX25_003082_ partial [Auxenochlorella protothecoides]	QAXK01003383.1_11610-10089
OG0000552	RMZ55131.1 hypothetical protein APUTEX25_005409 [Auxenochlorella protothecoides]	QAXK01001452.1_4877-8338
OG0000565	RMZ55744.1 hypothetical protein APUTEX25_005785 [Auxenochlorella protothecoides]	QAXK01012018.1_21-2846
OG0000572	RMZ56474.1 hypothetical protein APUTEX25_001321_ partial [Auxenochlorella protothecoides], RMZ57131.1 hypothetical protein APUTEX25_002363 [Auxenochlorella protothecoides]	QAXK01002353.1_6519-15187
OG0000573	RMZ56532.1 hypothetical protein APUTEX25_001379 [Auxenochlorella protothecoides], RMZ57188.1 hypothetical protein APUTEX25_004022 [Auxenochlorella protothecoides]	QAXK01003348.1_1486-6
OG0000577	RMZ56925.1 hypothetical protein APUTEX25_004987 [Auxenochlorella protothecoides], RMZ56949.1 hypothetical protein APUTEX25_005011 [Auxenochlorella protothecoides]	QAXK01003132.1_5372-2862
OG0000585	RMZ57249.1 hypothetical protein APUTEX25_004083 [Auxenochlorella protothecoides]	QAXK01002652.1_31218-33264
OG0000586	RMZ57309.1 hypothetical protein APUTEX25_004143 [Auxenochlorella protothecoides]	QAXK01001200.1_17606-19818
OG0000611	RMZ52033.1 hypothetical protein APUTEX25_001227_ partial [Auxenochlorella protothecoides]	QAXK01011586.1_4054-3461
OG0000616	RMZ52321.1 hypothetical protein APUTEX25_005074_ partial [Auxenochlorella protothecoides]	QAXK01001265.1_8774-9883
OG0000618	RMZ52555.1 hypothetical protein APUTEX25_003698_ partial [Auxenochlorella protothecoides]	QAXK01000835.1_1-309
OG0000626	RMZ55093.1 hypothetical protein APUTEX25_005719 [Auxenochlorella protothecoides], RMZ53082.1 hypothetical protein APUTEX25_002491_ partial [Auxenochlorella protothecoides]	QAXK01003230.1_4778-8012
OG0000635	RMZ56144.1 hypothetical protein APUTEX25_004568 [Auxenochlorella protothecoides], RMZ53449.1 hypothetical protein APUTEX25_003271 [Auxenochlorella protothecoides]	QAXK01004870.1_4878-5513
OG0000637	RMZ53706.1 hypothetical protein APUTEX25_003240 [Auxenochlorella protothecoides], RMZ56338.1 hypothetical protein APUTEX25_004695 [Auxenochlorella protothecoides]	QAXK01001575.1_13855-13334
OG0000638	RMZ56080.1 hypothetical protein APUTEX25_004504 [Auxenochlorella protothecoides], RMZ53764.1 hypothetical protein APUTEX25_003903_ partial [Auxenochlorella protothecoides]	QAXK01010124.1_10448-8669
OG0000649	RMZ54291.1 hypothetical protein APUTEX25_001449 [Auxenochlorella protothecoides], RMZ54279.1 hypothetical protein APUTEX25_001437 [Auxenochlorella protothecoides]	QAXK01000254.1_6101-3555
OG0000653	RMZ54477.1 hypothetical protein APUTEX25_002053_ partial [Auxenochlorella protothecoides]	QAXK01000123.1_7289-10291
OG0000654	RMZ54551.1 hypothetical protein APUTEX25_002126 [Auxenochlorella protothecoides]	QAXK01000799.1_92299-89512
OG0000660	RMZ55058.1 hypothetical protein APUTEX25_005684 [Auxenochlorella protothecoides]	QAXK01014960.1_11495-10348
OG0000661	RMZ55081.1 hypothetical protein APUTEX25_005707 [Auxenochlorella protothecoides]	QAXK01004242.1_3727-7707
OG0000662	RMZ55110.1 hypothetical protein APUTEX25_005388 [Auxenochlorella protothecoides]	QAXK01000452.1_6301-4533
OG0000664	RMZ55173.1 hypothetical protein APUTEX25_005451_ partial [Auxenochlorella protothecoides], RMZ57180.1 hypothetical protein APUTEX25_004014 [Auxenochlorella protothecoides]	QAXK01015723.1_3192-4172
OG0000671	RMZ55508.1 hypothetical protein APUTEX25_000091 [Auxenochlorella protothecoides]	QAXK01001535.1_15806-14316
OG0000676	RMZ57478.1 hypothetical protein APUTEX25_004312 [Auxenochlorella protothecoides], RMZ55646.1 hypothetical protein APUTEX25_000229 [Auxenochlorella protothecoides]	QAXK01015338.1_519-166
OG0000678	RMZ55892.1 hypothetical protein APUTEX25_003858_ partial [Auxenochlorella protothecoides]	QAXK01001500.1_1992-2978
OG0000679	RMZ55895.1 hypothetical protein APUTEX25_003861 [Auxenochlorella protothecoides]	QAXK01006881.1_8512-9541
OG0000688	RMZ56435.1 hypothetical protein APUTEX25_004658 [Auxenochlorella protothecoides]	QAXK01003305.1_27047-24211
OG0000689	RMZ56566.1 hypothetical protein APUTEX25_001413 [Auxenochlorella protothecoides]	QAXK01001638.1_16082-13313
OG0000691	RMZ56622.1 hypothetical protein APUTEX25_002711 [Auxenochlorella protothecoides], RMZ56674.1 hypothetical protein APUTEX25_002763_ partial [Auxenochlorella protothecoides]	QAXK01001186.1_10565-8532
OG0000693	RMZ56690.1 hypothetical protein APUTEX25_002779 [Auxenochlorella protothecoides], RMZ56786.1 hypothetical protein APUTEX25_002875 [Auxenochlorella protothecoides]	QAXK01008377.1_3630-1851
OG0000694	RMZ56696.1 hypothetical protein APUTEX25_002785 [Auxenochlorella protothecoides]	QAXK01012986.1_3546-2582
OG0000697	RMZ57035.1 hypothetical protein APUTEX25_002267 [Auxenochlorella protothecoides], RMZ56775.1 hypothetical protein APUTEX25_002864 [Auxenochlorella protothecoides]	QAXK01000899.1_15443-14285
OG0000704	RMZ57405.1 hypothetical protein APUTEX25_004239 [Auxenochlorella protothecoides]	QAXK01006701.1_1896-1296
OG0000730	RMZ52364.1 hypothetical protein APUTEX25_000639_ partial [Auxenochlorella protothecoides]	QAXK01001551.1_59690-63747
OG0000732	RMZ52510.1 hypothetical protein APUTEX25_003653 [Auxenochlorella protothecoides]	QAXK01003652.1_16558-15646
OG0000734	RMZ52619.1 hypothetical protein APUTEX25_000738 [Auxenochlorella protothecoides], RMZ52645.1 hypothetical protein APUTEX25_000764 [Auxenochlorella protothecoides]	QAXK01007307.1_6962-7960
OG0000735	RMZ52751.1 hypothetical protein APUTEX25_000870 [Auxenochlorella protothecoides], RMZ52630.1 hypothetical protein APUTEX25_000749 [Auxenochlorella protothecoides]	QAXK01011105.1_8336-6488
OG0000747	RMZ53148.1 hypothetical protein APUTEX25_005137 [Auxenochlorella protothecoides], RMZ57809.1 hypothetical protein APUTEX25_000571_ partial [Auxenochlorella protothecoides]	QAXK01006607.1_16309-17535
OG0000753	RMZ53347.1 hypothetical protein APUTEX25_004835_ partial [Auxenochlorella protothecoides]	QAXK01001647.1_3154-482
OG0000764	RMZ53749.1 hypothetical protein APUTEX25_003888_ partial [Auxenochlorella protothecoides]	QAXK01005724.1_7661-4858
OG0000770	RMZ54042.1 hypothetical protein APUTEX25_002619_ partial [Auxenochlorella protothecoides]	QAXK01003607.1_11324-13747
OG0000774	RMZ54190.1 hypothetical protein APUTEX25_005346_ partial [Auxenochlorella protothecoides]	QAXK01004825.1_8965-10753
OG0000777	RMZ54250.1 hypothetical protein APUTEX25_000601 [Auxenochlorella protothecoides]	QAXK01002948.1_4354-3157
OG0000778	RMZ54282.1 hypothetical protein APUTEX25_001440 [Auxenochlorella protothecoides], RMZ54310.1 hypothetical protein APUTEX25_001468 [Auxenochlorella protothecoides]	QAXK01014006.1_1593-3302
OG0000782	RMZ54643.1 hypothetical protein APUTEX25_003021 [Auxenochlorella protothecoides], RMZ55187.1 hypothetical protein APUTEX25_005465 [Auxenochlorella protothecoides]	QAXK01009651.1_2303-1712
OG0000784	RMZ54824.1 hypothetical protein APUTEX25_000341 [Auxenochlorella protothecoides], RMZ57581.1 hypothetical protein APUTEX25_001781 [Auxenochlorella protothecoides]	QAXK01014689.1_5406-4708
OG0000786	RMZ54925.1 hypothetical protein APUTEX25_000442_ partial [Auxenochlorella protothecoides]	QAXK01006828.1_9411-7696
OG0000788	RMZ54950.1 hypothetical protein APUTEX25_000467_ partial [Auxenochlorella protothecoides]	QAXK01010339.1_3422-4517
OG0000793	RMZ55086.1 hypothetical protein APUTEX25_005712_ partial [Auxenochlorella protothecoides]	QAXK01000249.1_22218-16975
OG0000799	RMZ55698.1 hypothetical protein APUTEX25_005739 [Auxenochlorella protothecoides], RMZ55407.1 hypothetical protein APUTEX25_003531 [Auxenochlorella protothecoides]	QAXK01005565.1_18254-19052
OG0000818	RMZ56638.1 hypothetical protein APUTEX25_002727_ partial [Auxenochlorella protothecoides]	QAXK01008587.1_153-1989
OG0000819	RMZ56733.1 hypothetical protein APUTEX25_002822 [Auxenochlorella protothecoides], RMZ56774.1 hypothetical protein APUTEX25_002863 [Auxenochlorella protothecoides]	QAXK01003572.1_15443-13865
OG0000827	RMZ57161.1 hypothetical protein APUTEX25_003995 [Auxenochlorella protothecoides]	QAXK01003364.1_14418-18303
OG0000828	RMZ57214.1 hypothetical protein APUTEX25_004048 [Auxenochlorella protothecoides], RMZ57331.1 hypothetical protein APUTEX25_004165 [Auxenochlorella protothecoides]	QAXK01000782.1_20679-19905
OG0000830	RMZ57261.1 hypothetical protein APUTEX25_004095_ partial [Auxenochlorella protothecoides]	QAXK01013271.1_12309-15183
OG0000838	RMZ57462.1 hypothetical protein APUTEX25_004296 [Auxenochlorella protothecoides]	QAXK01003718.1_1305-2104
OG0000882	RMZ52184.1 hypothetical protein APUTEX25_001574 [Auxenochlorella protothecoides]	QAXK01006249.1_4939-7634
OG0000890	RMZ52372.1 hypothetical protein APUTEX25_000647 [Auxenochlorella protothecoides]	QAXK01001134.1_10091-19430
