Orthogroup	Auxenochlorella_protothecoides	Chlorella_A99
OG0000021	RMZ55277.1 hypothetical protein APUTEX25_005555 [Auxenochlorella protothecoides], RMZ56751.1 hypothetical protein APUTEX25_002840 [Auxenochlorella protothecoides], RMZ53358.1 hypothetical protein APUTEX25_004846 [Auxenochlorella protothecoides], RMZ53351.1 hypothetical protein APUTEX25_004839 [Auxenochlorella protothecoides], RMZ52458.1 hypothetical protein APUTEX25_000037 [Auxenochlorella protothecoides], RMZ52263.1 hypothetical protein APUTEX25_001653_ partial [Auxenochlorella protothecoides], RMZ56137.1 hypothetical protein APUTEX25_004561_ partial [Auxenochlorella protothecoides], RMZ56587.1 hypothetical protein APUTEX25_003497_ partial [Auxenochlorella protothecoides], RMZ55278.1 hypothetical protein APUTEX25_005556_ partial [Auxenochlorella protothecoides], RMZ56148.1 hypothetical protein APUTEX25_004572_ partial [Auxenochlorella protothecoides], RMZ56950.1 hypothetical protein APUTEX25_005012_ partial [Auxenochlorella protothecoides], RMZ57038.1 hypothetical protein APUTEX25_002270_ partial [Auxenochlorella protothecoides], RMZ52304.1 hypothetical protein APUTEX25_001920 [Auxenochlorella protothecoides], RMZ53039.1 hypothetical protein APUTEX25_001158 [Auxenochlorella protothecoides], RMZ53927.1 hypothetical protein APUTEX25_004952_ partial [Auxenochlorella protothecoides], RMZ55601.1 hypothetical protein APUTEX25_000184 [Auxenochlorella protothecoides], RMZ55564.1 hypothetical protein APUTEX25_000147 [Auxenochlorella protothecoides], RMZ52164.1 hypothetical protein APUTEX25_001554 [Auxenochlorella protothecoides], RMZ54026.1 hypothetical protein APUTEX25_002603 [Auxenochlorella protothecoides], RMZ52575.1 hypothetical protein APUTEX25_003718_ partial [Auxenochlorella protothecoides], RMZ56947.1 hypothetical protein APUTEX25_005009_ partial [Auxenochlorella protothecoides], RMZ52071.1 hypothetical protein APUTEX25_001265_ partial [Auxenochlorella protothecoides], RMZ55558.1 hypothetical protein APUTEX25_000141 [Auxenochlorella protothecoides], RMZ54560.1 hypothetical protein APUTEX25_002135_ partial [Auxenochlorella protothecoides], RMZ53719.1 hypothetical protein APUTEX25_003253_ partial [Auxenochlorella protothecoides], RMZ54728.1 hypothetical protein APUTEX25_003106 [Auxenochlorella protothecoides], RMZ54271.1 hypothetical protein APUTEX25_000622 [Auxenochlorella protothecoides], RMZ52115.1 hypothetical protein APUTEX25_001309 [Auxenochlorella protothecoides], RMZ56742.1 hypothetical protein APUTEX25_002831 [Auxenochlorella protothecoides], RMZ53008.1 hypothetical protein APUTEX25_001127_ partial [Auxenochlorella protothecoides], RMZ53649.1 hypothetical protein APUTEX25_003183 [Auxenochlorella protothecoides], RMZ54012.1 hypothetical protein APUTEX25_002589_ partial [Auxenochlorella protothecoides], RMZ55801.1 hypothetical protein APUTEX25_005842_ partial [Auxenochlorella protothecoides], RMZ53110.1 hypothetical protein APUTEX25_002519 [Auxenochlorella protothecoides], RMZ55679.1 hypothetical protein APUTEX25_000262 [Auxenochlorella protothecoides], RMZ57438.1 hypothetical protein APUTEX25_004272 [Auxenochlorella protothecoides], RMZ52777.1 hypothetical protein APUTEX25_000896_ partial [Auxenochlorella protothecoides], RMZ54099.1 hypothetical protein APUTEX25_002676 [Auxenochlorella protothecoides], RMZ53862.1 hypothetical protein APUTEX25_005608_ partial [Auxenochlorella protothecoides], RMZ55561.1 hypothetical protein APUTEX25_000144_ partial [Auxenochlorella protothecoides], RMZ56171.1 hypothetical protein APUTEX25_004595 [Auxenochlorella protothecoides], RMZ56458.1 hypothetical protein APUTEX25_004681 [Auxenochlorella protothecoides], RMZ52381.1 hypothetical protein APUTEX25_000656_ partial [Auxenochlorella protothecoides], RMZ53113.1 hypothetical protein APUTEX25_005102_ partial [Auxenochlorella protothecoides], RMZ55746.1 hypothetical protein APUTEX25_005787_ partial [Auxenochlorella protothecoides], RMZ56152.1 hypothetical protein APUTEX25_004576 [Auxenochlorella protothecoides], RMZ52347.1 hypothetical protein APUTEX25_004751_ partial [Auxenochlorella protothecoides], RMZ53889.1 hypothetical protein APUTEX25_005571_ partial [Auxenochlorella protothecoides]	PCFQ01000054.1 g2298 [Chlorella sp. A99]
OG0000024	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]	PCFQ01000082.1 g566 [Chlorella sp. A99], PCFQ01000058.1 g150 [Chlorella sp. A99], PCFQ01000010.1 g357 [Chlorella sp. A99], PCFQ01000010.1 g359 [Chlorella sp. A99], PCFQ01000007.1 g1217 [Chlorella sp. A99]
OG0000026	RMZ52180.1 hypothetical protein APUTEX25_001570 [Auxenochlorella protothecoides], RMZ57625.1 hypothetical protein APUTEX25_001825 [Auxenochlorella protothecoides]	PCFQ01000058.1 g54 [Chlorella sp. A99]
OG0000027	RMZ54217.1 hypothetical protein APUTEX25_005373 [Auxenochlorella protothecoides], RMZ54669.1 hypothetical protein APUTEX25_003047_ partial [Auxenochlorella protothecoides], RMZ57276.1 hypothetical protein APUTEX25_004110_ partial [Auxenochlorella protothecoides]	PCFQ01000079.1 g1422 [Chlorella sp. A99]
OG0000027	RMZ52838.1 hypothetical protein APUTEX25_000957 [Auxenochlorella protothecoides]	PCFQ01000026.1 g2290 [Chlorella sp. A99]
OG0000027	RMZ56507.1 hypothetical protein APUTEX25_001354_ partial [Auxenochlorella protothecoides]	PCFQ01000018.1 g407 [Chlorella sp. A99], PCFQ01000018.1 g408 [Chlorella sp. A99]
OG0000029	RMZ54167.1 hypothetical protein APUTEX25_005323 [Auxenochlorella protothecoides]	PCFQ01000010.1 g362 [Chlorella sp. A99]
OG0000035	RMZ53240.1 hypothetical protein APUTEX25_005229 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2024 [Chlorella sp. A99]
OG0000037	RMZ53830.1 hypothetical protein APUTEX25_003969_ partial [Auxenochlorella protothecoides]	PCFQ01000006.1 g3252 [Chlorella sp. A99]
OG0000038	RMZ55519.1 hypothetical protein APUTEX25_000102 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2699 [Chlorella sp. A99]
OG0000038	RMZ57629.1 hypothetical protein APUTEX25_001829 [Auxenochlorella protothecoides]	PCFQ01000009.1 g1721 [Chlorella sp. A99]
OG0000039	RMZ55921.1 hypothetical protein APUTEX25_004345 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2164 [Chlorella sp. A99], PCFQ01000002.1 g694 [Chlorella sp. A99]
OG0000042	RMZ53607.1 hypothetical protein APUTEX25_003141 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2664 [Chlorella sp. A99]
OG0000043	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]	PCFQ01000020.1 g910 [Chlorella sp. A99]
OG0000044	RMZ56035.1 hypothetical protein APUTEX25_004459 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2748 [Chlorella sp. A99], PCFQ01000023.1 g2223 [Chlorella sp. A99]
OG0000044	RMZ52121.1 hypothetical protein APUTEX25_003608 [Auxenochlorella protothecoides]	PCFQ01000015.1 g2988 [Chlorella sp. A99], PCFQ01000008.1 g1142 [Chlorella sp. A99]
OG0000045	RMZ55942.1 hypothetical protein APUTEX25_004366 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2700 [Chlorella sp. A99]
OG0000049	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2665 [Chlorella sp. A99]
OG0000049	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]	PCFQ01000011.1 g2855 [Chlorella sp. A99]
OG0000050	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]	PCFQ01000005.1 g823 [Chlorella sp. A99]
OG0000051	RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]	PCFQ01000079.1 g1472 [Chlorella sp. A99]
OG0000052	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]	PCFQ01000080.1 g1947 [Chlorella sp. A99]
OG0000054	RMZ52985.1 hypothetical protein APUTEX25_001104_ partial [Auxenochlorella protothecoides], RMZ55166.1 hypothetical protein APUTEX25_005444 [Auxenochlorella protothecoides]	PCFQ01000015.1 g3011 [Chlorella sp. A99]
OG0000055	RMZ54658.1 hypothetical protein APUTEX25_003036_ partial [Auxenochlorella protothecoides]	PCFQ01000002.1 g663 [Chlorella sp. A99]
OG0000059	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides], RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2590 [Chlorella sp. A99]
OG0000060	RMZ57737.1 hypothetical protein APUTEX25_005101_ partial [Auxenochlorella protothecoides]	PCFQ01000020.1 g943 [Chlorella sp. A99]
OG0000062	RMZ54088.1 hypothetical protein APUTEX25_002665 [Auxenochlorella protothecoides]	PCFQ01000020.1 g871 [Chlorella sp. A99]
OG0000062	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]	PCFQ01000019.1 g1803 [Chlorella sp. A99], PCFQ01000011.1 g2914 [Chlorella sp. A99]
OG0000064	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]	PCFQ01000002.1 g733 [Chlorella sp. A99]
OG0000064	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]	PCFQ01000018.1 g479 [Chlorella sp. A99]
OG0000064	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]	PCFQ01000002.1 g732 [Chlorella sp. A99]
OG0000065	RMZ55168.1 hypothetical protein APUTEX25_005446 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1443 [Chlorella sp. A99], PCFQ01000079.1 g1442 [Chlorella sp. A99]
OG0000069	RMZ52481.1 hypothetical protein APUTEX25_003624 [Auxenochlorella protothecoides]	PCFQ01000005.1 g800 [Chlorella sp. A99]
OG0000069	RMZ52692.1 hypothetical protein APUTEX25_000811_ partial [Auxenochlorella protothecoides]	PCFQ01000082.1 g619 [Chlorella sp. A99]
OG0000069	RMZ53095.1 hypothetical protein APUTEX25_002504 [Auxenochlorella protothecoides]	PCFQ01000058.1 g50 [Chlorella sp. A99]
OG0000070	RMZ53469.1 hypothetical protein APUTEX25_003291_ partial [Auxenochlorella protothecoides]	PCFQ01000007.1 g1186 [Chlorella sp. A99], PCFQ01000002.1 g655 [Chlorella sp. A99]
OG0000071	RMZ54148.1 hypothetical protein APUTEX25_005304 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1323 [Chlorella sp. A99]
OG0000073	RMZ54907.1 hypothetical protein APUTEX25_000424_ partial [Auxenochlorella protothecoides]	PCFQ01000073.1 g1975 [Chlorella sp. A99], PCFQ01000005.1 g782 [Chlorella sp. A99]
OG0000074	RMZ55613.1 hypothetical protein APUTEX25_000196 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1351 [Chlorella sp. A99]
OG0000078	RMZ56534.1 hypothetical protein APUTEX25_001381 [Auxenochlorella protothecoides]	PCFQ01000081.1 g1620 [Chlorella sp. A99]
OG0000078	RMZ52490.1 hypothetical protein APUTEX25_003633_ partial [Auxenochlorella protothecoides], RMZ53346.1 hypothetical protein APUTEX25_004834 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2872 [Chlorella sp. A99]
OG0000079	RMZ57222.1 hypothetical protein APUTEX25_004056 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3202 [Chlorella sp. A99]
OG0000079	RMZ53096.1 hypothetical protein APUTEX25_002505 [Auxenochlorella protothecoides]	PCFQ01000058.1 g51 [Chlorella sp. A99]
OG0000082	RMZ52693.1 hypothetical protein APUTEX25_000812 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1317 [Chlorella sp. A99], PCFQ01000004.1 g2633 [Chlorella sp. A99], PCFQ01000005.1 g842 [Chlorella sp. A99]
OG0000083	RMZ54832.1 hypothetical protein APUTEX25_000349 [Auxenochlorella protothecoides]	PCFQ01000031.1 g3095 [Chlorella sp. A99]
OG0000083	RMZ53760.1 hypothetical protein APUTEX25_003899 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2844 [Chlorella sp. A99]
OG0000084	RMZ54449.1 hypothetical protein APUTEX25_002025_ partial [Auxenochlorella protothecoides]	PCFQ01000007.1 g1229 [Chlorella sp. A99]
OG0000084	RMZ55442.1 hypothetical protein APUTEX25_003566_ partial [Auxenochlorella protothecoides]	PCFQ01000058.1 g283 [Chlorella sp. A99]
OG0000084	RMZ56130.1 hypothetical protein APUTEX25_004554 [Auxenochlorella protothecoides]	PCFQ01000008.1 g1137 [Chlorella sp. A99]
OG0000087	RMZ55593.1 hypothetical protein APUTEX25_000176 [Auxenochlorella protothecoides]	PCFQ01000082.1 g584 [Chlorella sp. A99]
OG0000088	RMZ55551.1 hypothetical protein APUTEX25_000134 [Auxenochlorella protothecoides]	PCFQ01000078.1 g2187 [Chlorella sp. A99]
OG0000088	RMZ52215.1 hypothetical protein APUTEX25_001605 [Auxenochlorella protothecoides]	PCFQ01000015.1 g3029 [Chlorella sp. A99]
OG0000089	RMZ52759.1 hypothetical protein APUTEX25_000878 [Auxenochlorella protothecoides]	PCFQ01000014.1 g1897 [Chlorella sp. A99], PCFQ01000001.1 g972 [Chlorella sp. A99]
OG0000090	RMZ55739.1 hypothetical protein APUTEX25_005780_ partial [Auxenochlorella protothecoides]	PCFQ01000018.1 g427 [Chlorella sp. A99]
OG0000090	RMZ55723.1 hypothetical protein APUTEX25_005764 [Auxenochlorella protothecoides]	PCFQ01000014.1 g1879 [Chlorella sp. A99]
OG0000091	RMZ57273.1 hypothetical protein APUTEX25_004107 [Auxenochlorella protothecoides]	PCFQ01000013.1 g3307 [Chlorella sp. A99]
OG0000091	RMZ57393.1 hypothetical protein APUTEX25_004227 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3243 [Chlorella sp. A99]
OG0000095	RMZ52360.1 hypothetical protein APUTEX25_000635_ partial [Auxenochlorella protothecoides]	PCFQ01000037.1 g2440 [Chlorella sp. A99]
OG0000096	RMZ52686.1 hypothetical protein APUTEX25_000805 [Auxenochlorella protothecoides]	PCFQ01000020.1 g942 [Chlorella sp. A99]
OG0000096	RMZ56656.1 hypothetical protein APUTEX25_002745_ partial [Auxenochlorella protothecoides]	PCFQ01000004.1 g2575 [Chlorella sp. A99]
OG0000097	RMZ52823.1 hypothetical protein APUTEX25_000942_ partial [Auxenochlorella protothecoides]	PCFQ01000037.1 g2444 [Chlorella sp. A99]
OG0000098	RMZ53120.1 hypothetical protein APUTEX25_005109 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2754 [Chlorella sp. A99]
OG0000098	RMZ55147.1 hypothetical protein APUTEX25_005425 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3182 [Chlorella sp. A99]
OG0000100	RMZ53823.1 hypothetical protein APUTEX25_003962_ partial [Auxenochlorella protothecoides]	PCFQ01000005.1 g864 [Chlorella sp. A99]
OG0000100	RMZ53226.1 hypothetical protein APUTEX25_005215 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2762 [Chlorella sp. A99]
OG0000101	RMZ53299.1 hypothetical protein APUTEX25_004787 [Auxenochlorella protothecoides]	PCFQ01000079.1 g1253 [Chlorella sp. A99]
OG0000101	RMZ55334.1 hypothetical protein APUTEX25_003472 [Auxenochlorella protothecoides]	PCFQ01000081.1 g1580 [Chlorella sp. A99]
OG0000102	RMZ53552.1 hypothetical protein APUTEX25_003374_ partial [Auxenochlorella protothecoides]	PCFQ01000008.1 g1125 [Chlorella sp. A99]
OG0000102	RMZ54043.1 hypothetical protein APUTEX25_002620_ partial [Auxenochlorella protothecoides]	PCFQ01000018.1 g437 [Chlorella sp. A99]
OG0000105	RMZ56376.1 hypothetical protein APUTEX25_004733_ partial [Auxenochlorella protothecoides]	PCFQ01000006.1 g3236 [Chlorella sp. A99], PCFQ01000003.1 g1032 [Chlorella sp. A99]
OG0000106	RMZ57268.1 hypothetical protein APUTEX25_004102_ partial [Auxenochlorella protothecoides]	PCFQ01000013.1 g3273 [Chlorella sp. A99]
OG0000106	RMZ57423.1 hypothetical protein APUTEX25_004257 [Auxenochlorella protothecoides]	PCFQ01000013.1 g3272 [Chlorella sp. A99]
OG0000111	RMZ54959.1 hypothetical protein APUTEX25_000476 [Auxenochlorella protothecoides]	PCFQ01000058.1 g48 [Chlorella sp. A99]
OG0000112	RMZ53741.1 hypothetical protein APUTEX25_003880 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2842 [Chlorella sp. A99]
OG0000113	RMZ57663.1 hypothetical protein APUTEX25_001863_ partial [Auxenochlorella protothecoides]	PCFQ01000079.1 g1435 [Chlorella sp. A99]
OG0000113	RMZ52269.1 hypothetical protein APUTEX25_001659_ partial [Auxenochlorella protothecoides], RMZ53815.1 hypothetical protein APUTEX25_003954_ partial [Auxenochlorella protothecoides]	PCFQ01000058.1 g109 [Chlorella sp. A99], PCFQ01000058.1 g157 [Chlorella sp. A99], PCFQ01000004.1 g2647 [Chlorella sp. A99], PCFQ01000053.1 g2550 [Chlorella sp. A99]
OG0000113	RMZ57652.1 hypothetical protein APUTEX25_001852 [Auxenochlorella protothecoides]	PCFQ01000011.1 g2813 [Chlorella sp. A99], PCFQ01000009.1 g1728 [Chlorella sp. A99]
OG0000114	RMZ53860.1 hypothetical protein APUTEX25_005606_ partial [Auxenochlorella protothecoides]	PCFQ01000078.1 g1983 [Chlorella sp. A99]
OG0000115	RMZ52965.1 hypothetical protein APUTEX25_001084 [Auxenochlorella protothecoides]	PCFQ01000037.1 g2489 [Chlorella sp. A99]
OG0000115	RMZ52361.1 hypothetical protein APUTEX25_000636 [Auxenochlorella protothecoides]	PCFQ01000007.1 g1202 [Chlorella sp. A99]
OG0000115	RMZ57215.1 hypothetical protein APUTEX25_004049_ partial [Auxenochlorella protothecoides]	PCFQ01000037.1 g2481 [Chlorella sp. A99]
OG0000116	RMZ56203.1 hypothetical protein APUTEX25_002393_ partial [Auxenochlorella protothecoides]	PCFQ01000002.1 g709 [Chlorella sp. A99], PCFQ01000078.1 g2185 [Chlorella sp. A99]
OG0000116	RMZ55643.1 hypothetical protein APUTEX25_000226 [Auxenochlorella protothecoides]	PCFQ01000007.1 g1187 [Chlorella sp. A99]
OG0000117	RMZ52648.1 hypothetical protein APUTEX25_000767_ partial [Auxenochlorella protothecoides]	PCFQ01000013.1 g3314 [Chlorella sp. A99]
OG0000119	RMZ53986.1 hypothetical protein APUTEX25_002563 [Auxenochlorella protothecoides]	PCFQ01000018.1 g443 [Chlorella sp. A99]
OG0000119	RMZ57498.1 hypothetical protein APUTEX25_003741 [Auxenochlorella protothecoides]	PCFQ01000048.1 g2274 [Chlorella sp. A99]
OG0000119	RMZ55071.1 hypothetical protein APUTEX25_005697 [Auxenochlorella protothecoides]	PCFQ01000040.1 g2301 [Chlorella sp. A99]
OG0000120	RMZ56116.1 hypothetical protein APUTEX25_004540 [Auxenochlorella protothecoides]	PCFQ01000008.1 g1136 [Chlorella sp. A99]
OG0000124	RMZ52130.1 hypothetical protein APUTEX25_001520 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3132 [Chlorella sp. A99]
OG0000125	RMZ52696.1 hypothetical protein APUTEX25_000815 [Auxenochlorella protothecoides]	PCFQ01000001.1 g1010 [Chlorella sp. A99]
OG0000126	RMZ53251.1 hypothetical protein APUTEX25_005240 [Auxenochlorella protothecoides]	PCFQ01000005.1 g791 [Chlorella sp. A99]
OG0000128	RMZ53355.1 hypothetical protein APUTEX25_004843_ partial [Auxenochlorella protothecoides]	PCFQ01000078.1 g2050 [Chlorella sp. A99]
OG0000129	RMZ53810.1 hypothetical protein APUTEX25_003949_ partial [Auxenochlorella protothecoides]	PCFQ01000082.1 g620 [Chlorella sp. A99], PCFQ01000002.1 g691 [Chlorella sp. A99]
OG0000129	RMZ57659.1 hypothetical protein APUTEX25_001859_ partial [Auxenochlorella protothecoides]	PCFQ01000079.1 g1337 [Chlorella sp. A99]
OG0000130	RMZ53985.1 hypothetical protein APUTEX25_002562 [Auxenochlorella protothecoides]	PCFQ01000018.1 g435 [Chlorella sp. A99]
OG0000130	RMZ56724.1 hypothetical protein APUTEX25_002813_ partial [Auxenochlorella protothecoides]	PCFQ01000001.1 g1005 [Chlorella sp. A99]
OG0000131	RMZ54361.1 hypothetical protein APUTEX25_001937 [Auxenochlorella protothecoides]	PCFQ01000081.1 g1625 [Chlorella sp. A99]
OG0000132	RMZ54456.1 hypothetical protein APUTEX25_002032_ partial [Auxenochlorella protothecoides]	PCFQ01000079.1 g1364 [Chlorella sp. A99], PCFQ01000081.1 g1648 [Chlorella sp. A99]
OG0000133	RMZ54609.1 hypothetical protein APUTEX25_002195 [Auxenochlorella protothecoides]	PCFQ01000002.1 g670 [Chlorella sp. A99]
OG0000133	RMZ54619.1 hypothetical protein APUTEX25_002205_ partial [Auxenochlorella protothecoides]	PCFQ01000058.1 g253 [Chlorella sp. A99]
OG0000135	RMZ56739.1 hypothetical protein APUTEX25_002828 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2659 [Chlorella sp. A99]
OG0000135	RMZ56787.1 hypothetical protein APUTEX25_002876 [Auxenochlorella protothecoides]	PCFQ01000004.1 g2660 [Chlorella sp. A99]
OG0000136	RMZ56802.1 hypothetical protein APUTEX25_002891 [Auxenochlorella protothecoides]	PCFQ01000006.1 g3147 [Chlorella sp. A99]
OG0000141	RMZ52075.1 hypothetical protein APUTEX25_001269 [Auxenochlorella protothecoides]	PCFQ01000015.1 g3093 [Chlorella sp. A99]
OG0000142	RMZ55052.1 hypothetical protein APUTEX25_005678_ partial [Auxenochlorella protothecoides]	PCFQ01000078.1 g2180 [Chlorella sp. A99]
OG0000146	RMZ56588.1 hypothetical protein APUTEX25_003498_ partial [Auxenochlorella protothecoides]	PCFQ01000005.1 g832 [Chlorella sp. A99]
OG0000146	RMZ53269.1 hypothetical protein APUTEX25_005258 [Auxenochlorella protothecoides]	PCFQ01000013.1 g3294 [Chlorella sp. A99], PCFQ01000015.1 g2956 [Chlorella sp. A99]
OG0000147	RMZ56170.1 hypothetical protein APUTEX25_004594 [Auxenochlorella protothecoides]	PCFQ01000005.1 g836 [Chlorella sp. A99]
OG0000147	RMZ56436.1 hypothetical protein APUTEX25_004659 [Auxenochlorella protothecoides]	PCFQ01000003.1 g1063 [Chlorella sp. A99]
OG0000149	RMZ54720.1 hypothetical protein APUTEX25_003098 [Auxenochlorella protothecoides]	PCFQ01000002.1 g661 [Chlorella sp. A99]
OG0000150	RMZ54783.1 hypothetical protein APUTEX25_000300_ partial [Auxenochlorella protothecoides], RMZ54797.1 hypothetical protein APUTEX25_000314 [Auxenochlorella protothecoides]	PCFQ01000082.1 g574 [Chlorella sp. A99]
