Orthogroup	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169
OG0000011	KAI3436536.1 hypothetical protein D9Q98_005953 [Chlorella vulgaris], KAI3436537.1 hypothetical protein D9Q98_005954 [Chlorella vulgaris]	EIE23922.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE23924.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE19365.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26735.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18365.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE26174.1 hypothetical protein COCSUDRAFT_46522 [Coccomyxa subellipsoidea C-169], EIE18397.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20425.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20426.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20544.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22674.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE27156.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000012	KAI3428574.1 hypothetical protein D9Q98_007396 [Chlorella vulgaris]	EIE21870.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19169.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE23634.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19102.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19133.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19111.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE21861.1 histone H3 [Coccomyxa subellipsoidea C-169]
OG0000013	KAI3426414.1 hypothetical protein D9Q98_008783 [Chlorella vulgaris]	EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000013	KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris]	EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169]
OG0000013	KAI3438890.1 hypothetical protein D9Q98_001305 [Chlorella vulgaris]	EIE20575.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22449.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE19481.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE22450.1 Serine/threonine-protein kinase SRK2J [Coccomyxa subellipsoidea C-169]
OG0000013	KAI3438614.1 hypothetical protein D9Q98_001037 [Chlorella vulgaris]	EIE22393.1 hypothetical protein COCSUDRAFT_42714 [Coccomyxa subellipsoidea C-169]
OG0000014	KAI3436474.1 hypothetical protein D9Q98_005891 [Chlorella vulgaris]	EIE18936.1 cyclophilin-like protein [Coccomyxa subellipsoidea C-169]
OG0000014	KAI3435791.1 hypothetical protein D9Q98_001849 [Chlorella vulgaris]	EIE20388.1 gcip-interacting family protein-like protein [Coccomyxa subellipsoidea C-169]
OG0000014	KAI3424803.1 hypothetical protein D9Q98_008189 [Chlorella vulgaris]	EIE22797.1 cyclophilin_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	KAI3438190.1 hypothetical protein D9Q98_000627 [Chlorella vulgaris]	EIE27323.1 hypothetical protein COCSUDRAFT_11218_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	KAI3433293.1 hypothetical protein D9Q98_003112 [Chlorella vulgaris]	EIE25709.1 hypothetical protein COCSUDRAFT_12651 [Coccomyxa subellipsoidea C-169]
OG0000014	KAI3438240.1 hypothetical protein D9Q98_000677 [Chlorella vulgaris]	EIE23164.1 hypothetical protein COCSUDRAFT_47524 [Coccomyxa subellipsoidea C-169]
OG0000015	KAI3432843.1 hypothetical protein D9Q98_010427 [Chlorella vulgaris]	EIE18190.1 polymerase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20037.1 polymerase-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000016	KAI3427078.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris], KAI3427077.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris]	EIE19689.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]
OG0000016	KAI3425284.1 hypothetical protein D9Q98_009051 [Chlorella vulgaris]	EIE20101.1 hypothetical protein COCSUDRAFT_44063 [Coccomyxa subellipsoidea C-169]
OG0000016	KAI3428307.1 hypothetical protein D9Q98_006686 [Chlorella vulgaris]	EIE25290.1 ubiquitin fusion protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000018	KAI3428238.1 hypothetical protein D9Q98_006618 [Chlorella vulgaris]	EIE25106.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24716.1 hypothetical protein COCSUDRAFT_46919 [Coccomyxa subellipsoidea C-169]
OG0000018	KAI3426185.1 hypothetical protein D9Q98_008562 [Chlorella vulgaris]	EIE22491.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000018	KAI3424394.1 hypothetical protein D9Q98_009947 [Chlorella vulgaris]	EIE25222.1 hypothetical protein COCSUDRAFT_35694 [Coccomyxa subellipsoidea C-169]
OG0000018	KAI3427919.1 hypothetical protein D9Q98_006311 [Chlorella vulgaris]	EIE25757.1 hypothetical protein COCSUDRAFT_12896_ partial [Coccomyxa subellipsoidea C-169]
OG0000020	KAI3433312.1 hypothetical protein D9Q98_003130 [Chlorella vulgaris], KAI3425243.1 hypothetical protein D9Q98_009011 [Chlorella vulgaris], KAI3425251.1 hypothetical protein D9Q98_009019 [Chlorella vulgaris]	EIE22313.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE20603.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE27221.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE19027.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE22323.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE26164.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE21809.1 hexose transporter [Coccomyxa subellipsoidea C-169], EIE25646.1 general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000022	KAI3436432.1 hypothetical protein D9Q98_005849 [Chlorella vulgaris], KAI3436433.1 hypothetical protein D9Q98_005850 [Chlorella vulgaris]	EIE22085.1 hypothetical protein COCSUDRAFT_48053 [Coccomyxa subellipsoidea C-169]
OG0000022	KAI3433785.1 hypothetical protein D9Q98_003590 [Chlorella vulgaris]	EIE23044.1 U box_ partial [Coccomyxa subellipsoidea C-169], EIE25801.1 hypothetical protein COCSUDRAFT_60813 [Coccomyxa subellipsoidea C-169], EIE23042.1 U box_ partial [Coccomyxa subellipsoidea C-169], EIE23043.1 U box_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	KAI3430336.1 hypothetical protein D9Q98_004931 [Chlorella vulgaris], KAI3428527.1 hypothetical protein D9Q98_007350 [Chlorella vulgaris]	EIE23296.1 hypothetical protein COCSUDRAFT_15780_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	KAI3428437.1 hypothetical protein D9Q98_007264 [Chlorella vulgaris]	EIE22970.1 hypothetical protein COCSUDRAFT_15840_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	KAI3438995.1 hypothetical protein D9Q98_001407 [Chlorella vulgaris]	EIE19376.1 hypothetical protein COCSUDRAFT_19782 [Coccomyxa subellipsoidea C-169], EIE19354.1 hypothetical protein COCSUDRAFT_48920 [Coccomyxa subellipsoidea C-169]
OG0000023	KAI3439065.1 hypothetical protein D9Q98_001475 [Chlorella vulgaris], KAI3430482.1 hypothetical protein D9Q98_005077 [Chlorella vulgaris]	EIE18478.1 hypothetical protein COCSUDRAFT_9572_ partial [Coccomyxa subellipsoidea C-169]
OG0000024	KAI3426010.1 hypothetical protein D9Q98_007978 [Chlorella vulgaris], KAI3426016.1 hypothetical protein D9Q98_007984 [Chlorella vulgaris], KAI3427425.1 hypothetical protein D9Q98_010340 [Chlorella vulgaris], KAI3427426.1 hypothetical protein D9Q98_010341 [Chlorella vulgaris], KAI3429556.1 hypothetical protein D9Q98_005644 [Chlorella vulgaris], KAI3436676.1 hypothetical protein D9Q98_006092 [Chlorella vulgaris], KAI3437696.1 hypothetical protein D9Q98_000145 [Chlorella vulgaris]	EIE18942.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169], EIE18940.1 hypothetical protein COCSUDRAFT_68092 [Coccomyxa subellipsoidea C-169], EIE27460.1 hypothetical protein COCSUDRAFT_39124 [Coccomyxa subellipsoidea C-169]
OG0000025	KAI3436539.1 hypothetical protein D9Q98_005956 [Chlorella vulgaris]	EIE26260.1 hypothetical protein COCSUDRAFT_64410 [Coccomyxa subellipsoidea C-169], EIE20369.1 CheY-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000025	KAI3438452.1 hypothetical protein D9Q98_000881 [Chlorella vulgaris]	EIE20127.1 hypothetical protein COCSUDRAFT_57853 [Coccomyxa subellipsoidea C-169], EIE20396.1 hypothetical protein COCSUDRAFT_9894_ partial [Coccomyxa subellipsoidea C-169]
OG0000025	KAI3437773.1 hypothetical protein D9Q98_000220 [Chlorella vulgaris]	EIE27570.1 CheY-like protein [Coccomyxa subellipsoidea C-169]
OG0000026	KAI3427076.1 hypothetical protein D9Q98_007016 [Chlorella vulgaris]	EIE25754.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0000027	KAI3425130.1 hypothetical protein D9Q98_008902 [Chlorella vulgaris], KAI3430353.1 hypothetical protein D9Q98_004948 [Chlorella vulgaris], KAI3429894.1 hypothetical protein D9Q98_010205 [Chlorella vulgaris], KAI3429892.1 hypothetical protein D9Q98_010203 [Chlorella vulgaris]	EIE27191.1 hypothetical protein COCSUDRAFT_55214 [Coccomyxa subellipsoidea C-169]
OG0000028	KAI3430771.1 hypothetical protein D9Q98_009183 [Chlorella vulgaris], KAI3433783.1 hypothetical protein D9Q98_003588 [Chlorella vulgaris]	EIE21876.1 hypothetical protein COCSUDRAFT_56324 [Coccomyxa subellipsoidea C-169]
OG0000029	KAI3429477.1 hypothetical protein D9Q98_005568 [Chlorella vulgaris]	EIE24914.1 phosphoglycerate mutase-like protein [Coccomyxa subellipsoidea C-169]
OG0000031	KAI3435993.1 hypothetical protein D9Q98_002050 [Chlorella vulgaris], KAI3435991.1 hypothetical protein D9Q98_002048 [Chlorella vulgaris], KAI3435992.1 hypothetical protein D9Q98_002049 [Chlorella vulgaris]	EIE20028.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000031	KAI3424890.1 hypothetical protein D9Q98_008274 [Chlorella vulgaris]	EIE22263.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21560.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23726.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23180.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20610.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000031	KAI3438694.1 hypothetical protein D9Q98_001114 [Chlorella vulgaris]	EIE20244.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE25682.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20661.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21561.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19061.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19060.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19314.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000035	KAI3435762.1 hypothetical protein D9Q98_001820 [Chlorella vulgaris]	EIE21150.1 hypothetical protein COCSUDRAFT_18014 [Coccomyxa subellipsoidea C-169]
OG0000035	KAI3432775.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris], KAI3432777.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris], KAI3432776.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris]	EIE23299.1 hypothetical protein COCSUDRAFT_36731 [Coccomyxa subellipsoidea C-169], EIE26318.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE19204.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE20572.1 very-long-chain 3-ketoacyl-CoA synthase_ partial [Coccomyxa subellipsoidea C-169], EIE20573.1 hypothetical protein COCSUDRAFT_18466_ partial [Coccomyxa subellipsoidea C-169], EIE26289.1 hypothetical protein COCSUDRAFT_12451_ partial [Coccomyxa subellipsoidea C-169], EIE26326.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169]
OG0000036	KAI3426335.1 hypothetical protein D9Q98_008708 [Chlorella vulgaris], KAI3438918.1 hypothetical protein D9Q98_001332 [Chlorella vulgaris], KAI3431592.1 hypothetical protein D9Q98_004642 [Chlorella vulgaris], KAI3432747.1 hypothetical protein D9Q98_004288 [Chlorella vulgaris], KAI3434780.1 hypothetical protein D9Q98_002840 [Chlorella vulgaris], KAI3432748.1 hypothetical protein D9Q98_004289 [Chlorella vulgaris], KAI3431777.1 hypothetical protein D9Q98_010532 [Chlorella vulgaris], KAI3432880.1 hypothetical protein D9Q98_010463 [Chlorella vulgaris], KAI3432881.1 hypothetical protein D9Q98_010463 [Chlorella vulgaris]	EIE26066.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18360.1 hypothetical protein COCSUDRAFT_49303 [Coccomyxa subellipsoidea C-169], EIE27057.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22387.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26119.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000037	KAI3436635.1 hypothetical protein D9Q98_006051 [Chlorella vulgaris]	EIE23074.1 putative chlorophyll a/b-binding protein_ chloroplast precursor [Coccomyxa subellipsoidea C-169], EIE23838.1 hypothetical protein COCSUDRAFT_28488 [Coccomyxa subellipsoidea C-169]
OG0000037	KAI3435703.1 hypothetical protein D9Q98_001761 [Chlorella vulgaris], KAI3435702.1 hypothetical protein D9Q98_001760 [Chlorella vulgaris]	EIE19993.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169]
OG0000037	KAI3434541.1 hypothetical protein D9Q98_002614 [Chlorella vulgaris]	EIE26437.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26873.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26815.1 major light-harvesting complex II protein m10 [Coccomyxa subellipsoidea C-169]
OG0000038	KAI3428200.1 hypothetical protein D9Q98_006580 [Chlorella vulgaris], KAI3431710.1 hypothetical protein D9Q98_004755 [Chlorella vulgaris], KAI3427440.1 hypothetical protein D9Q98_010355 [Chlorella vulgaris], KAI3427437.1 hypothetical protein D9Q98_010352 [Chlorella vulgaris]	EIE20983.1 hypothetical protein COCSUDRAFT_43360 [Coccomyxa subellipsoidea C-169], EIE23576.1 hypothetical protein COCSUDRAFT_47351 [Coccomyxa subellipsoidea C-169], EIE27181.1 hypothetical protein COCSUDRAFT_45764 [Coccomyxa subellipsoidea C-169], EIE21077.1 hypothetical protein COCSUDRAFT_67068 [Coccomyxa subellipsoidea C-169], EIE23577.1 hypothetical protein COCSUDRAFT_41776 [Coccomyxa subellipsoidea C-169], EIE20154.1 hypothetical protein COCSUDRAFT_44111 [Coccomyxa subellipsoidea C-169]
OG0000038	KAI3423835.1 hypothetical protein D9Q98_009671 [Chlorella vulgaris], KAI3432241.1 hypothetical protein D9Q98_003802 [Chlorella vulgaris]	EIE22676.1 hypothetical protein COCSUDRAFT_66338 [Coccomyxa subellipsoidea C-169]
OG0000038	KAI3426374.1 hypothetical protein D9Q98_008746 [Chlorella vulgaris]	EIE26902.1 hypothetical protein COCSUDRAFT_64713 [Coccomyxa subellipsoidea C-169]
OG0000042	KAI3431269.1 hypothetical protein D9Q98_004330 [Chlorella vulgaris]	EIE25118.1 phosphate transporter [Coccomyxa subellipsoidea C-169], EIE21753.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000042	KAI3430490.1 hypothetical protein D9Q98_005085 [Chlorella vulgaris], KAI3429392.1 hypothetical protein D9Q98_005487 [Chlorella vulgaris]	EIE25112.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25102.1 phosphate transporter [Coccomyxa subellipsoidea C-169]
OG0000043	KAI3424774.1 hypothetical protein D9Q98_008162 [Chlorella vulgaris]	EIE20352.1 hypothetical protein COCSUDRAFT_83552 [Coccomyxa subellipsoidea C-169]
OG0000043	KAI3424775.1 hypothetical protein D9Q98_008163 [Chlorella vulgaris], KAI3426380.1 hypothetical protein D9Q98_008751 [Chlorella vulgaris]	EIE23320.1 hypothetical protein COCSUDRAFT_53571 [Coccomyxa subellipsoidea C-169], EIE23322.1 hypothetical protein COCSUDRAFT_928_ partial [Coccomyxa subellipsoidea C-169], EIE27126.1 hypothetical protein COCSUDRAFT_21230 [Coccomyxa subellipsoidea C-169], EIE21337.1 hypothetical protein COCSUDRAFT_56560 [Coccomyxa subellipsoidea C-169], EIE19743.1 hypothetical protein COCSUDRAFT_31111 [Coccomyxa subellipsoidea C-169], EIE26263.1 hypothetical protein COCSUDRAFT_64412 [Coccomyxa subellipsoidea C-169]
OG0000044	KAI3438166.1 hypothetical protein D9Q98_000603 [Chlorella vulgaris]	EIE27217.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0000044	KAI3424684.1 hypothetical protein D9Q98_008074 [Chlorella vulgaris], KAI3434824.1 hypothetical protein D9Q98_002880 [Chlorella vulgaris], KAI3424683.1 hypothetical protein D9Q98_008073 [Chlorella vulgaris]	EIE27609.1 hypothetical protein COCSUDRAFT_55605 [Coccomyxa subellipsoidea C-169]
OG0000046	KAI3433944.1 hypothetical protein D9Q98_003746 [Chlorella vulgaris], KAI3423962.1 hypothetical protein D9Q98_009796 [Chlorella vulgaris], KAI3427363.1 hypothetical protein D9Q98_010279 [Chlorella vulgaris], KAI3424711.1 hypothetical protein D9Q98_008100 [Chlorella vulgaris], KAI3429305.1 hypothetical protein D9Q98_005400 [Chlorella vulgaris]	EIE25620.1 hypothetical protein COCSUDRAFT_83627 [Coccomyxa subellipsoidea C-169]
OG0000048	KAI3427122.1 hypothetical protein D9Q98_007059 [Chlorella vulgaris], KAI3427123.1 hypothetical protein D9Q98_007060 [Chlorella vulgaris], KAI3427135.1 hypothetical protein D9Q98_007072 [Chlorella vulgaris], KAI3427121.1 hypothetical protein D9Q98_007058 [Chlorella vulgaris], KAI3426208.1 hypothetical protein D9Q98_008585 [Chlorella vulgaris], KAI3433673.1 hypothetical protein D9Q98_003482 [Chlorella vulgaris]	EIE25390.1 hypothetical protein COCSUDRAFT_40648 [Coccomyxa subellipsoidea C-169], EIE26410.1 hypothetical protein COCSUDRAFT_52327 [Coccomyxa subellipsoidea C-169], EIE25391.1 hypothetical protein COCSUDRAFT_65225 [Coccomyxa subellipsoidea C-169]
OG0000049	KAI3438841.1 hypothetical protein D9Q98_001258 [Chlorella vulgaris]	EIE23933.1 hypothetical protein COCSUDRAFT_62462 [Coccomyxa subellipsoidea C-169]
OG0000049	KAI3436640.1 hypothetical protein D9Q98_006056 [Chlorella vulgaris]	EIE24013.1 hypothetical protein COCSUDRAFT_65695 [Coccomyxa subellipsoidea C-169]
OG0000050	KAI3424312.1 hypothetical protein D9Q98_009865 [Chlorella vulgaris], KAI3425144.1 hypothetical protein D9Q98_008915 [Chlorella vulgaris], KAI3425150.1 hypothetical protein D9Q98_008921 [Chlorella vulgaris], KAI3425146.1 hypothetical protein D9Q98_008917 [Chlorella vulgaris], KAI3423972.1 hypothetical protein D9Q98_009806 [Chlorella vulgaris], KAI3434997.1 hypothetical protein D9Q98_003049 [Chlorella vulgaris], KAI3426349.1 hypothetical protein D9Q98_008722 [Chlorella vulgaris], KAI3434870.1 hypothetical protein D9Q98_002924 [Chlorella vulgaris], KAI3424164.1 hypothetical protein D9Q98_009523 [Chlorella vulgaris], KAI3427099.1 hypothetical protein D9Q98_007038 [Chlorella vulgaris]	EIE19187.1 UPF0187-domain-containing protein [Coccomyxa subellipsoidea C-169]
