Orthogroup	Scenedesmus_NREL	Chlorella_KRBP
OG0000126	KAF6255491.1 hypothetical protein COO60DRAFT_1535137 [Scenedesmus sp. NREL 46B-D3], KAF6259992.1 hypothetical protein COO60DRAFT_938415 [Scenedesmus sp. NREL 46B-D3], KAF6255492.1 sulfolipid synthase [Scenedesmus sp. NREL 46B-D3]	QAXK01000372.1_2577-4525
OG0000128	KAF6259601.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6259600.1 hypothetical protein COO60DRAFT_1638280 [Scenedesmus sp. NREL 46B-D3]	QAXK01009125.1_10140-8059
OG0000137	KAF6266779.1 hypothetical protein COO60DRAFT_1473461 [Scenedesmus sp. NREL 46B-D3], KAF6266778.1 hypothetical protein COO60DRAFT_13571 [Scenedesmus sp. NREL 46B-D3], KAF6252752.1 hypothetical protein COO60DRAFT_502919 [Scenedesmus sp. NREL 46B-D3], KAF6253014.1 hypothetical protein COO60DRAFT_1670477 [Scenedesmus sp. NREL 46B-D3]	QAXK01002137.1_9267-10854
OG0000152	KAF6252116.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254693.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6257891.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253092.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260961.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01008299.1_4185-5535
OG0000163	KAF6262567.1 ARF-like small GTPase [Scenedesmus sp. NREL 46B-D3], KAF6252648.1 ARF/SAR superfamily small monomeric GTP binding protein [Scenedesmus sp. NREL 46B-D3], KAF6259562.1 ADP-ribosylation factor family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01013733.1_9353-8061
OG0000165	KAF6251611.1 ClpP/crotonase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251613.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6259839.1 hypothetical protein COO60DRAFT_964545 [Scenedesmus sp. NREL 46B-D3], KAF6259838.1 hypothetical protein COO60DRAFT_964543 [Scenedesmus sp. NREL 46B-D3]	QAXK01004609.1_12369-13533
OG0000175	KAF6259553.1 ribosomal protein L9 component of cytosolic 80S ribosome and 60S large subunit [Scenedesmus sp. NREL 46B-D3], KAF6259738.1 Mechanosensitive ion channel-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256732.1 hypothetical protein COO60DRAFT_1461548 [Scenedesmus sp. NREL 46B-D3]	QAXK01006319.1_3560-2355
OG0000177	KAF6252768.1 hypothetical protein COO60DRAFT_1628454 [Scenedesmus sp. NREL 46B-D3], KAF6266246.1 hypothetical protein COO60DRAFT_1470052 [Scenedesmus sp. NREL 46B-D3], KAF6252766.1 hypothetical protein COO60DRAFT_1643727 [Scenedesmus sp. NREL 46B-D3]	QAXK01000575.1_15675-16655
OG0000187	KAF6259491.1 DNA repair metallo-beta-lactamase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259490.1 ATP-dependent DNA ligase [Scenedesmus sp. NREL 46B-D3], KAF6259489.1 putative DNA ligase [Scenedesmus sp. NREL 46B-D3], KAF6253198.1 ATP-dependent DNA ligase [Scenedesmus sp. NREL 46B-D3]	QAXK01014854.1_51-3845
OG0000189	KAF6261506.1 ATPvL1m [Scenedesmus sp. NREL 46B-D3], KAF6254779.1 PAP2 superfamily C-terminal-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01000217.1_14674-15859
OG0000192	KAF6256084.1 cyclin-dependent kinase 1 [Scenedesmus sp. NREL 46B-D3]	QAXK01001504.1_2221-4972
OG0000199	KAF6257908.1 hypothetical protein COO60DRAFT_1176070 [Scenedesmus sp. NREL 46B-D3]	QAXK01013035.1_1945-4404
OG0000199	KAF6259718.1 hypothetical protein COO60DRAFT_1700679 [Scenedesmus sp. NREL 46B-D3], KAF6259716.1 hypothetical protein COO60DRAFT_1511685 [Scenedesmus sp. NREL 46B-D3]	QAXK01010173.1_3319-5256
OG0000201	KAF6257784.1 RNA helicase_ activating signal cointegrator 1 [Scenedesmus sp. NREL 46B-D3], KAF6239466.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Scenedesmus sp. NREL 46B-D3]	QAXK01000736.1_9467-8726
OG0000207	KAF6251648.1 glycosyl transferase [Scenedesmus sp. NREL 46B-D3]	QAXK01001786.1_12609-11430
OG0000215	KAF6250982.1 hypothetical protein COO60DRAFT_704582 [Scenedesmus sp. NREL 46B-D3]	QAXK01013809.1_3869-6090
OG0000217	KAF6255849.1 hypothetical protein COO60DRAFT_167760 [Scenedesmus sp. NREL 46B-D3], KAF6263151.1 hypothetical protein COO60DRAFT_1293128 [Scenedesmus sp. NREL 46B-D3]	QAXK01003927.1_26651-24094
OG0000222	KAF6266750.1 ClpP/crotonase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266749.1 GDP-L-fucose synthetase [Scenedesmus sp. NREL 46B-D3], KAF6265501.1 RmlC-like cupin domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259281.1 RmlC-like cupin domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01005046.1_1470-3041
OG0000225	KAF6251373.1 hypothetical protein COO60DRAFT_1704859 [Scenedesmus sp. NREL 46B-D3], KAF6259171.1 hypothetical protein COO60DRAFT_1047098 [Scenedesmus sp. NREL 46B-D3], KAF6251376.1 hypothetical protein COO60DRAFT_1704861 [Scenedesmus sp. NREL 46B-D3]	QAXK01000132.1_14211-8944
OG0000226	KAF6266041.1 hypothetical protein COO60DRAFT_640239 [Scenedesmus sp. NREL 46B-D3], KAF6256557.1 HAD-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01001147.1_264-2985
OG0000234	KAF6259762.1 eukaryotic initiation factor 4A _ATP-dependent RNA helicase eIF4A_ [Scenedesmus sp. NREL 46B-D3]	QAXK01001703.1_3693-800
OG0000234	KAF6254290.1 DEAD-box ATP-dependent RNA helicase 2-like protein [Scenedesmus sp. NREL 46B-D3]	QAXK01001715.1_46567-44103
OG0000243	KAF6256564.1 KRI1-like family C-terminal-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256563.1 vitamin B12 dependent methionine synthase [Scenedesmus sp. NREL 46B-D3]	QAXK01017572.1_4284-1659
OG0000255	KAF6265959.1 mitochondrial inner membrane signal peptidase [Scenedesmus sp. NREL 46B-D3], KAF6259925.1 mitochondrial inner membrane signal peptidase [Scenedesmus sp. NREL 46B-D3]	QAXK01003493.1_20875-19869
OG0000256	KAF6253140.1 hypothetical protein COO60DRAFT_465048 [Scenedesmus sp. NREL 46B-D3], KAF6264364.1 hypothetical protein COO60DRAFT_1698391 [Scenedesmus sp. NREL 46B-D3]	QAXK01000928.1_4721-1230
OG0000260	KAF6261620.1 UbiA prenyltransferase family [Scenedesmus sp. NREL 46B-D3], KAF6261618.1 hypothetical protein COO60DRAFT_742444 [Scenedesmus sp. NREL 46B-D3], KAF6262710.1 hypothetical protein COO60DRAFT_1624864 [Scenedesmus sp. NREL 46B-D3], KAF6262711.1 hypothetical protein COO60DRAFT_1293310 [Scenedesmus sp. NREL 46B-D3]	QAXK01007811.1_6343-7669
OG0000262	KAF6252317.1 formate-tetrahydrofolate ligase [Scenedesmus sp. NREL 46B-D3], KAF6256327.1 hypothetical protein COO60DRAFT_1702395 [Scenedesmus sp. NREL 46B-D3], KAF6251003.1 hypothetical protein COO60DRAFT_1645666 [Scenedesmus sp. NREL 46B-D3], KAF6255554.1 hypothetical protein COO60DRAFT_1534327 [Scenedesmus sp. NREL 46B-D3], KAF6250525.1 component of oligomeric golgi complex 4_ partial [Scenedesmus sp. NREL 46B-D3]	QAXK01001305.1_3092-9737
OG0000268	KAF6258185.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3], KAF6258184.1 phosphatase 2C-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01007959.1_4344-7510
OG0000269	KAF6254813.1 hypothetical protein COO60DRAFT_282105 [Scenedesmus sp. NREL 46B-D3], KAF6253061.1 scamp family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264121.1 scamp family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254832.1 hypothetical protein COO60DRAFT_283071 [Scenedesmus sp. NREL 46B-D3]	QAXK01000159.1_2526-4128
OG0000276	KAF6256473.1 hypothetical protein COO60DRAFT_1702335 [Scenedesmus sp. NREL 46B-D3], KAF6258440.1 hypothetical protein COO60DRAFT_1639124 [Scenedesmus sp. NREL 46B-D3], KAF6261834.1 hypothetical protein COO60DRAFT_725775 [Scenedesmus sp. NREL 46B-D3], KAF6261833.1 hypothetical protein COO60DRAFT_725809 [Scenedesmus sp. NREL 46B-D3], KAF6266662.1 ankyrin repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	QAXK01013106.1_2869-3857
OG0000290	KAF6256341.1 hypothetical protein COO60DRAFT_120150 [Scenedesmus sp. NREL 46B-D3], KAF6266475.1 peptidase family M1-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266735.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	QAXK01007708.1_8045-6769
OG0000293	KAF6259679.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01000427.1_18710-23853
OG0000297	KAF6252055.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260837.1 sialin [Scenedesmus sp. NREL 46B-D3]	QAXK01003382.1_7730-10683
OG0000298	KAF6263169.1 hypothetical protein COO60DRAFT_511779 [Scenedesmus sp. NREL 46B-D3], KAF6257416.1 hypothetical protein COO60DRAFT_1226594 [Scenedesmus sp. NREL 46B-D3], KAF6264183.1 iron hydrogenase [Scenedesmus sp. NREL 46B-D3]	QAXK01006215.1_8306-11634
OG0000299	KAF6250930.1 hypothetical protein COO60DRAFT_1645765 [Scenedesmus sp. NREL 46B-D3], KAF6265100.1 MAP kinase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6265107.1 hypothetical protein COO60DRAFT_1697955 [Scenedesmus sp. NREL 46B-D3], KAF6258441.1 JAB1/Mov34/MPN/PAD-1 ubiquitin protease-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01000488.1_8485-5165
OG0000300	KAF6260239.1 inorganic pyrophosphatase precursor [Scenedesmus sp. NREL 46B-D3], KAF6260241.1 hypothetical protein COO60DRAFT_917990 [Scenedesmus sp. NREL 46B-D3]	QAXK01000495.1_4618-6885
OG0000301	KAF6260690.1 PHM/PNGase F domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260689.1 hypothetical protein COO60DRAFT_1294224 [Scenedesmus sp. NREL 46B-D3], KAF6253795.1 hypothetical protein COO60DRAFT_389579 [Scenedesmus sp. NREL 46B-D3]	QAXK01005324.1_4296-8149
OG0000302	KAF6262826.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6261897.1 cell division cycle protein 48 [Scenedesmus sp. NREL 46B-D3]	QAXK01009146.1_0-3841
OG0000304	KAF6266399.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6256538.1 hypothetical protein COO60DRAFT_1640613 [Scenedesmus sp. NREL 46B-D3], KAF6259325.1 hypothetical protein COO60DRAFT_1014637 [Scenedesmus sp. NREL 46B-D3]	QAXK01014492.1_877-182
OG0000315	KAF6251725.1 R1 protein [Scenedesmus sp. NREL 46B-D3], KAF6251726.1 eukaryotic initiation factor [Scenedesmus sp. NREL 46B-D3]	QAXK01002353.1_19232-23410
OG0000316	KAF6262133.1 6-phosphogluconate dehydrogenase [Scenedesmus sp. NREL 46B-D3], KAF6256549.1 XRN 5'-3' exonuclease N-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01003905.1_19782-15375
OG0000317	KAF6256363.1 26S proteasome regulatory complex [Scenedesmus sp. NREL 46B-D3], KAF6262077.1 26S proteasome regulatory subunit [Scenedesmus sp. NREL 46B-D3]	QAXK01008437.1_3645-238
OG0000320	KAF6259471.1 Arginase/deacetylase [Scenedesmus sp. NREL 46B-D3], KAF6257482.1 Arginase/deacetylase [Scenedesmus sp. NREL 46B-D3], KAF6257480.1 Flavokinase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01008510.1_15994-20405
OG0000321	KAF6262334.1 AP complex_ mu/sigma subunit [Scenedesmus sp. NREL 46B-D3], KAF6264873.1 putative clathrin coat assembly protein [Scenedesmus sp. NREL 46B-D3]	QAXK01000378.1_25585-26545
OG0000340	KAF6257731.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6257735.1 ferrochelatase [Scenedesmus sp. NREL 46B-D3]	QAXK01005276.1_5688-3058
OG0000352	KAF6252061.1 Rieske [2Fe-2S] iron-sulfur domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255246.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3], KAF6252597.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3]	QAXK01000899.1_7462-5804
OG0000353	KAF6264048.1 Isy1-like splicing factor [Scenedesmus sp. NREL 46B-D3], KAF6253220.1 WD40 repeat-like protein [Scenedesmus sp. NREL 46B-D3], KAF6247242.1 WD40 repeat-like protein_ partial [Scenedesmus sp. NREL 46B-D3]	QAXK01000970.1_11060-12297
OG0000355	KAF6261365.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257415.1 ubiquitin elongating factor core-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01000575.1_38061-33279
OG0000356	KAF6253021.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6264188.1 DEAD-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01001458.1_25468-28021
OG0000362	KAF6257186.1 Serine/threonine protein kinase 38-like protein [Scenedesmus sp. NREL 46B-D3]	QAXK01002504.1_1584-235
OG0000372	KAF6262399.1 Pescadillo N-terminus-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261229.1 hypothetical protein COO60DRAFT_1621869 [Scenedesmus sp. NREL 46B-D3]	QAXK01000007.1_3483-1851
OG0000374	KAF6265961.1 hypothetical protein COO60DRAFT_771840 [Scenedesmus sp. NREL 46B-D3], KAF6265935.1 shikimate kinase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255076.1 NADH_ubiquinone oxidoreductase 76 kDa subunit [Scenedesmus sp. NREL 46B-D3]	QAXK01001576.1_25385-29462
OG0000375	KAF6263856.1 CBF/Mak21 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262971.1 4-aminobutyrate aminotransferase [Scenedesmus sp. NREL 46B-D3]	QAXK01008707.1_239-2925
OG0000383	KAF6256586.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264115.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6232856.1 chloride channel [Scenedesmus sp. NREL 46B-D3]	QAXK01011194.1_5918-9002
OG0000390	KAF6266773.1 hypothetical protein COO60DRAFT_1621378 [Scenedesmus sp. NREL 46B-D3]	QAXK01005078.1_1174-132
OG0000390	KAF6248357.1 radical SAM enzyme [Scenedesmus sp. NREL 46B-D3], KAF6249263.1 hypothetical protein COO60DRAFT_985055 [Scenedesmus sp. NREL 46B-D3]	QAXK01003294.1_6337-3495
OG0000394	KAF6263084.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3], KAF6263083.1 nucleoside phosphatase GDA1/CD39 [Scenedesmus sp. NREL 46B-D3], KAF6260856.1 nucleoside phosphatase family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01008702.1_3083-212
OG0000408	KAF6263152.1 SE-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266502.1 tRNA synthetases class I _R_-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01003094.1_1529-6518
OG0000412	KAF6253511.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6253528.1 hypothetical protein COO60DRAFT_408782 [Scenedesmus sp. NREL 46B-D3], KAF6259239.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	QAXK01007672.1_3589-1228
OG0000417	KAF6259459.1 kinase phosphorylation protein-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]	QAXK01003046.1_10052-9637
OG0000418	KAF6252523.1 hypothetical protein COO60DRAFT_1471478 [Scenedesmus sp. NREL 46B-D3], KAF6262260.1 membrane AAA-metalloprotease [Scenedesmus sp. NREL 46B-D3]	QAXK01005097.1_6985-2749
OG0000431	KAF6260591.1 allophanate hydrolase subunit 2-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261061.1 hypothetical protein COO60DRAFT_1637104 [Scenedesmus sp. NREL 46B-D3], KAF6254124.1 hypothetical protein COO60DRAFT_352275 [Scenedesmus sp. NREL 46B-D3]	QAXK01001330.1_10692-5073
OG0000443	KAF6262054.1 chorismate mutase [Scenedesmus sp. NREL 46B-D3], KAF6239459.1 chorismate mutase [Scenedesmus sp. NREL 46B-D3]	QAXK01002390.1_2379-454
OG0000446	KAF6258032.1 hypothetical protein COO60DRAFT_1693831 [Scenedesmus sp. NREL 46B-D3], KAF6258033.1 hypothetical protein COO60DRAFT_1701513 [Scenedesmus sp. NREL 46B-D3], KAF6258448.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	QAXK01006391.1_1754-3793
OG0000449	KAF6265130.1 hypothetical protein COO60DRAFT_1116784 [Scenedesmus sp. NREL 46B-D3], KAF6256020.1 hypothetical protein COO60DRAFT_1641046 [Scenedesmus sp. NREL 46B-D3]	QAXK01017753.1_1728-436
OG0000452	KAF6253437.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6258428.1 component of the ESCRT-III complex [Scenedesmus sp. NREL 46B-D3]	QAXK01003135.1_2479-16
OG0000455	KAF6258914.1 magnesium protoporphyrin IX S-adenosyl methionine O-methyl transferase chloroplast precursor [Scenedesmus sp. NREL 46B-D3], KAF6264410.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	QAXK01015054.1_2845-4309
OG0000468	KAF6266086.1 ras family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01006097.1_2371-905
OG0000470	KAF6264278.1 pseudouridine synthase [Scenedesmus sp. NREL 46B-D3], KAF6264279.1 hypothetical protein COO60DRAFT_1281825 [Scenedesmus sp. NREL 46B-D3]	QAXK01000050.1_24428-29981
OG0000471	KAF6264464.1 histone chaperone [Scenedesmus sp. NREL 46B-D3], KAF6252498.1 hTAFII28-like protein conserved region-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264461.1 hypothetical protein COO60DRAFT_1484576 [Scenedesmus sp. NREL 46B-D3], KAF6264462.1 hypothetical protein COO60DRAFT_126418 [Scenedesmus sp. NREL 46B-D3]	QAXK01001670.1_7180-6388
OG0000474	KAF6264185.1 hypothetical protein COO60DRAFT_223547 [Scenedesmus sp. NREL 46B-D3]	QAXK01000042.1_28045-28765
OG0000479	KAF6260988.1 hypothetical protein COO60DRAFT_1700073 [Scenedesmus sp. NREL 46B-D3], KAF6256903.1 sister chromatid cohesion protein Dcc1 [Scenedesmus sp. NREL 46B-D3], KAF6256884.1 hypothetical protein COO60DRAFT_57976 [Scenedesmus sp. NREL 46B-D3]	QAXK01004028.1_58546-56431
OG0000499	KAF6258970.1 hypothetical protein COO60DRAFT_1470849 [Scenedesmus sp. NREL 46B-D3], KAF6262532.1 hypothetical protein COO60DRAFT_1699247 [Scenedesmus sp. NREL 46B-D3], KAF6258971.1 hypothetical protein COO60DRAFT_1059082 [Scenedesmus sp. NREL 46B-D3], KAF6262531.1 hypothetical protein COO60DRAFT_1635883 [Scenedesmus sp. NREL 46B-D3]	QAXK01009964.1_53-2582
OG0000501	KAF6255578.1 DHHC palmitoyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01015180.1_1811-4048
OG0000501	KAF6262126.1 hypothetical protein COO60DRAFT_1282794 [Scenedesmus sp. NREL 46B-D3]	QAXK01019765.1_356-165
OG0000506	KAF6261270.1 hypothetical protein COO60DRAFT_1699952 [Scenedesmus sp. NREL 46B-D3], KAF6250372.1 hypothetical protein COO60DRAFT_1629876 [Scenedesmus sp. NREL 46B-D3]	QAXK01002250.1_1739-4040
OG0000512	KAF6263857.1 gamma-glutamylcysteine synthetase [Scenedesmus sp. NREL 46B-D3], KAF6257896.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	QAXK01000565.1_7520-10250
OG0000517	KAF6249280.1 hypothetical protein COO60DRAFT_1706583 [Scenedesmus sp. NREL 46B-D3], KAF6263624.1 hypothetical protein COO60DRAFT_378802 [Scenedesmus sp. NREL 46B-D3]	QAXK01001595.1_3107-7081
OG0000519	KAF6261511.1 TPR-like protein [Scenedesmus sp. NREL 46B-D3], KAF6261512.1 N-myristoyl transferase [Scenedesmus sp. NREL 46B-D3]	QAXK01004538.1_836-4145
OG0000520	KAF6254643.1 3-oxo-5-alpha-steroid 4-dehydrogenase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254640.1 hypothetical protein COO60DRAFT_1664290 [Scenedesmus sp. NREL 46B-D3], KAF6263055.1 ribosomal protein S27a-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01002274.1_7306-5678
OG0000521	KAF6252631.1 hypothetical protein COO60DRAFT_1274199_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263950.1 cysteine proteinase [Scenedesmus sp. NREL 46B-D3], KAF6260287.1 surface antigen-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01000876.1_25410-28882
OG0000522	KAF6260667.1 succinate dehydrogenase subunit b560 [Scenedesmus sp. NREL 46B-D3]	QAXK01010222.1_2855-4006
