Orthogroup	Micractinium_SAG24180	Chlorella_Vulgaris2111P
OG0000003	PSC73416.1 hypothetical protein C2E20_3417 [Micractinium conductrix], PSC75050.1 hypothetical protein C2E20_1732 [Micractinium conductrix]	KAI3430596.1 hypothetical protein D9Q98_005189 [Chlorella vulgaris]
OG0000003	PSC68081.1 hypothetical protein C2E20_8267 [Micractinium conductrix]	KAI3428300.1 hypothetical protein D9Q98_006679 [Chlorella vulgaris]
OG0000003	PSC68179.1 Acyl-coenzyme A thioesterase THEM4 isoform B [Micractinium conductrix], PSC68178.1 Acyl-coenzyme A thioesterase THEM4 isoform A [Micractinium conductrix]	KAI3429368.1 hypothetical protein D9Q98_005463 [Chlorella vulgaris], KAI3429367.1 hypothetical protein D9Q98_005462 [Chlorella vulgaris]
OG0000003	PSC72893.1 photosystem II reaction cent isoform B [Micractinium conductrix], PSC72894.1 photosystem II reaction cent isoform A [Micractinium conductrix]	KAI3436557.1 hypothetical protein D9Q98_005973 [Chlorella vulgaris]
OG0000003	PSC68096.1 hypothetical protein C2E20_8274 [Micractinium conductrix], PSC75343.1 hypothetical protein C2E20_1137 [Micractinium conductrix]	KAI3428290.1 hypothetical protein D9Q98_006669 [Chlorella vulgaris]
OG0000004	PSC71250.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC71709.1 squamosa promoter-binding 9 [Micractinium conductrix]	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris]
OG0000004	PSC72580.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC69133.1 squamosa promoter-binding 7 isoform B [Micractinium conductrix], PSC69134.1 squamosa promoter-binding 7 isoform C [Micractinium conductrix], PSC69132.1 squamosa promoter-binding 7 isoform A [Micractinium conductrix]	KAI3424143.1 hypothetical protein D9Q98_009503 [Chlorella vulgaris], KAI3424061.1 hypothetical protein D9Q98_009424 [Chlorella vulgaris]
OG0000004	PSC69137.1 squamosa promoter binding [Micractinium conductrix], PSC71981.1 squamosa promoter binding [Micractinium conductrix]	KAI3425342.1 hypothetical protein D9Q98_009106 [Chlorella vulgaris]
OG0000004	PSC74766.1 squamosa promoter-binding 16 [Micractinium conductrix], PSC74759.1 copper responsive regulator 1 [Micractinium conductrix]	KAI3424328.1 hypothetical protein D9Q98_009881 [Chlorella vulgaris]
OG0000004	PSC74248.1 squamosa promoter-binding 6 isoform X1 [Micractinium conductrix]	KAI3424155.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris], KAI3424156.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris]
OG0000004	PSC71707.1 squamosa promoter-binding 15 [Micractinium conductrix]	KAI3430979.1 hypothetical protein D9Q98_009383 [Chlorella vulgaris]
OG0000004	PSC69488.1 Squamosa promoter-binding 11 [Micractinium conductrix]	KAI3437765.1 hypothetical protein D9Q98_000212 [Chlorella vulgaris]
OG0000004	PSC68456.1 squamosa promoter binding [Micractinium conductrix]	KAI3427434.1 hypothetical protein D9Q98_010349 [Chlorella vulgaris]
OG0000005	PSC71167.1 Histone H2A [Micractinium conductrix], PSC72168.1 Histone H2A [Micractinium conductrix], PSC72080.1 Histone H2A [Micractinium conductrix], PSC72210.1 Histone H2A [Micractinium conductrix], PSC72098.1 Histone H2A [Micractinium conductrix], PSC72071.1 Histone H2A [Micractinium conductrix], PSC68321.1 Histone H2A [Micractinium conductrix], PSC71227.1 Histone H2A [Micractinium conductrix], PSC68329.1 Histone H2A [Micractinium conductrix], PSC71104.1 Histone H2A [Micractinium conductrix], PSC71088.1 Histone H2A [Micractinium conductrix], PSC72221.1 Histone H2A [Micractinium conductrix]	KAI3424375.1 hypothetical protein D9Q98_009928 [Chlorella vulgaris], KAI3424432.1 hypothetical protein D9Q98_009984 [Chlorella vulgaris], KAI3424402.1 hypothetical protein D9Q98_009955 [Chlorella vulgaris], KAI3428571.1 hypothetical protein D9Q98_007393 [Chlorella vulgaris], KAI3424353.1 hypothetical protein D9Q98_009906 [Chlorella vulgaris], KAI3424410.1 hypothetical protein D9Q98_009962 [Chlorella vulgaris], KAI3424383.1 hypothetical protein D9Q98_009936 [Chlorella vulgaris], KAI3428592.1 hypothetical protein D9Q98_007415 [Chlorella vulgaris]
OG0000005	PSC69436.1 Histone H2A [Micractinium conductrix]	KAI3429597.1 hypothetical protein D9Q98_005683 [Chlorella vulgaris]
OG0000006	PSC74167.1 Serine threonine-kinase CTR1 [Micractinium conductrix]	KAI3428490.1 hypothetical protein D9Q98_007315 [Chlorella vulgaris]
OG0000006	PSC72144.1 kinase [Micractinium conductrix]	KAI3438102.1 hypothetical protein D9Q98_000544 [Chlorella vulgaris]
OG0000006	PSC74168.1 Serine threonine-kinase CTR1 [Micractinium conductrix]	KAI3427397.1 hypothetical protein D9Q98_010312 [Chlorella vulgaris]
OG0000006	PSC69274.1 Serine threonine-kinase CTR1 [Micractinium conductrix]	KAI3430255.1 hypothetical protein D9Q98_004851 [Chlorella vulgaris]
OG0000006	PSC70242.1 Serine threonine-kinase CTR1 [Micractinium conductrix]	KAI3425961.1 hypothetical protein D9Q98_007931 [Chlorella vulgaris]
OG0000007	PSC69424.1 histone H2B [Micractinium conductrix], PSC75933.1 Histone [Micractinium conductrix], PSC73921.1 Histone [Micractinium conductrix], PSC71210.1 Histone [Micractinium conductrix], PSC72154.1 Histone [Micractinium conductrix], PSC71158.1 Histone [Micractinium conductrix], PSC72107.1 Histone [Micractinium conductrix], PSC72209.1 Histone [Micractinium conductrix], PSC72316.1 Histone [Micractinium conductrix], PSC71283.1 Histone [Micractinium conductrix], PSC68365.1 Histone [Micractinium conductrix], PSC68331.1 Histone [Micractinium conductrix], PSC72134.1 Histone [Micractinium conductrix], PSC72315.1 Histone [Micractinium conductrix]	KAI3424352.1 hypothetical protein D9Q98_009905 [Chlorella vulgaris], KAI3424382.1 hypothetical protein D9Q98_009935 [Chlorella vulgaris], KAI3424433.1 hypothetical protein D9Q98_009985 [Chlorella vulgaris], KAI3424411.1 hypothetical protein D9Q98_009963 [Chlorella vulgaris], KAI3424401.1 hypothetical protein D9Q98_009954 [Chlorella vulgaris], KAI3424376.1 hypothetical protein D9Q98_009929 [Chlorella vulgaris], KAI3428572.1 hypothetical protein D9Q98_007394 [Chlorella vulgaris], KAI3428591.1 hypothetical protein D9Q98_007414 [Chlorella vulgaris]
OG0000008	PSC68336.1 Histone H4 [Micractinium conductrix]	KAI3424399.1 hypothetical protein D9Q98_009952 [Chlorella vulgaris]
OG0000008	PSC72060.1 Histone H4 [Micractinium conductrix]	KAI3433952.1 hypothetical protein D9Q98_003754 [Chlorella vulgaris]
OG0000008	PSC71092.1 Histone H4 [Micractinium conductrix]	KAI3433958.1 hypothetical protein D9Q98_003760 [Chlorella vulgaris]
OG0000008	PSC72277.1 Histone H4 [Micractinium conductrix]	KAI3424413.1 hypothetical protein D9Q98_009965 [Chlorella vulgaris]
OG0000008	PSC74522.1 Histone H4 [Micractinium conductrix]	KAI3428056.1 hypothetical protein D9Q98_006441 [Chlorella vulgaris]
OG0000009	PSC73088.1 Polysaccharide deacetylase domain-containing [Micractinium conductrix]	KAI3424387.1 hypothetical protein D9Q98_009940 [Chlorella vulgaris]
OG0000009	PSC70814.1 polysaccharide deacetylase [Micractinium conductrix]	KAI3437895.1 hypothetical protein D9Q98_000340 [Chlorella vulgaris]
OG0000009	PSC71479.1 polysaccharide deacetylase [Micractinium conductrix]	KAI3436790.1 hypothetical protein D9Q98_006201 [Chlorella vulgaris]
OG0000009	PSC76360.1 Polysaccharide deacetylase domain-containing [Micractinium conductrix]	KAI3431358.1 hypothetical protein D9Q98_004415 [Chlorella vulgaris]
OG0000009	PSC69105.1 hypothetical protein C2E20_7356 [Micractinium conductrix]	KAI3430404.1 hypothetical protein D9Q98_004999 [Chlorella vulgaris], KAI3426190.1 hypothetical protein D9Q98_008567 [Chlorella vulgaris]
OG0000009	PSC74206.1 left border a [Micractinium conductrix]	KAI3424242.1 hypothetical protein D9Q98_009598 [Chlorella vulgaris]
OG0000009	PSC77048.1 polysaccharide deacetylase [Micractinium conductrix]	KAI3438445.1 hypothetical protein D9Q98_000875 [Chlorella vulgaris]
OG0000009	PSC74790.1 hypothetical protein C2E20_2386 [Micractinium conductrix]	KAI3433743.1 hypothetical protein D9Q98_003550 [Chlorella vulgaris]
OG0000009	PSC67809.1 ribonucleases P MRP subunit POP1 [Micractinium conductrix], PSC75877.1 left border a [Micractinium conductrix]	KAI3438951.1 hypothetical protein D9Q98_001365 [Chlorella vulgaris]
OG0000011	PSC76957.1 kinase [Micractinium conductrix], PSC69706.1 kinase [Micractinium conductrix], PSC69656.1 kinase [Micractinium conductrix], PSC72637.1 kinase [Micractinium conductrix]	KAI3436536.1 hypothetical protein D9Q98_005953 [Chlorella vulgaris], KAI3436537.1 hypothetical protein D9Q98_005954 [Chlorella vulgaris]
OG0000012	PSC72203.1 histone H3 [Micractinium conductrix]	KAI3424355.1 hypothetical protein D9Q98_009908 [Chlorella vulgaris]
OG0000012	PSC72265.1 histone H3 [Micractinium conductrix]	KAI3428574.1 hypothetical protein D9Q98_007396 [Chlorella vulgaris]
OG0000012	PSC72335.1 histone H3 [Micractinium conductrix]	KAI3428589.1 hypothetical protein D9Q98_007412 [Chlorella vulgaris]
OG0000012	PSC72176.1 histone H3 [Micractinium conductrix]	KAI3424398.1 hypothetical protein D9Q98_009951 [Chlorella vulgaris]
OG0000012	PSC71329.1 histone H3 [Micractinium conductrix]	KAI3424397.1 hypothetical protein D9Q98_009950 [Chlorella vulgaris]
OG0000013	PSC70880.1 sulfur stress regulator [Micractinium conductrix]	KAI3426414.1 hypothetical protein D9Q98_008783 [Chlorella vulgaris]
OG0000013	PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix]	KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris]
OG0000013	PSC74495.1 sulfur stress regulator [Micractinium conductrix]	KAI3438617.1 hypothetical protein D9Q98_001040 [Chlorella vulgaris], KAI3438616.1 hypothetical protein D9Q98_001039 [Chlorella vulgaris]
OG0000013	PSC74454.1 sulfur stress regulator [Micractinium conductrix]	KAI3429786.1 hypothetical protein D9Q98_010099 [Chlorella vulgaris]
OG0000014	PSC69049.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]	KAI3436474.1 hypothetical protein D9Q98_005891 [Chlorella vulgaris]
OG0000014	PSC68358.1 peptidyl-prolyl cis-trans isomerase CYP19-3 [Micractinium conductrix]	KAI3435791.1 hypothetical protein D9Q98_001849 [Chlorella vulgaris]
OG0000014	PSC73928.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]	KAI3424803.1 hypothetical protein D9Q98_008189 [Chlorella vulgaris]
OG0000014	PSC72208.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Micractinium conductrix]	KAI3438190.1 hypothetical protein D9Q98_000627 [Chlorella vulgaris]
OG0000014	PSC76028.1 peptidyl-prolyl cis-trans cyclophilin-type [Micractinium conductrix]	KAI3433293.1 hypothetical protein D9Q98_003112 [Chlorella vulgaris]
OG0000014	PSC76324.1 peptidyl-prolyl cis-trans isomerase B [Micractinium conductrix]	KAI3438732.1 hypothetical protein D9Q98_001152 [Chlorella vulgaris]
OG0000014	PSC72104.1 photosynthetic NDH subunit of lumenal location chloroplastic [Micractinium conductrix]	KAI3438240.1 hypothetical protein D9Q98_000677 [Chlorella vulgaris]
