Orthogroup	Micractinium_SAG24180	Scenedesmus_PABB004
OG0000011	PSC76957.1 kinase [Micractinium conductrix], PSC69706.1 kinase [Micractinium conductrix], PSC69656.1 kinase [Micractinium conductrix], PSC72637.1 kinase [Micractinium conductrix]	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]
OG0000012	PSC72203.1 histone H3 [Micractinium conductrix]	KAF8069656.1 histone H3 [Scenedesmus sp. PABB004], KAF8069687.1 histone H3 [Scenedesmus sp. PABB004]
OG0000012	PSC72265.1 histone H3 [Micractinium conductrix], PSC72335.1 histone H3 [Micractinium conductrix]	KAF8069674.1 histone H3 [Scenedesmus sp. PABB004]
OG0000013	PSC70880.1 sulfur stress regulator [Micractinium conductrix]	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]
OG0000013	PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix]	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]
OG0000014	PSC68358.1 peptidyl-prolyl cis-trans isomerase CYP19-3 [Micractinium conductrix]	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]
OG0000014	PSC73928.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]
OG0000014	PSC72208.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Micractinium conductrix]	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]
OG0000014	PSC76028.1 peptidyl-prolyl cis-trans cyclophilin-type [Micractinium conductrix]	KAF8066173.1 hypothetical protein HT031_002495 [Scenedesmus sp. PABB004]
OG0000014	PSC76324.1 peptidyl-prolyl cis-trans isomerase B [Micractinium conductrix], PSC72104.1 photosynthetic NDH subunit of lumenal location chloroplastic [Micractinium conductrix]	KAF8056125.1 Ppib [Scenedesmus sp. PABB004]
OG0000015	PSC74858.1 reverse transcriptase [Micractinium conductrix], PSC71750.1 DNase I [Micractinium conductrix], PSC72806.1 hypothetical protein C2E20_3905 [Micractinium conductrix], PSC72775.1 hypothetical protein C2E20_3906 [Micractinium conductrix]	KAF8064658.1 LINE-1 retrotransposable element ORF2 protein [Scenedesmus sp. PABB004], KAF8062788.1 transposon TX1 protein [Scenedesmus sp. PABB004]
OG0000016	PSC75488.1 polyubiquitin [Micractinium conductrix]	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]
OG0000016	PSC68113.1 ubiquitin-60S ribosomal L40 [Micractinium conductrix]	KAF8056382.1 UBI3 [Scenedesmus sp. PABB004]
OG0000016	PSC72465.1 SDE2-like protein [Micractinium conductrix]	KAF8064496.1 SDE2 [Scenedesmus sp. PABB004]
OG0000018	PSC71636.1 transcription factor MYB98-like [Micractinium conductrix]	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]
OG0000018	PSC72450.1 myb-related B-like isoform A [Micractinium conductrix], PSC72449.1 myb-related B-like isoform B [Micractinium conductrix]	KAF8056861.1 MYB44 [Scenedesmus sp. PABB004], KAF8058933.1 MYB73 [Scenedesmus sp. PABB004]
OG0000023	PSC69922.1 Zn-finger CCCH type [Micractinium conductrix]	KAF8058078.1 zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]
OG0000024	PSC74151.1 peptidase S8 [Micractinium conductrix]	KAF8058934.1 hypothetical protein HT031_005502 [Scenedesmus sp. PABB004]
OG0000024	PSC68481.1 subtilisin-like serine protease [Micractinium conductrix], PSC71480.1 subtilisin-like serine protease [Micractinium conductrix], PSC71786.1 peptidase S8 [Micractinium conductrix], PSC71832.1 peptidase S8 [Micractinium conductrix], PSC74435.1 Extracellular basic protease [Micractinium conductrix], PSC71482.1 alkaline serine protease [Micractinium conductrix], PSC76977.1 peptidase S8 [Micractinium conductrix]	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]
OG0000025	PSC74952.1 PHR1-LIKE 1 [Micractinium conductrix], PSC74956.1 LIM and cysteine-rich domains 1 [Micractinium conductrix]	KAF8069372.1 PHR1 [Scenedesmus sp. PABB004]
OG0000025	PSC71942.1 g2-like myb-family transcription factor [Micractinium conductrix], PSC67158.1 Acyl-[acyl-carrier] desaturase chloroplastic [Micractinium conductrix], PSC69534.1 Two-component response regulator ARR14 isoform 1 [Micractinium conductrix]	KAF8063097.1 hypothetical protein HT031_003936 [Scenedesmus sp. PABB004]
OG0000026	PSC75324.1 class V aminotransferase [Micractinium conductrix]	KAF8061965.1 hypothetical protein HT031_004225 [Scenedesmus sp. PABB004]
OG0000028	PSC71672.1 hypothetical protein C2E20_4858 [Micractinium conductrix], PSC72252.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC68771.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC72679.1 hypothetical protein C2E20_4057 [Micractinium conductrix], PSC74578.1 ankyrin repeat domain [Micractinium conductrix], PSC73592.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Micractinium conductrix]	KAF8071329.1 hypothetical protein HT031_001412 [Scenedesmus sp. PABB004]
OG0000029	PSC75221.1 hypothetical protein C2E20_1964 [Micractinium conductrix]	KAF8060533.1 EXPA15 [Scenedesmus sp. PABB004]
OG0000029	PSC70356.1 hypothetical protein C2E20_6254 [Micractinium conductrix]	KAF8069379.1 EXPA2 [Scenedesmus sp. PABB004]
OG0000031	PSC71095.1 cytochrome P450 [Micractinium conductrix]	KAF8068429.1 cyp-13A10 [Scenedesmus sp. PABB004]
OG0000031	PSC76428.1 cytochrome P450 isoform A [Micractinium conductrix], PSC76426.1 cytochrome P450 isoform B [Micractinium conductrix], PSC76427.1 cytochrome P450 isoform C [Micractinium conductrix]	KAF8072732.1 Cyp3a9 [Scenedesmus sp. PABB004]
OG0000035	PSC68386.1 3-ketoacyl-synthase 11-like [Micractinium conductrix]	KAF8070895.1 hypothetical protein HT031_000976 [Scenedesmus sp. PABB004]
OG0000035	PSC74991.1 very-long-chain 3-ketoacyl-synthase [Micractinium conductrix], PSC75078.1 3-ketoacyl-synthase 20-like [Micractinium conductrix]	KAF8055285.1 KCS4 [Scenedesmus sp. PABB004], KAF8065770.1 KCS4 [Scenedesmus sp. PABB004], KAF8070862.1 KCS1 [Scenedesmus sp. PABB004], KAF8055276.1 KCS1 [Scenedesmus sp. PABB004], KAF8057691.1 KCS17 [Scenedesmus sp. PABB004], KAF8057911.1 KCS2 [Scenedesmus sp. PABB004]
OG0000036	PSC70418.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC73115.1 kinase [Micractinium conductrix], PSC70592.1 kinase [Micractinium conductrix]	KAF8072834.1 TRZ1 [Scenedesmus sp. PABB004], KAF8059664.1 Map3k11 [Scenedesmus sp. PABB004]
OG0000037	PSC70558.1 Chlorophyll a-b binding chloroplastic [Micractinium conductrix]	KAF8057671.1 Chlorophyll a-b binding protein of LHCII type I [Scenedesmus sp. PABB004]
OG0000039	PSC67352.1 band 7 isoform B [Micractinium conductrix], PSC67351.1 band 7 isoform A [Micractinium conductrix]	KAF8072832.1 hypothetical protein HT031_000492 [Scenedesmus sp. PABB004]
OG0000042	PSC76970.1 sodium phosphate symporter [Micractinium conductrix], PSC68171.1 Phosphate-repressible phosphate permease isoform B [Micractinium conductrix], PSC68172.1 Phosphate-repressible phosphate permease isoform A [Micractinium conductrix]	KAF8065474.1 pho-4 [Scenedesmus sp. PABB004], KAF8066209.1 pho-4 [Scenedesmus sp. PABB004], KAF8059159.1 PHO89 [Scenedesmus sp. PABB004]
OG0000042	PSC72363.1 sodium phosphate symporter [Micractinium conductrix], PSC76268.1 sodium phosphate symporter [Micractinium conductrix]	KAF8062088.1 pho-4 [Scenedesmus sp. PABB004]
OG0000043	PSC73588.1 putative alpha-glucosidase isoform X1 [Micractinium conductrix], PSC70424.1 alpha-xylosidase 1 [Micractinium conductrix]	KAF8057148.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062772.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062771.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062770.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062769.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8061064.1 alpha-glucosidase [Scenedesmus sp. PABB004]
OG0000046	PSC69555.1 serine threonine-kinase [Micractinium conductrix], PSC74771.1 serine threonine-kinase [Micractinium conductrix], PSC74773.1 putative LRR receptor-like serine threonine-kinase [Micractinium conductrix], PSC75307.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC67144.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC75471.1 surface antigen [Micractinium conductrix], PSC76706.1 exostosin-like glycosyltransferase isoform B [Micractinium conductrix], PSC76704.1 exostosin-like glycosyltransferase isoform C [Micractinium conductrix], PSC70368.1 serine threonine-kinase [Micractinium conductrix]	KAF8060501.1 Smyd3 [Scenedesmus sp. PABB004]
OG0000049	PSC71619.1 translation initiation factor fusion with methylthioribose kinase [Micractinium conductrix]	KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]
OG0000050	PSC74666.1 UPF0187 chloroplastic [Micractinium conductrix], PSC76825.1 UPF0187 chloroplastic [Micractinium conductrix], PSC67432.1 UPF0187 chloroplastic [Micractinium conductrix], PSC74369.1 UPF0187 chloroplastic [Micractinium conductrix], PSC75582.1 UPF0187 chloroplastic [Micractinium conductrix], PSC75313.1 hypothetical protein C2E20_1391 [Micractinium conductrix], PSC75458.1 UPF0187 chloroplastic [Micractinium conductrix]	KAF8057910.1 hypothetical protein HT031_005856 [Scenedesmus sp. PABB004], KAF8069493.1 hypothetical protein HT031_001609 [Scenedesmus sp. PABB004]
OG0000051	PSC75850.1 MATE efflux family [Micractinium conductrix], PSC70081.1 MATE efflux family [Micractinium conductrix], PSC70154.1 MATE efflux family [Micractinium conductrix], PSC71531.1 MATE efflux family [Micractinium conductrix]	KAF8060322.1 DTX16 [Scenedesmus sp. PABB004]
OG0000052	PSC70432.1 zinc finger protein [Micractinium conductrix]	KAF8057270.1 hypothetical protein HT031_006078 [Scenedesmus sp. PABB004], KAF8072531.1 hypothetical protein HT031_000191 [Scenedesmus sp. PABB004], KAF8065866.1 hypothetical protein HT031_002926 [Scenedesmus sp. PABB004], KAF8056142.1 hypothetical protein HT031_006493 [Scenedesmus sp. PABB004], KAF8064531.1 Galns [Scenedesmus sp. PABB004], KAF8058413.1 hypothetical protein HT031_005537 [Scenedesmus sp. PABB004], KAF8065865.1 hypothetical protein HT031_002925 [Scenedesmus sp. PABB004], KAF8066216.1 MRL1 [Scenedesmus sp. PABB004], KAF8062975.1 REIL1 [Scenedesmus sp. PABB004]
OG0000053	PSC67318.1 hypothetical protein C2E20_8998 [Micractinium conductrix]	KAF8061300.1 RXLR124 [Scenedesmus sp. PABB004], KAF8062650.1 Eea1 [Scenedesmus sp. PABB004], KAF8062669.1 hypothetical protein HT031_003998 [Scenedesmus sp. PABB004], KAF8062646.1 hypothetical protein HT031_003975 [Scenedesmus sp. PABB004], KAF8062678.1 TATDN3 [Scenedesmus sp. PABB004], KAF8062639.1 hypothetical protein HT031_003968 [Scenedesmus sp. PABB004], KAF8062649.1 hypothetical protein HT031_003978 [Scenedesmus sp. PABB004], KAF8062697.1 hypothetical protein HT031_004026 [Scenedesmus sp. PABB004], KAF8062625.1 hypothetical protein HT031_003954 [Scenedesmus sp. PABB004], KAF8062704.1 hypothetical protein HT031_004033 [Scenedesmus sp. PABB004], KAF8057124.1 hypothetical protein HT031_006133 [Scenedesmus sp. PABB004], KAF8062707.1 hypothetical protein HT031_004036 [Scenedesmus sp. PABB004], KAF8062672.1 hypothetical protein HT031_004001 [Scenedesmus sp. PABB004], KAF8062687.1 Papln [Scenedesmus sp. PABB004]
OG0000055	PSC69755.1 Pentatricopeptide repeat-containing [Micractinium conductrix]	KAF8073197.1 MEE40 [Scenedesmus sp. PABB004]
OG0000055	PSC69744.1 collagen alpha-6_VI_ chain-like isoform X2 [Micractinium conductrix]	KAF8072999.1 pentatricopeptide repeat-containing protein [Scenedesmus sp. PABB004]
OG0000060	PSC71834.1 LOV domain-containing isoform A [Micractinium conductrix], PSC71833.1 LOV domain-containing isoform B [Micractinium conductrix], PSC73702.1 LOV domain-containing [Micractinium conductrix]	KAF8060352.1 dhkB [Scenedesmus sp. PABB004]
OG0000060	PSC71674.1 hypothetical protein C2E20_4892 [Micractinium conductrix]	KAF8062684.1 zinc finger protein BRUTUS-like [Scenedesmus sp. PABB004]
OG0000062	PSC67537.1 Coiled-coil domain-containing 40 [Micractinium conductrix]	KAF8063043.1 CCDC40 [Scenedesmus sp. PABB004]
OG0000063	PSC69773.1 Peroxisomal membrane PEX14 [Micractinium conductrix]	KAF8069607.1 PEX14 [Scenedesmus sp. PABB004]
OG0000064	PSC75863.1 translation initiation factor [Micractinium conductrix]	KAF8072395.1 infB [Scenedesmus sp. PABB004]
OG0000064	PSC74717.1 cullin 4 [Micractinium conductrix]	KAF8068312.1 CUL4A [Scenedesmus sp. PABB004]
OG0000064	PSC70166.1 cullin 3 [Micractinium conductrix]	KAF8071138.1 CUL3A [Scenedesmus sp. PABB004]
OG0000065	PSC69988.1 GPR1 FUN34 yaaH protein [Micractinium conductrix], PSC70112.1 GPR1 FUN34 yaaH protein [Micractinium conductrix], PSC70767.1 GPR1 FUN34 yaaH family protein [Micractinium conductrix], PSC72052.1 Inner membrane [Micractinium conductrix], PSC71970.1 Inner membrane [Micractinium conductrix], PSC71926.1 Inner membrane [Micractinium conductrix], PSC68974.1 cation symporter [Micractinium conductrix]	KAF8060089.1 hypothetical protein HT031_005028 [Scenedesmus sp. PABB004]
OG0000069	PSC75952.1 heat shock 83 [Micractinium conductrix]	KAF8069631.1 HSP81-3 [Scenedesmus sp. PABB004]
OG0000069	PSC74731.1 heat shock 90C [Micractinium conductrix]	KAF8068330.1 HSP90-5 [Scenedesmus sp. PABB004]
OG0000069	PSC75445.1 endoplasmin-like protein [Micractinium conductrix]	KAF8060354.1 HSP90B1 [Scenedesmus sp. PABB004]
OG0000071	PSC74088.1 CAMK CAMK1 kinase [Micractinium conductrix]	KAF8066277.1 Camk1 [Scenedesmus sp. PABB004]
OG0000071	PSC73989.1 CAMK CAMK1 kinase [Micractinium conductrix]	KAF8055935.1 mlkA [Scenedesmus sp. PABB004]
OG0000072	PSC74857.1 beta-Ig-H3 fasciclin [Micractinium conductrix]	KAF8065650.1 hypothetical protein HT031_003251 [Scenedesmus sp. PABB004]
OG0000073	PSC74345.1 Thiol protease aleurain-like [Micractinium conductrix], PSC74018.1 cathepsin L [Micractinium conductrix], PSC74150.1 cathepsin L1D [Micractinium conductrix], PSC67255.1 cathepsin L 1 precursor [Micractinium conductrix], PSC75510.1 oryzain gamma chain [Micractinium conductrix], PSC76854.1 papain family cysteine protease [Micractinium conductrix], PSC68631.1 hypothetical protein C2E20_7797 [Micractinium conductrix]	KAF8056137.1 hypothetical protein HT031_006488 [Scenedesmus sp. PABB004]
OG0000074	PSC69558.1 WD40-like Beta Propeller [Micractinium conductrix]	KAF8061057.1 hypothetical protein HT031_004517 [Scenedesmus sp. PABB004], KAF8056014.1 hypothetical protein HT031_006535 [Scenedesmus sp. PABB004], KAF8061062.1 hypothetical protein HT031_004522 [Scenedesmus sp. PABB004]
OG0000076	PSC74403.1 putative long-chain-alcohol O-fatty-acyltransferase 5 [Micractinium conductrix]	KAF8068287.1 ASAT1 [Scenedesmus sp. PABB004]
OG0000076	PSC73168.1 hypothetical protein C2E20_3736 [Micractinium conductrix], PSC70830.1 acyl-sterol O-acyltransferase 1-like [Micractinium conductrix], PSC74393.1 acyl-sterol O-acyltransferase 1-like [Micractinium conductrix]	KAF8061301.1 AT7 [Scenedesmus sp. PABB004]
OG0000078	PSC70696.1 phosphofructokinase family [Micractinium conductrix]	KAF8059208.1 PFK5 [Scenedesmus sp. PABB004]
OG0000078	PSC73510.1 phosphofructokinase family [Micractinium conductrix]	KAF8067362.1 PFK5 [Scenedesmus sp. PABB004]
OG0000078	PSC69047.1 phosphofructokinase family [Micractinium conductrix]	KAF8065867.1 PFK5 [Scenedesmus sp. PABB004]
OG0000079	PSC74693.1 heat shock 70 [Micractinium conductrix]	KAF8065619.1 HSP70 [Scenedesmus sp. PABB004], KAF8070942.1 HSP70 [Scenedesmus sp. PABB004]
OG0000079	PSC75643.1 luminal-binding 5 [Micractinium conductrix]	KAF8060359.1 BIP5 [Scenedesmus sp. PABB004]
OG0000080	PSC67215.1 hypothetical protein C2E20_9098 [Micractinium conductrix], PSC75434.1 sulfotransferase [Micractinium conductrix], PSC75294.1 hypothetical protein C2E20_1071 [Micractinium conductrix], PSC68517.1 sulfotransferase [Micractinium conductrix], PSC68100.1 deacetylase sulfotransferase [Micractinium conductrix], PSC68106.1 sulfotransferase [Micractinium conductrix], PSC68491.1 sulfotransferase [Micractinium conductrix]	KAF8065839.1 Herc2 [Scenedesmus sp. PABB004]
OG0000081	PSC72573.1 acyl-activating enzyme 19 [Micractinium conductrix]	KAF8073158.1 acyl-activating enzyme 19-like protein [Scenedesmus sp. PABB004]
OG0000081	PSC68872.1 BASS family transporter_ sodium ion bile [Micractinium conductrix], PSC76757.1 BASS family transporter_ sodium ion bile [Micractinium conductrix], PSC73541.1 sodium Bile acid symporter family [Micractinium conductrix]	KAF8055941.1 MST4 [Scenedesmus sp. PABB004], KAF8065642.1 BASS4 [Scenedesmus sp. PABB004]
OG0000082	PSC73133.1 kinase-like [Micractinium conductrix], PSC75756.1 kinase-like [Micractinium conductrix], PSC77050.1 kinase-like [Micractinium conductrix]	KAF8057866.1 nek2 [Scenedesmus sp. PABB004]
OG0000083	PSC69009.1 puromycin-sensitive aminopeptidase isoform X1 [Micractinium conductrix]	KAF8061293.1 puromycin-sensitive aminopeptidase [Scenedesmus sp. PABB004]
OG0000084	PSC70307.1 cysteine synthase [Micractinium conductrix]	KAF8067153.1 Cysteine synthase [Scenedesmus sp. PABB004]
OG0000084	PSC69447.1 cysteine synthase [Micractinium conductrix]	KAF8072629.1 Cysteine synthase [Scenedesmus sp. PABB004]
