Orthogroup	Micractinium_SAG24180	Chlorella_KRBP
OG0000126	PSC71573.1 pollen-specific SF21-like [Micractinium conductrix], PSC74099.1 sulfolipid synthase [Micractinium conductrix]	QAXK01000372.1_2577-4525
OG0000128	PSC69883.1 obg-like ATPase 1 [Micractinium conductrix], PSC76415.1 cysteine protease atg4b [Micractinium conductrix], PSC75412.1 ribonuclease [Micractinium conductrix]	QAXK01009125.1_10140-8059
OG0000137	PSC74076.1 E3 ubiquitin-ligase RNF185 isoform X1 [Micractinium conductrix], PSC70297.1 bifunctional apoptosis regulator [Micractinium conductrix]	QAXK01002137.1_9267-10854
OG0000152	PSC77015.1 serine threonine-kinase EDR1 [Micractinium conductrix], PSC73017.1 serine threonine-kinase EDR1-like isoform X1 [Micractinium conductrix], PSC72410.1 Serine threonine-kinase CTR1 [Micractinium conductrix]	QAXK01008299.1_4185-5535
OG0000163	PSC74229.1 ADP-ribosylation factor 2 [Micractinium conductrix]	QAXK01013733.1_9353-8061
OG0000165	PSC69501.1 P-loop containing nucleoside triphosphate hydrolases superfamily [Micractinium conductrix], PSC69023.1 3-hydroxyisobutyryl-mitochondrial [Micractinium conductrix]	QAXK01004609.1_12369-13533
OG0000175	PSC76898.1 60S ribosomal L9 [Micractinium conductrix]	QAXK01006319.1_3560-2355
OG0000177	PSC71886.1 2-C-methyl-D-erythritol 2_4-cyclodiphosphate chloroplastic [Micractinium conductrix], PSC71450.1 Golgi apparatus [Micractinium conductrix], PSC69293.1 2-C-methyl-D-erythritol 2_4-cyclodiphosphate synthase [Micractinium conductrix]	QAXK01000575.1_15675-16655
OG0000187	PSC70071.1 DNA ligase [Micractinium conductrix], PSC72994.1 DNA ligase 1-like [Micractinium conductrix]	QAXK01014854.1_51-3845
OG0000189	PSC69560.1 nucleic acid binding [Micractinium conductrix], PSC69554.1 V-type proton ATPase subunit c1 [Micractinium conductrix]	QAXK01000217.1_14674-15859
OG0000192	PSC74650.1 cell division control 2-like protein [Micractinium conductrix], PSC74119.1 plant specific cyclin dependent kinase [Micractinium conductrix]	QAXK01001504.1_2221-4972
OG0000199	PSC67356.1 F-box protein [Micractinium conductrix], PSC75559.1 F-box protein_ partial [Micractinium conductrix], PSC67070.1 F-box protein [Micractinium conductrix], PSC67485.1 F-box protein [Micractinium conductrix]	QAXK01010173.1_3319-5256
OG0000201	PSC69011.1 U5 small nuclear ribonucleo 200 kDa helicase-like [Micractinium conductrix], PSC69116.1 activating signal cointegrator 1 complex subunit 3 [Micractinium conductrix]	QAXK01000736.1_9467-8726
OG0000207	PSC69741.1 Exosome complex component CSL4 [Micractinium conductrix]	QAXK01004998.1_5108-4093
OG0000215	PSC76558.1 farnesyltransferase geranylgeranyltransferase type-1 subunit alpha [Micractinium conductrix], PSC75134.1 GCC2 and GCC3 domain containing [Micractinium conductrix], PSC75114.1 multiple epidermal growth factor-like domains 6 [Micractinium conductrix], PSC69766.1 pro convertase subtilisin kexin type 5-like [Micractinium conductrix], PSC74833.1 von Willebrand factor type EGF and pentraxin domain-containing 1 [Micractinium conductrix]	QAXK01013809.1_3869-6090
OG0000217	PSC74291.1 NAD_P_-binding [Micractinium conductrix], PSC73519.1 trans-2-enoyl-mitochondrial [Micractinium conductrix]	QAXK01003927.1_26651-24094
OG0000222	PSC70136.1 naphthoate synthase [Micractinium conductrix], PSC70267.1 mannose-6-phosphate isomerase 1 [Micractinium conductrix]	QAXK01005046.1_1470-3041
OG0000225	PSC73959.1 glutamine-fructose-6-phosphate aminotransferase [isomerizing] 2 [Micractinium conductrix], PSC73999.1 glutamine-fructose-6-phosphate aminotransferase [isomerizing] 2 [Micractinium conductrix], PSC75968.1 E3 UFM1-ligase 1-like protein [Micractinium conductrix]	QAXK01000132.1_14211-8944
OG0000226	PSC72296.1 RNA polymerase II C-terminal domain phosphatase-like 4 [Micractinium conductrix], PSC76899.1 phosphatase 2C 6 [Micractinium conductrix], PSC76811.1 RNA polymerase II C-terminal domain phosphatase-like 3 [Micractinium conductrix]	QAXK01001147.1_264-2985
OG0000234	PSC73839.1 eukaryotic initiation factor 4A-3 [Micractinium conductrix]	QAXK01001703.1_3693-800
OG0000234	PSC68153.1 eukaryotic initiation factor 4A-3 [Micractinium conductrix]	QAXK01001715.1_46567-44103
OG0000243	PSC73315.1 cobalamin-dependent methionine synthase [Micractinium conductrix], PSC75398.1 KRI1-like protein [Micractinium conductrix]	QAXK01017572.1_4284-1659
OG0000255	PSC69783.1 inner membrane protease subunit 2 [Micractinium conductrix], PSC73932.1 Mitochondrial inner membrane protease subunit 1 [Micractinium conductrix]	QAXK01003493.1_20875-19869
OG0000256	PSC67883.1 putative ATP-dependent RNA helicase DDX60 [Micractinium conductrix], PSC67062.1 putative ATP-dependent RNA helicase DDX60_ partial [Micractinium conductrix], PSC67092.1 putative phosphoinositide phosphatase SAC9 isoform X1_ partial [Micractinium conductrix], PSC67064.1 putative phosphoinositide phosphatase SAC9_ partial [Micractinium conductrix], PSC67145.1 putative phosphoinositide phosphatase SAC9 [Micractinium conductrix], PSC67061.1 putative phosphoinositide phosphatase SAC9 [Micractinium conductrix], PSC67116.1 putative phosphoinositide phosphatase SAC9 isoform X1_ partial [Micractinium conductrix]	QAXK01000928.1_4721-1230
OG0000260	PSC70256.1 putative homogentisate phytyltransferase chloroplastic [Micractinium conductrix], PSC69563.1 homogentisate prenyltransferase [Micractinium conductrix]	QAXK01007811.1_6343-7669
OG0000262	PSC72136.1 formate-tetrahydrofolate ligase [Micractinium conductrix], PSC72320.1 conserved oligomeric Golgi complex subunit 4 isoform B [Micractinium conductrix], PSC72319.1 conserved oligomeric Golgi complex subunit 4 isoform A [Micractinium conductrix]	QAXK01001305.1_3092-9737
OG0000268	PSC72035.1 transport SEC13-like protein B [Micractinium conductrix], PSC67926.1 kinase and PP2C-like domain-containing [Micractinium conductrix]	QAXK01007959.1_4344-7510
OG0000269	PSC72574.1 Secretory carrier-associated membrane 1 [Micractinium conductrix]	QAXK01000159.1_2526-4128
OG0000276	PSC74719.1 Serine threonine-kinase TNNI3K [Micractinium conductrix]	QAXK01013106.1_2869-3857
OG0000290	PSC75184.1 Leucyl-cystinyl aminopeptidase isoform B [Micractinium conductrix], PSC75185.1 Leucyl-cystinyl aminopeptidase isoform A [Micractinium conductrix]	QAXK01007708.1_8045-6769
OG0000293	PSC69548.1 calcium-dependent kinase 17 [Micractinium conductrix], PSC75499.1 hypothetical protein C2E20_0993 [Micractinium conductrix], PSC72943.1 calcium dependent kinase 17 [Micractinium conductrix]	QAXK01000427.1_18710-23853
OG0000297	PSC75288.1 hypothetical protein C2E20_1197 [Micractinium conductrix], PSC76976.1 putative anion transporter chloroplastic [Micractinium conductrix], PSC75780.1 putative anion transporter 2_ chloroplastic [Micractinium conductrix]	QAXK01003382.1_7730-10683
OG0000298	PSC72354.1 cytosolic Fe-S cluster assembly factor narfl [Micractinium conductrix], PSC72361.1 rhomboid-like protease [Micractinium conductrix]	QAXK01006215.1_8306-11634
OG0000299	PSC76222.1 COP9 signalosome complex subunit 5b-like [Micractinium conductrix]	QAXK01000488.1_8485-5165
OG0000300	PSC76323.1 inorganic pyrophosphatase [Micractinium conductrix], PSC70246.1 LOW PSII ACCUMULATION chloroplastic [Micractinium conductrix]	QAXK01000495.1_4618-6885
OG0000301	PSC71645.1 peptidyl-glycine alpha-amidating monooxygenase [Micractinium conductrix], PSC69592.1 peptidase M3 [Micractinium conductrix]	QAXK01005324.1_4296-8149
OG0000302	PSC71455.1 cell division cycle 48-like protein [Micractinium conductrix]	QAXK01009146.1_0-3841
OG0000304	PSC73021.1 dynamin-related 3A-like [Micractinium conductrix]	QAXK01014492.1_877-182
OG0000315	PSC71923.1 Eukaryotic translation initiation factor 3 subunit B [Micractinium conductrix], PSC76071.1 alpha-glucan water chloroplastic isoform X2 [Micractinium conductrix]	QAXK01002353.1_19232-23410
OG0000316	PSC67084.1 5 -3 exoribonuclease 1_ partial [Micractinium conductrix], PSC76060.1 6-phosphogluconate decarboxylating [Micractinium conductrix]	QAXK01003905.1_19782-15375
OG0000317	PSC75793.1 26S protease regulatory subunit 6B-like protein [Micractinium conductrix], PSC74626.1 26S proteasome regulatory subunit 4-like protein B [Micractinium conductrix]	QAXK01008437.1_3645-238
OG0000320	PSC72014.1 histone deacetylase [Micractinium conductrix], PSC75106.1 riboflavin kinase [Micractinium conductrix]	QAXK01008510.1_15994-20405
OG0000321	PSC70435.1 AP-2 complex subunit sigma [Micractinium conductrix], PSC67094.1 zinc knuckle domain-containing [Micractinium conductrix], PSC74498.1 AP-1 complex subunit sigma-1 [Micractinium conductrix]	QAXK01000378.1_25585-26545
OG0000340	PSC69391.1 ferrochelatase-chloroplastic [Micractinium conductrix], PSC72780.1 chaperone 1 [Micractinium conductrix]	QAXK01005276.1_5688-3058
OG0000352	PSC73423.1 choline isoform B [Micractinium conductrix], PSC73422.1 choline isoform A [Micractinium conductrix], PSC69826.1 amine oxidase [Micractinium conductrix]	QAXK01000899.1_7462-5804
OG0000353	PSC72254.1 pre-mRNA-splicing factor ISY1-like protein [Micractinium conductrix], PSC72149.1 U5 small nuclear ribonucleo 40 kDa [Micractinium conductrix]	QAXK01000970.1_11060-12297
OG0000355	PSC67765.1 putative ubiquitin conjugation factor E4 [Micractinium conductrix]	QAXK01000575.1_38061-33279
OG0000356	PSC69776.1 DEAD-box ATP-dependent RNA helicase 10 [Micractinium conductrix], PSC72599.1 RNA helicase [Micractinium conductrix]	QAXK01001458.1_25468-28021
OG0000362	PSC69607.1 serine threonine kinase 19 [Micractinium conductrix], PSC71205.1 hypothetical protein C2E20_5424 isoform X1 [Micractinium conductrix]	QAXK01002504.1_1584-235
OG0000372	PSC72835.1 GDP-mannose 3_5-epimerase 2 [Micractinium conductrix]	QAXK01000007.1_3483-1851
OG0000374	PSC71880.1 NADH_ubiquinone oxidoreductase 76 kDa subunit [Micractinium conductrix]	QAXK01001576.1_25385-29462
OG0000375	PSC75244.1 CCAAT enhancer-binding zeta [Micractinium conductrix]	QAXK01008707.1_239-2925
OG0000383	PSC74244.1 mitochondrial uncoupling 1 isoform C [Micractinium conductrix], PSC74243.1 mitochondrial uncoupling 1 isoform A [Micractinium conductrix], PSC74242.1 mitochondrial uncoupling 1 isoform B [Micractinium conductrix]	QAXK01011194.1_5918-9002
OG0000390	PSC69136.1 coproporphyrinogen III oxidase [Micractinium conductrix]	QAXK01005078.1_1174-132, QAXK01003294.1_6337-3495
OG0000394	PSC69324.1 telomerase Cajal body 1 [Micractinium conductrix], PSC74015.1 apyrase 2-like isoform C [Micractinium conductrix], PSC74014.1 apyrase 2-like isoform B [Micractinium conductrix], PSC74016.1 apyrase 2-like isoform A [Micractinium conductrix]	QAXK01008702.1_3083-212
OG0000408	PSC68238.1 arginine-tRNA chloroplastic mitochondrial-like isoform X2 [Micractinium conductrix]	QAXK01003094.1_1529-6518
OG0000412	PSC75610.1 ABC_ATP-binding_ family transporter_ iron compound [Micractinium conductrix]	QAXK01007672.1_3589-1228
OG0000417	PSC74414.1 Multiple myeloma tumor-associated 2 [Micractinium conductrix]	QAXK01003046.1_10052-9637
OG0000418	PSC71547.1 ATP-dependent zinc metalloprotease FTSH mitochondrial [Micractinium conductrix]	QAXK01005097.1_6985-2749
OG0000431	PSC69627.1 urea carboxylase [Micractinium conductrix], PSC68182.1 Peptidyl-prolyl cis-trans isomerase PASTICCINO1 [Micractinium conductrix]	QAXK01001330.1_10692-5073
OG0000443	PSC75180.1 chorismate mutase [Micractinium conductrix]	QAXK01002390.1_2379-454
OG0000446	PSC74157.1 LON peptidase N-terminal domain and RING finger 1 isoform B [Micractinium conductrix], PSC74156.1 LON peptidase N-terminal domain and RING finger 1 isoform A [Micractinium conductrix], PSC73677.1 DNA excision repair ERCC-8-like [Micractinium conductrix]	QAXK01006391.1_1754-3793
OG0000449	PSC68672.1 DNA excision repair ERCC-1 [Micractinium conductrix], PSC76910.1 anaphase-promoting complex subunit 2 [Micractinium conductrix]	QAXK01017753.1_1728-436
OG0000452	PSC71605.1 putative 18S rRNA _guanine-N_7__-methyltransferase [Micractinium conductrix]	QAXK01003135.1_2479-16
OG0000455	PSC67827.1 magnesium protoporphyrin IX chloroplastic-like [Micractinium conductrix]	QAXK01015054.1_2845-4309
OG0000468	PSC68383.1 Rab family GTPase [Micractinium conductrix], PSC76058.1 Rab8 -family small GTPase [Micractinium conductrix]	QAXK01006097.1_2371-905
OG0000470	PSC67745.1 multisubstrate pseudouridine synthase 7 [Micractinium conductrix], PSC74395.1 leucine-tRNA cytoplasmic [Micractinium conductrix]	QAXK01000050.1_24428-29981
OG0000471	PSC73183.1 histone chaperone asf1 [Micractinium conductrix], PSC72969.1 transcription initiation factor tfiid subunit 11 [Micractinium conductrix]	QAXK01001670.1_7180-6388
OG0000474	PSC73665.1 Structure-specific endonuclease subunit SLX1 [Micractinium conductrix], PSC73848.1 Chaperone dnaJ 10 isoform A [Micractinium conductrix], PSC73847.1 Chaperone dnaJ 10 isoform B [Micractinium conductrix]	QAXK01000042.1_28045-28765
OG0000479	PSC68596.1 sister chromatid cohesion DCC1 [Micractinium conductrix]	QAXK01004028.1_58546-56431
OG0000499	PSC75519.1 twinkle-like protein chloroplastic mitochondrial isoform X2 [Micractinium conductrix]	QAXK01009964.1_53-2582
OG0000501	PSC73003.1 putative S-acyltransferase 7 [Micractinium conductrix]	QAXK01015180.1_1811-4048
OG0000506	PSC73690.1 Bromodomain adjacent to zinc finger domain 1A [Micractinium conductrix]	QAXK01002250.1_1739-4040
OG0000512	PSC71732.1 glutamate-cysteine chloroplastic [Micractinium conductrix]	QAXK01000565.1_7520-10250
OG0000517	PSC71174.1 hypothetical protein C2E20_5468 [Micractinium conductrix]	QAXK01001595.1_3107-7081
OG0000519	PSC71029.1 putative UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase SEC [Micractinium conductrix], PSC70746.1 Glycylpeptide N-tetradecanoyltransferase 1 [Micractinium conductrix]	QAXK01004538.1_836-4145
OG0000520	PSC75158.1 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [Micractinium conductrix]	QAXK01002274.1_7306-5678
OG0000521	PSC74144.1 sorting and assembly machinery component 50-like protein B-like [Micractinium conductrix], PSC74106.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform A [Micractinium conductrix], PSC74105.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform B [Micractinium conductrix]	QAXK01000876.1_25410-28882
OG0000522	PSC73440.1 molecular chaperone [Micractinium conductrix]	QAXK01010222.1_2855-4006
OG0000528	PSC75046.1 random slug 5-like [Micractinium conductrix]	QAXK01011871.1_1755-3976
OG0000535	PSC71223.1 Kinesin KIF6 [Micractinium conductrix], PSC76319.1 putative 6-phosphogluconolactonase chloroplastic [Micractinium conductrix]	QAXK01008326.1_3715-2230
OG0000542	PSC69479.1 vacuolar sorting-associated 45-like protein [Micractinium conductrix], PSC69510.1 mitochondrial substrate carrier family B [Micractinium conductrix]	QAXK01007731.1_21245-25168
OG0000546	PSC69174.1 putative phosphatase 2C 5 isoform X1 [Micractinium conductrix], PSC69106.1 Qa-SYP4 Tlg2p Syntaxin 16-type [Micractinium conductrix]	QAXK01003383.1_11610-10089
OG0000552	PSC70972.1 serine carboxypeptidase 24-like [Micractinium conductrix]	QAXK01001452.1_4877-8338
OG0000565	PSC70159.1 3-dehydroquinate synthase [Micractinium conductrix]	QAXK01012018.1_21-2846
OG0000572	PSC76246.1 histone acetyltransferase HAC1-like [Micractinium conductrix]	QAXK01002353.1_6519-15187
OG0000573	PSC71818.1 hypothetical protein C2E20_4941 [Micractinium conductrix], PSC71739.1 Serine threonine-kinase TOUSLED [Micractinium conductrix]	QAXK01003348.1_1486-6
OG0000577	PSC75825.1 Eukaryotic translation initiation factor 3 subunit F [Micractinium conductrix]	QAXK01003132.1_5372-2862
OG0000585	PSC67369.1 DNA RNA polymerase [Micractinium conductrix], PSC74997.1 NLI interacting factor-like phosphatase [Micractinium conductrix]	QAXK01002652.1_31218-33264
OG0000586	PSC72392.1 putative WD repeat-containing [Micractinium conductrix], PSC71302.1 mitochondrial-processing peptidase subunit alpha-like [Micractinium conductrix]	QAXK01001200.1_17606-19818
OG0000594	PSC71121.1 Transaldolase [Micractinium conductrix]	QAXK01013585.1_2213-468
OG0000595	PSC70713.1 ras-related RIC2 [Micractinium conductrix], PSC68035.1 Rab11 -family small GTPase [Micractinium conductrix]	QAXK01010664.1_1473-417
OG0000611	PSC72946.1 Ubiquitin domain-containing 2 [Micractinium conductrix]	QAXK01011586.1_4054-3461
OG0000616	PSC73413.1 small nuclear ribonucleo -associated B -like [Micractinium conductrix]	QAXK01001265.1_8774-9883
OG0000618	PSC73676.1 40S ribosomal S15a isoform B [Micractinium conductrix], PSC73675.1 40S ribosomal S15a isoform A [Micractinium conductrix]	QAXK01000835.1_1-309
OG0000626	PSC76267.1 lon protease-like protein peroxisomal [Micractinium conductrix], PSC76277.1 SDA1 [Micractinium conductrix]	QAXK01003230.1_4778-8012
OG0000635	PSC72390.1 ribulose-phosphate 3-chloroplastic-like [Micractinium conductrix]	QAXK01004870.1_4878-5513
OG0000637	PSC69313.1 N-alpha-acetyltransferase 20 [Micractinium conductrix], PSC74139.1 adiponectin receptor 1b [Micractinium conductrix]	QAXK01001575.1_13855-13334
OG0000638	PSC70505.1 MON2-like protein isoform X1 [Micractinium conductrix]	QAXK01010124.1_10448-8669
OG0000649	PSC73006.1 diaminopimelate decarboxylase chloroplastic-like [Micractinium conductrix]	QAXK01000254.1_6101-3555
OG0000653	PSC69951.1 aspartate-semialdehyde dehydrogenase-like [Micractinium conductrix]	QAXK01000123.1_7289-10291
OG0000654	PSC68286.1 ligase [Micractinium conductrix]	QAXK01000799.1_92299-89512
OG0000660	PSC75572.1 40S ribosomal S27-2 [Micractinium conductrix], PSC75573.1 plant intracellular Ras-group-related LRR 7-like [Micractinium conductrix]	QAXK01014960.1_11495-10348
OG0000661	PSC71826.1 Guanine nucleotide-binding -like 3 [Micractinium conductrix]	QAXK01004242.1_3727-7707
OG0000662	PSC68501.1 plant MCA23-20 [Micractinium conductrix], PSC76402.1 plant MCA23-20 [Micractinium conductrix]	QAXK01000452.1_6301-4533
OG0000664	PSC71591.1 CBL-interacting kinase 32 [Micractinium conductrix]	QAXK01015723.1_3192-4172
OG0000671	PSC73907.1 peptidyl-prolyl cis-trans isomerase FKBP16-chloroplastic isoform X2 [Micractinium conductrix], PSC67959.1 DNA-directed RNA polymerase III subunit RPC6 [Micractinium conductrix]	QAXK01001535.1_15806-14316
OG0000676	PSC68356.1 zinc finger CCCH domain-containing 39-like [Micractinium conductrix], PSC75295.1 U6 snRNA-associated Sm LSm1 [Micractinium conductrix]	QAXK01015338.1_519-166
OG0000678	PSC72021.1 SKP1 1B [Micractinium conductrix]	QAXK01001500.1_1992-2978
OG0000679	PSC71865.1 50S ribosomal chloroplastic [Micractinium conductrix]	QAXK01006881.1_8512-9541
OG0000688	PSC72831.1 60S ribosomal export NMD3-like [Micractinium conductrix]	QAXK01003305.1_27047-24211
OG0000689	PSC68493.1 2-isopropylmalate synthase isoform B [Micractinium conductrix], PSC68492.1 2-isopropylmalate synthase isoform A [Micractinium conductrix]	QAXK01001638.1_16082-13313
OG0000691	PSC69841.1 divinyl chlorophyllide a 8-vinyl-chloroplastic isoform B [Micractinium conductrix], PSC69840.1 divinyl chlorophyllide a 8-vinyl-chloroplastic isoform A [Micractinium conductrix]	QAXK01001186.1_10565-8532
OG0000693	PSC69767.1 nuA4 complex subunit EAF3-like protein [Micractinium conductrix], PSC69788.1 TRNA-dihydrouridine_16 17_ synthase [NAD_P__+_] [Micractinium conductrix]	QAXK01008377.1_3630-1851
OG0000694	PSC67459.1 hypothetical protein C2E20_8860 [Micractinium conductrix]	QAXK01012986.1_3546-2582
OG0000697	PSC76281.1 peptide deformylase [Micractinium conductrix]	QAXK01000899.1_15443-14285
OG0000704	PSC68459.1 Transmembrane 18 isoform B [Micractinium conductrix], PSC68460.1 Transmembrane 18 isoform A [Micractinium conductrix], PSC68437.1 Transmembrane 18 isoform A [Micractinium conductrix], PSC68436.1 Transmembrane 18 isoform B [Micractinium conductrix]	QAXK01006701.1_1896-1296
OG0000730	PSC73830.1 U4 U6 small nuclear ribonucleo Prp31-like [Micractinium conductrix]	QAXK01001551.1_59690-63747
OG0000732	PSC75709.1 Transcription elongation factor A 2 [Micractinium conductrix]	QAXK01003652.1_16558-15646
OG0000734	PSC67588.1 type A von Willebrand factor domain-containing isoform A [Micractinium conductrix], PSC67589.1 type A von Willebrand factor domain-containing isoform B [Micractinium conductrix]	QAXK01007307.1_6962-7960
OG0000735	PSC75361.1 TATA-box-binding 2 [Micractinium conductrix], PSC75796.1 pheromone shutdown [Micractinium conductrix]	QAXK01011105.1_8336-6488
OG0000747	PSC74939.1 Syntaxin-61 [Micractinium conductrix], PSC74993.1 ankyrin repeat [Micractinium conductrix]	QAXK01006607.1_16309-17535
OG0000753	PSC67908.1 Succinyl-ligase [ADP-forming] subunit mitochondrial [Micractinium conductrix]	QAXK01001647.1_3154-482
OG0000764	PSC68197.1 gamma-tocopherol methyltransferase isoform A [Micractinium conductrix], PSC68196.1 gamma-tocopherol methyltransferase isoform B [Micractinium conductrix]	QAXK01005724.1_7661-4858
OG0000770	PSC73084.1 glucose-6-phosphate 1-epimerase [Micractinium conductrix], PSC73327.1 glucose-6-phosphate 1-epimerase [Micractinium conductrix]	QAXK01003607.1_11324-13747
OG0000774	PSC69772.1 Meiotically up-regulated 66 [Micractinium conductrix]	QAXK01004825.1_8965-10753
OG0000777	PSC70747.1 glyoxylase family [Micractinium conductrix], PSC70687.1 hypothetical protein C2E20_5796 [Micractinium conductrix]	QAXK01002948.1_4354-3157
OG0000778	PSC68405.1 SET domain-containing [Micractinium conductrix]	QAXK01014006.1_1593-3302
OG0000782	PSC75842.1 hypothetical protein C2E20_1662 [Micractinium conductrix], PSC72832.1 vanadium-dependent haloperoxidase [Micractinium conductrix]	QAXK01009651.1_2303-1712
OG0000784	PSC77006.1 dolichol-phosphate mannosyltransferase subunit 1 [Micractinium conductrix]	QAXK01014689.1_5406-4708
OG0000786	PSC69594.1 ribulosamine 3-chloroplastic [Micractinium conductrix]	QAXK01006828.1_9411-7696
OG0000788	PSC74525.1 centrin [Micractinium conductrix]	QAXK01010339.1_3422-4517
OG0000793	PSC68109.1 ROOT HAIR DEFECTIVE 3 [Micractinium conductrix]	QAXK01000249.1_22218-16975
OG0000799	PSC76098.1 N-acetylserotonin O-methyltransferase isoform B [Micractinium conductrix], PSC76099.1 N-acetylserotonin O-methyltransferase isoform A [Micractinium conductrix], PSC75639.1 Mitochondrial nuclease [Micractinium conductrix]	QAXK01005565.1_18254-19052
OG0000818	PSC67426.1 mitochondrial adenine nucleotide transporter ADNT1-like isoform B [Micractinium conductrix], PSC76352.1 mitochondrial carrier isoform A [Micractinium conductrix], PSC76353.1 mitochondrial carrier isoform B [Micractinium conductrix], PSC67425.1 mitochondrial adenine nucleotide transporter ADNT1-like isoform A [Micractinium conductrix]	QAXK01008587.1_153-1989
OG0000819	PSC69747.1 Tbc2 translation chloroplastic [Micractinium conductrix], PSC69830.1 nuclear migration nudc [Micractinium conductrix]	QAXK01003572.1_15443-13865
OG0000827	PSC69959.1 acetohydroxy acid isomeroreductase isoform B [Micractinium conductrix], PSC69958.1 acetohydroxy acid isomeroreductase isoform C [Micractinium conductrix], PSC69960.1 acetohydroxy acid isomeroreductase isoform A [Micractinium conductrix]	QAXK01003364.1_14418-18303
OG0000828	PSC70636.1 50S ribosomal mitochondrial-like [Micractinium conductrix]	QAXK01000782.1_20679-19905
OG0000830	PSC73574.1 SRSF kinase isoform B [Micractinium conductrix], PSC73573.1 SRSF kinase isoform A [Micractinium conductrix], PSC68985.1 SRSF kinase 1 [Micractinium conductrix]	QAXK01013271.1_12309-15183
OG0000838	PSC70531.1 nudC domain-containing 2 [Micractinium conductrix]	QAXK01003718.1_1305-2104
OG0000856	PSC73388.1 putative tRNA N6-adenosine threonylcarbamoyltransferase isoform A [Micractinium conductrix], PSC73389.1 putative tRNA N6-adenosine threonylcarbamoyltransferase isoform B [Micractinium conductrix]	QAXK01018212.1_1235-2568
OG0000857	PSC72356.1 putative boron transporter 2 [Micractinium conductrix]	QAXK01003829.1_4453-4800
OG0000858	PSC67126.1 mitochondrial inner membrane protease ATP23-like [Micractinium conductrix], PSC73865.1 mitochondrial inner membrane protease ATP23 [Micractinium conductrix], PSC67124.1 auxin efflux carrier family [Micractinium conductrix]	QAXK01000114.1_14115-13091
OG0000882	PSC74364.1 flap endonuclease 1 [Micractinium conductrix]	QAXK01006249.1_4939-7634
OG0000890	PSC69547.1 5-oxoprolinase isoform B [Micractinium conductrix], PSC69546.1 5-oxoprolinase isoform A [Micractinium conductrix], PSC69545.1 5-oxoprolinase isoform C [Micractinium conductrix], PSC69544.1 5-oxoprolinase isoform D [Micractinium conductrix]	QAXK01001134.1_10091-19430
