Orthogroup	Species	Chlorella_KRBP	Orthologs
OG0000013	Coccomyxa_SubellipsoideaC169	QAXK01004822.1_8132-10307	EIE24690.1 CbiQ-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE19071.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22392.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26092.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE20575.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22449.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE19481.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE22450.1 Serine/threonine-protein kinase SRK2J [Coccomyxa subellipsoidea C-169], EIE25930.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22393.1 hypothetical protein COCSUDRAFT_42714 [Coccomyxa subellipsoidea C-169]
OG0000013	Scenedesmus_PABB004	QAXK01004822.1_8132-10307	KAF8071107.1 ABCI12 [Scenedesmus sp. PABB004], KAF8060557.1 SRK2G [Scenedesmus sp. PABB004], KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]
OG0000013	Scenedesmus_NREL	QAXK01004822.1_8132-10307	KAF6252425.1 cobalt transport protein [Scenedesmus sp. NREL 46B-D3], KAF6250537.1 hypothetical protein COO60DRAFT_808178 [Scenedesmus sp. NREL 46B-D3], KAF6250536.1 hypothetical protein COO60DRAFT_1629611 [Scenedesmus sp. NREL 46B-D3], KAF6248250.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3], KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3], KAF6262199.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256418.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256672.1 Rab3 GTPase-activating protein catalytic subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000013	Chlorella_Vulgaris2111P	QAXK01004822.1_8132-10307	KAI3426414.1 hypothetical protein D9Q98_008783 [Chlorella vulgaris], KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris], KAI3438890.1 hypothetical protein D9Q98_001305 [Chlorella vulgaris], KAI3438617.1 hypothetical protein D9Q98_001040 [Chlorella vulgaris], KAI3438616.1 hypothetical protein D9Q98_001039 [Chlorella vulgaris], KAI3429786.1 hypothetical protein D9Q98_010099 [Chlorella vulgaris], KAI3438614.1 hypothetical protein D9Q98_001037 [Chlorella vulgaris]
OG0000013	Chlorella_Sorokiniana1602	QAXK01004822.1_8132-10307	PRW20807.1 sulfur stress regulator [Chlorella sorokiniana], PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana], PRW44937.1 sulfur stress regulator [Chlorella sorokiniana], PRW58909.1 sulfur stress regulator [Chlorella sorokiniana], PRW59234.1 sulfur stress regulator [Chlorella sorokiniana], PRW59170.1 sulfur stress regulator isoform A [Chlorella sorokiniana], PRW59171.1 sulfur stress regulator isoform B [Chlorella sorokiniana], PRW60419.1 serine threonine- kinase [Chlorella sorokiniana], PRW58940.1 serine threonine- kinase Nek1 isoform X5 [Chlorella sorokiniana]
OG0000013	Auxenochlorella_protothecoides	QAXK01004822.1_8132-10307	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides], RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides], RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides], RMZ52931.1 hypothetical protein APUTEX25_001050 [Auxenochlorella protothecoides]
OG0000013	Micractinium_SAG24180	QAXK01004822.1_8132-10307	PSC70880.1 sulfur stress regulator [Micractinium conductrix], PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix], PSC74495.1 sulfur stress regulator [Micractinium conductrix], PSC74454.1 sulfur stress regulator [Micractinium conductrix]
OG0000013	Chlorella_A99	QAXK01004822.1_8132-10307	PCFQ01000004.1 g2688 [Chlorella sp. A99], PCFQ01000004.1 g2624 [Chlorella sp. A99]
OG0000049	Scenedesmus_PABB004	QAXK01004561.1_5673-2644	KAF8059417.1 MTK1 [Scenedesmus sp. PABB004], KAF8054828.1 hypothetical protein HT031_006922 [Scenedesmus sp. PABB004], KAF8054826.1 hypothetical protein HT031_006920 [Scenedesmus sp. PABB004], KAF8054637.1 hypothetical protein HT031_006962 [Scenedesmus sp. PABB004], KAF8060108.1 AGO3 [Scenedesmus sp. PABB004], KAF8054806.1 MTK1 [Scenedesmus sp. PABB004], KAF8054761.1 hypothetical protein HT031_006935 [Scenedesmus sp. PABB004], KAF8063770.1 PSAT1 [Scenedesmus sp. PABB004], KAF8055670.1 hypothetical protein HT031_006692 [Scenedesmus sp. PABB004], KAF8058310.1 drkD [Scenedesmus sp. PABB004], KAF8058311.1 hypothetical protein HT031_005627 [Scenedesmus sp. PABB004], KAF8063020.1 hypothetical protein HT031_003859 [Scenedesmus sp. PABB004], KAF8063012.1 ALKBH8 [Scenedesmus sp. PABB004], KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]
OG0000049	Scenedesmus_NREL	QAXK01004561.1_5673-2644	KAF6260775.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250885.1 histidine phosphatase superfamily [Scenedesmus sp. NREL 46B-D3], KAF6260064.1 hypothetical protein COO60DRAFT_1686201 [Scenedesmus sp. NREL 46B-D3], KAF6254669.1 hypothetical protein COO60DRAFT_296766 [Scenedesmus sp. NREL 46B-D3], KAF6251092.1 eukaryotic translation initiation factor 2B alpha [Scenedesmus sp. NREL 46B-D3]
OG0000049	Chlorella_Sorokiniana1602	QAXK01004561.1_5673-2644	PRW59120.1 hypothetical protein C2E21_2482 [Chlorella sorokiniana], PRW58828.1 putative ubiquitin-like-specific protease 2B isoform X1 [Chlorella sorokiniana], PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]
OG0000049	Chlorella_Vulgaris2111P	QAXK01004561.1_5673-2644	KAI3438841.1 hypothetical protein D9Q98_001258 [Chlorella vulgaris], KAI3436640.1 hypothetical protein D9Q98_006056 [Chlorella vulgaris]
OG0000049	Chlorella_VariabilisNC64A	QAXK01004561.1_5673-2644	XP_005849919.1 hypothetical protein CHLNCDRAFT_143222 [Chlorella variabilis], XP_005850664.1 hypothetical protein CHLNCDRAFT_140697 [Chlorella variabilis]
OG0000049	Chlorella_A99	QAXK01004561.1_5673-2644	PCFQ01000004.1 g2665 [Chlorella sp. A99], PCFQ01000011.1 g2855 [Chlorella sp. A99]
OG0000049	Micractinium_SAG24180	QAXK01004561.1_5673-2644	PSC75423.1 ubiquitin-like-specific protease 2A [Micractinium conductrix], PSC71619.1 translation initiation factor fusion with methylthioribose kinase [Micractinium conductrix]
OG0000049	Auxenochlorella_protothecoides	QAXK01004561.1_5673-2644	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides], RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]
OG0000049	Coccomyxa_SubellipsoideaC169	QAXK01004561.1_5673-2644	EIE23933.1 hypothetical protein COCSUDRAFT_62462 [Coccomyxa subellipsoidea C-169], EIE24013.1 hypothetical protein COCSUDRAFT_65695 [Coccomyxa subellipsoidea C-169]
OG0000059	Chlorella_A99	QAXK01009817.1_2794-231	PCFQ01000004.1 g2590 [Chlorella sp. A99]
OG0000059	Scenedesmus_NREL	QAXK01009817.1_2794-231	KAF6256534.1 intramembrane metalloprotease [Scenedesmus sp. NREL 46B-D3], KAF6264360.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256533.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264285.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000059	Coccomyxa_SubellipsoideaC169	QAXK01009817.1_2794-231	EIE19004.1 intramembrane metalloprotease [Coccomyxa subellipsoidea C-169], EIE19800.1 cobW-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE25747.1 cobW-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000059	Chlorella_VariabilisNC64A	QAXK01009817.1_2794-231	XP_005842610.1 hypothetical protein CHLNCDRAFT_55845_ partial [Chlorella variabilis], XP_005846099.1 hypothetical protein CHLNCDRAFT_135999 [Chlorella variabilis], XP_005842738.1 hypothetical protein CHLNCDRAFT_28926_ partial [Chlorella variabilis], XP_005844783.1 hypothetical protein CHLNCDRAFT_138656 [Chlorella variabilis], XP_005843771.1 hypothetical protein CHLNCDRAFT_49195 [Chlorella variabilis], XP_005850074.1 hypothetical protein CHLNCDRAFT_142112 [Chlorella variabilis], XP_005843349.1 hypothetical protein CHLNCDRAFT_141273 [Chlorella variabilis]
OG0000059	Micractinium_SAG24180	QAXK01009817.1_2794-231	PSC71846.1 putative GTP-binding [Micractinium conductrix], PSC69152.1 cobalamin biosynthesis [Micractinium conductrix], PSC73198.1 zinc metalloprotease [Micractinium conductrix]
OG0000059	Chlorella_Sorokiniana1602	QAXK01009817.1_2794-231	PRW21133.1 putative GTP-binding -like isoform B [Chlorella sorokiniana], PRW21134.1 putative GTP-binding -like isoform A [Chlorella sorokiniana], PRW59349.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW58648.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW32945.1 zinc metalloprotease [Chlorella sorokiniana]
OG0000059	Chlorella_Vulgaris2111P	QAXK01009817.1_2794-231	KAI3430825.1 hypothetical protein D9Q98_009236 [Chlorella vulgaris], KAI3439001.1 hypothetical protein D9Q98_001413 [Chlorella vulgaris], KAI3428122.1 hypothetical protein D9Q98_006505 [Chlorella vulgaris], KAI3430446.1 hypothetical protein D9Q98_005041 [Chlorella vulgaris]
OG0000059	Auxenochlorella_protothecoides	QAXK01009817.1_2794-231	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides], RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides], RMZ52433.1 hypothetical protein APUTEX25_000012_ partial [Auxenochlorella protothecoides]
OG0000059	Scenedesmus_PABB004	QAXK01009817.1_2794-231	KAF8062708.1 hypothetical protein HT031_004037 [Scenedesmus sp. PABB004]
OG0000060	Chlorella_VariabilisNC64A	QAXK01006650.1_4897-1380	XP_005844701.1 hypothetical protein CHLNCDRAFT_14999_ partial [Chlorella variabilis], XP_005844700.1 hypothetical protein CHLNCDRAFT_138629 [Chlorella variabilis], XP_005844698.1 hypothetical protein CHLNCDRAFT_138627 [Chlorella variabilis]
OG0000060	Auxenochlorella_protothecoides	QAXK01006650.1_4897-1380	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides], RMZ57784.1 hypothetical protein APUTEX25_003489_ partial [Auxenochlorella protothecoides], RMZ53684.1 hypothetical protein APUTEX25_003218 [Auxenochlorella protothecoides], RMZ55289.1 hypothetical protein APUTEX25_003772_ partial [Auxenochlorella protothecoides], RMZ57737.1 hypothetical protein APUTEX25_005101_ partial [Auxenochlorella protothecoides], RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]
OG0000060	Coccomyxa_SubellipsoideaC169	QAXK01006650.1_4897-1380	EIE21789.1 hypothetical protein COCSUDRAFT_17195 [Coccomyxa subellipsoidea C-169], EIE21790.1 hypothetical protein COCSUDRAFT_7070_ partial [Coccomyxa subellipsoidea C-169], EIE24815.1 hypothetical protein COCSUDRAFT_46955 [Coccomyxa subellipsoidea C-169], EIE21788.1 hypothetical protein COCSUDRAFT_42835 [Coccomyxa subellipsoidea C-169], EIE21877.1 putative zinc finger protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000060	Micractinium_SAG24180	QAXK01006650.1_4897-1380	PSC71834.1 LOV domain-containing isoform A [Micractinium conductrix], PSC71833.1 LOV domain-containing isoform B [Micractinium conductrix], PSC73702.1 LOV domain-containing [Micractinium conductrix], PSC71674.1 hypothetical protein C2E20_4892 [Micractinium conductrix]
OG0000060	Chlorella_Vulgaris2111P	QAXK01006650.1_4897-1380	KAI3430814.1 hypothetical protein D9Q98_009225 [Chlorella vulgaris], KAI3433447.1 hypothetical protein D9Q98_003261 [Chlorella vulgaris], KAI3430812.1 hypothetical protein D9Q98_009223 [Chlorella vulgaris]
OG0000060	Chlorella_Sorokiniana1602	QAXK01006650.1_4897-1380	PRW58431.1 LOV domain-containing [Chlorella sorokiniana], PRW20982.1 LOV domain-containing isoform B [Chlorella sorokiniana], PRW20983.1 LOV domain-containing isoform A [Chlorella sorokiniana]
OG0000060	Scenedesmus_PABB004	QAXK01006650.1_4897-1380	KAF8060352.1 dhkB [Scenedesmus sp. PABB004], KAF8063740.1 e2f7 [Scenedesmus sp. PABB004], KAF8062684.1 zinc finger protein BRUTUS-like [Scenedesmus sp. PABB004]
OG0000060	Scenedesmus_NREL	QAXK01006650.1_4897-1380	KAF6264570.1 hypothetical protein COO60DRAFT_1698180 [Scenedesmus sp. NREL 46B-D3], KAF6252347.1 hypothetical protein COO60DRAFT_1644120 [Scenedesmus sp. NREL 46B-D3], KAF6250815.1 hypothetical protein COO60DRAFT_1298823 [Scenedesmus sp. NREL 46B-D3]
OG0000060	Chlorella_A99	QAXK01006650.1_4897-1380	PCFQ01000020.1 g943 [Chlorella sp. A99]
OG0000095	Scenedesmus_NREL	QAXK01000980.1_6477-3589	KAF6265709.1 digestive organ expansion factor [Scenedesmus sp. NREL 46B-D3], KAF6265697.1 hypothetical protein COO60DRAFT_868721 [Scenedesmus sp. NREL 46B-D3], KAF6265696.1 hypothetical protein COO60DRAFT_868698 [Scenedesmus sp. NREL 46B-D3], KAF6250576.1 hypothetical protein COO60DRAFT_1705674 [Scenedesmus sp. NREL 46B-D3], KAF6251044.1 hypothetical protein COO60DRAFT_1645535 [Scenedesmus sp. NREL 46B-D3]
OG0000095	Coccomyxa_SubellipsoideaC169	QAXK01000980.1_6477-3589	EIE20398.1 DUF1253-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19833.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23231.1 amine oxidase [Coccomyxa subellipsoidea C-169]
OG0000095	Auxenochlorella_protothecoides	QAXK01000980.1_6477-3589	RMZ52360.1 hypothetical protein APUTEX25_000635_ partial [Auxenochlorella protothecoides]
OG0000095	Chlorella_Vulgaris2111P	QAXK01000980.1_6477-3589	KAI3438528.1 hypothetical protein D9Q98_000956 [Chlorella vulgaris], KAI3428704.1 hypothetical protein D9Q98_007528 [Chlorella vulgaris], KAI3428469.1 hypothetical protein D9Q98_007294 [Chlorella vulgaris]
OG0000095	Chlorella_Sorokiniana1602	QAXK01000980.1_6477-3589	PRW59313.1 U3 small nucleolar RNA-associated 25 [Chlorella sorokiniana], PRW44628.1 carotene isomerase [Chlorella sorokiniana], PRW44291.1 ABC transporter A family member 7-like isoform B [Chlorella sorokiniana], PRW44290.1 ABC transporter A family member 7-like isoform C [Chlorella sorokiniana]
OG0000095	Micractinium_SAG24180	QAXK01000980.1_6477-3589	PSC73930.1 U3 small nucleolar RNA-associated 25 [Micractinium conductrix], PSC75641.1 carotene isomerase [Micractinium conductrix], PSC69857.1 carotene isomerase [Micractinium conductrix]
OG0000095	Chlorella_VariabilisNC64A	QAXK01000980.1_6477-3589	XP_005849513.1 hypothetical protein CHLNCDRAFT_142850 [Chlorella variabilis], XP_005847243.1 hypothetical protein CHLNCDRAFT_35537 [Chlorella variabilis], XP_005847333.1 hypothetical protein CHLNCDRAFT_134505 [Chlorella variabilis]
OG0000095	Chlorella_A99	QAXK01000980.1_6477-3589	PCFQ01000037.1 g2440 [Chlorella sp. A99], PCFQ01000013.1 g3328 [Chlorella sp. A99]
OG0000095	Scenedesmus_PABB004	QAXK01000980.1_6477-3589	KAF8061343.1 utp25 [Scenedesmus sp. PABB004], KAF8062760.1 CRTISO2 [Scenedesmus sp. PABB004]
OG0000100	Chlorella_A99	QAXK01004495.1_1525-5952	PCFQ01000005.1 g864 [Chlorella sp. A99], PCFQ01000011.1 g2746 [Chlorella sp. A99], PCFQ01000011.1 g2762 [Chlorella sp. A99]
OG0000100	Chlorella_VariabilisNC64A	QAXK01004495.1_1525-5952	XP_005843553.1 hypothetical protein CHLNCDRAFT_140184 [Chlorella variabilis], XP_005843628.1 hypothetical protein CHLNCDRAFT_59237 [Chlorella variabilis], XP_005843554.1 hypothetical protein CHLNCDRAFT_59809 [Chlorella variabilis]
OG0000100	Chlorella_Vulgaris2111P	QAXK01004495.1_1525-5952	KAI3432619.1 hypothetical protein D9Q98_004165 [Chlorella vulgaris], KAI3432569.1 hypothetical protein D9Q98_004118 [Chlorella vulgaris], KAI3432618.1 hypothetical protein D9Q98_004164 [Chlorella vulgaris]
OG0000100	Chlorella_Sorokiniana1602	QAXK01004495.1_1525-5952	PRW61091.1 TOC75- chloroplastic [Chlorella sorokiniana], PRW61294.1 ru large subunit-binding subunit alpha [Chlorella sorokiniana], PRW61354.1 ru large subunit-binding subunit chloroplastic isoform A [Chlorella sorokiniana], PRW61355.1 ru large subunit-binding subunit chloroplastic isoform B [Chlorella sorokiniana]
OG0000100	Auxenochlorella_protothecoides	QAXK01004495.1_1525-5952	RMZ53823.1 hypothetical protein APUTEX25_003962_ partial [Auxenochlorella protothecoides], RMZ53226.1 hypothetical protein APUTEX25_005215 [Auxenochlorella protothecoides]
OG0000100	Coccomyxa_SubellipsoideaC169	QAXK01004495.1_1525-5952	EIE25271.1 hypothetical protein COCSUDRAFT_13722_ partial [Coccomyxa subellipsoidea C-169], EIE19865.1 chaperonin 60A [Coccomyxa subellipsoidea C-169], EIE22901.1 chaperonin 60B2 [Coccomyxa subellipsoidea C-169]
OG0000100	Scenedesmus_NREL	QAXK01004495.1_1525-5952	KAF6264645.1 hypothetical protein COO60DRAFT_1470258 [Scenedesmus sp. NREL 46B-D3], KAF6261137.1 chaperonin 60A [Scenedesmus sp. NREL 46B-D3], KAF6259379.1 chaperonin 60B2 [Scenedesmus sp. NREL 46B-D3]
OG0000100	Scenedesmus_PABB004	QAXK01004495.1_1525-5952	KAF8067279.1 RAD54B [Scenedesmus sp. PABB004], KAF8055929.1 RuBisCO large subunit-binding protein subunit alpha [Scenedesmus sp. PABB004], KAF8065914.1 RuBisCO large subunit-binding protein subunit beta [Scenedesmus sp. PABB004]
OG0000100	Micractinium_SAG24180	QAXK01004495.1_1525-5952	PSC74001.1 chaperonin 60A [Micractinium conductrix], PSC70609.1 chaperonin 60B2 [Micractinium conductrix]
OG0000102	Coccomyxa_SubellipsoideaC169	QAXK01002229.1_29280-27595	EIE25521.1 uracil DNA-glycosylase [Coccomyxa subellipsoidea C-169], EIE25370.1 ferredoxin-dependent glutamate synthase [Coccomyxa subellipsoidea C-169], EIE24001.1 glutamate synthase_ NADH-dependent [Coccomyxa subellipsoidea C-169]
OG0000102	Scenedesmus_NREL	QAXK01002229.1_29280-27595	KAF6252716.1 uracil-DNA glycosylase Ung2 [Scenedesmus sp. NREL 46B-D3], KAF6263529.1 ferredoxin-dependent glutamate synthase [Scenedesmus sp. NREL 46B-D3], KAF6263375.1 hypothetical protein COO60DRAFT_459133 [Scenedesmus sp. NREL 46B-D3], KAF6261166.1 uracil-DNA glycosylase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000102	Chlorella_Sorokiniana1602	QAXK01002229.1_29280-27595	PRW56489.1 ferredoxin-dependent glutamate synthase isoform A [Chlorella sorokiniana], PRW56490.1 ferredoxin-dependent glutamate synthase isoform B [Chlorella sorokiniana], PRW60858.1 glutamate synthase 1 [NADH] chloroplastic isoform X1 [Chlorella sorokiniana]
OG0000102	Micractinium_SAG24180	QAXK01002229.1_29280-27595	PSC70556.1 ferredoxin-dependent glutamate synthase [Micractinium conductrix], PSC68918.1 glutamate synthase 1 [NADH] chloroplastic isoform X1 [Micractinium conductrix]
