Orthogroup	Species	Chlorella_A99	Orthologs
OG0000002	Coccomyxa_SubellipsoideaC169	PCFQ01000029.1 g2733 [Chlorella sp. A99]	EIE18168.1 hypothetical protein COCSUDRAFT_60541 [Coccomyxa subellipsoidea C-169]
OG0000002	Chlorella_VariabilisNC64A	PCFQ01000029.1 g2733 [Chlorella sp. A99]	XP_005848796.1 hypothetical protein CHLNCDRAFT_51454 [Chlorella variabilis], XP_005848587.1 hypothetical protein CHLNCDRAFT_145176 [Chlorella variabilis]
OG0000002	Scenedesmus_NREL	PCFQ01000029.1 g2733 [Chlorella sp. A99]	KAF6258605.1 hypothetical protein COO60DRAFT_1639043 [Scenedesmus sp. NREL 46B-D3], KAF6257144.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3]
OG0000002	Scenedesmus_PABB004	PCFQ01000029.1 g2733 [Chlorella sp. A99]	KAF8059971.1 RE1 [Scenedesmus sp. PABB004]
OG0000002	Chlorella_Sorokiniana1602	PCFQ01000029.1 g2733 [Chlorella sp. A99]	PRW05741.1 reverse transcriptase_R [Chlorella sorokiniana]
OG0000002	Scenedesmus_PABB004	PCFQ01000005.1 g859 [Chlorella sp. A99]	KAF8056151.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8064476.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057710.1 hypothetical protein HT031_005894 [Scenedesmus sp. PABB004], KAF8055039.1 hypothetical protein HT031_006855 [Scenedesmus sp. PABB004]
OG0000002	Micractinium_SAG24180	PCFQ01000005.1 g859 [Chlorella sp. A99]	PSC68535.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC75692.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform A [Micractinium conductrix], PSC67636.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC75691.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform B [Micractinium conductrix]
OG0000002	Chlorella_Vulgaris2111P	PCFQ01000005.1 g859 [Chlorella sp. A99]	KAI3438361.1 hypothetical protein D9Q98_000793 [Chlorella vulgaris], KAI3430872.1 hypothetical protein D9Q98_009281 [Chlorella vulgaris], KAI3438364.1 hypothetical protein D9Q98_000796 [Chlorella vulgaris], KAI3438358.1 hypothetical protein D9Q98_000790 [Chlorella vulgaris], KAI3434581.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434582.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434580.1 hypothetical protein D9Q98_002650 [Chlorella vulgaris], KAI3430928.1 hypothetical protein D9Q98_009337 [Chlorella vulgaris], KAI3435605.1 hypothetical protein D9Q98_001668 [Chlorella vulgaris], KAI3435603.1 hypothetical protein D9Q98_001666 [Chlorella vulgaris], KAI3435599.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3435602.1 hypothetical protein D9Q98_001665 [Chlorella vulgaris], KAI3438367.1 hypothetical protein D9Q98_000799 [Chlorella vulgaris], KAI3427445.1 hypothetical protein D9Q98_010359 [Chlorella vulgaris], KAI3427446.1 hypothetical protein D9Q98_010360 [Chlorella vulgaris], KAI3430959.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430960.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430967.1 hypothetical protein D9Q98_009372 [Chlorella vulgaris], KAI3435601.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438357.1 hypothetical protein D9Q98_000789 [Chlorella vulgaris], KAI3427280.1 hypothetical protein D9Q98_007212 [Chlorella vulgaris], KAI3435600.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438349.1 hypothetical protein D9Q98_000781 [Chlorella vulgaris], KAI3438362.1 hypothetical protein D9Q98_000794 [Chlorella vulgaris], KAI3430966.1 hypothetical protein D9Q98_009371 [Chlorella vulgaris]
OG0000002	Chlorella_Sorokiniana1602	PCFQ01000005.1 g859 [Chlorella sp. A99]	PRW61566.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform A [Chlorella sorokiniana], PRW61567.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform B [Chlorella sorokiniana]
OG0000003	Scenedesmus_NREL	PCFQ01000003.1 g1036 [Chlorella sp. A99], PCFQ01000002.1 g685 [Chlorella sp. A99], PCFQ01000013.1 g3270 [Chlorella sp. A99]	KAF6263598.1 phosphoribosyltransferase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000003	Coccomyxa_SubellipsoideaC169	PCFQ01000003.1 g1036 [Chlorella sp. A99], PCFQ01000002.1 g685 [Chlorella sp. A99], PCFQ01000013.1 g3270 [Chlorella sp. A99]	EIE27712.1 hypothetical protein COCSUDRAFT_55698 [Coccomyxa subellipsoidea C-169]
OG0000003	Chlorella_Sorokiniana1602	PCFQ01000003.1 g1036 [Chlorella sp. A99]	PRW51158.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana], PRW51157.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana]
OG0000003	Chlorella_VariabilisNC64A	PCFQ01000003.1 g1036 [Chlorella sp. A99]	XP_005848871.1 hypothetical protein CHLNCDRAFT_144246 [Chlorella variabilis]
OG0000003	Micractinium_SAG24180	PCFQ01000003.1 g1036 [Chlorella sp. A99]	PSC74214.1 hypothetical protein C2E20_2651 [Micractinium conductrix]
OG0000003	Micractinium_SAG24180	PCFQ01000002.1 g685 [Chlorella sp. A99]	PSC71318.1 hypothetical protein C2E20_5316 [Micractinium conductrix], PSC76891.1 hypothetical protein C2E20_0797 [Micractinium conductrix], PSC68705.1 hypothetical protein C2E20_7769 [Micractinium conductrix], PSC72165.1 hypothetical protein C2E20_4409 [Micractinium conductrix], PSC73416.1 hypothetical protein C2E20_3417 [Micractinium conductrix], PSC75050.1 hypothetical protein C2E20_1732 [Micractinium conductrix], PSC68081.1 hypothetical protein C2E20_8267 [Micractinium conductrix], PSC68179.1 Acyl-coenzyme A thioesterase THEM4 isoform B [Micractinium conductrix], PSC68178.1 Acyl-coenzyme A thioesterase THEM4 isoform A [Micractinium conductrix], PSC72893.1 photosystem II reaction cent isoform B [Micractinium conductrix], PSC72894.1 photosystem II reaction cent isoform A [Micractinium conductrix], PSC68096.1 hypothetical protein C2E20_8274 [Micractinium conductrix], PSC75343.1 hypothetical protein C2E20_1137 [Micractinium conductrix]
OG0000003	Chlorella_Sorokiniana1602	PCFQ01000002.1 g685 [Chlorella sp. A99]	PRW59695.1 hypothetical protein C2E21_1633 [Chlorella sorokiniana], PRW60753.1 Zn2+-binding dehydrogenase [Chlorella sorokiniana], PRW50906.1 hypothetical protein C2E21_5437 [Chlorella sorokiniana], PRW45267.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW45268.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW60261.1 Acyl-coenzyme A thioesterase THEM4 [Chlorella sorokiniana], PRW56718.1 hypothetical protein C2E21_4783 [Chlorella sorokiniana], PRW56397.1 hypothetical protein C2E21_4782 [Chlorella sorokiniana], PRW58582.1 hypothetical protein C2E21_3184 [Chlorella sorokiniana]
OG0000003	Chlorella_VariabilisNC64A	PCFQ01000002.1 g685 [Chlorella sp. A99]	XP_005847999.1 expressed protein [Chlorella variabilis], XP_005847434.1 hypothetical protein CHLNCDRAFT_134328 [Chlorella variabilis], XP_005847441.1 hypothetical protein CHLNCDRAFT_134345 [Chlorella variabilis], XP_005850412.1 hypothetical protein CHLNCDRAFT_142315 [Chlorella variabilis], XP_005852188.1 hypothetical protein CHLNCDRAFT_133395 [Chlorella variabilis], XP_005852056.1 hypothetical protein CHLNCDRAFT_133040 [Chlorella variabilis], XP_005852055.1 expressed protein [Chlorella variabilis], XP_005850707.1 hypothetical protein CHLNCDRAFT_140796 [Chlorella variabilis], XP_005850406.1 hypothetical protein CHLNCDRAFT_142302 [Chlorella variabilis], XP_005850407.1 expressed protein [Chlorella variabilis], XP_005851305.1 hypothetical protein CHLNCDRAFT_56786 [Chlorella variabilis]
OG0000003	Chlorella_Vulgaris2111P	PCFQ01000002.1 g685 [Chlorella sp. A99]	KAI3437643.1 hypothetical protein D9Q98_000094 [Chlorella vulgaris], KAI3430747.1 hypothetical protein D9Q98_009159 [Chlorella vulgaris], KAI3430596.1 hypothetical protein D9Q98_005189 [Chlorella vulgaris], KAI3428300.1 hypothetical protein D9Q98_006679 [Chlorella vulgaris], KAI3429368.1 hypothetical protein D9Q98_005463 [Chlorella vulgaris], KAI3429367.1 hypothetical protein D9Q98_005462 [Chlorella vulgaris], KAI3436557.1 hypothetical protein D9Q98_005973 [Chlorella vulgaris], KAI3428290.1 hypothetical protein D9Q98_006669 [Chlorella vulgaris], KAI3430755.1 hypothetical protein D9Q98_009167 [Chlorella vulgaris], KAI3428291.1 hypothetical protein D9Q98_006670 [Chlorella vulgaris], KAI3433380.1 hypothetical protein D9Q98_003196 [Chlorella vulgaris]
OG0000003	Chlorella_Sorokiniana1602	PCFQ01000013.1 g3270 [Chlorella sp. A99]	PRW60976.1 hypothetical protein C2E21_0414 [Chlorella sorokiniana]
OG0000003	Chlorella_VariabilisNC64A	PCFQ01000013.1 g3270 [Chlorella sp. A99]	XP_005844659.1 hypothetical protein CHLNCDRAFT_138538 [Chlorella variabilis]
OG0000003	Micractinium_SAG24180	PCFQ01000013.1 g3270 [Chlorella sp. A99]	PSC68724.1 hypothetical protein C2E20_7768 [Micractinium conductrix]
OG0000004	Chlorella_Sorokiniana1602	PCFQ01000079.1 g1475 [Chlorella sp. A99]	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana], PRW45379.1 squamosa promoter-binding 7 isoform X2 [Chlorella sorokiniana], PRW45644.1 squamosa promoter-binding 12 [Chlorella sorokiniana], PRW55998.1 squamosa promoter-binding 9 [Chlorella sorokiniana], PRW20956.1 squamosa promoter-binding 8 [Chlorella sorokiniana], PRW60887.1 Squamosa promoter-binding 1 [Chlorella sorokiniana], PRW60923.1 squamosa promoter binding [Chlorella sorokiniana], PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana], PRW20503.1 squamosa promoter-binding 16 [Chlorella sorokiniana], PRW56499.1 squamosa promoter-binding -like _SBP domain_ transcription factor family [Chlorella sorokiniana], PRW20468.1 squamosa promoter-binding 6 [Chlorella sorokiniana]
OG0000004	Chlorella_VariabilisNC64A	PCFQ01000079.1 g1475 [Chlorella sp. A99]	XP_005844033.1 hypothetical protein CHLNCDRAFT_54787 [Chlorella variabilis], XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis], XP_005845592.1 hypothetical protein CHLNCDRAFT_53768 [Chlorella variabilis], XP_005845837.1 hypothetical protein CHLNCDRAFT_136317 [Chlorella variabilis], XP_005844034.1 hypothetical protein CHLNCDRAFT_27387_ partial [Chlorella variabilis], XP_005843727.1 hypothetical protein CHLNCDRAFT_140043 [Chlorella variabilis], XP_005848208.1 expressed protein [Chlorella variabilis], XP_005845539.1 hypothetical protein CHLNCDRAFT_136680 [Chlorella variabilis], XP_005842938.1 hypothetical protein CHLNCDRAFT_37677 [Chlorella variabilis], XP_005847945.1 hypothetical protein CHLNCDRAFT_17840_ partial [Chlorella variabilis], XP_005851959.1 hypothetical protein CHLNCDRAFT_133640 [Chlorella variabilis], XP_005845547.1 hypothetical protein CHLNCDRAFT_136695 [Chlorella variabilis], XP_005852265.1 hypothetical protein CHLNCDRAFT_133643 [Chlorella variabilis], XP_005843521.1 hypothetical protein CHLNCDRAFT_59250 [Chlorella variabilis], XP_005851469.1 hypothetical protein CHLNCDRAFT_19177_ partial [Chlorella variabilis], XP_005849248.1 hypothetical protein CHLNCDRAFT_143491 [Chlorella variabilis], XP_005844521.1 hypothetical protein CHLNCDRAFT_138913 [Chlorella variabilis], XP_005848195.1 hypothetical protein CHLNCDRAFT_145623 [Chlorella variabilis], XP_005843197.1 hypothetical protein CHLNCDRAFT_28394 [Chlorella variabilis]
OG0000004	Scenedesmus_NREL	PCFQ01000079.1 g1475 [Chlorella sp. A99]	KAF6260400.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264844.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261352.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250912.1 SBP domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6251709.1 hypothetical protein COO60DRAFT_1644723 [Scenedesmus sp. NREL 46B-D3], KAF6262143.1 hypothetical protein COO60DRAFT_675428 [Scenedesmus sp. NREL 46B-D3], KAF6263211.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259815.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250952.1 hypothetical protein COO60DRAFT_706206 [Scenedesmus sp. NREL 46B-D3], KAF6261110.1 hypothetical protein COO60DRAFT_1637014 [Scenedesmus sp. NREL 46B-D3], KAF6258175.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000004	Scenedesmus_PABB004	PCFQ01000079.1 g1475 [Chlorella sp. A99]	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004], KAF8071295.1 SPL5 [Scenedesmus sp. PABB004], KAF8071247.1 SPL14 [Scenedesmus sp. PABB004], KAF8059132.1 SPL1 [Scenedesmus sp. PABB004], KAF8073215.1 SPL8 [Scenedesmus sp. PABB004], KAF8073175.1 LG1 [Scenedesmus sp. PABB004], KAF8061149.1 SPL2 [Scenedesmus sp. PABB004], KAF8061148.1 SPL1 [Scenedesmus sp. PABB004], KAF8067136.1 hypothetical protein HT031_002183 [Scenedesmus sp. PABB004], KAF8055591.1 SPL7 [Scenedesmus sp. PABB004], KAF8057876.1 SPL3 [Scenedesmus sp. PABB004], KAF8057875.1 SPL3 [Scenedesmus sp. PABB004]
OG0000004	Chlorella_Vulgaris2111P	PCFQ01000079.1 g1475 [Chlorella sp. A99]	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris], KAI3424143.1 hypothetical protein D9Q98_009503 [Chlorella vulgaris], KAI3424061.1 hypothetical protein D9Q98_009424 [Chlorella vulgaris], KAI3425342.1 hypothetical protein D9Q98_009106 [Chlorella vulgaris], KAI3424328.1 hypothetical protein D9Q98_009881 [Chlorella vulgaris], KAI3426124.1 hypothetical protein D9Q98_008503 [Chlorella vulgaris], KAI3424155.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris], KAI3424156.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris], KAI3430979.1 hypothetical protein D9Q98_009383 [Chlorella vulgaris], KAI3437765.1 hypothetical protein D9Q98_000212 [Chlorella vulgaris], KAI3433657.1 hypothetical protein D9Q98_003466 [Chlorella vulgaris], KAI3437552.1 hypothetical protein D9Q98_000005 [Chlorella vulgaris], KAI3437553.1 hypothetical protein D9Q98_000006 [Chlorella vulgaris], KAI3427434.1 hypothetical protein D9Q98_010349 [Chlorella vulgaris]
OG0000004	Auxenochlorella_protothecoides	PCFQ01000079.1 g1475 [Chlorella sp. A99]	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides], RMZ52284.1 hypothetical protein APUTEX25_001674 [Auxenochlorella protothecoides], RMZ52588.1 hypothetical protein APUTEX25_000707 [Auxenochlorella protothecoides], RMZ54530.1 hypothetical protein APUTEX25_001702_ partial [Auxenochlorella protothecoides], RMZ53046.1 hypothetical protein APUTEX25_001165 [Auxenochlorella protothecoides], RMZ55712.1 hypothetical protein APUTEX25_005753 [Auxenochlorella protothecoides], RMZ54640.1 hypothetical protein APUTEX25_003018 [Auxenochlorella protothecoides]
OG0000004	Coccomyxa_SubellipsoideaC169	PCFQ01000079.1 g1475 [Chlorella sp. A99]	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000004	Micractinium_SAG24180	PCFQ01000079.1 g1475 [Chlorella sp. A99]	PSC71250.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC71709.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC72580.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC69133.1 squamosa promoter-binding 7 isoform B [Micractinium conductrix], PSC69134.1 squamosa promoter-binding 7 isoform C [Micractinium conductrix], PSC69132.1 squamosa promoter-binding 7 isoform A [Micractinium conductrix], PSC69137.1 squamosa promoter binding [Micractinium conductrix], PSC71981.1 squamosa promoter binding [Micractinium conductrix], PSC72586.1 hypothetical protein C2E20_4320 [Micractinium conductrix], PSC74766.1 squamosa promoter-binding 16 [Micractinium conductrix], PSC74759.1 copper responsive regulator 1 [Micractinium conductrix], PSC74248.1 squamosa promoter-binding 6 isoform X1 [Micractinium conductrix], PSC71707.1 squamosa promoter-binding 15 [Micractinium conductrix], PSC69488.1 Squamosa promoter-binding 11 [Micractinium conductrix], PSC68538.1 squamosa promoter-binding 3 [Micractinium conductrix], PSC68456.1 squamosa promoter binding [Micractinium conductrix], PSC76211.1 squamosa promoter binding [Micractinium conductrix]
OG0000005	Chlorella_KRBP	PCFQ01000079.1 g1243 [Chlorella sp. A99], PCFQ01000015.1 g2977 [Chlorella sp. A99], PCFQ01000015.1 g2985 [Chlorella sp. A99], PCFQ01000015.1 g3006 [Chlorella sp. A99], PCFQ01000015.1 g2995 [Chlorella sp. A99], PCFQ01000015.1 g3024 [Chlorella sp. A99], PCFQ01000015.1 g3044 [Chlorella sp. A99], PCFQ01000005.1 g820 [Chlorella sp. A99], PCFQ01000005.1 g826 [Chlorella sp. A99], PCFQ01000018.1 g424 [Chlorella sp. A99], PCFQ01000001.1 g977 [Chlorella sp. A99], PCFQ01000015.1 g3014 [Chlorella sp. A99]	QAXK01016321.1_1655-2667
OG0000005	Coccomyxa_SubellipsoideaC169	PCFQ01000079.1 g1243 [Chlorella sp. A99]	EIE20029.1 histone 2A variant [Coccomyxa subellipsoidea C-169]
OG0000005	Chlorella_VariabilisNC64A	PCFQ01000079.1 g1243 [Chlorella sp. A99]	XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis]
OG0000005	Chlorella_Sorokiniana1602	PCFQ01000079.1 g1243 [Chlorella sp. A99]	PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana]
OG0000005	Chlorella_Vulgaris2111P	PCFQ01000079.1 g1243 [Chlorella sp. A99]	KAI3429680.1 hypothetical protein D9Q98_005765 [Chlorella vulgaris]
