Orthogroup	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180
OG0000008	EIE19112.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19132.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21862.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23633.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21869.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19101.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]	PSC71213.1 Histone H4 [Micractinium conductrix], PSC72310.1 Histone H4 [Micractinium conductrix], PSC68336.1 Histone H4 [Micractinium conductrix], PSC72060.1 Histone H4 [Micractinium conductrix], PSC71092.1 Histone H4 [Micractinium conductrix], PSC72143.1 Histone H4 [Micractinium conductrix], PSC72347.1 Histone H4 [Micractinium conductrix], PSC68363.1 Histone H4 [Micractinium conductrix], PSC72279.1 Histone H4 [Micractinium conductrix], PSC72277.1 Histone H4 [Micractinium conductrix], PSC74522.1 Histone H4 [Micractinium conductrix]
OG0000009	EIE27622.1 hypothetical protein COCSUDRAFT_39238 [Coccomyxa subellipsoidea C-169]	PSC67809.1 ribonucleases P MRP subunit POP1 [Micractinium conductrix], PSC75877.1 left border a [Micractinium conductrix]
OG0000011	EIE23922.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE23924.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE19365.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26735.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18365.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE26174.1 hypothetical protein COCSUDRAFT_46522 [Coccomyxa subellipsoidea C-169], EIE18397.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20425.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20426.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20544.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22674.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE27156.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PSC76957.1 kinase [Micractinium conductrix], PSC69706.1 kinase [Micractinium conductrix], PSC69656.1 kinase [Micractinium conductrix], PSC72637.1 kinase [Micractinium conductrix]
OG0000012	EIE21870.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19169.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE23634.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19102.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19133.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19111.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE21861.1 histone H3 [Coccomyxa subellipsoidea C-169]	PSC72265.1 histone H3 [Micractinium conductrix]
OG0000013	EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PSC70880.1 sulfur stress regulator [Micractinium conductrix]
OG0000013	EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169]	PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix]
OG0000014	EIE18936.1 cyclophilin-like protein [Coccomyxa subellipsoidea C-169]	PSC69049.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	EIE20388.1 gcip-interacting family protein-like protein [Coccomyxa subellipsoidea C-169]	PSC68358.1 peptidyl-prolyl cis-trans isomerase CYP19-3 [Micractinium conductrix]
OG0000014	EIE22797.1 cyclophilin_ partial [Coccomyxa subellipsoidea C-169]	PSC73928.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	EIE27323.1 hypothetical protein COCSUDRAFT_11218_ partial [Coccomyxa subellipsoidea C-169]	PSC72208.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Micractinium conductrix]
OG0000014	EIE25709.1 hypothetical protein COCSUDRAFT_12651 [Coccomyxa subellipsoidea C-169]	PSC76028.1 peptidyl-prolyl cis-trans cyclophilin-type [Micractinium conductrix]
OG0000014	EIE23164.1 hypothetical protein COCSUDRAFT_47524 [Coccomyxa subellipsoidea C-169]	PSC72104.1 photosynthetic NDH subunit of lumenal location chloroplastic [Micractinium conductrix]
OG0000015	EIE18190.1 polymerase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20037.1 polymerase-like protein_ partial [Coccomyxa subellipsoidea C-169]	PSC74858.1 reverse transcriptase [Micractinium conductrix], PSC71750.1 DNase I [Micractinium conductrix], PSC72806.1 hypothetical protein C2E20_3905 [Micractinium conductrix], PSC72775.1 hypothetical protein C2E20_3906 [Micractinium conductrix]
OG0000016	EIE19689.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]	PSC75488.1 polyubiquitin [Micractinium conductrix]
OG0000016	EIE20101.1 hypothetical protein COCSUDRAFT_44063 [Coccomyxa subellipsoidea C-169]	PSC67370.1 bi-major isoform [Micractinium conductrix]
OG0000016	EIE25290.1 ubiquitin fusion protein_ partial [Coccomyxa subellipsoidea C-169]	PSC68113.1 ubiquitin-60S ribosomal L40 [Micractinium conductrix]
OG0000018	EIE25106.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24716.1 hypothetical protein COCSUDRAFT_46919 [Coccomyxa subellipsoidea C-169]	PSC71636.1 transcription factor MYB98-like [Micractinium conductrix]
OG0000018	EIE25222.1 hypothetical protein COCSUDRAFT_35694 [Coccomyxa subellipsoidea C-169]	PSC74728.1 Myb A [Micractinium conductrix]
OG0000018	EIE25757.1 hypothetical protein COCSUDRAFT_12896_ partial [Coccomyxa subellipsoidea C-169]	PSC72450.1 myb-related B-like isoform A [Micractinium conductrix], PSC72449.1 myb-related B-like isoform B [Micractinium conductrix]
OG0000020	EIE22313.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE20603.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE27221.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE19027.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE22323.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE26164.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE21809.1 hexose transporter [Coccomyxa subellipsoidea C-169], EIE25646.1 general substrate transporter [Coccomyxa subellipsoidea C-169]	PSC76169.1 H_+_ hexose cotransporter 2 [Micractinium conductrix], PSC74047.1 H_+_ hexose cotransporter 2 isoform C [Micractinium conductrix], PSC74046.1 H_+_ hexose cotransporter 2 isoform A [Micractinium conductrix], PSC74048.1 H_+_ hexose cotransporter 2 isoform B [Micractinium conductrix], PSC74912.1 H_+_ hexose cotransporter 2 [Micractinium conductrix], PSC76673.1 H_+_ hexose cotransporter 2 [Micractinium conductrix]
OG0000023	EIE22970.1 hypothetical protein COCSUDRAFT_15840_ partial [Coccomyxa subellipsoidea C-169]	PSC69922.1 Zn-finger CCCH type [Micractinium conductrix]
OG0000023	EIE18478.1 hypothetical protein COCSUDRAFT_9572_ partial [Coccomyxa subellipsoidea C-169]	PSC75384.1 zinc finger CCCH domain-containing 66-like [Micractinium conductrix], PSC76370.1 Prolyl 4-hydroxylase subunit alpha-2 [Micractinium conductrix]
OG0000024	EIE18942.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169], EIE18940.1 hypothetical protein COCSUDRAFT_68092 [Coccomyxa subellipsoidea C-169], EIE27460.1 hypothetical protein COCSUDRAFT_39124 [Coccomyxa subellipsoidea C-169]	PSC68481.1 subtilisin-like serine protease [Micractinium conductrix], PSC71480.1 subtilisin-like serine protease [Micractinium conductrix], PSC71786.1 peptidase S8 [Micractinium conductrix], PSC71832.1 peptidase S8 [Micractinium conductrix], PSC74435.1 Extracellular basic protease [Micractinium conductrix], PSC71482.1 alkaline serine protease [Micractinium conductrix], PSC76977.1 peptidase S8 [Micractinium conductrix]
OG0000025	EIE26260.1 hypothetical protein COCSUDRAFT_64410 [Coccomyxa subellipsoidea C-169], EIE20369.1 CheY-like protein_ partial [Coccomyxa subellipsoidea C-169]	PSC74952.1 PHR1-LIKE 1 [Micractinium conductrix], PSC74956.1 LIM and cysteine-rich domains 1 [Micractinium conductrix]
OG0000025	EIE20127.1 hypothetical protein COCSUDRAFT_57853 [Coccomyxa subellipsoidea C-169], EIE20396.1 hypothetical protein COCSUDRAFT_9894_ partial [Coccomyxa subellipsoidea C-169]	PSC71942.1 g2-like myb-family transcription factor [Micractinium conductrix], PSC67158.1 Acyl-[acyl-carrier] desaturase chloroplastic [Micractinium conductrix]
OG0000025	EIE27570.1 CheY-like protein [Coccomyxa subellipsoidea C-169]	PSC69534.1 Two-component response regulator ARR14 isoform 1 [Micractinium conductrix]
OG0000026	EIE25754.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]	PSC75324.1 class V aminotransferase [Micractinium conductrix]
OG0000027	EIE27191.1 hypothetical protein COCSUDRAFT_55214 [Coccomyxa subellipsoidea C-169]	PSC70082.1 serine threonine-kinase [Micractinium conductrix], PSC68500.1 serine threonine-kinase [Micractinium conductrix], PSC68562.1 serine threonine-kinase [Micractinium conductrix], PSC68117.1 serine threonine-kinase [Micractinium conductrix]
OG0000028	EIE21876.1 hypothetical protein COCSUDRAFT_56324 [Coccomyxa subellipsoidea C-169]	PSC71672.1 hypothetical protein C2E20_4858 [Micractinium conductrix], PSC72252.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC68771.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC72679.1 hypothetical protein C2E20_4057 [Micractinium conductrix], PSC74578.1 ankyrin repeat domain [Micractinium conductrix], PSC73592.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Micractinium conductrix]
OG0000031	EIE20028.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]	PSC71095.1 cytochrome P450 [Micractinium conductrix]
OG0000031	EIE20244.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE25682.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20661.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21561.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19061.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19060.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19314.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]	PSC76428.1 cytochrome P450 isoform A [Micractinium conductrix], PSC76426.1 cytochrome P450 isoform B [Micractinium conductrix], PSC76427.1 cytochrome P450 isoform C [Micractinium conductrix]
OG0000035	EIE21150.1 hypothetical protein COCSUDRAFT_18014 [Coccomyxa subellipsoidea C-169]	PSC68386.1 3-ketoacyl-synthase 11-like [Micractinium conductrix]
OG0000035	EIE23299.1 hypothetical protein COCSUDRAFT_36731 [Coccomyxa subellipsoidea C-169], EIE26318.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE19204.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE20572.1 very-long-chain 3-ketoacyl-CoA synthase_ partial [Coccomyxa subellipsoidea C-169], EIE20573.1 hypothetical protein COCSUDRAFT_18466_ partial [Coccomyxa subellipsoidea C-169], EIE26289.1 hypothetical protein COCSUDRAFT_12451_ partial [Coccomyxa subellipsoidea C-169], EIE26326.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169]	PSC74991.1 very-long-chain 3-ketoacyl-synthase [Micractinium conductrix], PSC75078.1 3-ketoacyl-synthase 20-like [Micractinium conductrix]
OG0000036	EIE26066.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18360.1 hypothetical protein COCSUDRAFT_49303 [Coccomyxa subellipsoidea C-169], EIE27057.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22387.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26119.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PSC70418.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC73115.1 kinase [Micractinium conductrix], PSC70592.1 kinase [Micractinium conductrix]
OG0000037	EIE19993.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169]	PSC69659.1 Chlorophyll a-b binding of LHCII type chloroplastic [Micractinium conductrix]
OG0000037	EIE26437.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26873.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26815.1 major light-harvesting complex II protein m10 [Coccomyxa subellipsoidea C-169]	PSC74553.1 chlorophyll a b-binding [Micractinium conductrix]
OG0000038	EIE20983.1 hypothetical protein COCSUDRAFT_43360 [Coccomyxa subellipsoidea C-169], EIE23576.1 hypothetical protein COCSUDRAFT_47351 [Coccomyxa subellipsoidea C-169], EIE27181.1 hypothetical protein COCSUDRAFT_45764 [Coccomyxa subellipsoidea C-169], EIE21077.1 hypothetical protein COCSUDRAFT_67068 [Coccomyxa subellipsoidea C-169], EIE23577.1 hypothetical protein COCSUDRAFT_41776 [Coccomyxa subellipsoidea C-169], EIE20154.1 hypothetical protein COCSUDRAFT_44111 [Coccomyxa subellipsoidea C-169]	PSC74255.1 pp1a replicase poly [Micractinium conductrix], PSC71330.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Micractinium conductrix], PSC67186.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Micractinium conductrix], PSC67183.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Micractinium conductrix]
OG0000038	EIE22676.1 hypothetical protein COCSUDRAFT_66338 [Coccomyxa subellipsoidea C-169]	PSC73532.1 Transcription initiation factor TFIID subunit 13 [Micractinium conductrix]
OG0000042	EIE25112.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25102.1 phosphate transporter [Coccomyxa subellipsoidea C-169]	PSC76970.1 sodium phosphate symporter [Micractinium conductrix], PSC68171.1 Phosphate-repressible phosphate permease isoform B [Micractinium conductrix], PSC68172.1 Phosphate-repressible phosphate permease isoform A [Micractinium conductrix]
OG0000043	EIE23320.1 hypothetical protein COCSUDRAFT_53571 [Coccomyxa subellipsoidea C-169], EIE23322.1 hypothetical protein COCSUDRAFT_928_ partial [Coccomyxa subellipsoidea C-169], EIE27126.1 hypothetical protein COCSUDRAFT_21230 [Coccomyxa subellipsoidea C-169], EIE21337.1 hypothetical protein COCSUDRAFT_56560 [Coccomyxa subellipsoidea C-169], EIE19743.1 hypothetical protein COCSUDRAFT_31111 [Coccomyxa subellipsoidea C-169], EIE26263.1 hypothetical protein COCSUDRAFT_64412 [Coccomyxa subellipsoidea C-169]	PSC73588.1 putative alpha-glucosidase isoform X1 [Micractinium conductrix], PSC70424.1 alpha-xylosidase 1 [Micractinium conductrix]
OG0000044	EIE27217.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	PSC72258.1 26S proteasome non-ATPase regulatory subunit 5 [Micractinium conductrix]
OG0000044	EIE27609.1 hypothetical protein COCSUDRAFT_55605 [Coccomyxa subellipsoidea C-169]	PSC68320.1 retroelement pol poly [Micractinium conductrix]
OG0000046	EIE25620.1 hypothetical protein COCSUDRAFT_83627 [Coccomyxa subellipsoidea C-169]	PSC69555.1 serine threonine-kinase [Micractinium conductrix], PSC74771.1 serine threonine-kinase [Micractinium conductrix], PSC74773.1 putative LRR receptor-like serine threonine-kinase [Micractinium conductrix], PSC75307.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC67144.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC75471.1 surface antigen [Micractinium conductrix], PSC76706.1 exostosin-like glycosyltransferase isoform B [Micractinium conductrix], PSC76704.1 exostosin-like glycosyltransferase isoform C [Micractinium conductrix]
