Orthogroup	Chlorella_A99	Micractinium_SAG24180
OG0000006	PCFQ01000079.1 g1425 [Chlorella sp. A99]	PSC74167.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000006	PCFQ01000009.1 g1704 [Chlorella sp. A99]	PSC72144.1 kinase [Micractinium conductrix]
OG0000006	PCFQ01000082.1 g563 [Chlorella sp. A99]	PSC69274.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC70242.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000007	PCFQ01000018.1 g423 [Chlorella sp. A99]	PSC69424.1 histone H2B [Micractinium conductrix]
OG0000007	PCFQ01000015.1 g3043 [Chlorella sp. A99], PCFQ01000015.1 g3021 [Chlorella sp. A99], PCFQ01000015.1 g3000 [Chlorella sp. A99], PCFQ01000015.1 g3005 [Chlorella sp. A99], PCFQ01000015.1 g3025 [Chlorella sp. A99]	PSC71210.1 Histone [Micractinium conductrix], PSC72154.1 Histone [Micractinium conductrix], PSC71158.1 Histone [Micractinium conductrix], PSC72107.1 Histone [Micractinium conductrix], PSC72209.1 Histone [Micractinium conductrix], PSC72316.1 Histone [Micractinium conductrix], PSC71283.1 Histone [Micractinium conductrix], PSC68365.1 Histone [Micractinium conductrix], PSC68331.1 Histone [Micractinium conductrix], PSC72134.1 Histone [Micractinium conductrix], PSC72315.1 Histone [Micractinium conductrix]
OG0000008	PCFQ01000015.1 g2986 [Chlorella sp. A99], PCFQ01000082.1 g615 [Chlorella sp. A99]	PSC71213.1 Histone H4 [Micractinium conductrix]
OG0000008	PCFQ01000015.1 g3004 [Chlorella sp. A99]	PSC72310.1 Histone H4 [Micractinium conductrix], PSC68336.1 Histone H4 [Micractinium conductrix], PSC72060.1 Histone H4 [Micractinium conductrix]
OG0000008	PCFQ01000082.1 g610 [Chlorella sp. A99]	PSC72143.1 Histone H4 [Micractinium conductrix]
OG0000008	PCFQ01000015.1 g3019 [Chlorella sp. A99]	PSC68363.1 Histone H4 [Micractinium conductrix]
OG0000008	PCFQ01000015.1 g3016 [Chlorella sp. A99]	PSC72279.1 Histone H4 [Micractinium conductrix]
OG0000009	PCFQ01000006.1 g3166 [Chlorella sp. A99]	PSC74206.1 left border a [Micractinium conductrix]
OG0000009	PCFQ01000082.1 g599 [Chlorella sp. A99]	PSC77048.1 polysaccharide deacetylase [Micractinium conductrix]
OG0000009	PCFQ01000005.1 g811 [Chlorella sp. A99], PCFQ01000005.1 g814 [Chlorella sp. A99]	PSC74790.1 hypothetical protein C2E20_2386 [Micractinium conductrix]
OG0000011	PCFQ01000079.1 g1466 [Chlorella sp. A99]	PSC69656.1 kinase [Micractinium conductrix]
OG0000012	PCFQ01000023.1 g2231 [Chlorella sp. A99], PCFQ01000015.1 g3020 [Chlorella sp. A99], PCFQ01000015.1 g3003 [Chlorella sp. A99], PCFQ01000015.1 g3015 [Chlorella sp. A99], PCFQ01000015.1 g3027 [Chlorella sp. A99], PCFQ01000082.1 g616 [Chlorella sp. A99], PCFQ01000082.1 g609 [Chlorella sp. A99], PCFQ01000015.1 g2996 [Chlorella sp. A99]	PSC72265.1 histone H3 [Micractinium conductrix]
OG0000013	PCFQ01000004.1 g2688 [Chlorella sp. A99]	PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix]
OG0000014	PCFQ01000078.1 g2026 [Chlorella sp. A99]	PSC68358.1 peptidyl-prolyl cis-trans isomerase CYP19-3 [Micractinium conductrix]
OG0000014	PCFQ01000058.1 g245 [Chlorella sp. A99]	PSC73928.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	PCFQ01000046.1 g1865 [Chlorella sp. A99]	PSC72208.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Micractinium conductrix]
OG0000016	PCFQ01000005.1 g825 [Chlorella sp. A99]	PSC75488.1 polyubiquitin [Micractinium conductrix]
OG0000016	PCFQ01000001.1 g1003 [Chlorella sp. A99]	PSC67370.1 bi-major isoform [Micractinium conductrix]
OG0000016	PCFQ01000011.1 g2796 [Chlorella sp. A99]	PSC68113.1 ubiquitin-60S ribosomal L40 [Micractinium conductrix]
OG0000018	PCFQ01000008.1 g1163 [Chlorella sp. A99]	PSC71636.1 transcription factor MYB98-like [Micractinium conductrix]
OG0000018	PCFQ01000077.1 g1778 [Chlorella sp. A99]	PSC72450.1 myb-related B-like isoform A [Micractinium conductrix], PSC72449.1 myb-related B-like isoform B [Micractinium conductrix]
OG0000020	PCFQ01000079.1 g1504 [Chlorella sp. A99]	PSC76169.1 H_+_ hexose cotransporter 2 [Micractinium conductrix]
OG0000020	PCFQ01000001.1 g998 [Chlorella sp. A99]	PSC74047.1 H_+_ hexose cotransporter 2 isoform C [Micractinium conductrix], PSC74046.1 H_+_ hexose cotransporter 2 isoform A [Micractinium conductrix], PSC74048.1 H_+_ hexose cotransporter 2 isoform B [Micractinium conductrix]
OG0000020	PCFQ01000037.1 g2425 [Chlorella sp. A99]	PSC74912.1 H_+_ hexose cotransporter 2 [Micractinium conductrix], PSC76673.1 H_+_ hexose cotransporter 2 [Micractinium conductrix]
OG0000023	PCFQ01000037.1 g2484 [Chlorella sp. A99]	PSC69922.1 Zn-finger CCCH type [Micractinium conductrix]
OG0000024	PCFQ01000010.1 g357 [Chlorella sp. A99], PCFQ01000010.1 g359 [Chlorella sp. A99]	PSC71482.1 alkaline serine protease [Micractinium conductrix]
OG0000024	PCFQ01000007.1 g1217 [Chlorella sp. A99]	PSC76977.1 peptidase S8 [Micractinium conductrix]
OG0000025	PCFQ01000011.1 g2838 [Chlorella sp. A99]	PSC74952.1 PHR1-LIKE 1 [Micractinium conductrix], PSC74956.1 LIM and cysteine-rich domains 1 [Micractinium conductrix]
OG0000026	PCFQ01000058.1 g54 [Chlorella sp. A99]	PSC75324.1 class V aminotransferase [Micractinium conductrix], PSC74002.1 Ccr4p [Micractinium conductrix], PSC74992.1 Sn1-specific diacylglycerol lipase beta [Micractinium conductrix]
OG0000027	PCFQ01000026.1 g2290 [Chlorella sp. A99]	PSC76714.1 serine threonine-kinase [Micractinium conductrix]
OG0000027	PCFQ01000037.1 g2531 [Chlorella sp. A99]	PSC70082.1 serine threonine-kinase [Micractinium conductrix]
OG0000027	PCFQ01000018.1 g407 [Chlorella sp. A99], PCFQ01000018.1 g408 [Chlorella sp. A99]	PSC68500.1 serine threonine-kinase [Micractinium conductrix], PSC68562.1 serine threonine-kinase [Micractinium conductrix]
OG0000027	PCFQ01000010.1 g344 [Chlorella sp. A99]	PSC68117.1 serine threonine-kinase [Micractinium conductrix]
OG0000029	PCFQ01000020.1 g911 [Chlorella sp. A99]	PSC70356.1 hypothetical protein C2E20_6254 [Micractinium conductrix]
OG0000029	PCFQ01000010.1 g362 [Chlorella sp. A99]	PSC67656.1 U6 snRNA phosphodiesterase [Micractinium conductrix], PSC67673.1 U6 snRNA phosphodiesterase [Micractinium conductrix], PSC67670.1 U6 snRNA phosphodiesterase [Micractinium conductrix]
OG0000032	PCFQ01000001.1 g991 [Chlorella sp. A99]	PSC67339.1 hypothetical protein C2E20_8969 [Micractinium conductrix], PSC76701.1 subunit of the ESCRT-III complex [Micractinium conductrix], PSC67873.1 hypothetical protein C2E20_8491 [Micractinium conductrix], PSC69234.1 hypothetical protein C2E20_7279 [Micractinium conductrix], PSC71116.1 hypothetical protein C2E20_5435 [Micractinium conductrix], PSC74160.1 hypothetical protein C2E20_2632 [Micractinium conductrix], PSC71071.1 hypothetical protein C2E20_5453 [Micractinium conductrix], PSC71168.1 Histone [Micractinium conductrix], PSC73454.1 CCCH zinc finger [Micractinium conductrix]
OG0000035	PCFQ01000078.1 g2024 [Chlorella sp. A99]	PSC68386.1 3-ketoacyl-synthase 11-like [Micractinium conductrix]
OG0000036	PCFQ01000078.1 g2010 [Chlorella sp. A99]	PSC73115.1 kinase [Micractinium conductrix]
OG0000037	PCFQ01000006.1 g3252 [Chlorella sp. A99]	PSC74553.1 chlorophyll a b-binding [Micractinium conductrix]
OG0000038	PCFQ01000004.1 g2699 [Chlorella sp. A99]	PSC73532.1 Transcription initiation factor TFIID subunit 13 [Micractinium conductrix]
OG0000039	PCFQ01000078.1 g2164 [Chlorella sp. A99], PCFQ01000002.1 g694 [Chlorella sp. A99]	PSC75203.1 band 7 [Micractinium conductrix], PSC69079.1 band 7 [Micractinium conductrix], PSC69036.1 band 7 [Micractinium conductrix], PSC73918.1 band 7 [Micractinium conductrix], PSC67352.1 band 7 isoform B [Micractinium conductrix], PSC67351.1 band 7 isoform A [Micractinium conductrix]
OG0000042	PCFQ01000004.1 g2664 [Chlorella sp. A99]	PSC76970.1 sodium phosphate symporter [Micractinium conductrix], PSC68171.1 Phosphate-repressible phosphate permease isoform B [Micractinium conductrix], PSC68172.1 Phosphate-repressible phosphate permease isoform A [Micractinium conductrix], PSC75854.1 sodium phosphate symporter [Micractinium conductrix], PSC75765.1 sodium phosphate symporter [Micractinium conductrix], PSC72363.1 sodium phosphate symporter [Micractinium conductrix], PSC76268.1 sodium phosphate symporter [Micractinium conductrix]
OG0000043	PCFQ01000020.1 g910 [Chlorella sp. A99]	PSC73588.1 putative alpha-glucosidase isoform X1 [Micractinium conductrix], PSC70424.1 alpha-xylosidase 1 [Micractinium conductrix]
OG0000044	PCFQ01000011.1 g2748 [Chlorella sp. A99], PCFQ01000023.1 g2223 [Chlorella sp. A99], PCFQ01000015.1 g2988 [Chlorella sp. A99], PCFQ01000008.1 g1142 [Chlorella sp. A99]	PSC68320.1 retroelement pol poly [Micractinium conductrix]
OG0000045	PCFQ01000004.1 g2700 [Chlorella sp. A99]	PSC68161.1 Pleiotropic drug resistance 15 [Micractinium conductrix]
OG0000047	PCFQ01000079.1 g1389 [Chlorella sp. A99]	PSC67495.1 glycerophosphoryl diester phosphodiesterase [Micractinium conductrix], PSC68020.1 hypothetical protein C2E20_8323 [Micractinium conductrix]
OG0000049	PCFQ01000004.1 g2665 [Chlorella sp. A99]	PSC75423.1 ubiquitin-like-specific protease 2A [Micractinium conductrix]
OG0000049	PCFQ01000011.1 g2855 [Chlorella sp. A99]	PSC71619.1 translation initiation factor fusion with methylthioribose kinase [Micractinium conductrix]
OG0000050	PCFQ01000005.1 g823 [Chlorella sp. A99]	PSC75458.1 UPF0187 chloroplastic [Micractinium conductrix]
OG0000051	PCFQ01000079.1 g1472 [Chlorella sp. A99]	PSC71531.1 MATE efflux family [Micractinium conductrix]
OG0000052	PCFQ01000080.1 g1947 [Chlorella sp. A99]	PSC70432.1 zinc finger protein [Micractinium conductrix]
OG0000054	PCFQ01000015.1 g3011 [Chlorella sp. A99]	PSC76705.1 exostosin-like glycosyltransferase isoform A [Micractinium conductrix], PSC76197.1 exostosin-like glycosyltransferase [Micractinium conductrix], PSC76549.1 exostosin-like glycosyltransferase [Micractinium conductrix], PSC72923.1 exostosin-like glycosyltransferase [Micractinium conductrix]
OG0000055	PCFQ01000011.1 g2784 [Chlorella sp. A99]	PSC69744.1 collagen alpha-6_VI_ chain-like isoform X2 [Micractinium conductrix]
OG0000057	PCFQ01000014.1 g1902 [Chlorella sp. A99], PCFQ01000014.1 g1904 [Chlorella sp. A99], PCFQ01000014.1 g1893 [Chlorella sp. A99]	PSC74792.1 Polyketide synthase [Micractinium conductrix]
OG0000057	PCFQ01000014.1 g1892 [Chlorella sp. A99], PCFQ01000014.1 g1903 [Chlorella sp. A99]	PSC68804.1 type I polyketide synthase [Micractinium conductrix], PSC74392.1 polyketide synthase [Micractinium conductrix]
OG0000057	PCFQ01000014.1 g1894 [Chlorella sp. A99], PCFQ01000014.1 g1891 [Chlorella sp. A99]	PSC74591.1 Polyketide synthase isoform B [Micractinium conductrix], PSC67708.1 non-ribosomal peptide [Micractinium conductrix]
OG0000057	PCFQ01000016.1 g2270 [Chlorella sp. A99], PCFQ01000016.1 g2271 [Chlorella sp. A99]	PSC67706.1 polyketide synthase [Micractinium conductrix], PSC74592.1 Polyketide synthase isoform A [Micractinium conductrix]
OG0000059	PCFQ01000004.1 g2590 [Chlorella sp. A99]	PSC71846.1 putative GTP-binding [Micractinium conductrix], PSC69152.1 cobalamin biosynthesis [Micractinium conductrix]
OG0000062	PCFQ01000019.1 g1803 [Chlorella sp. A99]	PSC67528.1 Penta-EF hand domain-containing 1 isoform B [Micractinium conductrix], PSC67529.1 Penta-EF hand domain-containing 1 isoform A [Micractinium conductrix], PSC67527.1 Penta-EF hand domain-containing 1 isoform C [Micractinium conductrix]
OG0000062	PCFQ01000011.1 g2914 [Chlorella sp. A99]	PSC67537.1 Coiled-coil domain-containing 40 [Micractinium conductrix]
OG0000064	PCFQ01000002.1 g733 [Chlorella sp. A99]	PSC70224.1 translation initiation factor IF-chloroplastic [Micractinium conductrix], PSC75863.1 translation initiation factor [Micractinium conductrix]
OG0000064	PCFQ01000018.1 g479 [Chlorella sp. A99]	PSC74717.1 cullin 4 [Micractinium conductrix]
OG0000064	PCFQ01000002.1 g732 [Chlorella sp. A99]	PSC70166.1 cullin 3 [Micractinium conductrix]
OG0000065	PCFQ01000079.1 g1443 [Chlorella sp. A99], PCFQ01000079.1 g1442 [Chlorella sp. A99]	PSC69988.1 GPR1 FUN34 yaaH protein [Micractinium conductrix], PSC70112.1 GPR1 FUN34 yaaH protein [Micractinium conductrix]
OG0000069	PCFQ01000005.1 g800 [Chlorella sp. A99]	PSC75952.1 heat shock 83 [Micractinium conductrix]
OG0000069	PCFQ01000082.1 g619 [Chlorella sp. A99]	PSC74731.1 heat shock 90C [Micractinium conductrix]
OG0000069	PCFQ01000058.1 g50 [Chlorella sp. A99]	PSC75445.1 endoplasmin-like protein [Micractinium conductrix]
OG0000070	PCFQ01000058.1 g142 [Chlorella sp. A99], PCFQ01000081.1 g1628 [Chlorella sp. A99]	PSC69450.1 cyclic nucleotide-binding [Micractinium conductrix], PSC68857.1 Potassium channel AKT1 [Micractinium conductrix]
OG0000070	PCFQ01000007.1 g1186 [Chlorella sp. A99], PCFQ01000002.1 g655 [Chlorella sp. A99]	PSC69222.1 dihydrolipoamide succinyltransferase [Micractinium conductrix]
OG0000071	PCFQ01000046.1 g1858 [Chlorella sp. A99], PCFQ01000081.1 g1641 [Chlorella sp. A99], PCFQ01000079.1 g1436 [Chlorella sp. A99], PCFQ01000079.1 g1437 [Chlorella sp. A99]	PSC74088.1 CAMK CAMK1 kinase [Micractinium conductrix]
OG0000071	PCFQ01000079.1 g1323 [Chlorella sp. A99]	PSC73989.1 CAMK CAMK1 kinase [Micractinium conductrix]
OG0000073	PCFQ01000073.1 g1975 [Chlorella sp. A99], PCFQ01000005.1 g782 [Chlorella sp. A99]	PSC74345.1 Thiol protease aleurain-like [Micractinium conductrix], PSC74018.1 cathepsin L [Micractinium conductrix], PSC74150.1 cathepsin L1D [Micractinium conductrix], PSC67255.1 cathepsin L 1 precursor [Micractinium conductrix], PSC75510.1 oryzain gamma chain [Micractinium conductrix], PSC76854.1 papain family cysteine protease [Micractinium conductrix], PSC68631.1 hypothetical protein C2E20_7797 [Micractinium conductrix]
OG0000074	PCFQ01000079.1 g1351 [Chlorella sp. A99]	PSC74182.1 UPF0160 -like [Micractinium conductrix]
OG0000075	PCFQ01000081.1 g1616 [Chlorella sp. A99]	PSC68948.1 orotidine 5 -phosphate decarboxylase [Micractinium conductrix], PSC73095.1 MYND finger [Micractinium conductrix], PSC71190.1 histone-lysine N-methyltransferase SMYD3-like [Micractinium conductrix], PSC70015.1 tudor domain-containing 1 [Micractinium conductrix], PSC73249.1 hypothetical protein C2E20_3337 [Micractinium conductrix], PSC73066.1 ankyrin [Micractinium conductrix], PSC72948.1 ankyrin [Micractinium conductrix]
OG0000078	PCFQ01000081.1 g1620 [Chlorella sp. A99]	PSC70696.1 phosphofructokinase family [Micractinium conductrix]
OG0000078	PCFQ01000001.1 g954 [Chlorella sp. A99]	PSC73510.1 phosphofructokinase family [Micractinium conductrix]
OG0000078	PCFQ01000011.1 g2872 [Chlorella sp. A99]	PSC69047.1 phosphofructokinase family [Micractinium conductrix]
OG0000079	PCFQ01000002.1 g739 [Chlorella sp. A99], PCFQ01000006.1 g3202 [Chlorella sp. A99]	PSC74693.1 heat shock 70 [Micractinium conductrix]
OG0000079	PCFQ01000079.1 g1274 [Chlorella sp. A99]	PSC70405.1 heat shock 70 kDa isoform A [Micractinium conductrix], PSC70406.1 heat shock 70 kDa isoform B [Micractinium conductrix]
OG0000079	PCFQ01000058.1 g51 [Chlorella sp. A99]	PSC75643.1 luminal-binding 5 [Micractinium conductrix]
