Orthogroup	Chlorella_A99	Chlorella_VariabilisNC64A
OG0000006	PCFQ01000082.1 g563 [Chlorella sp. A99]	XP_005844632.1 hypothetical protein CHLNCDRAFT_13628_ partial [Chlorella variabilis], XP_005844631.1 hypothetical protein CHLNCDRAFT_36848 [Chlorella variabilis], XP_005847536.1 hypothetical protein CHLNCDRAFT_133720 [Chlorella variabilis], XP_005847535.1 hypothetical protein CHLNCDRAFT_31062 [Chlorella variabilis], XP_005847828.1 hypothetical protein CHLNCDRAFT_134046 [Chlorella variabilis]
OG0000007	PCFQ01000082.1 g581 [Chlorella sp. A99]	XP_005843116.1 hypothetical protein CHLNCDRAFT_37593 [Chlorella variabilis]
OG0000007	PCFQ01000018.1 g423 [Chlorella sp. A99]	XP_005843694.1 hypothetical protein CHLNCDRAFT_27806 [Chlorella variabilis]
OG0000007	PCFQ01000015.1 g3043 [Chlorella sp. A99], PCFQ01000015.1 g3021 [Chlorella sp. A99], PCFQ01000015.1 g3000 [Chlorella sp. A99], PCFQ01000015.1 g3005 [Chlorella sp. A99], PCFQ01000015.1 g3025 [Chlorella sp. A99]	XP_005843134.1 hypothetical protein CHLNCDRAFT_28493 [Chlorella variabilis], XP_005843124.1 hypothetical protein CHLNCDRAFT_55388 [Chlorella variabilis], XP_005846939.1 hypothetical protein CHLNCDRAFT_23970 [Chlorella variabilis], XP_005843643.1 hypothetical protein CHLNCDRAFT_27834 [Chlorella variabilis], XP_005843706.1 hypothetical protein CHLNCDRAFT_27882 [Chlorella variabilis]
OG0000008	PCFQ01000015.1 g3004 [Chlorella sp. A99]	XP_005843696.1 hypothetical protein CHLNCDRAFT_139973 [Chlorella variabilis], XP_005847450.1 hypothetical protein CHLNCDRAFT_134363 [Chlorella variabilis], XP_005846938.1 hypothetical protein CHLNCDRAFT_48891 [Chlorella variabilis]
OG0000009	PCFQ01000006.1 g3166 [Chlorella sp. A99]	XP_005842704.1 hypothetical protein CHLNCDRAFT_136266_ partial [Chlorella variabilis]
OG0000009	PCFQ01000082.1 g599 [Chlorella sp. A99]	XP_005849744.1 hypothetical protein CHLNCDRAFT_142762 [Chlorella variabilis]
OG0000009	PCFQ01000005.1 g811 [Chlorella sp. A99], PCFQ01000005.1 g814 [Chlorella sp. A99]	XP_005851433.1 hypothetical protein CHLNCDRAFT_56687 [Chlorella variabilis], XP_005843107.1 hypothetical protein CHLNCDRAFT_141534 [Chlorella variabilis]
OG0000012	PCFQ01000023.1 g2231 [Chlorella sp. A99], PCFQ01000015.1 g3020 [Chlorella sp. A99], PCFQ01000015.1 g3003 [Chlorella sp. A99], PCFQ01000015.1 g3015 [Chlorella sp. A99], PCFQ01000015.1 g3027 [Chlorella sp. A99], PCFQ01000082.1 g616 [Chlorella sp. A99], PCFQ01000082.1 g609 [Chlorella sp. A99], PCFQ01000015.1 g2996 [Chlorella sp. A99]	XP_005843648.1 histone H3.2 precursor [Chlorella variabilis]
OG0000013	PCFQ01000004.1 g2688 [Chlorella sp. A99]	XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis]
OG0000014	PCFQ01000078.1 g2026 [Chlorella sp. A99]	XP_005846491.1 hypothetical protein CHLNCDRAFT_31767 [Chlorella variabilis]
OG0000014	PCFQ01000058.1 g245 [Chlorella sp. A99]	XP_005845180.1 hypothetical protein CHLNCDRAFT_26227_ partial [Chlorella variabilis]
OG0000014	PCFQ01000046.1 g1865 [Chlorella sp. A99]	XP_005846899.1 hypothetical protein CHLNCDRAFT_13673_ partial [Chlorella variabilis]
OG0000016	PCFQ01000005.1 g825 [Chlorella sp. A99]	XP_005848904.1 hypothetical protein CHLNCDRAFT_51574 [Chlorella variabilis]
OG0000016	PCFQ01000001.1 g1003 [Chlorella sp. A99]	XP_005844299.1 hypothetical protein CHLNCDRAFT_27202 [Chlorella variabilis]
OG0000016	PCFQ01000004.1 g2689 [Chlorella sp. A99]	XP_005849818.1 hypothetical protein CHLNCDRAFT_14180_ partial [Chlorella variabilis]
OG0000016	PCFQ01000011.1 g2796 [Chlorella sp. A99]	XP_005845753.1 ubiquitin_ partial [Chlorella variabilis], XP_005846791.1 hypothetical protein CHLNCDRAFT_24467_ partial [Chlorella variabilis]
OG0000018	PCFQ01000008.1 g1163 [Chlorella sp. A99]	XP_005850135.1 hypothetical protein CHLNCDRAFT_15266_ partial [Chlorella variabilis]
OG0000018	PCFQ01000020.1 g921 [Chlorella sp. A99]	XP_005848235.1 hypothetical protein CHLNCDRAFT_11906_ partial [Chlorella variabilis]
OG0000018	PCFQ01000077.1 g1778 [Chlorella sp. A99]	XP_005850232.1 hypothetical protein CHLNCDRAFT_20303_ partial [Chlorella variabilis]
OG0000020	PCFQ01000079.1 g1504 [Chlorella sp. A99]	XP_005851635.1 hypothetical protein CHLNCDRAFT_33950 [Chlorella variabilis], XP_005842791.1 hypothetical protein CHLNCDRAFT_28837_ partial [Chlorella variabilis]
OG0000020	PCFQ01000001.1 g998 [Chlorella sp. A99]	XP_005847722.1 hypothetical protein CHLNCDRAFT_23239 [Chlorella variabilis], XP_005842790.1 hypothetical protein CHLNCDRAFT_59832 [Chlorella variabilis], XP_005845768.1 hypothetical protein CHLNCDRAFT_59732 [Chlorella variabilis], XP_005842681.1 hypothetical protein CHLNCDRAFT_28988_ partial [Chlorella variabilis]
OG0000020	PCFQ01000037.1 g2425 [Chlorella sp. A99]	XP_005845876.1 hypothetical protein CHLNCDRAFT_136418 [Chlorella variabilis]
OG0000023	PCFQ01000037.1 g2484 [Chlorella sp. A99]	XP_005844503.1 hypothetical protein CHLNCDRAFT_138869 [Chlorella variabilis], XP_005847308.1 hypothetical protein CHLNCDRAFT_134430 [Chlorella variabilis], XP_005847520.1 hypothetical protein CHLNCDRAFT_134556 [Chlorella variabilis]
OG0000024	PCFQ01000082.1 g566 [Chlorella sp. A99]	XP_005847855.1 hypothetical protein CHLNCDRAFT_134105 [Chlorella variabilis]
OG0000024	PCFQ01000058.1 g150 [Chlorella sp. A99]	XP_005847859.1 hypothetical protein CHLNCDRAFT_17670_ partial [Chlorella variabilis]
OG0000024	PCFQ01000010.1 g357 [Chlorella sp. A99], PCFQ01000010.1 g359 [Chlorella sp. A99]	XP_005850926.1 hypothetical protein CHLNCDRAFT_140655 [Chlorella variabilis]
OG0000024	PCFQ01000007.1 g1217 [Chlorella sp. A99]	XP_005848139.1 hypothetical protein CHLNCDRAFT_22903_ partial [Chlorella variabilis]
OG0000025	PCFQ01000011.1 g2838 [Chlorella sp. A99]	XP_005850994.1 hypothetical protein CHLNCDRAFT_140816 [Chlorella variabilis]
OG0000026	PCFQ01000058.1 g54 [Chlorella sp. A99]	XP_005848688.1 hypothetical protein CHLNCDRAFT_57509 [Chlorella variabilis], XP_005843396.1 hypothetical protein CHLNCDRAFT_141235 [Chlorella variabilis], XP_005845649.1 hypothetical protein CHLNCDRAFT_136679 [Chlorella variabilis], XP_005852300.1 hypothetical protein CHLNCDRAFT_134603_ partial [Chlorella variabilis], XP_005851528.1 hypothetical protein CHLNCDRAFT_137959 [Chlorella variabilis], XP_005846610.1 hypothetical protein CHLNCDRAFT_58154 [Chlorella variabilis], XP_005847755.1 hypothetical protein CHLNCDRAFT_133854_ partial [Chlorella variabilis], XP_005842724.1 expressed protein_ partial [Chlorella variabilis], XP_005846203.1 hypothetical protein CHLNCDRAFT_136239_ partial [Chlorella variabilis], XP_005851426.1 hypothetical protein CHLNCDRAFT_137716 [Chlorella variabilis], XP_005842989.1 hypothetical protein CHLNCDRAFT_141701 [Chlorella variabilis], XP_005845234.1 hypothetical protein CHLNCDRAFT_137502 [Chlorella variabilis], XP_005851404.1 expressed protein [Chlorella variabilis], XP_005848389.1 hypothetical protein CHLNCDRAFT_57694 [Chlorella variabilis], XP_005847915.1 hypothetical protein CHLNCDRAFT_145317 [Chlorella variabilis], XP_005845506.1 expressed protein [Chlorella variabilis], XP_005850394.1 hypothetical protein CHLNCDRAFT_50729 [Chlorella variabilis], XP_005850151.1 hypothetical protein CHLNCDRAFT_50737 [Chlorella variabilis], XP_005851650.1 hypothetical protein CHLNCDRAFT_138230 [Chlorella variabilis], XP_005849864.1 expressed protein [Chlorella variabilis], XP_005845970.1 hypothetical protein CHLNCDRAFT_135995 [Chlorella variabilis], XP_005852086.1 hypothetical protein CHLNCDRAFT_56488 [Chlorella variabilis], XP_005846352.1 expressed protein [Chlorella variabilis], XP_005847661.1 hypothetical protein CHLNCDRAFT_134031_ partial [Chlorella variabilis], XP_005852010.1 hypothetical protein CHLNCDRAFT_132940 [Chlorella variabilis]
OG0000027	PCFQ01000026.1 g2290 [Chlorella sp. A99]	XP_005851329.1 hypothetical protein CHLNCDRAFT_138200 [Chlorella variabilis]
OG0000027	PCFQ01000079.1 g1499 [Chlorella sp. A99]	XP_005851655.1 hypothetical protein CHLNCDRAFT_50123 [Chlorella variabilis]
OG0000027	PCFQ01000037.1 g2531 [Chlorella sp. A99]	XP_005845820.1 hypothetical protein CHLNCDRAFT_136568 [Chlorella variabilis]
OG0000027	PCFQ01000018.1 g407 [Chlorella sp. A99], PCFQ01000018.1 g408 [Chlorella sp. A99]	XP_005851971.1 hypothetical protein CHLNCDRAFT_49746 [Chlorella variabilis], XP_005851970.1 hypothetical protein CHLNCDRAFT_133695 [Chlorella variabilis]
OG0000027	PCFQ01000010.1 g344 [Chlorella sp. A99]	XP_005850397.1 hypothetical protein CHLNCDRAFT_57116 [Chlorella variabilis], XP_005846125.1 hypothetical protein CHLNCDRAFT_136066 [Chlorella variabilis]
OG0000029	PCFQ01000020.1 g911 [Chlorella sp. A99]	XP_005848335.1 hypothetical protein CHLNCDRAFT_51898 [Chlorella variabilis]
OG0000029	PCFQ01000010.1 g362 [Chlorella sp. A99]	XP_005846208.1 hypothetical protein CHLNCDRAFT_136255 [Chlorella variabilis]
OG0000031	PCFQ01000058.1 g100 [Chlorella sp. A99]	XP_005849862.1 hypothetical protein CHLNCDRAFT_57280 [Chlorella variabilis], XP_005852048.1 hypothetical protein CHLNCDRAFT_49396 [Chlorella variabilis]
OG0000032	PCFQ01000001.1 g991 [Chlorella sp. A99]	XP_005848604.1 hypothetical protein CHLNCDRAFT_144102 [Chlorella variabilis], XP_005844350.1 hypothetical protein CHLNCDRAFT_58933 [Chlorella variabilis], XP_005845579.1 expressed protein [Chlorella variabilis], XP_005844544.1 hypothetical protein CHLNCDRAFT_138977 [Chlorella variabilis], XP_005849561.1 expressed protein [Chlorella variabilis], XP_005851564.1 hypothetical protein CHLNCDRAFT_138049 [Chlorella variabilis], XP_005844943.1 hypothetical protein CHLNCDRAFT_138290 [Chlorella variabilis], XP_005846961.1 expressed protein [Chlorella variabilis], XP_005844824.1 hypothetical protein CHLNCDRAFT_54132 [Chlorella variabilis], XP_005844823.1 hypothetical protein CHLNCDRAFT_138258 [Chlorella variabilis], XP_005843280.1 hypothetical protein CHLNCDRAFT_141322 [Chlorella variabilis], XP_005849667.1 expressed protein [Chlorella variabilis], XP_005847758.1 hypothetical protein CHLNCDRAFT_57838 [Chlorella variabilis], XP_005847759.1 hypothetical protein CHLNCDRAFT_52289 [Chlorella variabilis], XP_005844587.1 hypothetical protein CHLNCDRAFT_54430 [Chlorella variabilis], XP_005849421.1 hypothetical protein CHLNCDRAFT_143947 [Chlorella variabilis], XP_005849420.1 hypothetical protein CHLNCDRAFT_143946 [Chlorella variabilis], XP_005849419.1 hypothetical protein CHLNCDRAFT_143945 [Chlorella variabilis], XP_005844780.1 expressed protein [Chlorella variabilis], XP_005844782.1 hypothetical protein CHLNCDRAFT_54331 [Chlorella variabilis]
OG0000035	PCFQ01000078.1 g2024 [Chlorella sp. A99]	XP_005846504.1 hypothetical protein CHLNCDRAFT_48950 [Chlorella variabilis]
OG0000036	PCFQ01000010.1 g311 [Chlorella sp. A99], PCFQ01000082.1 g538 [Chlorella sp. A99]	XP_005848446.1 hypothetical protein CHLNCDRAFT_144815 [Chlorella variabilis]
OG0000037	PCFQ01000011.1 g2858 [Chlorella sp. A99]	XP_005850667.1 hypothetical protein CHLNCDRAFT_59584 [Chlorella variabilis]
OG0000037	PCFQ01000006.1 g3252 [Chlorella sp. A99]	XP_005845510.1 hypothetical protein CHLNCDRAFT_137219 [Chlorella variabilis], XP_005843949.1 hypothetical protein CHLNCDRAFT_59790 [Chlorella variabilis]
OG0000038	PCFQ01000009.1 g1721 [Chlorella sp. A99]	XP_005848332.1 hypothetical protein CHLNCDRAFT_145020 [Chlorella variabilis]
OG0000039	PCFQ01000078.1 g2164 [Chlorella sp. A99], PCFQ01000002.1 g694 [Chlorella sp. A99]	XP_005851046.1 hypothetical protein CHLNCDRAFT_140939 [Chlorella variabilis], XP_005851045.1 hypothetical protein CHLNCDRAFT_50489 [Chlorella variabilis], XP_005852236.1 hypothetical protein CHLNCDRAFT_133526 [Chlorella variabilis], XP_005850759.1 hypothetical protein CHLNCDRAFT_140925 [Chlorella variabilis], XP_005852139.1 hypothetical protein CHLNCDRAFT_133254 [Chlorella variabilis], XP_005851799.1 hypothetical protein CHLNCDRAFT_133242 [Chlorella variabilis], XP_005848147.1 hypothetical protein CHLNCDRAFT_145493 [Chlorella variabilis], XP_005848978.1 hypothetical protein CHLNCDRAFT_144516 [Chlorella variabilis], XP_005851040.1 hypothetical protein CHLNCDRAFT_140922_ partial [Chlorella variabilis], XP_005850760.1 hypothetical protein CHLNCDRAFT_140926 [Chlorella variabilis], XP_005847190.1 hypothetical protein CHLNCDRAFT_58107 [Chlorella variabilis], XP_005850761.1 hypothetical protein CHLNCDRAFT_140927 [Chlorella variabilis]
OG0000042	PCFQ01000004.1 g2664 [Chlorella sp. A99]	XP_005842984.1 hypothetical protein CHLNCDRAFT_8635_ partial [Chlorella variabilis], XP_005852067.1 hypothetical protein CHLNCDRAFT_133070 [Chlorella variabilis], XP_005843014.1 hypothetical protein CHLNCDRAFT_141686 [Chlorella variabilis], XP_005843015.1 hypothetical protein CHLNCDRAFT_33297 [Chlorella variabilis]
OG0000043	PCFQ01000037.1 g2394 [Chlorella sp. A99]	XP_005842589.1 hypothetical protein CHLNCDRAFT_143368_ partial [Chlorella variabilis], XP_005845063.1 hypothetical protein CHLNCDRAFT_137349 [Chlorella variabilis]
OG0000043	PCFQ01000020.1 g910 [Chlorella sp. A99]	XP_005843193.1 hypothetical protein CHLNCDRAFT_28370_ partial [Chlorella variabilis], XP_005845064.1 hypothetical protein CHLNCDRAFT_26299_ partial [Chlorella variabilis], XP_005843192.1 hypothetical protein CHLNCDRAFT_141480 [Chlorella variabilis], XP_005848336.1 hypothetical protein CHLNCDRAFT_57649 [Chlorella variabilis]
OG0000045	PCFQ01000004.1 g2700 [Chlorella sp. A99]	XP_005851238.1 hypothetical protein CHLNCDRAFT_137957 [Chlorella variabilis]
OG0000047	PCFQ01000079.1 g1389 [Chlorella sp. A99]	XP_005843185.1 hypothetical protein CHLNCDRAFT_141465 [Chlorella variabilis], XP_005843183.1 hypothetical protein CHLNCDRAFT_141458 [Chlorella variabilis]
OG0000049	PCFQ01000004.1 g2665 [Chlorella sp. A99]	XP_005849919.1 hypothetical protein CHLNCDRAFT_143222 [Chlorella variabilis]
OG0000049	PCFQ01000011.1 g2855 [Chlorella sp. A99]	XP_005850664.1 hypothetical protein CHLNCDRAFT_140697 [Chlorella variabilis]
OG0000050	PCFQ01000005.1 g823 [Chlorella sp. A99]	XP_005848889.1 hypothetical protein CHLNCDRAFT_21860_ partial [Chlorella variabilis]
OG0000051	PCFQ01000079.1 g1472 [Chlorella sp. A99]	XP_005845002.1 hypothetical protein CHLNCDRAFT_54230 [Chlorella variabilis]
OG0000052	PCFQ01000080.1 g1947 [Chlorella sp. A99]	XP_005848473.1 hypothetical protein CHLNCDRAFT_144874 [Chlorella variabilis]
OG0000054	PCFQ01000015.1 g3011 [Chlorella sp. A99]	XP_005848639.1 hypothetical protein CHLNCDRAFT_51514 [Chlorella variabilis], XP_005852081.1 hypothetical protein CHLNCDRAFT_56485 [Chlorella variabilis], XP_005851742.1 hypothetical protein CHLNCDRAFT_133110 [Chlorella variabilis], XP_005844843.1 hypothetical protein CHLNCDRAFT_138314 [Chlorella variabilis], XP_005850568.1 hypothetical protein CHLNCDRAFT_140476 [Chlorella variabilis]
OG0000055	PCFQ01000011.1 g2784 [Chlorella sp. A99]	XP_005843273.1 hypothetical protein CHLNCDRAFT_141309 [Chlorella variabilis], XP_005850183.1 hypothetical protein CHLNCDRAFT_142385 [Chlorella variabilis]
OG0000055	PCFQ01000002.1 g663 [Chlorella sp. A99]	XP_005844014.1 hypothetical protein CHLNCDRAFT_59068 [Chlorella variabilis]
OG0000057	PCFQ01000014.1 g1902 [Chlorella sp. A99], PCFQ01000014.1 g1904 [Chlorella sp. A99], PCFQ01000014.1 g1893 [Chlorella sp. A99]	XP_005843883.1 hypothetical protein CHLNCDRAFT_9558_ partial [Chlorella variabilis], XP_005843880.1 hypothetical protein CHLNCDRAFT_27430_ partial [Chlorella variabilis], XP_005843879.1 hypothetical protein CHLNCDRAFT_27686_ partial [Chlorella variabilis]
OG0000057	PCFQ01000014.1 g1892 [Chlorella sp. A99], PCFQ01000014.1 g1903 [Chlorella sp. A99]	XP_005843882.1 hypothetical protein CHLNCDRAFT_27437_ partial [Chlorella variabilis]
OG0000057	PCFQ01000016.1 g2270 [Chlorella sp. A99], PCFQ01000016.1 g2271 [Chlorella sp. A99]	XP_005843875.1 hypothetical protein CHLNCDRAFT_12211_ partial [Chlorella variabilis]
OG0000059	PCFQ01000004.1 g2590 [Chlorella sp. A99]	XP_005842610.1 hypothetical protein CHLNCDRAFT_55845_ partial [Chlorella variabilis], XP_005846099.1 hypothetical protein CHLNCDRAFT_135999 [Chlorella variabilis], XP_005842738.1 hypothetical protein CHLNCDRAFT_28926_ partial [Chlorella variabilis], XP_005844783.1 hypothetical protein CHLNCDRAFT_138656 [Chlorella variabilis], XP_005843771.1 hypothetical protein CHLNCDRAFT_49195 [Chlorella variabilis], XP_005850074.1 hypothetical protein CHLNCDRAFT_142112 [Chlorella variabilis]
OG0000062	PCFQ01000019.1 g1803 [Chlorella sp. A99]	XP_005848218.1 hypothetical protein CHLNCDRAFT_51740 [Chlorella variabilis]
OG0000062	PCFQ01000011.1 g2914 [Chlorella sp. A99]	XP_005848205.1 hypothetical protein CHLNCDRAFT_144696 [Chlorella variabilis]
OG0000064	PCFQ01000002.1 g733 [Chlorella sp. A99]	XP_005844534.1 hypothetical protein CHLNCDRAFT_58881 [Chlorella variabilis], XP_005847246.1 hypothetical protein CHLNCDRAFT_31223 [Chlorella variabilis]
OG0000064	PCFQ01000018.1 g479 [Chlorella sp. A99]	XP_005843899.1 hypothetical protein CHLNCDRAFT_32941 [Chlorella variabilis]
OG0000064	PCFQ01000002.1 g732 [Chlorella sp. A99]	XP_005844634.1 hypothetical protein CHLNCDRAFT_138949 [Chlorella variabilis]
OG0000065	PCFQ01000079.1 g1443 [Chlorella sp. A99], PCFQ01000079.1 g1442 [Chlorella sp. A99]	XP_005848887.1 hypothetical protein CHLNCDRAFT_144274 [Chlorella variabilis], XP_005848680.1 hypothetical protein CHLNCDRAFT_144272 [Chlorella variabilis], XP_005845896.1 hypothetical protein CHLNCDRAFT_53601 [Chlorella variabilis]
OG0000069	PCFQ01000005.1 g800 [Chlorella sp. A99]	XP_005848732.1 hypothetical protein CHLNCDRAFT_57527 [Chlorella variabilis]
OG0000069	PCFQ01000082.1 g619 [Chlorella sp. A99]	XP_005843734.1 hypothetical protein CHLNCDRAFT_140066 [Chlorella variabilis]
OG0000069	PCFQ01000058.1 g50 [Chlorella sp. A99]	XP_005851069.1 hypothetical protein CHLNCDRAFT_19360_ partial [Chlorella variabilis]
OG0000070	PCFQ01000058.1 g142 [Chlorella sp. A99], PCFQ01000081.1 g1628 [Chlorella sp. A99]	XP_005847923.1 hypothetical protein CHLNCDRAFT_145338 [Chlorella variabilis], XP_005848597.1 hypothetical protein CHLNCDRAFT_144089 [Chlorella variabilis], XP_005848599.1 expressed protein [Chlorella variabilis], XP_005848598.1 expressed protein [Chlorella variabilis]
OG0000070	PCFQ01000007.1 g1186 [Chlorella sp. A99], PCFQ01000002.1 g655 [Chlorella sp. A99]	XP_005848019.1 hypothetical protein CHLNCDRAFT_52200 [Chlorella variabilis]
OG0000071	PCFQ01000046.1 g1858 [Chlorella sp. A99], PCFQ01000081.1 g1641 [Chlorella sp. A99], PCFQ01000079.1 g1436 [Chlorella sp. A99], PCFQ01000079.1 g1437 [Chlorella sp. A99]	XP_005843149.1 hypothetical protein CHLNCDRAFT_33257 [Chlorella variabilis], XP_005843148.1 hypothetical protein CHLNCDRAFT_141552 [Chlorella variabilis], XP_005843147.1 hypothetical protein CHLNCDRAFT_37582_ partial [Chlorella variabilis], XP_005846045.1 hypothetical protein CHLNCDRAFT_8755_ partial [Chlorella variabilis], XP_005845612.1 hypothetical protein CHLNCDRAFT_136852 [Chlorella variabilis], XP_005845710.1 hypothetical protein CHLNCDRAFT_32147 [Chlorella variabilis]
OG0000071	PCFQ01000079.1 g1323 [Chlorella sp. A99]	XP_005845648.1 hypothetical protein CHLNCDRAFT_136678 [Chlorella variabilis]
OG0000073	PCFQ01000073.1 g1975 [Chlorella sp. A99], PCFQ01000005.1 g782 [Chlorella sp. A99]	XP_005845012.1 expressed protein [Chlorella variabilis], XP_005852125.1 hypothetical protein CHLNCDRAFT_133216 [Chlorella variabilis], XP_005851991.1 hypothetical protein CHLNCDRAFT_132900 [Chlorella variabilis], XP_005850391.1 hypothetical protein CHLNCDRAFT_142269 [Chlorella variabilis], XP_005849172.1 hypothetical protein CHLNCDRAFT_143823 [Chlorella variabilis], XP_005846834.1 hypothetical protein CHLNCDRAFT_53084 [Chlorella variabilis]
OG0000074	PCFQ01000079.1 g1351 [Chlorella sp. A99]	XP_005845678.1 hypothetical protein CHLNCDRAFT_136762 [Chlorella variabilis]
