Orthogroup	Scenedesmus_PABB004	Coccomyxa_SubellipsoideaC169
OG0000014	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]	EIE20388.1 gcip-interacting family protein-like protein [Coccomyxa subellipsoidea C-169]
OG0000014	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]	EIE22797.1 cyclophilin_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]	EIE27323.1 hypothetical protein COCSUDRAFT_11218_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	KAF8066173.1 hypothetical protein HT031_002495 [Scenedesmus sp. PABB004]	EIE25709.1 hypothetical protein COCSUDRAFT_12651 [Coccomyxa subellipsoidea C-169]
OG0000014	KAF8056125.1 Ppib [Scenedesmus sp. PABB004]	EIE23164.1 hypothetical protein COCSUDRAFT_47524 [Coccomyxa subellipsoidea C-169]
OG0000015	KAF8062788.1 transposon TX1 protein [Scenedesmus sp. PABB004]	EIE18190.1 polymerase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20037.1 polymerase-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000016	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]	EIE19689.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]
OG0000016	KAF8061345.1 UBQ10 [Scenedesmus sp. PABB004]	EIE26088.1 hexaubiquitin protein [Coccomyxa subellipsoidea C-169]
OG0000016	KAF8056382.1 UBI3 [Scenedesmus sp. PABB004]	EIE25290.1 ubiquitin fusion protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000018	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]	EIE25106.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24716.1 hypothetical protein COCSUDRAFT_46919 [Coccomyxa subellipsoidea C-169]
OG0000018	KAF8058933.1 MYB73 [Scenedesmus sp. PABB004]	EIE25757.1 hypothetical protein COCSUDRAFT_12896_ partial [Coccomyxa subellipsoidea C-169]
OG0000020	KAF8065876.1 STP13 [Scenedesmus sp. PABB004]	EIE22371.1 general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000022	KAF8060321.1 ANK3 [Scenedesmus sp. PABB004]	EIE24288.1 U box [Coccomyxa subellipsoidea C-169]
OG0000023	KAF8058078.1 zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]	EIE23296.1 hypothetical protein COCSUDRAFT_15780_ partial [Coccomyxa subellipsoidea C-169], EIE22970.1 hypothetical protein COCSUDRAFT_15840_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	KAF8065783.1 zZinc finger CCCH domain-containing protein 33 [Scenedesmus sp. PABB004], KAF8073124.1 Zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004], KAF8059146.1 TZF6 [Scenedesmus sp. PABB004], KAF8066358.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004], KAF8060494.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004], KAF8061961.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004]	EIE18253.1 hypothetical protein COCSUDRAFT_60449 [Coccomyxa subellipsoidea C-169]
OG0000024	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]	EIE18942.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169], EIE18940.1 hypothetical protein COCSUDRAFT_68092 [Coccomyxa subellipsoidea C-169], EIE27460.1 hypothetical protein COCSUDRAFT_39124 [Coccomyxa subellipsoidea C-169]
OG0000025	KAF8063097.1 hypothetical protein HT031_003936 [Scenedesmus sp. PABB004]	EIE20127.1 hypothetical protein COCSUDRAFT_57853 [Coccomyxa subellipsoidea C-169], EIE20396.1 hypothetical protein COCSUDRAFT_9894_ partial [Coccomyxa subellipsoidea C-169], EIE27570.1 CheY-like protein [Coccomyxa subellipsoidea C-169]
OG0000026	KAF8061965.1 hypothetical protein HT031_004225 [Scenedesmus sp. PABB004]	EIE25754.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0000028	KAF8071329.1 hypothetical protein HT031_001412 [Scenedesmus sp. PABB004]	EIE21876.1 hypothetical protein COCSUDRAFT_56324 [Coccomyxa subellipsoidea C-169]
OG0000029	KAF8055096.1 2-carboxy-D-arabinitol-1-phosphatase [Scenedesmus sp. PABB004]	EIE24914.1 phosphoglycerate mutase-like protein [Coccomyxa subellipsoidea C-169]
OG0000031	KAF8068429.1 cyp-13A10 [Scenedesmus sp. PABB004]	EIE20028.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000031	KAF8057861.1 CYP97C1 [Scenedesmus sp. PABB004]	EIE21906.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000031	KAF8072732.1 Cyp3a9 [Scenedesmus sp. PABB004]	EIE22263.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21560.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23726.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23180.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20610.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20244.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE25682.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20661.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21561.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19061.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19060.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19314.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000035	KAF8070895.1 hypothetical protein HT031_000976 [Scenedesmus sp. PABB004]	EIE21150.1 hypothetical protein COCSUDRAFT_18014 [Coccomyxa subellipsoidea C-169]
OG0000035	KAF8055285.1 KCS4 [Scenedesmus sp. PABB004], KAF8065770.1 KCS4 [Scenedesmus sp. PABB004], KAF8070862.1 KCS1 [Scenedesmus sp. PABB004], KAF8055276.1 KCS1 [Scenedesmus sp. PABB004], KAF8057691.1 KCS17 [Scenedesmus sp. PABB004], KAF8057911.1 KCS2 [Scenedesmus sp. PABB004]	EIE23299.1 hypothetical protein COCSUDRAFT_36731 [Coccomyxa subellipsoidea C-169], EIE26318.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE19204.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE20572.1 very-long-chain 3-ketoacyl-CoA synthase_ partial [Coccomyxa subellipsoidea C-169], EIE20573.1 hypothetical protein COCSUDRAFT_18466_ partial [Coccomyxa subellipsoidea C-169], EIE26289.1 hypothetical protein COCSUDRAFT_12451_ partial [Coccomyxa subellipsoidea C-169], EIE26326.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169]
OG0000036	KAF8072834.1 TRZ1 [Scenedesmus sp. PABB004], KAF8059664.1 Map3k11 [Scenedesmus sp. PABB004]	EIE26066.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18360.1 hypothetical protein COCSUDRAFT_49303 [Coccomyxa subellipsoidea C-169], EIE27057.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22387.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26119.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000037	KAF8062790.1 RCABP89 [Scenedesmus sp. PABB004]	EIE23074.1 putative chlorophyll a/b-binding protein_ chloroplast precursor [Coccomyxa subellipsoidea C-169], EIE23838.1 hypothetical protein COCSUDRAFT_28488 [Coccomyxa subellipsoidea C-169]
OG0000037	KAF8063772.1 cabII-1 [Scenedesmus sp. PABB004]	EIE26534.1 chlorophyll a/b-binding protein P25 [Coccomyxa subellipsoidea C-169]
OG0000039	KAF8066381.1 hif1an [Scenedesmus sp. PABB004]	EIE24680.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]
OG0000042	KAF8065474.1 pho-4 [Scenedesmus sp. PABB004]	EIE25112.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000042	KAF8066209.1 pho-4 [Scenedesmus sp. PABB004], KAF8059159.1 PHO89 [Scenedesmus sp. PABB004]	EIE25102.1 phosphate transporter [Coccomyxa subellipsoidea C-169]
OG0000043	KAF8065606.1 infC [Scenedesmus sp. PABB004]	EIE20352.1 hypothetical protein COCSUDRAFT_83552 [Coccomyxa subellipsoidea C-169]
OG0000043	KAF8057148.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062772.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062771.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062770.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062769.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8061064.1 alpha-glucosidase [Scenedesmus sp. PABB004]	EIE23320.1 hypothetical protein COCSUDRAFT_53571 [Coccomyxa subellipsoidea C-169], EIE23322.1 hypothetical protein COCSUDRAFT_928_ partial [Coccomyxa subellipsoidea C-169], EIE27126.1 hypothetical protein COCSUDRAFT_21230 [Coccomyxa subellipsoidea C-169], EIE21337.1 hypothetical protein COCSUDRAFT_56560 [Coccomyxa subellipsoidea C-169], EIE19743.1 hypothetical protein COCSUDRAFT_31111 [Coccomyxa subellipsoidea C-169], EIE26263.1 hypothetical protein COCSUDRAFT_64412 [Coccomyxa subellipsoidea C-169]
OG0000046	KAF8060501.1 Smyd3 [Scenedesmus sp. PABB004]	EIE25620.1 hypothetical protein COCSUDRAFT_83627 [Coccomyxa subellipsoidea C-169]
OG0000048	KAF8065439.1 hypothetical protein HT031_003040 [Scenedesmus sp. PABB004]	EIE25851.1 photosystem II oxygen evolving complex protein PsbQ [Coccomyxa subellipsoidea C-169]
OG0000049	KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]	EIE24013.1 hypothetical protein COCSUDRAFT_65695 [Coccomyxa subellipsoidea C-169]
OG0000050	KAF8057910.1 hypothetical protein HT031_005856 [Scenedesmus sp. PABB004], KAF8069493.1 hypothetical protein HT031_001609 [Scenedesmus sp. PABB004]	EIE19187.1 UPF0187-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000051	KAF8059751.1 DTX52 [Scenedesmus sp. PABB004], KAF8069389.1 SPAC11D3.06 [Scenedesmus sp. PABB004]	EIE26080.1 mate-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000051	KAF8060322.1 DTX16 [Scenedesmus sp. PABB004]	EIE25012.1 MATE efflux family protein [Coccomyxa subellipsoidea C-169]
OG0000051	KAF8063707.1 DTX14 [Scenedesmus sp. PABB004], KAF8062039.1 DTX2 [Scenedesmus sp. PABB004]	EIE18674.1 MATE efflux family protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000052	KAF8057270.1 hypothetical protein HT031_006078 [Scenedesmus sp. PABB004], KAF8072531.1 hypothetical protein HT031_000191 [Scenedesmus sp. PABB004], KAF8065866.1 hypothetical protein HT031_002926 [Scenedesmus sp. PABB004], KAF8056142.1 hypothetical protein HT031_006493 [Scenedesmus sp. PABB004], KAF8064531.1 Galns [Scenedesmus sp. PABB004], KAF8058413.1 hypothetical protein HT031_005537 [Scenedesmus sp. PABB004], KAF8065865.1 hypothetical protein HT031_002925 [Scenedesmus sp. PABB004], KAF8066216.1 MRL1 [Scenedesmus sp. PABB004], KAF8062975.1 REIL1 [Scenedesmus sp. PABB004]	EIE22213.1 hypothetical protein COCSUDRAFT_16438 [Coccomyxa subellipsoidea C-169]
OG0000053	KAF8062669.1 hypothetical protein HT031_003998 [Scenedesmus sp. PABB004]	EIE27332.1 DUF1295-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000053	KAF8062646.1 hypothetical protein HT031_003975 [Scenedesmus sp. PABB004], KAF8062678.1 TATDN3 [Scenedesmus sp. PABB004], KAF8062639.1 hypothetical protein HT031_003968 [Scenedesmus sp. PABB004], KAF8062649.1 hypothetical protein HT031_003978 [Scenedesmus sp. PABB004], KAF8062697.1 hypothetical protein HT031_004026 [Scenedesmus sp. PABB004], KAF8062625.1 hypothetical protein HT031_003954 [Scenedesmus sp. PABB004], KAF8062704.1 hypothetical protein HT031_004033 [Scenedesmus sp. PABB004], KAF8057124.1 hypothetical protein HT031_006133 [Scenedesmus sp. PABB004], KAF8062707.1 hypothetical protein HT031_004036 [Scenedesmus sp. PABB004], KAF8062672.1 hypothetical protein HT031_004001 [Scenedesmus sp. PABB004], KAF8062687.1 Papln [Scenedesmus sp. PABB004]	EIE22535.1 DUF1295-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000055	KAF8073197.1 MEE40 [Scenedesmus sp. PABB004]	EIE25181.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0000055	KAF8072999.1 pentatricopeptide repeat-containing protein [Scenedesmus sp. PABB004]	EIE21328.1 TPR-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000060	KAF8060352.1 dhkB [Scenedesmus sp. PABB004]	EIE21789.1 hypothetical protein COCSUDRAFT_17195 [Coccomyxa subellipsoidea C-169], EIE21790.1 hypothetical protein COCSUDRAFT_7070_ partial [Coccomyxa subellipsoidea C-169], EIE24815.1 hypothetical protein COCSUDRAFT_46955 [Coccomyxa subellipsoidea C-169]
OG0000060	KAF8063740.1 e2f7 [Scenedesmus sp. PABB004]	EIE21788.1 hypothetical protein COCSUDRAFT_42835 [Coccomyxa subellipsoidea C-169]
OG0000060	KAF8062684.1 zinc finger protein BRUTUS-like [Scenedesmus sp. PABB004]	EIE21877.1 putative zinc finger protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000062	KAF8063043.1 CCDC40 [Scenedesmus sp. PABB004]	EIE22210.1 hypothetical protein COCSUDRAFT_55906 [Coccomyxa subellipsoidea C-169]
OG0000063	KAF8069607.1 PEX14 [Scenedesmus sp. PABB004]	EIE19699.1 hypothetical protein COCSUDRAFT_44530 [Coccomyxa subellipsoidea C-169], EIE19534.1 hypothetical protein COCSUDRAFT_48772 [Coccomyxa subellipsoidea C-169]
OG0000064	KAF8072395.1 infB [Scenedesmus sp. PABB004]	EIE27388.1 initiation factor 2_ partial [Coccomyxa subellipsoidea C-169]
OG0000064	KAF8061073.1 translation initiation factor IF-2 [Scenedesmus sp. PABB004]	EIE18948.1 initiation factor 2 [Coccomyxa subellipsoidea C-169]
OG0000064	KAF8068312.1 CUL4A [Scenedesmus sp. PABB004]	EIE20444.1 Cullin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000064	KAF8071138.1 CUL3A [Scenedesmus sp. PABB004]	EIE18972.1 Cullin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000065	KAF8060089.1 hypothetical protein HT031_005028 [Scenedesmus sp. PABB004]	EIE24448.1 hypothetical protein COCSUDRAFT_65361 [Coccomyxa subellipsoidea C-169], EIE19959.1 hypothetical protein COCSUDRAFT_44355 [Coccomyxa subellipsoidea C-169]
OG0000066	KAF8056438.1 ttuB [Scenedesmus sp. PABB004], KAF8068182.1 abaQ [Scenedesmus sp. PABB004], KAF8067241.1 ttuB [Scenedesmus sp. PABB004]	EIE23112.1 MFS general substrate transporter_ partial [Coccomyxa subellipsoidea C-169], EIE24699.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000069	KAF8069631.1 HSP81-3 [Scenedesmus sp. PABB004]	EIE18559.1 HSP90-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000069	KAF8068330.1 HSP90-5 [Scenedesmus sp. PABB004]	EIE19325.1 heat shock protein Hsp90 [Coccomyxa subellipsoidea C-169]
OG0000069	KAF8060354.1 HSP90B1 [Scenedesmus sp. PABB004]	EIE27138.1 heat shock protein Hsp90 [Coccomyxa subellipsoidea C-169]
OG0000071	KAF8055935.1 mlkA [Scenedesmus sp. PABB004]	EIE19137.1 Pkinase-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000073	KAF8056137.1 hypothetical protein HT031_006488 [Scenedesmus sp. PABB004]	EIE22545.1 hypothetical protein COCSUDRAFT_63696 [Coccomyxa subellipsoidea C-169]
OG0000074	KAF8061057.1 hypothetical protein HT031_004517 [Scenedesmus sp. PABB004], KAF8056014.1 hypothetical protein HT031_006535 [Scenedesmus sp. PABB004], KAF8061062.1 hypothetical protein HT031_004522 [Scenedesmus sp. PABB004]	EIE21908.1 tricorn protease N-terminal domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000078	KAF8059208.1 PFK5 [Scenedesmus sp. PABB004]	EIE27764.1 phosphofructokinase family protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000078	KAF8067362.1 PFK5 [Scenedesmus sp. PABB004]	EIE26511.1 phosphofructokinase family protein [Coccomyxa subellipsoidea C-169]
OG0000079	KAF8065619.1 HSP70 [Scenedesmus sp. PABB004], KAF8070942.1 HSP70 [Scenedesmus sp. PABB004]	EIE19893.1 heat shock protein 70 [Coccomyxa subellipsoidea C-169], EIE18906.1 heat shock protein 70 [Coccomyxa subellipsoidea C-169]
OG0000079	KAF8060359.1 BIP5 [Scenedesmus sp. PABB004]	EIE27137.1 binding protein 1 [Coccomyxa subellipsoidea C-169]
OG0000080	KAF8065839.1 Herc2 [Scenedesmus sp. PABB004]	EIE26869.1 hypothetical protein COCSUDRAFT_59376 [Coccomyxa subellipsoidea C-169]
OG0000081	KAF8073158.1 acyl-activating enzyme 19-like protein [Scenedesmus sp. PABB004]	EIE25078.1 acetyl-CoA synthetase-like protein [Coccomyxa subellipsoidea C-169]
OG0000081	KAF8055941.1 MST4 [Scenedesmus sp. PABB004]	EIE25677.1 hypothetical protein COCSUDRAFT_35343 [Coccomyxa subellipsoidea C-169]
OG0000081	KAF8065642.1 BASS4 [Scenedesmus sp. PABB004]	EIE20487.1 hypothetical protein COCSUDRAFT_43922 [Coccomyxa subellipsoidea C-169]
OG0000081	KAF8055673.1 BASS4 [Scenedesmus sp. PABB004]	EIE25220.1 hypothetical protein COCSUDRAFT_46640 [Coccomyxa subellipsoidea C-169]
OG0000082	KAF8057866.1 nek2 [Scenedesmus sp. PABB004]	EIE25779.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22390.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000083	KAF8061293.1 puromycin-sensitive aminopeptidase [Scenedesmus sp. PABB004]	EIE24754.1 aminopeptidase N_ partial [Coccomyxa subellipsoidea C-169]
OG0000083	KAF8055757.1 Fam91a1 [Scenedesmus sp. PABB004]	EIE27787.1 hypothetical protein COCSUDRAFT_64386 [Coccomyxa subellipsoidea C-169]
OG0000084	KAF8067153.1 Cysteine synthase [Scenedesmus sp. PABB004]	EIE20906.1 cysteine synthase [Coccomyxa subellipsoidea C-169]
OG0000084	KAF8072629.1 Cysteine synthase [Scenedesmus sp. PABB004]	EIE25691.1 cysteine synthase [Coccomyxa subellipsoidea C-169]
OG0000085	KAF8073178.1 ndufaf3 [Scenedesmus sp. PABB004]	EIE21692.1 DUF498-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000087	KAF8063701.1 SYM1 [Scenedesmus sp. PABB004]	EIE19175.1 hypothetical protein COCSUDRAFT_67996 [Coccomyxa subellipsoidea C-169], EIE25316.1 hypothetical protein COCSUDRAFT_40598 [Coccomyxa subellipsoidea C-169], EIE24943.1 hypothetical protein COCSUDRAFT_65606 [Coccomyxa subellipsoidea C-169], EIE25412.1 hypothetical protein COCSUDRAFT_65236 [Coccomyxa subellipsoidea C-169]
OG0000087	KAF8058038.1 uhpC [Scenedesmus sp. PABB004]	EIE26463.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000087	KAF8068291.1 uhpC [Scenedesmus sp. PABB004]	EIE25599.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000088	KAF8072753.1 pyruvate kinase 1 [Scenedesmus sp. PABB004]	EIE21536.1 Phosphoenolpyruvate/pyruvate domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000088	KAF8058409.1 pyruvate kinase 2 [Scenedesmus sp. PABB004], KAF8062698.1 pyruvate kinase 1 [Scenedesmus sp. PABB004]	EIE23527.1 pyruvate kinase [Coccomyxa subellipsoidea C-169]
OG0000089	KAF8061960.1 hypothetical protein HT031_004220 [Scenedesmus sp. PABB004]	EIE18323.1 hypothetical protein COCSUDRAFT_45394 [Coccomyxa subellipsoidea C-169]
OG0000089	KAF8073038.1 hypothetical protein HT031_000699 [Scenedesmus sp. PABB004]	EIE18314.1 hypothetical protein COCSUDRAFT_60284 [Coccomyxa subellipsoidea C-169]
OG0000090	KAF8060021.1 WD repeat-containing protein [Scenedesmus sp. PABB004]	EIE26347.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0000091	KAF8069632.1 PP2A4 [Scenedesmus sp. PABB004]	EIE24477.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]
OG0000091	KAF8065498.1 PPX2 [Scenedesmus sp. PABB004]	EIE19094.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]
OG0000091	KAF8068346.1 hypothetical protein HT031_002035 [Scenedesmus sp. PABB004]	EIE19973.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]
OG0000092	KAF8072974.1 RDH12 [Scenedesmus sp. PABB004]	EIE21282.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0000092	KAF8067194.1 uapA [Scenedesmus sp. PABB004], KAF8068397.1 wwox [Scenedesmus sp. PABB004]	EIE25766.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0000093	KAF8069443.1 hypothetical protein HT031_001558 [Scenedesmus sp. PABB004]	EIE26079.1 hypothetical protein COCSUDRAFT_61074 [Coccomyxa subellipsoidea C-169], EIE26077.1 hypothetical protein COCSUDRAFT_64969 [Coccomyxa subellipsoidea C-169]
OG0000095	KAF8062760.1 CRTISO2 [Scenedesmus sp. PABB004]	EIE23231.1 amine oxidase [Coccomyxa subellipsoidea C-169]
OG0000096	KAF8054728.1 Abcb6 [Scenedesmus sp. PABB004], KAF8055403.1 Abcb6 [Scenedesmus sp. PABB004]	EIE24526.1 half-size ABC transporter [Coccomyxa subellipsoidea C-169]
OG0000096	KAF8057280.1 Abcb6 [Scenedesmus sp. PABB004]	EIE21885.1 hypothetical protein COCSUDRAFT_56332 [Coccomyxa subellipsoidea C-169]
OG0000097	KAF8062668.1 hypothetical protein HT031_003997 [Scenedesmus sp. PABB004]	EIE23021.1 hypothetical protein COCSUDRAFT_6458_ partial [Coccomyxa subellipsoidea C-169]
OG0000097	KAF8066414.1 CURT1A [Scenedesmus sp. PABB004]	EIE21411.1 hypothetical protein COCSUDRAFT_66872 [Coccomyxa subellipsoidea C-169]
OG0000098	KAF8069427.1 malate dehydrogenase [Scenedesmus sp. PABB004]	EIE25121.1 malate dehydrogenase [Coccomyxa subellipsoidea C-169]
