Orthogroup	Scenedesmus_PABB004	Auxenochlorella_protothecoides
OG0000036	KAF8072834.1 TRZ1 [Scenedesmus sp. PABB004], KAF8059664.1 Map3k11 [Scenedesmus sp. PABB004]	RMZ53707.1 hypothetical protein APUTEX25_003241 [Auxenochlorella protothecoides]
OG0000037	KAF8057671.1 Chlorophyll a-b binding protein of LHCII type I [Scenedesmus sp. PABB004]	RMZ56229.1 hypothetical protein APUTEX25_002419 [Auxenochlorella protothecoides]
OG0000043	KAF8057148.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062772.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062771.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062770.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062769.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8061064.1 alpha-glucosidase [Scenedesmus sp. PABB004]	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]
OG0000046	KAF8060501.1 Smyd3 [Scenedesmus sp. PABB004]	RMZ53206.1 hypothetical protein APUTEX25_005195_ partial [Auxenochlorella protothecoides]
OG0000049	KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]
OG0000050	KAF8057910.1 hypothetical protein HT031_005856 [Scenedesmus sp. PABB004], KAF8069493.1 hypothetical protein HT031_001609 [Scenedesmus sp. PABB004]	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]
OG0000051	KAF8060322.1 DTX16 [Scenedesmus sp. PABB004]	RMZ54646.1 hypothetical protein APUTEX25_003024 [Auxenochlorella protothecoides], RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]
OG0000052	KAF8057270.1 hypothetical protein HT031_006078 [Scenedesmus sp. PABB004], KAF8072531.1 hypothetical protein HT031_000191 [Scenedesmus sp. PABB004], KAF8065866.1 hypothetical protein HT031_002926 [Scenedesmus sp. PABB004], KAF8056142.1 hypothetical protein HT031_006493 [Scenedesmus sp. PABB004], KAF8064531.1 Galns [Scenedesmus sp. PABB004], KAF8058413.1 hypothetical protein HT031_005537 [Scenedesmus sp. PABB004], KAF8065865.1 hypothetical protein HT031_002925 [Scenedesmus sp. PABB004], KAF8066216.1 MRL1 [Scenedesmus sp. PABB004], KAF8062975.1 REIL1 [Scenedesmus sp. PABB004]	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]
OG0000055	KAF8072999.1 pentatricopeptide repeat-containing protein [Scenedesmus sp. PABB004]	RMZ54658.1 hypothetical protein APUTEX25_003036_ partial [Auxenochlorella protothecoides]
OG0000059	KAF8062708.1 hypothetical protein HT031_004037 [Scenedesmus sp. PABB004]	RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]
OG0000060	KAF8060352.1 dhkB [Scenedesmus sp. PABB004]	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides]
OG0000060	KAF8063740.1 e2f7 [Scenedesmus sp. PABB004]	RMZ53684.1 hypothetical protein APUTEX25_003218 [Auxenochlorella protothecoides], RMZ55289.1 hypothetical protein APUTEX25_003772_ partial [Auxenochlorella protothecoides]
OG0000060	KAF8062684.1 zinc finger protein BRUTUS-like [Scenedesmus sp. PABB004]	RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]
OG0000062	KAF8063043.1 CCDC40 [Scenedesmus sp. PABB004]	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]
OG0000063	KAF8069607.1 PEX14 [Scenedesmus sp. PABB004]	RMZ54150.1 hypothetical protein APUTEX25_005306 [Auxenochlorella protothecoides]
OG0000064	KAF8072395.1 infB [Scenedesmus sp. PABB004]	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]
OG0000064	KAF8068312.1 CUL4A [Scenedesmus sp. PABB004]	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]
OG0000064	KAF8071138.1 CUL3A [Scenedesmus sp. PABB004]	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]
OG0000065	KAF8060089.1 hypothetical protein HT031_005028 [Scenedesmus sp. PABB004]	RMZ55168.1 hypothetical protein APUTEX25_005446 [Auxenochlorella protothecoides], RMZ54882.1 hypothetical protein APUTEX25_000399 [Auxenochlorella protothecoides]
OG0000069	KAF8069631.1 HSP81-3 [Scenedesmus sp. PABB004]	RMZ52481.1 hypothetical protein APUTEX25_003624 [Auxenochlorella protothecoides]
OG0000069	KAF8068330.1 HSP90-5 [Scenedesmus sp. PABB004]	RMZ52692.1 hypothetical protein APUTEX25_000811_ partial [Auxenochlorella protothecoides]
OG0000069	KAF8060354.1 HSP90B1 [Scenedesmus sp. PABB004]	RMZ53095.1 hypothetical protein APUTEX25_002504 [Auxenochlorella protothecoides]
OG0000071	KAF8055935.1 mlkA [Scenedesmus sp. PABB004]	RMZ54148.1 hypothetical protein APUTEX25_005304 [Auxenochlorella protothecoides]
OG0000072	KAF8059439.1 hypothetical protein HT031_005244 [Scenedesmus sp. PABB004], KAF8067172.1 hypothetical protein HT031_002219 [Scenedesmus sp. PABB004], KAF8065650.1 hypothetical protein HT031_003251 [Scenedesmus sp. PABB004]	RMZ54387.1 hypothetical protein APUTEX25_001963 [Auxenochlorella protothecoides]
OG0000073	KAF8056137.1 hypothetical protein HT031_006488 [Scenedesmus sp. PABB004]	RMZ54907.1 hypothetical protein APUTEX25_000424_ partial [Auxenochlorella protothecoides]
OG0000078	KAF8059208.1 PFK5 [Scenedesmus sp. PABB004]	RMZ56534.1 hypothetical protein APUTEX25_001381 [Auxenochlorella protothecoides]
OG0000078	KAF8065867.1 PFK5 [Scenedesmus sp. PABB004]	RMZ52490.1 hypothetical protein APUTEX25_003633_ partial [Auxenochlorella protothecoides], RMZ53346.1 hypothetical protein APUTEX25_004834 [Auxenochlorella protothecoides]
OG0000079	KAF8065619.1 HSP70 [Scenedesmus sp. PABB004], KAF8070942.1 HSP70 [Scenedesmus sp. PABB004]	RMZ57222.1 hypothetical protein APUTEX25_004056 [Auxenochlorella protothecoides]
OG0000079	KAF8060359.1 BIP5 [Scenedesmus sp. PABB004]	RMZ53096.1 hypothetical protein APUTEX25_002505 [Auxenochlorella protothecoides]
OG0000080	KAF8065839.1 Herc2 [Scenedesmus sp. PABB004]	RMZ55523.1 hypothetical protein APUTEX25_000106 [Auxenochlorella protothecoides]
OG0000081	KAF8073158.1 acyl-activating enzyme 19-like protein [Scenedesmus sp. PABB004]	RMZ56073.1 hypothetical protein APUTEX25_004497_ partial [Auxenochlorella protothecoides]
OG0000081	KAF8055673.1 BASS4 [Scenedesmus sp. PABB004]	RMZ56025.1 hypothetical protein APUTEX25_004449 [Auxenochlorella protothecoides]
OG0000082	KAF8057866.1 nek2 [Scenedesmus sp. PABB004]	RMZ52693.1 hypothetical protein APUTEX25_000812 [Auxenochlorella protothecoides]
OG0000083	KAF8061293.1 puromycin-sensitive aminopeptidase [Scenedesmus sp. PABB004]	RMZ54832.1 hypothetical protein APUTEX25_000349 [Auxenochlorella protothecoides]
OG0000083	KAF8055757.1 Fam91a1 [Scenedesmus sp. PABB004]	RMZ53760.1 hypothetical protein APUTEX25_003899 [Auxenochlorella protothecoides]
OG0000084	KAF8072629.1 Cysteine synthase [Scenedesmus sp. PABB004]	RMZ55442.1 hypothetical protein APUTEX25_003566_ partial [Auxenochlorella protothecoides]
OG0000087	KAF8063701.1 SYM1 [Scenedesmus sp. PABB004]	RMZ52173.1 hypothetical protein APUTEX25_001563 [Auxenochlorella protothecoides]
OG0000087	KAF8058038.1 uhpC [Scenedesmus sp. PABB004], KAF8068291.1 uhpC [Scenedesmus sp. PABB004]	RMZ55593.1 hypothetical protein APUTEX25_000176 [Auxenochlorella protothecoides]
OG0000088	KAF8072753.1 pyruvate kinase 1 [Scenedesmus sp. PABB004]	RMZ55551.1 hypothetical protein APUTEX25_000134 [Auxenochlorella protothecoides]
OG0000088	KAF8058409.1 pyruvate kinase 2 [Scenedesmus sp. PABB004], KAF8062698.1 pyruvate kinase 1 [Scenedesmus sp. PABB004]	RMZ52215.1 hypothetical protein APUTEX25_001605 [Auxenochlorella protothecoides]
OG0000090	KAF8062922.1 SAT2 [Scenedesmus sp. PABB004]	RMZ55739.1 hypothetical protein APUTEX25_005780_ partial [Auxenochlorella protothecoides]
OG0000090	KAF8060021.1 WD repeat-containing protein [Scenedesmus sp. PABB004]	RMZ55723.1 hypothetical protein APUTEX25_005764 [Auxenochlorella protothecoides]
OG0000091	KAF8069632.1 PP2A4 [Scenedesmus sp. PABB004]	RMZ57273.1 hypothetical protein APUTEX25_004107 [Auxenochlorella protothecoides]
OG0000091	KAF8065498.1 PPX2 [Scenedesmus sp. PABB004]	RMZ54971.1 hypothetical protein APUTEX25_000488 [Auxenochlorella protothecoides]
OG0000091	KAF8068346.1 hypothetical protein HT031_002035 [Scenedesmus sp. PABB004]	RMZ57393.1 hypothetical protein APUTEX25_004227 [Auxenochlorella protothecoides]
OG0000096	KAF8057280.1 Abcb6 [Scenedesmus sp. PABB004]	RMZ52686.1 hypothetical protein APUTEX25_000805 [Auxenochlorella protothecoides]
OG0000097	KAF8066414.1 CURT1A [Scenedesmus sp. PABB004]	RMZ54024.1 hypothetical protein APUTEX25_002601 [Auxenochlorella protothecoides]
OG0000098	KAF8069427.1 malate dehydrogenase [Scenedesmus sp. PABB004]	RMZ53120.1 hypothetical protein APUTEX25_005109 [Auxenochlorella protothecoides]
OG0000098	KAF8064575.1 hypothetical protein HT031_003375 [Scenedesmus sp. PABB004]	RMZ54071.1 hypothetical protein APUTEX25_002648_ partial [Auxenochlorella protothecoides]
OG0000098	KAF8061336.1 malate dehydrogenase [Scenedesmus sp. PABB004]	RMZ55147.1 hypothetical protein APUTEX25_005425 [Auxenochlorella protothecoides]
OG0000099	KAF8062061.1 celZ [Scenedesmus sp. PABB004], KAF8066338.1 celD [Scenedesmus sp. PABB004]	RMZ53156.1 hypothetical protein APUTEX25_005145_ partial [Auxenochlorella protothecoides]
OG0000100	KAF8065914.1 RuBisCO large subunit-binding protein subunit beta [Scenedesmus sp. PABB004]	RMZ53226.1 hypothetical protein APUTEX25_005215 [Auxenochlorella protothecoides]
OG0000101	KAF8059192.1 CD4A [Scenedesmus sp. PABB004]	RMZ53299.1 hypothetical protein APUTEX25_004787 [Auxenochlorella protothecoides]
OG0000101	KAF8070970.1 clpB [Scenedesmus sp. PABB004]	RMZ55341.1 hypothetical protein APUTEX25_003479 [Auxenochlorella protothecoides]
OG0000101	KAF8057718.1 hypothetical protein HT031_005902 [Scenedesmus sp. PABB004]	RMZ55334.1 hypothetical protein APUTEX25_003472 [Auxenochlorella protothecoides]
OG0000102	KAF8065477.1 hypothetical protein HT031_003078 [Scenedesmus sp. PABB004]	RMZ53552.1 hypothetical protein APUTEX25_003374_ partial [Auxenochlorella protothecoides]
OG0000102	KAF8066383.1 Glutamate synthase [NADH] [Scenedesmus sp. PABB004]	RMZ54043.1 hypothetical protein APUTEX25_002620_ partial [Auxenochlorella protothecoides]
OG0000102	KAF8055943.1 hypothetical protein HT031_006582 [Scenedesmus sp. PABB004]	RMZ53532.1 hypothetical protein APUTEX25_003354_ partial [Auxenochlorella protothecoides]
OG0000103	KAF8072876.1 PRY1 [Scenedesmus sp. PABB004], KAF8060570.1 pathogenesis-related protein [Scenedesmus sp. PABB004]	RMZ54608.1 hypothetical protein APUTEX25_002194_ partial [Auxenochlorella protothecoides]
OG0000105	KAF8057267.1 ODA2 [Scenedesmus sp. PABB004], KAF8069431.1 DHC1 [Scenedesmus sp. PABB004], KAF8071068.1 Dnah1 [Scenedesmus sp. PABB004], KAF8066345.1 DNAH7 [Scenedesmus sp. PABB004]	RMZ56376.1 hypothetical protein APUTEX25_004733_ partial [Auxenochlorella protothecoides]
OG0000106	KAF8061163.1 hypothetical protein HT031_004625 [Scenedesmus sp. PABB004], KAF8067300.1 hypothetical protein HT031_002348 [Scenedesmus sp. PABB004]	RMZ57268.1 hypothetical protein APUTEX25_004102_ partial [Auxenochlorella protothecoides]
OG0000106	KAF8067278.1 hypothetical protein HT031_002325 [Scenedesmus sp. PABB004]	RMZ57423.1 hypothetical protein APUTEX25_004257 [Auxenochlorella protothecoides]
OG0000111	KAF8072944.1 ATXR2 [Scenedesmus sp. PABB004]	RMZ54959.1 hypothetical protein APUTEX25_000476 [Auxenochlorella protothecoides], RMZ52193.1 hypothetical protein APUTEX25_001583_ partial [Auxenochlorella protothecoides], RMZ52188.1 hypothetical protein APUTEX25_001578_ partial [Auxenochlorella protothecoides]
OG0000112	KAF8065659.1 P4H2 [Scenedesmus sp. PABB004]	RMZ53741.1 hypothetical protein APUTEX25_003880 [Auxenochlorella protothecoides]
OG0000112	KAF8069685.1 P4H3 [Scenedesmus sp. PABB004]	RMZ52248.1 hypothetical protein APUTEX25_001638 [Auxenochlorella protothecoides]
OG0000113	KAF8062021.1 AAP2 [Scenedesmus sp. PABB004], KAF8062023.1 AAP2 [Scenedesmus sp. PABB004]	RMZ57663.1 hypothetical protein APUTEX25_001863_ partial [Auxenochlorella protothecoides], RMZ52269.1 hypothetical protein APUTEX25_001659_ partial [Auxenochlorella protothecoides], RMZ53815.1 hypothetical protein APUTEX25_003954_ partial [Auxenochlorella protothecoides], RMZ54743.1 hypothetical protein APUTEX25_003121 [Auxenochlorella protothecoides], RMZ57652.1 hypothetical protein APUTEX25_001852 [Auxenochlorella protothecoides]
OG0000114	KAF8070965.1 TRZ4 [Scenedesmus sp. PABB004]	RMZ53860.1 hypothetical protein APUTEX25_005606_ partial [Auxenochlorella protothecoides]
OG0000115	KAF8061951.1 HDAC1 [Scenedesmus sp. PABB004]	RMZ52965.1 hypothetical protein APUTEX25_001084 [Auxenochlorella protothecoides]
OG0000115	KAF8061327.1 HDA9 [Scenedesmus sp. PABB004]	RMZ52361.1 hypothetical protein APUTEX25_000636 [Auxenochlorella protothecoides]
OG0000117	KAF8057138.1 glcA [Scenedesmus sp. PABB004], KAF8062630.1 hypothetical protein HT031_003959 [Scenedesmus sp. PABB004], KAF8071283.1 bglA [Scenedesmus sp. PABB004]	RMZ52648.1 hypothetical protein APUTEX25_000767_ partial [Auxenochlorella protothecoides]
OG0000118	KAF8056830.1 sdr42e1 [Scenedesmus sp. PABB004]	RMZ55125.1 hypothetical protein APUTEX25_005403 [Auxenochlorella protothecoides]
OG0000119	KAF8072977.1 DEAH3 [Scenedesmus sp. PABB004]	RMZ53986.1 hypothetical protein APUTEX25_002563 [Auxenochlorella protothecoides]
OG0000119	KAF8072436.1 DEAH5 [Scenedesmus sp. PABB004]	RMZ57498.1 hypothetical protein APUTEX25_003741 [Auxenochlorella protothecoides]
OG0000119	KAF8063657.1 ESP3 [Scenedesmus sp. PABB004]	RMZ55071.1 hypothetical protein APUTEX25_005697 [Auxenochlorella protothecoides]
OG0000120	KAF8068296.1 hypothetical protein HT031_001983 [Scenedesmus sp. PABB004], KAF8059116.1 TMEM230 [Scenedesmus sp. PABB004], KAF8065601.1 Ermp1 [Scenedesmus sp. PABB004], KAF8065827.1 SIP1-1 [Scenedesmus sp. PABB004], KAF8055589.1 hypothetical protein HT031_006708 [Scenedesmus sp. PABB004], KAF8068341.1 hypothetical protein HT031_002030 [Scenedesmus sp. PABB004], KAF8072736.1 ATG1B [Scenedesmus sp. PABB004], KAF8059140.1 hypothetical protein HT031_005312 [Scenedesmus sp. PABB004], KAF8061370.1 mannose-1-phosphate guanylyltransferase 2 [Scenedesmus sp. PABB004], KAF8069482.1 secA [Scenedesmus sp. PABB004]	RMZ56116.1 hypothetical protein APUTEX25_004540 [Auxenochlorella protothecoides]
OG0000124	KAF8063716.1 DNAJB4 [Scenedesmus sp. PABB004]	RMZ54156.1 hypothetical protein APUTEX25_005312 [Auxenochlorella protothecoides]
OG0000124	KAF8059700.1 hypothetical protein HT031_005108 [Scenedesmus sp. PABB004]	RMZ52130.1 hypothetical protein APUTEX25_001520 [Auxenochlorella protothecoides]
OG0000126	KAF8062936.1 RASA4 [Scenedesmus sp. PABB004]	RMZ54909.1 hypothetical protein APUTEX25_000426 [Auxenochlorella protothecoides]
OG0000126	KAF8059985.1 SQD2 [Scenedesmus sp. PABB004]	RMZ53251.1 hypothetical protein APUTEX25_005240 [Auxenochlorella protothecoides]
OG0000128	KAF8069375.1 YchF1 [Scenedesmus sp. PABB004]	RMZ53355.1 hypothetical protein APUTEX25_004843_ partial [Auxenochlorella protothecoides]
OG0000129	KAF8064567.1 abcG2 [Scenedesmus sp. PABB004]	RMZ53810.1 hypothetical protein APUTEX25_003949_ partial [Auxenochlorella protothecoides]
OG0000129	KAF8057935.1 ABCG31 [Scenedesmus sp. PABB004]	RMZ57659.1 hypothetical protein APUTEX25_001859_ partial [Auxenochlorella protothecoides]
OG0000130	KAF8067318.1 DEGP9 [Scenedesmus sp. PABB004]	RMZ53985.1 hypothetical protein APUTEX25_002562 [Auxenochlorella protothecoides]
OG0000130	KAF8056110.1 DEGP9 [Scenedesmus sp. PABB004]	RMZ56112.1 hypothetical protein APUTEX25_004536 [Auxenochlorella protothecoides], RMZ56724.1 hypothetical protein APUTEX25_002813_ partial [Auxenochlorella protothecoides]
OG0000131	KAF8061141.1 hypothetical protein HT031_004602 [Scenedesmus sp. PABB004], KAF8062971.1 hypothetical protein HT031_003810 [Scenedesmus sp. PABB004], KAF8073095.1 hypothetical protein HT031_000756 [Scenedesmus sp. PABB004], KAF8067382.1 hypothetical protein HT031_002430 [Scenedesmus sp. PABB004]	RMZ54361.1 hypothetical protein APUTEX25_001937 [Auxenochlorella protothecoides]
OG0000132	KAF8062014.1 hypothetical protein HT031_004274 [Scenedesmus sp. PABB004]	RMZ54456.1 hypothetical protein APUTEX25_002032_ partial [Auxenochlorella protothecoides]
OG0000133	KAF8066232.1 ABC1K7 [Scenedesmus sp. PABB004]	RMZ54609.1 hypothetical protein APUTEX25_002195 [Auxenochlorella protothecoides]
OG0000133	KAF8056123.1 GTE1 [Scenedesmus sp. PABB004]	RMZ54619.1 hypothetical protein APUTEX25_002205_ partial [Auxenochlorella protothecoides]
OG0000135	KAF8058342.1 spast [Scenedesmus sp. PABB004]	RMZ55836.1 hypothetical protein APUTEX25_003802 [Auxenochlorella protothecoides]
OG0000135	KAF8063106.1 FIGL1 [Scenedesmus sp. PABB004]	RMZ56739.1 hypothetical protein APUTEX25_002828 [Auxenochlorella protothecoides]
OG0000135	KAF8061349.1 RPS9B [Scenedesmus sp. PABB004]	RMZ56787.1 hypothetical protein APUTEX25_002876 [Auxenochlorella protothecoides]
OG0000136	KAF8058897.1 NAD kinase 3 [Scenedesmus sp. PABB004]	RMZ56802.1 hypothetical protein APUTEX25_002891 [Auxenochlorella protothecoides]
OG0000141	KAF8072373.1 EXPA5 [Scenedesmus sp. PABB004]	RMZ52075.1 hypothetical protein APUTEX25_001269 [Auxenochlorella protothecoides]
OG0000142	KAF8063710.1 BBM2 [Scenedesmus sp. PABB004]	RMZ53716.1 hypothetical protein APUTEX25_003250 [Auxenochlorella protothecoides]
OG0000143	KAF8059725.1 PAP15 [Scenedesmus sp. PABB004], KAF8059726.1 PAP15 [Scenedesmus sp. PABB004]	RMZ55653.1 hypothetical protein APUTEX25_000236_ partial [Auxenochlorella protothecoides]
OG0000144	KAF8065472.1 EREBP1 [Scenedesmus sp. PABB004], KAF8061402.1 ERF118 [Scenedesmus sp. PABB004], KAF8058065.1 ERF098 [Scenedesmus sp. PABB004]	RMZ53824.1 hypothetical protein APUTEX25_003963 [Auxenochlorella protothecoides]
OG0000144	KAF8068275.1 ERF071 [Scenedesmus sp. PABB004]	RMZ53045.1 hypothetical protein APUTEX25_001164_ partial [Auxenochlorella protothecoides]
OG0000145	KAF8069642.1 amyM [Scenedesmus sp. PABB004]	RMZ53071.1 hypothetical protein APUTEX25_001190 [Auxenochlorella protothecoides]
OG0000146	KAF8060014.1 LACS4 [Scenedesmus sp. PABB004]	RMZ56588.1 hypothetical protein APUTEX25_003498_ partial [Auxenochlorella protothecoides]
OG0000146	KAF8060497.1 LACS4 [Scenedesmus sp. PABB004]	RMZ53269.1 hypothetical protein APUTEX25_005258 [Auxenochlorella protothecoides]
OG0000147	KAF8073194.1 SDP1 [Scenedesmus sp. PABB004]	RMZ56170.1 hypothetical protein APUTEX25_004594 [Auxenochlorella protothecoides], RMZ56436.1 hypothetical protein APUTEX25_004659 [Auxenochlorella protothecoides], RMZ54065.1 hypothetical protein APUTEX25_002642_ partial [Auxenochlorella protothecoides]
OG0000148	KAF8072979.1 CFAP53 [Scenedesmus sp. PABB004]	RMZ54474.1 hypothetical protein APUTEX25_002050 [Auxenochlorella protothecoides]
OG0000149	KAF8062896.1 hypothetical protein HT031_003734 [Scenedesmus sp. PABB004]	RMZ54720.1 hypothetical protein APUTEX25_003098 [Auxenochlorella protothecoides]
OG0000149	KAF8068351.1 HDA14 [Scenedesmus sp. PABB004]	RMZ54729.1 hypothetical protein APUTEX25_003107 [Auxenochlorella protothecoides]
