Orthogroup	Scenedesmus_PABB004	Chlorella_Sorokiniana1602
OG0000023	KAF8058078.1 zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]	PRW44501.1 D-tyrosyl-tRNA_Tyr_ deacylase [Chlorella sorokiniana]
OG0000024	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]	PRW55960.1 peptidase S8 [Chlorella sorokiniana], PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]
OG0000026	KAF8061965.1 hypothetical protein HT031_004225 [Scenedesmus sp. PABB004]	PRW50812.1 class V aminotransferase [Chlorella sorokiniana]
OG0000028	KAF8071329.1 hypothetical protein HT031_001412 [Scenedesmus sp. PABB004]	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana], PRW33315.1 serine threonine- phosphatase 6 regulatory ankyrin repeat subunit B-like [Chlorella sorokiniana], PRW58720.1 ankyrin repeat-containing protein [Chlorella sorokiniana], PRW20255.1 hypothetical protein C2E21_9214 [Chlorella sorokiniana], PRW57216.1 ankyrin repeat-containing protein [Chlorella sorokiniana]
OG0000029	KAF8060533.1 EXPA15 [Scenedesmus sp. PABB004]	PRW60661.1 hypothetical protein C2E21_0949 [Chlorella sorokiniana]
OG0000029	KAF8069379.1 EXPA2 [Scenedesmus sp. PABB004]	PRW44850.1 hypothetical protein C2E21_6254 [Chlorella sorokiniana]
OG0000031	KAF8068429.1 cyp-13A10 [Scenedesmus sp. PABB004]	PRW59761.1 cytochrome P450 [Chlorella sorokiniana]
OG0000031	KAF8072732.1 Cyp3a9 [Scenedesmus sp. PABB004]	PRW50749.1 cytochrome P450 [Chlorella sorokiniana]
OG0000035	KAF8070895.1 hypothetical protein HT031_000976 [Scenedesmus sp. PABB004]	PRW59728.1 3-ketoacyl- synthase 11 isoform A [Chlorella sorokiniana]
OG0000035	KAF8055285.1 KCS4 [Scenedesmus sp. PABB004], KAF8065770.1 KCS4 [Scenedesmus sp. PABB004], KAF8070862.1 KCS1 [Scenedesmus sp. PABB004], KAF8055276.1 KCS1 [Scenedesmus sp. PABB004], KAF8057691.1 KCS17 [Scenedesmus sp. PABB004], KAF8057911.1 KCS2 [Scenedesmus sp. PABB004]	PRW61324.1 3-ketoacyl- synthase 4-like [Chlorella sorokiniana]
OG0000036	KAF8072834.1 TRZ1 [Scenedesmus sp. PABB004], KAF8059664.1 Map3k11 [Scenedesmus sp. PABB004]	PRW33642.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61610.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58034.1 kinase [Chlorella sorokiniana], PRW61254.1 kinase [Chlorella sorokiniana], PRW51042.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61026.1 kinase [Chlorella sorokiniana]
OG0000039	KAF8066381.1 hif1an [Scenedesmus sp. PABB004]	PRW56320.1 lysine-specific demethylase 8 [Chlorella sorokiniana]
OG0000042	KAF8065474.1 pho-4 [Scenedesmus sp. PABB004], KAF8066209.1 pho-4 [Scenedesmus sp. PABB004], KAF8059159.1 PHO89 [Scenedesmus sp. PABB004]	PRW33027.1 phosphate-repressible phosphate permease [Chlorella sorokiniana], PRW32920.1 phosphate transporter [Chlorella sorokiniana], PRW60515.1 phosphate-repressible phosphate permease [Chlorella sorokiniana]
OG0000042	KAF8062088.1 pho-4 [Scenedesmus sp. PABB004]	PRW33157.1 phosphate transporter [Chlorella sorokiniana]
OG0000043	KAF8057148.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062772.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062771.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062770.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062769.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8061064.1 alpha-glucosidase [Scenedesmus sp. PABB004]	PRW45699.1 alpha-glucosidase isoform B [Chlorella sorokiniana], PRW45700.1 alpha-glucosidase isoform A [Chlorella sorokiniana], PRW44983.1 Glycosyl hydrolases family 31 isoform 1 [Chlorella sorokiniana]
OG0000046	KAF8060501.1 Smyd3 [Scenedesmus sp. PABB004]	PRW45736.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana], PRW58688.1 Amino acid permease 2 [Chlorella sorokiniana], PRW58712.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58414.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000049	KAF8054828.1 hypothetical protein HT031_006922 [Scenedesmus sp. PABB004], KAF8054826.1 hypothetical protein HT031_006920 [Scenedesmus sp. PABB004], KAF8054637.1 hypothetical protein HT031_006962 [Scenedesmus sp. PABB004], KAF8060108.1 AGO3 [Scenedesmus sp. PABB004], KAF8054806.1 MTK1 [Scenedesmus sp. PABB004], KAF8054761.1 hypothetical protein HT031_006935 [Scenedesmus sp. PABB004], KAF8063770.1 PSAT1 [Scenedesmus sp. PABB004], KAF8055670.1 hypothetical protein HT031_006692 [Scenedesmus sp. PABB004], KAF8058310.1 drkD [Scenedesmus sp. PABB004], KAF8058311.1 hypothetical protein HT031_005627 [Scenedesmus sp. PABB004], KAF8063020.1 hypothetical protein HT031_003859 [Scenedesmus sp. PABB004], KAF8063012.1 ALKBH8 [Scenedesmus sp. PABB004]	PRW59120.1 hypothetical protein C2E21_2482 [Chlorella sorokiniana]
OG0000049	KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]	PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]
OG0000050	KAF8057910.1 hypothetical protein HT031_005856 [Scenedesmus sp. PABB004], KAF8069493.1 hypothetical protein HT031_001609 [Scenedesmus sp. PABB004]	PRW33726.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW32665.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW33245.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW20392.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW51063.1 UPF0187 chloroplastic [Chlorella sorokiniana]
OG0000051	KAF8060322.1 DTX16 [Scenedesmus sp. PABB004]	PRW58610.1 DETOXIFICATION 16-like [Chlorella sorokiniana], PRW56350.1 MATE efflux family [Chlorella sorokiniana], PRW56780.1 DETOXIFICATION 16-like [Chlorella sorokiniana]
OG0000052	KAF8057270.1 hypothetical protein HT031_006078 [Scenedesmus sp. PABB004], KAF8072531.1 hypothetical protein HT031_000191 [Scenedesmus sp. PABB004], KAF8065866.1 hypothetical protein HT031_002926 [Scenedesmus sp. PABB004], KAF8056142.1 hypothetical protein HT031_006493 [Scenedesmus sp. PABB004], KAF8064531.1 Galns [Scenedesmus sp. PABB004], KAF8058413.1 hypothetical protein HT031_005537 [Scenedesmus sp. PABB004], KAF8065865.1 hypothetical protein HT031_002925 [Scenedesmus sp. PABB004], KAF8066216.1 MRL1 [Scenedesmus sp. PABB004], KAF8062975.1 REIL1 [Scenedesmus sp. PABB004]	PRW45252.1 zinc finger protein [Chlorella sorokiniana]
OG0000053	KAF8061300.1 RXLR124 [Scenedesmus sp. PABB004], KAF8062650.1 Eea1 [Scenedesmus sp. PABB004], KAF8062669.1 hypothetical protein HT031_003998 [Scenedesmus sp. PABB004], KAF8062646.1 hypothetical protein HT031_003975 [Scenedesmus sp. PABB004], KAF8062678.1 TATDN3 [Scenedesmus sp. PABB004], KAF8062639.1 hypothetical protein HT031_003968 [Scenedesmus sp. PABB004], KAF8062649.1 hypothetical protein HT031_003978 [Scenedesmus sp. PABB004], KAF8062697.1 hypothetical protein HT031_004026 [Scenedesmus sp. PABB004], KAF8062625.1 hypothetical protein HT031_003954 [Scenedesmus sp. PABB004], KAF8062704.1 hypothetical protein HT031_004033 [Scenedesmus sp. PABB004], KAF8057124.1 hypothetical protein HT031_006133 [Scenedesmus sp. PABB004], KAF8062707.1 hypothetical protein HT031_004036 [Scenedesmus sp. PABB004], KAF8062672.1 hypothetical protein HT031_004001 [Scenedesmus sp. PABB004], KAF8062687.1 Papln [Scenedesmus sp. PABB004]	PRW45586.1 hypothetical protein C2E21_6086 [Chlorella sorokiniana]
OG0000055	KAF8073197.1 MEE40 [Scenedesmus sp. PABB004]	PRW56793.1 Pentatricopeptide repeat-containing isoform A [Chlorella sorokiniana], PRW56794.1 Pentatricopeptide repeat-containing isoform B [Chlorella sorokiniana]
OG0000060	KAF8060352.1 dhkB [Scenedesmus sp. PABB004]	PRW58431.1 LOV domain-containing [Chlorella sorokiniana]
OG0000062	KAF8063043.1 CCDC40 [Scenedesmus sp. PABB004]	PRW44943.1 Coiled-coil domain-containing 40 isoform B [Chlorella sorokiniana], PRW44942.1 Coiled-coil domain-containing 40 isoform A [Chlorella sorokiniana], PRW44941.1 Coiled-coil domain-containing 40 isoform C [Chlorella sorokiniana]
OG0000063	KAF8069607.1 PEX14 [Scenedesmus sp. PABB004]	PRW50752.1 peroxisomal membrane PEX14-like isoform X1 [Chlorella sorokiniana]
OG0000064	KAF8072395.1 infB [Scenedesmus sp. PABB004]	PRW44490.1 translation initiation factor [Chlorella sorokiniana]
OG0000064	KAF8068312.1 CUL4A [Scenedesmus sp. PABB004]	PRW20747.1 Cullin-4 [Chlorella sorokiniana]
OG0000064	KAF8071138.1 CUL3A [Scenedesmus sp. PABB004]	PRW20452.1 cullin family [Chlorella sorokiniana]
OG0000065	KAF8060089.1 hypothetical protein HT031_005028 [Scenedesmus sp. PABB004]	PRW20917.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50851.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50880.1 GPR1 FUN34 family [Chlorella sorokiniana], PRW33699.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW33593.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50916.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana]
OG0000066	KAF8056438.1 ttuB [Scenedesmus sp. PABB004]	PRW57891.1 hypothetical protein C2E21_3748 [Chlorella sorokiniana]
OG0000069	KAF8069631.1 HSP81-3 [Scenedesmus sp. PABB004]	PRW51017.1 heat shock 83 isoform A [Chlorella sorokiniana], PRW51016.1 heat shock 83 isoform B [Chlorella sorokiniana], PRW51015.1 heat shock 83 isoform C [Chlorella sorokiniana]
OG0000069	KAF8068330.1 HSP90-5 [Scenedesmus sp. PABB004]	PRW20326.1 heat shock 90C isoform B [Chlorella sorokiniana], PRW20328.1 heat shock 90C isoform C [Chlorella sorokiniana], PRW20327.1 heat shock 90C isoform A [Chlorella sorokiniana]
OG0000069	KAF8060354.1 HSP90B1 [Scenedesmus sp. PABB004]	PRW58127.1 endoplasmin-like protein [Chlorella sorokiniana]
OG0000071	KAF8066277.1 Camk1 [Scenedesmus sp. PABB004]	PRW61198.1 Calcium calmodulin-dependent kinase type 1 [Chlorella sorokiniana], PRW61339.1 Pkinase-domain-containing [Chlorella sorokiniana], PRW57463.1 serine threonine kinase [Chlorella sorokiniana]
OG0000071	KAF8055935.1 mlkA [Scenedesmus sp. PABB004]	PRW60879.1 Calcium calmodulin-dependent kinase type 1 [Chlorella sorokiniana]
OG0000072	KAF8065650.1 hypothetical protein HT031_003251 [Scenedesmus sp. PABB004]	PRW58570.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW58312.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW58483.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW56406.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana]
OG0000073	KAF8056137.1 hypothetical protein HT031_006488 [Scenedesmus sp. PABB004]	PRW45604.1 cathepsin H [Chlorella sorokiniana], PRW45530.1 cathepsin h [Chlorella sorokiniana], PRW57488.1 thiol protease aleurain-like [Chlorella sorokiniana], PRW45427.1 thiol protease aleurain-like [Chlorella sorokiniana], PRW45707.1 Cathepsin [Chlorella sorokiniana], PRW56577.1 Cathepsin L [Chlorella sorokiniana], PRW56392.1 papain-like cysteine protease C1 [Chlorella sorokiniana], PRW45737.1 Maternal effect embryo arrest 18 [Chlorella sorokiniana], PRW21008.1 Cathepsin L [Chlorella sorokiniana]
OG0000076	KAF8068287.1 ASAT1 [Scenedesmus sp. PABB004]	PRW20388.1 acyl- --sterol O-acyltransferase 1-like isoform A [Chlorella sorokiniana], PRW20389.1 acyl- --sterol O-acyltransferase 1-like isoform B [Chlorella sorokiniana]
OG0000076	KAF8061301.1 AT7 [Scenedesmus sp. PABB004]	PRW60188.1 putative long-chain-alcohol O-fatty-acyltransferase 5 [Chlorella sorokiniana], PRW59291.1 putative long-chain-alcohol O-fatty-acyltransferase 5 [Chlorella sorokiniana], PRW57820.1 acyl- --sterol O-acyltransferase 1-like [Chlorella sorokiniana], PRW45129.1 Acyl- sterol acyl transferase [Chlorella sorokiniana], PRW56158.1 acyl- --sterol O-acyltransferase 1-like [Chlorella sorokiniana]
OG0000078	KAF8059208.1 PFK5 [Scenedesmus sp. PABB004]	PRW57277.1 phosphofructokinase family [Chlorella sorokiniana]
OG0000078	KAF8067362.1 PFK5 [Scenedesmus sp. PABB004]	PRW61573.1 phosphofructokinase family [Chlorella sorokiniana]
OG0000078	KAF8065867.1 PFK5 [Scenedesmus sp. PABB004]	PRW56044.1 phosphofructokinase family isoform B [Chlorella sorokiniana], PRW56045.1 phosphofructokinase family isoform A [Chlorella sorokiniana], PRW58389.1 phosphofructokinase family [Chlorella sorokiniana]
OG0000079	KAF8065619.1 HSP70 [Scenedesmus sp. PABB004], KAF8070942.1 HSP70 [Scenedesmus sp. PABB004]	PRW56493.1 heat shock 70 [Chlorella sorokiniana]
OG0000079	KAF8060359.1 BIP5 [Scenedesmus sp. PABB004]	PRW58244.1 luminal-binding 5-like [Chlorella sorokiniana]
OG0000080	KAF8065839.1 Herc2 [Scenedesmus sp. PABB004]	PRW05945.1 MIS12-like protein [Chlorella sorokiniana], PRW51019.1 hypothetical protein C2E21_5409 [Chlorella sorokiniana], PRW50784.1 hypothetical protein C2E21_5410 [Chlorella sorokiniana], PRW56409.1 sulfotransferase [Chlorella sorokiniana], PRW61543.1 sulfotransferase [Chlorella sorokiniana], PRW44571.1 sulfotransferase [Chlorella sorokiniana]
OG0000081	KAF8073158.1 acyl-activating enzyme 19-like protein [Scenedesmus sp. PABB004]	PRW56561.1 non-ribosomal peptide synthetase [Chlorella sorokiniana]
OG0000081	KAF8055673.1 BASS4 [Scenedesmus sp. PABB004]	PRW56611.1 putative sodium metabolite cotransporter chloroplastic [Chlorella sorokiniana]
