Orthogroup	Scenedesmus_PABB004	Chlorella_Vulgaris2111P
OG0000006	KAF8069681.1 drkC [Scenedesmus sp. PABB004]	KAI3428490.1 hypothetical protein D9Q98_007315 [Chlorella vulgaris], KAI3438102.1 hypothetical protein D9Q98_000544 [Chlorella vulgaris], KAI3430385.1 hypothetical protein D9Q98_004980 [Chlorella vulgaris], KAI3437833.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3437832.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3436594.1 hypothetical protein D9Q98_006011 [Chlorella vulgaris], KAI3432561.1 hypothetical protein D9Q98_004110 [Chlorella vulgaris], KAI3436086.1 hypothetical protein D9Q98_002144 [Chlorella vulgaris], KAI3437831.1 hypothetical protein D9Q98_000278 [Chlorella vulgaris], KAI3427342.1 hypothetical protein D9Q98_010259 [Chlorella vulgaris], KAI3427397.1 hypothetical protein D9Q98_010312 [Chlorella vulgaris], KAI3432762.1 hypothetical protein D9Q98_004302 [Chlorella vulgaris], KAI3430255.1 hypothetical protein D9Q98_004851 [Chlorella vulgaris], KAI3425719.1 hypothetical protein D9Q98_007695 [Chlorella vulgaris], KAI3425723.1 hypothetical protein D9Q98_007699 [Chlorella vulgaris], KAI3425720.1 hypothetical protein D9Q98_007696 [Chlorella vulgaris], KAI3425961.1 hypothetical protein D9Q98_007931 [Chlorella vulgaris]
OG0000008	KAF8069669.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]	KAI3424356.1 hypothetical protein D9Q98_009909 [Chlorella vulgaris], KAI3428573.1 hypothetical protein D9Q98_007395 [Chlorella vulgaris], KAI3424399.1 hypothetical protein D9Q98_009952 [Chlorella vulgaris], KAI3424386.1 hypothetical protein D9Q98_009939 [Chlorella vulgaris], KAI3433952.1 hypothetical protein D9Q98_003754 [Chlorella vulgaris], KAI3428590.1 hypothetical protein D9Q98_007413 [Chlorella vulgaris], KAI3433958.1 hypothetical protein D9Q98_003760 [Chlorella vulgaris], KAI3424372.1 hypothetical protein D9Q98_009925 [Chlorella vulgaris], KAI3424431.1 hypothetical protein D9Q98_009983 [Chlorella vulgaris], KAI3424396.1 hypothetical protein D9Q98_009949 [Chlorella vulgaris], KAI3427072.1 hypothetical protein D9Q98_007012 [Chlorella vulgaris], KAI3424413.1 hypothetical protein D9Q98_009965 [Chlorella vulgaris], KAI3428056.1 hypothetical protein D9Q98_006441 [Chlorella vulgaris]
OG0000011	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]	KAI3436536.1 hypothetical protein D9Q98_005953 [Chlorella vulgaris], KAI3436537.1 hypothetical protein D9Q98_005954 [Chlorella vulgaris]
OG0000012	KAF8069656.1 histone H3 [Scenedesmus sp. PABB004], KAF8069687.1 histone H3 [Scenedesmus sp. PABB004]	KAI3424355.1 hypothetical protein D9Q98_009908 [Chlorella vulgaris]
OG0000012	KAF8069677.1 histone H3 [Scenedesmus sp. PABB004]	KAI3424373.1 hypothetical protein D9Q98_009926 [Chlorella vulgaris]
OG0000012	KAF8069674.1 histone H3 [Scenedesmus sp. PABB004]	KAI3433957.1 hypothetical protein D9Q98_003759 [Chlorella vulgaris], KAI3428574.1 hypothetical protein D9Q98_007396 [Chlorella vulgaris], KAI3428589.1 hypothetical protein D9Q98_007412 [Chlorella vulgaris]
OG0000013	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]	KAI3426414.1 hypothetical protein D9Q98_008783 [Chlorella vulgaris]
OG0000013	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]	KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris]
OG0000014	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]	KAI3435791.1 hypothetical protein D9Q98_001849 [Chlorella vulgaris]
OG0000014	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]	KAI3424803.1 hypothetical protein D9Q98_008189 [Chlorella vulgaris]
OG0000014	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]	KAI3438190.1 hypothetical protein D9Q98_000627 [Chlorella vulgaris]
OG0000014	KAF8066173.1 hypothetical protein HT031_002495 [Scenedesmus sp. PABB004]	KAI3433293.1 hypothetical protein D9Q98_003112 [Chlorella vulgaris]
OG0000014	KAF8056125.1 Ppib [Scenedesmus sp. PABB004]	KAI3438732.1 hypothetical protein D9Q98_001152 [Chlorella vulgaris], KAI3438240.1 hypothetical protein D9Q98_000677 [Chlorella vulgaris]
OG0000015	KAF8064658.1 LINE-1 retrotransposable element ORF2 protein [Scenedesmus sp. PABB004]	KAI3427111.1 hypothetical protein D9Q98_007048 [Chlorella vulgaris], KAI3430929.1 hypothetical protein D9Q98_009338 [Chlorella vulgaris], KAI3432715.1 hypothetical protein D9Q98_004258 [Chlorella vulgaris], KAI3428636.1 hypothetical protein D9Q98_007459 [Chlorella vulgaris], KAI3432779.1 hypothetical protein D9Q98_010364 [Chlorella vulgaris], KAI3431293.1 hypothetical protein D9Q98_004352 [Chlorella vulgaris], KAI3428410.1 hypothetical protein D9Q98_007237 [Chlorella vulgaris], KAI3436257.1 hypothetical protein D9Q98_002310 [Chlorella vulgaris], KAI3429902.1 hypothetical protein D9Q98_010213 [Chlorella vulgaris], KAI3437676.1 hypothetical protein D9Q98_000126 [Chlorella vulgaris], KAI3427913.1 hypothetical protein D9Q98_006305 [Chlorella vulgaris], KAI3427912.1 hypothetical protein D9Q98_006305 [Chlorella vulgaris], KAI3428639.1 hypothetical protein D9Q98_007462 [Chlorella vulgaris], KAI3431292.1 hypothetical protein D9Q98_004352 [Chlorella vulgaris], KAI3432286.1 hypothetical protein D9Q98_003846 [Chlorella vulgaris], KAI3432845.1 hypothetical protein D9Q98_010429 [Chlorella vulgaris], KAI3432846.1 hypothetical protein D9Q98_010430 [Chlorella vulgaris], KAI3428641.1 hypothetical protein D9Q98_007464 [Chlorella vulgaris], KAI3428647.1 hypothetical protein D9Q98_007470 [Chlorella vulgaris], KAI3432737.1 hypothetical protein D9Q98_004278 [Chlorella vulgaris], KAI3426105.1 hypothetical protein D9Q98_008484 [Chlorella vulgaris], KAI3429901.1 hypothetical protein D9Q98_010212 [Chlorella vulgaris], KAI3436258.1 hypothetical protein D9Q98_002311 [Chlorella vulgaris], KAI3427110.1 hypothetical protein D9Q98_007048 [Chlorella vulgaris], KAI3428412.1 hypothetical protein D9Q98_007239 [Chlorella vulgaris], KAI3427176.1 hypothetical protein D9Q98_007113 [Chlorella vulgaris]
OG0000015	KAF8062788.1 transposon TX1 protein [Scenedesmus sp. PABB004]	KAI3432843.1 hypothetical protein D9Q98_010427 [Chlorella vulgaris]
OG0000016	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]	KAI3427078.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris], KAI3427077.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris]
OG0000016	KAF8056382.1 UBI3 [Scenedesmus sp. PABB004]	KAI3428307.1 hypothetical protein D9Q98_006686 [Chlorella vulgaris]
OG0000016	KAF8064496.1 SDE2 [Scenedesmus sp. PABB004]	KAI3425029.1 hypothetical protein D9Q98_008407 [Chlorella vulgaris]
OG0000018	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]	KAI3428238.1 hypothetical protein D9Q98_006618 [Chlorella vulgaris]
OG0000018	KAF8057715.1 MYB118 [Scenedesmus sp. PABB004]	KAI3424403.1 hypothetical protein D9Q98_009956 [Chlorella vulgaris], KAI3424404.1 hypothetical protein D9Q98_009956 [Chlorella vulgaris]
OG0000018	KAF8065600.1 hypothetical protein HT031_003201 [Scenedesmus sp. PABB004]	KAI3426390.1 hypothetical protein D9Q98_008761 [Chlorella vulgaris]
OG0000018	KAF8056861.1 MYB44 [Scenedesmus sp. PABB004], KAF8058933.1 MYB73 [Scenedesmus sp. PABB004]	KAI3427919.1 hypothetical protein D9Q98_006311 [Chlorella vulgaris]
OG0000023	KAF8058078.1 zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]	KAI3430338.1 hypothetical protein D9Q98_004933 [Chlorella vulgaris], KAI3430336.1 hypothetical protein D9Q98_004931 [Chlorella vulgaris], KAI3428527.1 hypothetical protein D9Q98_007350 [Chlorella vulgaris], KAI3428437.1 hypothetical protein D9Q98_007264 [Chlorella vulgaris]
OG0000024	KAF8058934.1 hypothetical protein HT031_005502 [Scenedesmus sp. PABB004]	KAI3437697.1 hypothetical protein D9Q98_000146 [Chlorella vulgaris]
OG0000024	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]	KAI3426010.1 hypothetical protein D9Q98_007978 [Chlorella vulgaris], KAI3426016.1 hypothetical protein D9Q98_007984 [Chlorella vulgaris], KAI3427425.1 hypothetical protein D9Q98_010340 [Chlorella vulgaris], KAI3427426.1 hypothetical protein D9Q98_010341 [Chlorella vulgaris], KAI3429556.1 hypothetical protein D9Q98_005644 [Chlorella vulgaris], KAI3436676.1 hypothetical protein D9Q98_006092 [Chlorella vulgaris], KAI3437696.1 hypothetical protein D9Q98_000145 [Chlorella vulgaris]
OG0000025	KAF8058903.1 hypothetical protein HT031_005471 [Scenedesmus sp. PABB004]	KAI3425317.1 hypothetical protein D9Q98_009082 [Chlorella vulgaris], KAI3425318.1 hypothetical protein D9Q98_009082 [Chlorella vulgaris]
OG0000025	KAF8063097.1 hypothetical protein HT031_003936 [Scenedesmus sp. PABB004]	KAI3438452.1 hypothetical protein D9Q98_000881 [Chlorella vulgaris], KAI3437773.1 hypothetical protein D9Q98_000220 [Chlorella vulgaris]
OG0000026	KAF8061965.1 hypothetical protein HT031_004225 [Scenedesmus sp. PABB004]	KAI3427076.1 hypothetical protein D9Q98_007016 [Chlorella vulgaris]
OG0000028	KAF8071329.1 hypothetical protein HT031_001412 [Scenedesmus sp. PABB004]	KAI3430771.1 hypothetical protein D9Q98_009183 [Chlorella vulgaris], KAI3433783.1 hypothetical protein D9Q98_003588 [Chlorella vulgaris]
OG0000029	KAF8060533.1 EXPA15 [Scenedesmus sp. PABB004]	KAI3429475.1 hypothetical protein D9Q98_005566 [Chlorella vulgaris], KAI3429474.1 hypothetical protein D9Q98_005566 [Chlorella vulgaris]
OG0000029	KAF8055096.1 2-carboxy-D-arabinitol-1-phosphatase [Scenedesmus sp. PABB004]	KAI3429477.1 hypothetical protein D9Q98_005568 [Chlorella vulgaris]
OG0000031	KAF8068429.1 cyp-13A10 [Scenedesmus sp. PABB004]	KAI3435993.1 hypothetical protein D9Q98_002050 [Chlorella vulgaris], KAI3435991.1 hypothetical protein D9Q98_002048 [Chlorella vulgaris], KAI3435992.1 hypothetical protein D9Q98_002049 [Chlorella vulgaris]
OG0000031	KAF8072732.1 Cyp3a9 [Scenedesmus sp. PABB004]	KAI3424890.1 hypothetical protein D9Q98_008274 [Chlorella vulgaris], KAI3438694.1 hypothetical protein D9Q98_001114 [Chlorella vulgaris]
OG0000035	KAF8070895.1 hypothetical protein HT031_000976 [Scenedesmus sp. PABB004]	KAI3435762.1 hypothetical protein D9Q98_001820 [Chlorella vulgaris]
OG0000035	KAF8055285.1 KCS4 [Scenedesmus sp. PABB004], KAF8065770.1 KCS4 [Scenedesmus sp. PABB004], KAF8070862.1 KCS1 [Scenedesmus sp. PABB004], KAF8055276.1 KCS1 [Scenedesmus sp. PABB004], KAF8057691.1 KCS17 [Scenedesmus sp. PABB004], KAF8057911.1 KCS2 [Scenedesmus sp. PABB004]	KAI3432775.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris], KAI3432777.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris], KAI3432776.1 hypothetical protein D9Q98_004315 [Chlorella vulgaris]
OG0000036	KAF8072834.1 TRZ1 [Scenedesmus sp. PABB004], KAF8059664.1 Map3k11 [Scenedesmus sp. PABB004]	KAI3426335.1 hypothetical protein D9Q98_008708 [Chlorella vulgaris], KAI3438918.1 hypothetical protein D9Q98_001332 [Chlorella vulgaris], KAI3431592.1 hypothetical protein D9Q98_004642 [Chlorella vulgaris], KAI3432747.1 hypothetical protein D9Q98_004288 [Chlorella vulgaris], KAI3434780.1 hypothetical protein D9Q98_002840 [Chlorella vulgaris], KAI3432748.1 hypothetical protein D9Q98_004289 [Chlorella vulgaris], KAI3431777.1 hypothetical protein D9Q98_010532 [Chlorella vulgaris], KAI3432880.1 hypothetical protein D9Q98_010463 [Chlorella vulgaris], KAI3432881.1 hypothetical protein D9Q98_010463 [Chlorella vulgaris]
OG0000037	KAF8062790.1 RCABP89 [Scenedesmus sp. PABB004]	KAI3436635.1 hypothetical protein D9Q98_006051 [Chlorella vulgaris]
OG0000037	KAF8057671.1 Chlorophyll a-b binding protein of LHCII type I [Scenedesmus sp. PABB004]	KAI3432340.1 hypothetical protein D9Q98_003898 [Chlorella vulgaris]
OG0000042	KAF8065474.1 pho-4 [Scenedesmus sp. PABB004], KAF8066209.1 pho-4 [Scenedesmus sp. PABB004], KAF8059159.1 PHO89 [Scenedesmus sp. PABB004]	KAI3430490.1 hypothetical protein D9Q98_005085 [Chlorella vulgaris], KAI3429392.1 hypothetical protein D9Q98_005487 [Chlorella vulgaris]
OG0000043	KAF8065606.1 infC [Scenedesmus sp. PABB004]	KAI3424774.1 hypothetical protein D9Q98_008162 [Chlorella vulgaris]
OG0000043	KAF8057148.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062772.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062771.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062770.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062769.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8061064.1 alpha-glucosidase [Scenedesmus sp. PABB004]	KAI3424775.1 hypothetical protein D9Q98_008163 [Chlorella vulgaris], KAI3426380.1 hypothetical protein D9Q98_008751 [Chlorella vulgaris]
OG0000046	KAF8060501.1 Smyd3 [Scenedesmus sp. PABB004]	KAI3433944.1 hypothetical protein D9Q98_003746 [Chlorella vulgaris], KAI3423962.1 hypothetical protein D9Q98_009796 [Chlorella vulgaris], KAI3427363.1 hypothetical protein D9Q98_010279 [Chlorella vulgaris], KAI3424711.1 hypothetical protein D9Q98_008100 [Chlorella vulgaris], KAI3429305.1 hypothetical protein D9Q98_005400 [Chlorella vulgaris]
OG0000049	KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]	KAI3436640.1 hypothetical protein D9Q98_006056 [Chlorella vulgaris]
OG0000050	KAF8057910.1 hypothetical protein HT031_005856 [Scenedesmus sp. PABB004], KAF8069493.1 hypothetical protein HT031_001609 [Scenedesmus sp. PABB004]	KAI3424312.1 hypothetical protein D9Q98_009865 [Chlorella vulgaris], KAI3425144.1 hypothetical protein D9Q98_008915 [Chlorella vulgaris], KAI3425150.1 hypothetical protein D9Q98_008921 [Chlorella vulgaris], KAI3425146.1 hypothetical protein D9Q98_008917 [Chlorella vulgaris], KAI3423972.1 hypothetical protein D9Q98_009806 [Chlorella vulgaris], KAI3434997.1 hypothetical protein D9Q98_003049 [Chlorella vulgaris], KAI3426349.1 hypothetical protein D9Q98_008722 [Chlorella vulgaris], KAI3434870.1 hypothetical protein D9Q98_002924 [Chlorella vulgaris], KAI3424164.1 hypothetical protein D9Q98_009523 [Chlorella vulgaris], KAI3427099.1 hypothetical protein D9Q98_007038 [Chlorella vulgaris]
OG0000051	KAF8060322.1 DTX16 [Scenedesmus sp. PABB004]	KAI3433740.1 hypothetical protein D9Q98_003547 [Chlorella vulgaris], KAI3424145.1 hypothetical protein D9Q98_009505 [Chlorella vulgaris], KAI3429547.1 hypothetical protein D9Q98_005635 [Chlorella vulgaris], KAI3428258.1 hypothetical protein D9Q98_006637 [Chlorella vulgaris]
OG0000052	KAF8057270.1 hypothetical protein HT031_006078 [Scenedesmus sp. PABB004], KAF8072531.1 hypothetical protein HT031_000191 [Scenedesmus sp. PABB004], KAF8065866.1 hypothetical protein HT031_002926 [Scenedesmus sp. PABB004], KAF8056142.1 hypothetical protein HT031_006493 [Scenedesmus sp. PABB004], KAF8064531.1 Galns [Scenedesmus sp. PABB004], KAF8058413.1 hypothetical protein HT031_005537 [Scenedesmus sp. PABB004], KAF8065865.1 hypothetical protein HT031_002925 [Scenedesmus sp. PABB004], KAF8066216.1 MRL1 [Scenedesmus sp. PABB004], KAF8062975.1 REIL1 [Scenedesmus sp. PABB004]	KAI3426265.1 hypothetical protein D9Q98_008640 [Chlorella vulgaris]
OG0000053	KAF8062709.1 hypothetical protein HT031_004038 [Scenedesmus sp. PABB004]	KAI3433854.1 hypothetical protein D9Q98_003657 [Chlorella vulgaris]
OG0000053	KAF8061300.1 RXLR124 [Scenedesmus sp. PABB004], KAF8062650.1 Eea1 [Scenedesmus sp. PABB004], KAF8062669.1 hypothetical protein HT031_003998 [Scenedesmus sp. PABB004], KAF8062646.1 hypothetical protein HT031_003975 [Scenedesmus sp. PABB004], KAF8062678.1 TATDN3 [Scenedesmus sp. PABB004], KAF8062639.1 hypothetical protein HT031_003968 [Scenedesmus sp. PABB004], KAF8062649.1 hypothetical protein HT031_003978 [Scenedesmus sp. PABB004], KAF8062697.1 hypothetical protein HT031_004026 [Scenedesmus sp. PABB004], KAF8062625.1 hypothetical protein HT031_003954 [Scenedesmus sp. PABB004], KAF8062704.1 hypothetical protein HT031_004033 [Scenedesmus sp. PABB004], KAF8057124.1 hypothetical protein HT031_006133 [Scenedesmus sp. PABB004], KAF8062707.1 hypothetical protein HT031_004036 [Scenedesmus sp. PABB004], KAF8062672.1 hypothetical protein HT031_004001 [Scenedesmus sp. PABB004], KAF8062687.1 Papln [Scenedesmus sp. PABB004]	KAI3424726.1 hypothetical protein D9Q98_008115 [Chlorella vulgaris]
OG0000055	KAF8073197.1 MEE40 [Scenedesmus sp. PABB004]	KAI3428351.1 hypothetical protein D9Q98_006731 [Chlorella vulgaris]
OG0000055	KAF8072999.1 pentatricopeptide repeat-containing protein [Scenedesmus sp. PABB004]	KAI3430621.1 hypothetical protein D9Q98_005214 [Chlorella vulgaris]
OG0000060	KAF8060352.1 dhkB [Scenedesmus sp. PABB004]	KAI3430814.1 hypothetical protein D9Q98_009225 [Chlorella vulgaris], KAI3433447.1 hypothetical protein D9Q98_003261 [Chlorella vulgaris]
OG0000060	KAF8062684.1 zinc finger protein BRUTUS-like [Scenedesmus sp. PABB004]	KAI3430812.1 hypothetical protein D9Q98_009223 [Chlorella vulgaris]
OG0000062	KAF8063043.1 CCDC40 [Scenedesmus sp. PABB004]	KAI3426120.1 hypothetical protein D9Q98_008499 [Chlorella vulgaris]
OG0000063	KAF8069607.1 PEX14 [Scenedesmus sp. PABB004]	KAI3434646.1 hypothetical protein D9Q98_002711 [Chlorella vulgaris], KAI3426836.1 hypothetical protein D9Q98_006783 [Chlorella vulgaris]
OG0000064	KAF8068312.1 CUL4A [Scenedesmus sp. PABB004]	KAI3434468.1 hypothetical protein D9Q98_002545 [Chlorella vulgaris]
OG0000064	KAF8071138.1 CUL3A [Scenedesmus sp. PABB004]	KAI3430253.1 hypothetical protein D9Q98_004849 [Chlorella vulgaris]
OG0000065	KAF8060089.1 hypothetical protein HT031_005028 [Scenedesmus sp. PABB004]	KAI3425227.1 hypothetical protein D9Q98_008995 [Chlorella vulgaris], KAI3425222.1 hypothetical protein D9Q98_008990 [Chlorella vulgaris], KAI3424962.1 hypothetical protein D9Q98_008343 [Chlorella vulgaris], KAI3427112.1 hypothetical protein D9Q98_007049 [Chlorella vulgaris]
OG0000069	KAF8069631.1 HSP81-3 [Scenedesmus sp. PABB004]	KAI3426981.1 hypothetical protein D9Q98_006925 [Chlorella vulgaris]
OG0000069	KAF8068330.1 HSP90-5 [Scenedesmus sp. PABB004]	KAI3424311.1 hypothetical protein D9Q98_009864 [Chlorella vulgaris]
OG0000069	KAF8060354.1 HSP90B1 [Scenedesmus sp. PABB004]	KAI3433912.1 hypothetical protein D9Q98_003714 [Chlorella vulgaris]
