Orthogroup	Chlorella_VariabilisNC64A	Coccomyxa_SubellipsoideaC169
OG0000006	XP_005843205.1 hypothetical protein CHLNCDRAFT_14990_ partial [Chlorella variabilis], XP_005851910.1 hypothetical protein CHLNCDRAFT_17554_ partial [Chlorella variabilis], XP_005848072.1 hypothetical protein CHLNCDRAFT_145300 [Chlorella variabilis], XP_005845995.1 hypothetical protein CHLNCDRAFT_13716_ partial [Chlorella variabilis], XP_005845997.1 hypothetical protein CHLNCDRAFT_136055 [Chlorella variabilis], XP_005848395.1 hypothetical protein CHLNCDRAFT_144680 [Chlorella variabilis], XP_005848611.1 hypothetical protein CHLNCDRAFT_30642 [Chlorella variabilis], XP_005845704.1 hypothetical protein CHLNCDRAFT_136834 [Chlorella variabilis], XP_005845996.1 expressed protein [Chlorella variabilis], XP_005848610.1 hypothetical protein CHLNCDRAFT_57467 [Chlorella variabilis], XP_005844574.1 hypothetical protein CHLNCDRAFT_26742 [Chlorella variabilis], XP_005843211.1 hypothetical protein CHLNCDRAFT_13183_ partial [Chlorella variabilis], XP_005844632.1 hypothetical protein CHLNCDRAFT_13628_ partial [Chlorella variabilis], XP_005844631.1 hypothetical protein CHLNCDRAFT_36848 [Chlorella variabilis], XP_005847536.1 hypothetical protein CHLNCDRAFT_133720 [Chlorella variabilis], XP_005847535.1 hypothetical protein CHLNCDRAFT_31062 [Chlorella variabilis], XP_005847828.1 hypothetical protein CHLNCDRAFT_134046 [Chlorella variabilis]	EIE20275.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20985.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000007	XP_005845509.1 hypothetical protein CHLNCDRAFT_25860_ partial [Chlorella variabilis]	EIE21546.1 hypothetical protein COCSUDRAFT_17575 [Coccomyxa subellipsoidea C-169]
OG0000007	XP_005843694.1 hypothetical protein CHLNCDRAFT_27806 [Chlorella variabilis], XP_005843134.1 hypothetical protein CHLNCDRAFT_28493 [Chlorella variabilis], XP_005843124.1 hypothetical protein CHLNCDRAFT_55388 [Chlorella variabilis], XP_005846939.1 hypothetical protein CHLNCDRAFT_23970 [Chlorella variabilis], XP_005843643.1 hypothetical protein CHLNCDRAFT_27834 [Chlorella variabilis], XP_005843706.1 hypothetical protein CHLNCDRAFT_27882 [Chlorella variabilis], XP_005851845.1 hypothetical protein CHLNCDRAFT_48411 [Chlorella variabilis]	EIE19157.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19113.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE23632.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21863.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19131.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19100.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21868.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE18782.1 putative histone H2B [Coccomyxa subellipsoidea C-169]
OG0000008	XP_005843696.1 hypothetical protein CHLNCDRAFT_139973 [Chlorella variabilis], XP_005847450.1 hypothetical protein CHLNCDRAFT_134363 [Chlorella variabilis], XP_005846938.1 hypothetical protein CHLNCDRAFT_48891 [Chlorella variabilis], XP_005843707.1 hypothetical protein CHLNCDRAFT_27849 [Chlorella variabilis]	EIE19112.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19132.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21862.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23633.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21869.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19101.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000009	XP_005843753.1 hypothetical protein CHLNCDRAFT_139841 [Chlorella variabilis]	EIE27622.1 hypothetical protein COCSUDRAFT_39238 [Coccomyxa subellipsoidea C-169]
OG0000011	XP_005849952.1 hypothetical protein CHLNCDRAFT_143307 [Chlorella variabilis], XP_005849701.1 hypothetical protein CHLNCDRAFT_51171 [Chlorella variabilis], XP_005850592.1 hypothetical protein CHLNCDRAFT_29775 [Chlorella variabilis], XP_005850969.1 hypothetical protein CHLNCDRAFT_140750 [Chlorella variabilis], XP_005847290.1 hypothetical protein CHLNCDRAFT_134359 [Chlorella variabilis], XP_005850996.1 hypothetical protein CHLNCDRAFT_19742_ partial [Chlorella variabilis], XP_005842654.1 hypothetical protein CHLNCDRAFT_29026_ partial [Chlorella variabilis], XP_005850995.1 hypothetical protein CHLNCDRAFT_29915_ partial [Chlorella variabilis], XP_005842566.1 hypothetical protein CHLNCDRAFT_59518_ partial [Chlorella variabilis]	EIE23922.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE23924.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE19365.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26735.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18365.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE26174.1 hypothetical protein COCSUDRAFT_46522 [Coccomyxa subellipsoidea C-169], EIE18397.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20425.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20426.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20544.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22674.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE27156.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000011	XP_005849951.1 hypothetical protein CHLNCDRAFT_21329 [Chlorella variabilis]	EIE25815.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000011	XP_005852292.1 hypothetical protein CHLNCDRAFT_135467_ partial [Chlorella variabilis]	EIE23923.1 hypothetical protein COCSUDRAFT_62452 [Coccomyxa subellipsoidea C-169]
OG0000012	XP_005843648.1 histone H3.2 precursor [Chlorella variabilis]	EIE21870.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19169.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE23634.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19102.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19133.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19111.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE21861.1 histone H3 [Coccomyxa subellipsoidea C-169]
OG0000013	XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis]	EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000013	XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis]	EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169]
OG0000013	XP_005849819.1 expressed protein [Chlorella variabilis]	EIE22393.1 hypothetical protein COCSUDRAFT_42714 [Coccomyxa subellipsoidea C-169]
OG0000014	XP_005851021.1 hypothetical protein CHLNCDRAFT_29941 [Chlorella variabilis]	EIE18936.1 cyclophilin-like protein [Coccomyxa subellipsoidea C-169]
OG0000014	XP_005846491.1 hypothetical protein CHLNCDRAFT_31767 [Chlorella variabilis]	EIE20388.1 gcip-interacting family protein-like protein [Coccomyxa subellipsoidea C-169]
OG0000014	XP_005845180.1 hypothetical protein CHLNCDRAFT_26227_ partial [Chlorella variabilis]	EIE22797.1 cyclophilin_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	XP_005846899.1 hypothetical protein CHLNCDRAFT_13673_ partial [Chlorella variabilis]	EIE27323.1 hypothetical protein COCSUDRAFT_11218_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	XP_005851644.1 hypothetical protein CHLNCDRAFT_12885_ partial [Chlorella variabilis]	EIE25709.1 hypothetical protein COCSUDRAFT_12651 [Coccomyxa subellipsoidea C-169]
OG0000016	XP_005848904.1 hypothetical protein CHLNCDRAFT_51574 [Chlorella variabilis]	EIE19689.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]
OG0000016	XP_005844299.1 hypothetical protein CHLNCDRAFT_27202 [Chlorella variabilis]	EIE20101.1 hypothetical protein COCSUDRAFT_44063 [Coccomyxa subellipsoidea C-169]
OG0000016	XP_005849818.1 hypothetical protein CHLNCDRAFT_14180_ partial [Chlorella variabilis]	EIE20343.1 polyubiquitin precursor_ partial [Coccomyxa subellipsoidea C-169]
OG0000016	XP_005845753.1 ubiquitin_ partial [Chlorella variabilis], XP_005846791.1 hypothetical protein CHLNCDRAFT_24467_ partial [Chlorella variabilis]	EIE25290.1 ubiquitin fusion protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000018	XP_005850135.1 hypothetical protein CHLNCDRAFT_15266_ partial [Chlorella variabilis]	EIE25106.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24716.1 hypothetical protein COCSUDRAFT_46919 [Coccomyxa subellipsoidea C-169]
OG0000018	XP_005848235.1 hypothetical protein CHLNCDRAFT_11906_ partial [Chlorella variabilis]	EIE22491.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000018	XP_005843700.1 hypothetical protein CHLNCDRAFT_14655_ partial [Chlorella variabilis]	EIE25222.1 hypothetical protein COCSUDRAFT_35694 [Coccomyxa subellipsoidea C-169]
OG0000018	XP_005850232.1 hypothetical protein CHLNCDRAFT_20303_ partial [Chlorella variabilis]	EIE25757.1 hypothetical protein COCSUDRAFT_12896_ partial [Coccomyxa subellipsoidea C-169]
OG0000020	XP_005851635.1 hypothetical protein CHLNCDRAFT_33950 [Chlorella variabilis], XP_005842791.1 hypothetical protein CHLNCDRAFT_28837_ partial [Chlorella variabilis], XP_005847722.1 hypothetical protein CHLNCDRAFT_23239 [Chlorella variabilis], XP_005842790.1 hypothetical protein CHLNCDRAFT_59832 [Chlorella variabilis], XP_005845768.1 hypothetical protein CHLNCDRAFT_59732 [Chlorella variabilis], XP_005842681.1 hypothetical protein CHLNCDRAFT_28988_ partial [Chlorella variabilis], XP_005845876.1 hypothetical protein CHLNCDRAFT_136418 [Chlorella variabilis]	EIE22313.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE20603.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE27221.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE19027.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE22323.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE26164.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE21809.1 hexose transporter [Coccomyxa subellipsoidea C-169], EIE25646.1 general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000022	XP_005843709.1 hypothetical protein CHLNCDRAFT_139999 [Chlorella variabilis], XP_005843131.1 hypothetical protein CHLNCDRAFT_141505 [Chlorella variabilis], XP_005843650.1 hypothetical protein CHLNCDRAFT_140003 [Chlorella variabilis]	EIE25368.1 hypothetical protein COCSUDRAFT_61587 [Coccomyxa subellipsoidea C-169]
OG0000022	XP_005850753.1 hypothetical protein CHLNCDRAFT_140910 [Chlorella variabilis], XP_005852127.1 hypothetical protein CHLNCDRAFT_133221 [Chlorella variabilis]	EIE22085.1 hypothetical protein COCSUDRAFT_48053 [Coccomyxa subellipsoidea C-169]
OG0000022	XP_005851120.1 hypothetical protein CHLNCDRAFT_137696 [Chlorella variabilis]	EIE23044.1 U box_ partial [Coccomyxa subellipsoidea C-169], EIE25801.1 hypothetical protein COCSUDRAFT_60813 [Coccomyxa subellipsoidea C-169], EIE23042.1 U box_ partial [Coccomyxa subellipsoidea C-169], EIE23043.1 U box_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	XP_005844503.1 hypothetical protein CHLNCDRAFT_138869 [Chlorella variabilis], XP_005847308.1 hypothetical protein CHLNCDRAFT_134430 [Chlorella variabilis]	EIE23296.1 hypothetical protein COCSUDRAFT_15780_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	XP_005847520.1 hypothetical protein CHLNCDRAFT_134556 [Chlorella variabilis]	EIE22970.1 hypothetical protein COCSUDRAFT_15840_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	XP_005843823.1 hypothetical protein CHLNCDRAFT_139889 [Chlorella variabilis]	EIE19376.1 hypothetical protein COCSUDRAFT_19782 [Coccomyxa subellipsoidea C-169], EIE19354.1 hypothetical protein COCSUDRAFT_48920 [Coccomyxa subellipsoidea C-169]
OG0000023	XP_005843420.1 hypothetical protein CHLNCDRAFT_16757_ partial [Chlorella variabilis], XP_005843390.1 hypothetical protein CHLNCDRAFT_141228 [Chlorella variabilis]	EIE18478.1 hypothetical protein COCSUDRAFT_9572_ partial [Coccomyxa subellipsoidea C-169]
OG0000024	XP_005847855.1 hypothetical protein CHLNCDRAFT_134105 [Chlorella variabilis], XP_005847859.1 hypothetical protein CHLNCDRAFT_17670_ partial [Chlorella variabilis], XP_005843167.1 hypothetical protein CHLNCDRAFT_59329 [Chlorella variabilis], XP_005846181.1 hypothetical protein CHLNCDRAFT_136197 [Chlorella variabilis], XP_005849234.1 hypothetical protein CHLNCDRAFT_51199 [Chlorella variabilis], XP_005851812.1 hypothetical protein CHLNCDRAFT_49515 [Chlorella variabilis], XP_005849223.1 hypothetical protein CHLNCDRAFT_51447 [Chlorella variabilis], XP_005846619.1 hypothetical protein CHLNCDRAFT_135242 [Chlorella variabilis], XP_005843052.1 hypothetical protein CHLNCDRAFT_55438 [Chlorella variabilis], XP_005850926.1 hypothetical protein CHLNCDRAFT_140655 [Chlorella variabilis], XP_005848139.1 hypothetical protein CHLNCDRAFT_22903_ partial [Chlorella variabilis]	EIE18942.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169], EIE18940.1 hypothetical protein COCSUDRAFT_68092 [Coccomyxa subellipsoidea C-169], EIE27460.1 hypothetical protein COCSUDRAFT_39124 [Coccomyxa subellipsoidea C-169]
OG0000025	XP_005850994.1 hypothetical protein CHLNCDRAFT_140816 [Chlorella variabilis]	EIE26260.1 hypothetical protein COCSUDRAFT_64410 [Coccomyxa subellipsoidea C-169], EIE20369.1 CheY-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000025	XP_005849749.1 hypothetical protein CHLNCDRAFT_142770 [Chlorella variabilis]	EIE20127.1 hypothetical protein COCSUDRAFT_57853 [Coccomyxa subellipsoidea C-169], EIE20396.1 hypothetical protein COCSUDRAFT_9894_ partial [Coccomyxa subellipsoidea C-169]
OG0000025	XP_005848101.1 hypothetical protein CHLNCDRAFT_30989_ partial [Chlorella variabilis]	EIE27570.1 CheY-like protein [Coccomyxa subellipsoidea C-169]
OG0000026	XP_005848688.1 hypothetical protein CHLNCDRAFT_57509 [Chlorella variabilis]	EIE25754.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0000027	XP_005851655.1 hypothetical protein CHLNCDRAFT_50123 [Chlorella variabilis], XP_005845820.1 hypothetical protein CHLNCDRAFT_136568 [Chlorella variabilis], XP_005844589.1 hypothetical protein CHLNCDRAFT_58858 [Chlorella variabilis], XP_005851971.1 hypothetical protein CHLNCDRAFT_49746 [Chlorella variabilis], XP_005851970.1 hypothetical protein CHLNCDRAFT_133695 [Chlorella variabilis], XP_005850397.1 hypothetical protein CHLNCDRAFT_57116 [Chlorella variabilis], XP_005846125.1 hypothetical protein CHLNCDRAFT_136066 [Chlorella variabilis]	EIE27191.1 hypothetical protein COCSUDRAFT_55214 [Coccomyxa subellipsoidea C-169]
OG0000028	XP_005844756.1 hypothetical protein CHLNCDRAFT_54290 [Chlorella variabilis], XP_005845947.1 hypothetical protein CHLNCDRAFT_135930 [Chlorella variabilis], XP_005845945.1 hypothetical protein CHLNCDRAFT_135928 [Chlorella variabilis], XP_005846105.1 hypothetical protein CHLNCDRAFT_136011 [Chlorella variabilis], XP_005845948.1 hypothetical protein CHLNCDRAFT_135932 [Chlorella variabilis], XP_005843455.1 hypothetical protein CHLNCDRAFT_141091 [Chlorella variabilis], XP_005845965.1 hypothetical protein CHLNCDRAFT_135974 [Chlorella variabilis], XP_005845963.1 hypothetical protein CHLNCDRAFT_135972 [Chlorella variabilis], XP_005846074.1 hypothetical protein CHLNCDRAFT_58343 [Chlorella variabilis], XP_005845962.1 hypothetical protein CHLNCDRAFT_135971 [Chlorella variabilis], XP_005846079.1 hypothetical protein CHLNCDRAFT_135922 [Chlorella variabilis], XP_005845964.1 hypothetical protein CHLNCDRAFT_135973 [Chlorella variabilis], XP_005846080.1 hypothetical protein CHLNCDRAFT_135923 [Chlorella variabilis], XP_005846078.1 hypothetical protein CHLNCDRAFT_135921 [Chlorella variabilis], XP_005851357.1 hypothetical protein CHLNCDRAFT_49764 [Chlorella variabilis], XP_005844829.1 hypothetical protein CHLNCDRAFT_138267 [Chlorella variabilis], XP_005846086.1 hypothetical protein CHLNCDRAFT_135944 [Chlorella variabilis], XP_005845946.1 hypothetical protein CHLNCDRAFT_135929 [Chlorella variabilis], XP_005849194.1 hypothetical protein CHLNCDRAFT_143883 [Chlorella variabilis], XP_005846085.1 hypothetical protein CHLNCDRAFT_135942 [Chlorella variabilis], XP_005847353.1 expressed protein [Chlorella variabilis], XP_005845589.1 hypothetical protein CHLNCDRAFT_53764 [Chlorella variabilis], XP_005851663.1 expressed protein [Chlorella variabilis], XP_005845031.1 hypothetical protein CHLNCDRAFT_137260 [Chlorella variabilis], XP_005847189.1 hypothetical protein CHLNCDRAFT_52864 [Chlorella variabilis]	EIE21876.1 hypothetical protein COCSUDRAFT_56324 [Coccomyxa subellipsoidea C-169]
OG0000031	XP_005846217.1 hypothetical protein CHLNCDRAFT_135475 [Chlorella variabilis]	EIE20028.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000031	XP_005849862.1 hypothetical protein CHLNCDRAFT_57280 [Chlorella variabilis], XP_005852048.1 hypothetical protein CHLNCDRAFT_49396 [Chlorella variabilis]	EIE22263.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21560.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23726.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE23180.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20610.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000031	XP_005849595.1 hypothetical protein CHLNCDRAFT_34731 [Chlorella variabilis]	EIE20244.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE25682.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20661.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21561.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19061.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19060.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19314.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000035	XP_005846504.1 hypothetical protein CHLNCDRAFT_48950 [Chlorella variabilis]	EIE21150.1 hypothetical protein COCSUDRAFT_18014 [Coccomyxa subellipsoidea C-169]
OG0000035	XP_005843528.1 hypothetical protein CHLNCDRAFT_141048 [Chlorella variabilis]	EIE23299.1 hypothetical protein COCSUDRAFT_36731 [Coccomyxa subellipsoidea C-169], EIE26318.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE19204.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE20572.1 very-long-chain 3-ketoacyl-CoA synthase_ partial [Coccomyxa subellipsoidea C-169], EIE20573.1 hypothetical protein COCSUDRAFT_18466_ partial [Coccomyxa subellipsoidea C-169], EIE26289.1 hypothetical protein COCSUDRAFT_12451_ partial [Coccomyxa subellipsoidea C-169], EIE26326.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169]
OG0000036	XP_005848312.1 hypothetical protein CHLNCDRAFT_144971 [Chlorella variabilis], XP_005844903.1 hypothetical protein CHLNCDRAFT_138454 [Chlorella variabilis], XP_005848446.1 hypothetical protein CHLNCDRAFT_144815 [Chlorella variabilis], XP_005844389.1 expressed protein [Chlorella variabilis], XP_005842713.1 hypothetical protein CHLNCDRAFT_55725_ partial [Chlorella variabilis]	EIE26066.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18360.1 hypothetical protein COCSUDRAFT_49303 [Coccomyxa subellipsoidea C-169], EIE27057.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22387.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26119.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000037	XP_005850667.1 hypothetical protein CHLNCDRAFT_59584 [Chlorella variabilis]	EIE23074.1 putative chlorophyll a/b-binding protein_ chloroplast precursor [Coccomyxa subellipsoidea C-169], EIE23838.1 hypothetical protein COCSUDRAFT_28488 [Coccomyxa subellipsoidea C-169]
OG0000037	XP_005846357.1 hypothetical protein CHLNCDRAFT_56227 [Chlorella variabilis], XP_005846356.1 hypothetical protein CHLNCDRAFT_59709 [Chlorella variabilis]	EIE19993.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169]
OG0000037	XP_005845510.1 hypothetical protein CHLNCDRAFT_137219 [Chlorella variabilis], XP_005843949.1 hypothetical protein CHLNCDRAFT_59790 [Chlorella variabilis]	EIE26437.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26873.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26815.1 major light-harvesting complex II protein m10 [Coccomyxa subellipsoidea C-169]
OG0000038	XP_005850360.1 hypothetical protein CHLNCDRAFT_142202 [Chlorella variabilis], XP_005843688.1 hypothetical protein CHLNCDRAFT_55044 [Chlorella variabilis], XP_005844847.1 hypothetical protein CHLNCDRAFT_54159 [Chlorella variabilis], XP_005843195.1 hypothetical protein CHLNCDRAFT_55340 [Chlorella variabilis], XP_005843162.1 hypothetical protein CHLNCDRAFT_141408 [Chlorella variabilis]	EIE20983.1 hypothetical protein COCSUDRAFT_43360 [Coccomyxa subellipsoidea C-169], EIE23576.1 hypothetical protein COCSUDRAFT_47351 [Coccomyxa subellipsoidea C-169], EIE27181.1 hypothetical protein COCSUDRAFT_45764 [Coccomyxa subellipsoidea C-169], EIE21077.1 hypothetical protein COCSUDRAFT_67068 [Coccomyxa subellipsoidea C-169], EIE23577.1 hypothetical protein COCSUDRAFT_41776 [Coccomyxa subellipsoidea C-169], EIE20154.1 hypothetical protein COCSUDRAFT_44111 [Coccomyxa subellipsoidea C-169]
OG0000038	XP_005848332.1 hypothetical protein CHLNCDRAFT_145020 [Chlorella variabilis]	EIE26902.1 hypothetical protein COCSUDRAFT_64713 [Coccomyxa subellipsoidea C-169]
OG0000039	XP_005851046.1 hypothetical protein CHLNCDRAFT_140939 [Chlorella variabilis]	EIE24680.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]
OG0000042	XP_005842984.1 hypothetical protein CHLNCDRAFT_8635_ partial [Chlorella variabilis]	EIE25118.1 phosphate transporter [Coccomyxa subellipsoidea C-169], EIE21753.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000042	XP_005852067.1 hypothetical protein CHLNCDRAFT_133070 [Chlorella variabilis]	EIE25112.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25102.1 phosphate transporter [Coccomyxa subellipsoidea C-169]
OG0000043	XP_005842589.1 hypothetical protein CHLNCDRAFT_143368_ partial [Chlorella variabilis], XP_005845063.1 hypothetical protein CHLNCDRAFT_137349 [Chlorella variabilis]	EIE20352.1 hypothetical protein COCSUDRAFT_83552 [Coccomyxa subellipsoidea C-169]
