Orthogroup	Chlorella_VariabilisNC64A	Chlorella_Sorokiniana1602
OG0000004	XP_005848208.1 expressed protein [Chlorella variabilis]	PRW20956.1 squamosa promoter-binding 8 [Chlorella sorokiniana], PRW60887.1 Squamosa promoter-binding 1 [Chlorella sorokiniana]
OG0000004	XP_005845539.1 hypothetical protein CHLNCDRAFT_136680 [Chlorella variabilis]	PRW60923.1 squamosa promoter binding [Chlorella sorokiniana]
OG0000004	XP_005842938.1 hypothetical protein CHLNCDRAFT_37677 [Chlorella variabilis]	PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana]
OG0000004	XP_005844521.1 hypothetical protein CHLNCDRAFT_138913 [Chlorella variabilis]	PRW20503.1 squamosa promoter-binding 16 [Chlorella sorokiniana]
OG0000004	XP_005843197.1 hypothetical protein CHLNCDRAFT_28394 [Chlorella variabilis]	PRW56499.1 squamosa promoter-binding -like _SBP domain_ transcription factor family [Chlorella sorokiniana], PRW20468.1 squamosa promoter-binding 6 [Chlorella sorokiniana]
OG0000005	XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis]	PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana]
OG0000005	XP_005847129.1 hypothetical protein CHLNCDRAFT_52799 [Chlorella variabilis]	PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana]
OG0000005	XP_005843094.1 hypothetical protein CHLNCDRAFT_28450 [Chlorella variabilis]	PRW56948.1 Histone H2A [Chlorella sorokiniana]
OG0000005	XP_005843702.1 hypothetical protein CHLNCDRAFT_27894 [Chlorella variabilis]	PRW20423.1 Histone H2A [Chlorella sorokiniana]
OG0000005	XP_005848689.1 hypothetical protein CHLNCDRAFT_21904 [Chlorella variabilis]	PRW50900.1 Histone H2A [Chlorella sorokiniana]
OG0000006	XP_005845485.1 hypothetical protein CHLNCDRAFT_25821 [Chlorella variabilis], XP_005844803.1 hypothetical protein CHLNCDRAFT_13714_ partial [Chlorella variabilis], XP_005847493.1 hypothetical protein CHLNCDRAFT_12761_ partial [Chlorella variabilis], XP_005846952.1 hypothetical protein CHLNCDRAFT_23857 [Chlorella variabilis]	PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000006	XP_005847121.1 hypothetical protein CHLNCDRAFT_24126 [Chlorella variabilis]	PRW57168.1 kinase [Chlorella sorokiniana]
OG0000006	XP_005843205.1 hypothetical protein CHLNCDRAFT_14990_ partial [Chlorella variabilis]	PRW32834.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000006	XP_005851910.1 hypothetical protein CHLNCDRAFT_17554_ partial [Chlorella variabilis], XP_005848072.1 hypothetical protein CHLNCDRAFT_145300 [Chlorella variabilis]	PRW61477.1 Serine threonine- kinase CTR1 isoform A [Chlorella sorokiniana], PRW61478.1 Serine threonine- kinase CTR1 isoform B [Chlorella sorokiniana]
OG0000006	XP_005845995.1 hypothetical protein CHLNCDRAFT_13716_ partial [Chlorella variabilis], XP_005845997.1 hypothetical protein CHLNCDRAFT_136055 [Chlorella variabilis]	PRW33300.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000006	XP_005845996.1 expressed protein [Chlorella variabilis], XP_005848610.1 hypothetical protein CHLNCDRAFT_57467 [Chlorella variabilis], XP_005844574.1 hypothetical protein CHLNCDRAFT_26742 [Chlorella variabilis]	PRW60943.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000006	XP_005843211.1 hypothetical protein CHLNCDRAFT_13183_ partial [Chlorella variabilis]	PRW50839.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000006	XP_005844632.1 hypothetical protein CHLNCDRAFT_13628_ partial [Chlorella variabilis]	PRW33827.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000006	XP_005844631.1 hypothetical protein CHLNCDRAFT_36848 [Chlorella variabilis]	PRW58265.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000006	XP_005847536.1 hypothetical protein CHLNCDRAFT_133720 [Chlorella variabilis]	PRW57831.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000006	XP_005847535.1 hypothetical protein CHLNCDRAFT_31062 [Chlorella variabilis]	PRW57695.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW45340.1 TKL DRK kinase [Chlorella sorokiniana]
OG0000006	XP_005847828.1 hypothetical protein CHLNCDRAFT_134046 [Chlorella variabilis]	PRW33991.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000007	XP_005843134.1 hypothetical protein CHLNCDRAFT_28493 [Chlorella variabilis], XP_005843124.1 hypothetical protein CHLNCDRAFT_55388 [Chlorella variabilis], XP_005846939.1 hypothetical protein CHLNCDRAFT_23970 [Chlorella variabilis], XP_005843643.1 hypothetical protein CHLNCDRAFT_27834 [Chlorella variabilis], XP_005843706.1 hypothetical protein CHLNCDRAFT_27882 [Chlorella variabilis]	PRW60378.1 histone H2B [Chlorella sorokiniana], PRW32979.1 Histone [Chlorella sorokiniana], PRW56968.1 Histone [Chlorella sorokiniana], PRW33072.1 Histone [Chlorella sorokiniana], PRW57308.1 Histone [Chlorella sorokiniana], PRW20324.1 Histone [Chlorella sorokiniana], PRW56937.1 Histone isoform A [Chlorella sorokiniana], PRW57408.1 Histone [Chlorella sorokiniana], PRW56936.1 Histone isoform B [Chlorella sorokiniana], PRW32997.1 Histone [Chlorella sorokiniana], PRW33046.1 Histone [Chlorella sorokiniana], PRW33081.1 Histone [Chlorella sorokiniana], PRW57429.1 Histone [Chlorella sorokiniana], PRW57107.1 Histone [Chlorella sorokiniana]
OG0000008	XP_005847450.1 hypothetical protein CHLNCDRAFT_134363 [Chlorella variabilis]	PRW20318.1 Histone H4 [Chlorella sorokiniana]
OG0000008	XP_005846938.1 hypothetical protein CHLNCDRAFT_48891 [Chlorella variabilis]	PRW57322.1 Histone H4 [Chlorella sorokiniana]
OG0000009	XP_005844474.1 hypothetical protein CHLNCDRAFT_138802 [Chlorella variabilis]	PRW33000.1 hypothetical protein C2E21_8167 [Chlorella sorokiniana]
OG0000009	XP_005844472.1 hypothetical protein CHLNCDRAFT_54401 [Chlorella variabilis], XP_005843698.1 hypothetical protein CHLNCDRAFT_139978 [Chlorella variabilis]	PRW60004.1 polysaccharide deacetylase [Chlorella sorokiniana], PRW59662.1 polysaccharide deacetylase [Chlorella sorokiniana], PRW32546.1 polysaccharide deacetylase isoform B [Chlorella sorokiniana], PRW32547.1 polysaccharide deacetylase isoform A [Chlorella sorokiniana]
OG0000009	XP_005847882.1 hypothetical protein CHLNCDRAFT_145231 [Chlorella variabilis]	PRW57102.1 hypothetical protein C2E21_4256 [Chlorella sorokiniana]
OG0000009	XP_005850876.1 hypothetical protein CHLNCDRAFT_140524 [Chlorella variabilis]	PRW55946.1 polysaccharide deacetylase [Chlorella sorokiniana]
OG0000009	XP_005846123.1 hypothetical protein CHLNCDRAFT_136061 [Chlorella variabilis]	PRW33708.1 polysaccharide deacetylase [Chlorella sorokiniana]
OG0000009	XP_005845576.1 hypothetical protein CHLNCDRAFT_136749 [Chlorella variabilis]	PRW05840.1 hypothetical protein C2E21_9462 [Chlorella sorokiniana]
OG0000009	XP_005844473.1 hypothetical protein CHLNCDRAFT_138801 [Chlorella variabilis], XP_005848430.1 hypothetical protein CHLNCDRAFT_144776 [Chlorella variabilis]	PRW56282.1 hypothetical protein C2E21_4979 [Chlorella sorokiniana]
OG0000009	XP_005842704.1 hypothetical protein CHLNCDRAFT_136266_ partial [Chlorella variabilis]	PRW61361.1 left border a [Chlorella sorokiniana]
OG0000009	XP_005849744.1 hypothetical protein CHLNCDRAFT_142762 [Chlorella variabilis]	PRW58939.1 hypothetical protein C2E21_2035 [Chlorella sorokiniana]
OG0000009	XP_005851433.1 hypothetical protein CHLNCDRAFT_56687 [Chlorella variabilis], XP_005843107.1 hypothetical protein CHLNCDRAFT_141534 [Chlorella variabilis]	PRW61372.1 polysaccharide deacetylase [Chlorella sorokiniana]
OG0000009	XP_005843753.1 hypothetical protein CHLNCDRAFT_139841 [Chlorella variabilis]	PRW32927.1 peritrophic membrane chitin binding [Chlorella sorokiniana]
OG0000011	XP_005850969.1 hypothetical protein CHLNCDRAFT_140750 [Chlorella variabilis]	PRW55899.1 kinase [Chlorella sorokiniana]
OG0000011	XP_005847290.1 hypothetical protein CHLNCDRAFT_134359 [Chlorella variabilis]	PRW59693.1 kinase [Chlorella sorokiniana]
OG0000011	XP_005849951.1 hypothetical protein CHLNCDRAFT_21329 [Chlorella variabilis], XP_005843486.1 hypothetical protein CHLNCDRAFT_140991 [Chlorella variabilis], XP_005850766.1 hypothetical protein CHLNCDRAFT_140944 [Chlorella variabilis], XP_005849139.1 hypothetical protein CHLNCDRAFT_143747 [Chlorella variabilis], XP_005848249.1 hypothetical protein CHLNCDRAFT_144818 [Chlorella variabilis], XP_005848445.1 hypothetical protein CHLNCDRAFT_144814 [Chlorella variabilis], XP_005852292.1 hypothetical protein CHLNCDRAFT_135467_ partial [Chlorella variabilis], XP_005851827.1 hypothetical protein CHLNCDRAFT_133304 [Chlorella variabilis]	PRW61362.1 laminin subunit alpha-2 isoform E [Chlorella sorokiniana]
OG0000012	XP_005847128.1 hypothetical protein CHLNCDRAFT_24354 [Chlorella variabilis]	PRW57192.1 histone H3 [Chlorella sorokiniana]
OG0000012	XP_005847291.1 hypothetical protein CHLNCDRAFT_48847 [Chlorella variabilis]	PRW57428.1 histone H3 [Chlorella sorokiniana]
OG0000012	XP_005843648.1 histone H3.2 precursor [Chlorella variabilis]	PRW57380.1 histone H3 [Chlorella sorokiniana]
OG0000012	XP_005852293.1 hypothetical protein CHLNCDRAFT_28967 [Chlorella variabilis], XP_005843095.1 histone H3 [Chlorella variabilis], XP_005843780.1 hypothetical protein CHLNCDRAFT_59160 [Chlorella variabilis]	PRW59210.1 Histone [Chlorella sorokiniana]
OG0000013	XP_005842607.1 hypothetical protein CHLNCDRAFT_59511_ partial [Chlorella variabilis]	PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana]
OG0000013	XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis]	PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]
OG0000013	XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis]	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]
OG0000013	XP_005849560.1 hypothetical protein CHLNCDRAFT_57249 [Chlorella variabilis], XP_005849559.1 hypothetical protein CHLNCDRAFT_142950 [Chlorella variabilis]	PRW59170.1 sulfur stress regulator isoform A [Chlorella sorokiniana], PRW59171.1 sulfur stress regulator isoform B [Chlorella sorokiniana]
OG0000013	XP_005849819.1 expressed protein [Chlorella variabilis]	PRW58940.1 serine threonine- kinase Nek1 isoform X5 [Chlorella sorokiniana]
OG0000014	XP_005851021.1 hypothetical protein CHLNCDRAFT_29941 [Chlorella variabilis]	PRW56328.1 cyclophilin [Chlorella sorokiniana]
OG0000014	XP_005846492.1 hypothetical protein CHLNCDRAFT_24996 [Chlorella variabilis], XP_005846491.1 hypothetical protein CHLNCDRAFT_31767 [Chlorella variabilis]	PRW59726.1 peptidyl-prolyl cis-trans isomerase CYP19-3 isoform X2 [Chlorella sorokiniana]
OG0000014	XP_005845180.1 hypothetical protein CHLNCDRAFT_26227_ partial [Chlorella variabilis]	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]
OG0000014	XP_005846899.1 hypothetical protein CHLNCDRAFT_13673_ partial [Chlorella variabilis]	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]
OG0000014	XP_005851644.1 hypothetical protein CHLNCDRAFT_12885_ partial [Chlorella variabilis]	PRW58429.1 Peptidyl-prolyl cis-trans isomerase [Chlorella sorokiniana]
OG0000014	XP_005849876.1 hypothetical protein CHLNCDRAFT_143107 [Chlorella variabilis]	PRW57025.1 peptidyl-prolyl cis-trans isomerase B [Chlorella sorokiniana]
OG0000015	XP_005843522.1 hypothetical protein CHLNCDRAFT_17890_ partial [Chlorella variabilis], XP_005845058.1 hypothetical protein CHLNCDRAFT_26263_ partial [Chlorella variabilis], XP_005844706.1 hypothetical protein CHLNCDRAFT_26569_ partial [Chlorella variabilis], XP_005849118.1 hypothetical protein CHLNCDRAFT_17888_ partial [Chlorella variabilis]	PRW05686.1 reverse transcriptase_ partial [Chlorella sorokiniana], PRW05743.1 Pol [Chlorella sorokiniana], PRW05685.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW44387.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW45629.1 Pol isoform B [Chlorella sorokiniana], PRW45726.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33714.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW18418.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56112.1 ERD4-related membrane_ partial [Chlorella sorokiniana], PRW21010.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW60954.1 hypothetical protein C2E21_0274 [Chlorella sorokiniana], PRW60796.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33265.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56022.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW20585.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW50991.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW57871.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW58827.1 Pol [Chlorella sorokiniana], PRW56997.1 ERD4-related membrane [Chlorella sorokiniana], PRW34092.1 Pol [Chlorella sorokiniana], PRW45630.1 Pol isoform A [Chlorella sorokiniana]
OG0000016	XP_005848904.1 hypothetical protein CHLNCDRAFT_51574 [Chlorella variabilis]	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]
OG0000016	XP_005844299.1 hypothetical protein CHLNCDRAFT_27202 [Chlorella variabilis]	PRW33690.1 ubiquitin-NEDD8 RUB2 [Chlorella sorokiniana]
OG0000016	XP_005845753.1 ubiquitin_ partial [Chlorella variabilis], XP_005846791.1 hypothetical protein CHLNCDRAFT_24467_ partial [Chlorella variabilis]	PRW56465.1 ubiquitin-60S ribosomal L40 [Chlorella sorokiniana]
OG0000016	XP_005850414.1 hypothetical protein CHLNCDRAFT_15978_ partial [Chlorella variabilis]	PRW45491.1 40S ribosomal S27 [Chlorella sorokiniana]
OG0000018	XP_005850135.1 hypothetical protein CHLNCDRAFT_15266_ partial [Chlorella variabilis]	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]
OG0000018	XP_005843092.1 hypothetical protein CHLNCDRAFT_13490_ partial [Chlorella variabilis]	PRW20403.1 Myb-related B isoform B [Chlorella sorokiniana], PRW20404.1 Myb-related B isoform A [Chlorella sorokiniana]
OG0000018	XP_005848340.1 hypothetical protein CHLNCDRAFT_13979_ partial [Chlorella variabilis]	PRW44975.1 transcription factor MYB44-like [Chlorella sorokiniana]
OG0000018	XP_005850232.1 hypothetical protein CHLNCDRAFT_20303_ partial [Chlorella variabilis]	PRW56509.1 transcription factor Myb13 [Chlorella sorokiniana]
OG0000020	XP_005851635.1 hypothetical protein CHLNCDRAFT_33950 [Chlorella variabilis]	PRW58220.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]
OG0000020	XP_005842790.1 hypothetical protein CHLNCDRAFT_59832 [Chlorella variabilis], XP_005845768.1 hypothetical protein CHLNCDRAFT_59732 [Chlorella variabilis], XP_005842681.1 hypothetical protein CHLNCDRAFT_28988_ partial [Chlorella variabilis]	PRW33669.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]
OG0000020	XP_005845876.1 hypothetical protein CHLNCDRAFT_136418 [Chlorella variabilis]	PRW33672.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]
OG0000022	XP_005843644.1 hypothetical protein CHLNCDRAFT_139989 [Chlorella variabilis], XP_005843649.1 hypothetical protein CHLNCDRAFT_140002 [Chlorella variabilis], XP_005843126.1 hypothetical protein CHLNCDRAFT_141498 [Chlorella variabilis], XP_005843646.1 hypothetical protein CHLNCDRAFT_139993 [Chlorella variabilis], XP_005843098.1 hypothetical protein CHLNCDRAFT_141510 [Chlorella variabilis], XP_005843637.1 hypothetical protein CHLNCDRAFT_54971 [Chlorella variabilis], XP_005843130.1 hypothetical protein CHLNCDRAFT_141504 [Chlorella variabilis], XP_005843129.1 hypothetical protein CHLNCDRAFT_141502 [Chlorella variabilis], XP_005843132.1 hypothetical protein CHLNCDRAFT_141507 [Chlorella variabilis], XP_005843699.1 hypothetical protein CHLNCDRAFT_139979 [Chlorella variabilis]	PRW58506.1 voltage-gated ion channel superfamily [Chlorella sorokiniana], PRW44256.1 U-box domain-containing 17-like [Chlorella sorokiniana]
OG0000022	XP_005843709.1 hypothetical protein CHLNCDRAFT_139999 [Chlorella variabilis], XP_005843131.1 hypothetical protein CHLNCDRAFT_141505 [Chlorella variabilis], XP_005843650.1 hypothetical protein CHLNCDRAFT_140003 [Chlorella variabilis]	PRW57847.1 ankyrin repeat [Chlorella sorokiniana], PRW56411.1 ankyrin repeat [Chlorella sorokiniana], PRW56453.1 ankyrin 2_3 unc44 [Chlorella sorokiniana]
OG0000022	XP_005850753.1 hypothetical protein CHLNCDRAFT_140910 [Chlorella variabilis], XP_005852127.1 hypothetical protein CHLNCDRAFT_133221 [Chlorella variabilis]	PRW51129.1 vacuolar sorting 23A [Chlorella sorokiniana]
OG0000022	XP_005851120.1 hypothetical protein CHLNCDRAFT_137696 [Chlorella variabilis]	PRW58217.1 hypothetical protein C2E21_2886 [Chlorella sorokiniana]
OG0000023	XP_005847520.1 hypothetical protein CHLNCDRAFT_134556 [Chlorella variabilis]	PRW44501.1 D-tyrosyl-tRNA_Tyr_ deacylase [Chlorella sorokiniana]
OG0000023	XP_005843420.1 hypothetical protein CHLNCDRAFT_16757_ partial [Chlorella variabilis]	PRW59139.1 zinc finger CCCH domain-containing 66-like [Chlorella sorokiniana]
OG0000023	XP_005843390.1 hypothetical protein CHLNCDRAFT_141228 [Chlorella variabilis]	PRW32871.1 zinc finger family isoform B [Chlorella sorokiniana], PRW32872.1 zinc finger family isoform A [Chlorella sorokiniana]
OG0000024	XP_005850926.1 hypothetical protein CHLNCDRAFT_140655 [Chlorella variabilis]	PRW55960.1 peptidase S8 [Chlorella sorokiniana]
OG0000024	XP_005848139.1 hypothetical protein CHLNCDRAFT_22903_ partial [Chlorella variabilis]	PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]
OG0000025	XP_005846122.1 hypothetical protein CHLNCDRAFT_136058 [Chlorella variabilis]	PRW39202.1 Myb-related transcription factor [Chlorella sorokiniana]
OG0000025	XP_005850994.1 hypothetical protein CHLNCDRAFT_140816 [Chlorella variabilis]	PRW56235.1 pseudo-response regulator 3 [Chlorella sorokiniana]
OG0000025	XP_005850246.1 hypothetical protein CHLNCDRAFT_141917 [Chlorella variabilis]	PRW56722.1 PHR1-LIKE 1-like [Chlorella sorokiniana]
OG0000026	XP_005848688.1 hypothetical protein CHLNCDRAFT_57509 [Chlorella variabilis]	PRW50812.1 class V aminotransferase [Chlorella sorokiniana]
OG0000026	XP_005843396.1 hypothetical protein CHLNCDRAFT_141235 [Chlorella variabilis]	PRW32912.1 acid protease [Chlorella sorokiniana]
OG0000026	XP_005852300.1 hypothetical protein CHLNCDRAFT_134603_ partial [Chlorella variabilis], XP_005851528.1 hypothetical protein CHLNCDRAFT_137959 [Chlorella variabilis], XP_005846610.1 hypothetical protein CHLNCDRAFT_58154 [Chlorella variabilis], XP_005847755.1 hypothetical protein CHLNCDRAFT_133854_ partial [Chlorella variabilis], XP_005842724.1 expressed protein_ partial [Chlorella variabilis], XP_005846203.1 hypothetical protein CHLNCDRAFT_136239_ partial [Chlorella variabilis], XP_005851426.1 hypothetical protein CHLNCDRAFT_137716 [Chlorella variabilis], XP_005842989.1 hypothetical protein CHLNCDRAFT_141701 [Chlorella variabilis], XP_005845234.1 hypothetical protein CHLNCDRAFT_137502 [Chlorella variabilis], XP_005851404.1 expressed protein [Chlorella variabilis], XP_005848389.1 hypothetical protein CHLNCDRAFT_57694 [Chlorella variabilis], XP_005847915.1 hypothetical protein CHLNCDRAFT_145317 [Chlorella variabilis], XP_005845506.1 expressed protein [Chlorella variabilis], XP_005850394.1 hypothetical protein CHLNCDRAFT_50729 [Chlorella variabilis], XP_005850151.1 hypothetical protein CHLNCDRAFT_50737 [Chlorella variabilis], XP_005851650.1 hypothetical protein CHLNCDRAFT_138230 [Chlorella variabilis], XP_005849864.1 expressed protein [Chlorella variabilis], XP_005845970.1 hypothetical protein CHLNCDRAFT_135995 [Chlorella variabilis], XP_005852086.1 hypothetical protein CHLNCDRAFT_56488 [Chlorella variabilis], XP_005846352.1 expressed protein [Chlorella variabilis], XP_005847661.1 hypothetical protein CHLNCDRAFT_134031_ partial [Chlorella variabilis], XP_005852010.1 hypothetical protein CHLNCDRAFT_132940 [Chlorella variabilis]	PRW60635.1 alpha beta-hydrolase [Chlorella sorokiniana]
OG0000027	XP_005851329.1 hypothetical protein CHLNCDRAFT_138200 [Chlorella variabilis]	PRW58424.1 serine threonine- kinase isoform B [Chlorella sorokiniana], PRW58423.1 serine threonine- kinase isoform A [Chlorella sorokiniana]
OG0000027	XP_005851655.1 hypothetical protein CHLNCDRAFT_50123 [Chlorella variabilis]	PRW33901.1 serine threonine- kinase [Chlorella sorokiniana], PRW33856.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000027	XP_005845820.1 hypothetical protein CHLNCDRAFT_136568 [Chlorella variabilis]	PRW33522.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000027	XP_005844589.1 hypothetical protein CHLNCDRAFT_58858 [Chlorella variabilis]	PRW21099.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000027	XP_005851971.1 hypothetical protein CHLNCDRAFT_49746 [Chlorella variabilis]	PRW60292.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000027	XP_005846125.1 hypothetical protein CHLNCDRAFT_136066 [Chlorella variabilis]	PRW39362.1 serine threonine- kinase [Chlorella sorokiniana]
OG0000028	XP_005844756.1 hypothetical protein CHLNCDRAFT_54290 [Chlorella variabilis]	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana]
OG0000028	XP_005847189.1 hypothetical protein CHLNCDRAFT_52864 [Chlorella variabilis]	PRW20255.1 hypothetical protein C2E21_9214 [Chlorella sorokiniana], PRW57216.1 ankyrin repeat-containing protein [Chlorella sorokiniana]
OG0000029	XP_005851767.1 hypothetical protein CHLNCDRAFT_49465 [Chlorella variabilis]	PRW60661.1 hypothetical protein C2E21_0949 [Chlorella sorokiniana]
OG0000029	XP_005848335.1 hypothetical protein CHLNCDRAFT_51898 [Chlorella variabilis]	PRW44850.1 hypothetical protein C2E21_6254 [Chlorella sorokiniana]
OG0000029	XP_005846208.1 hypothetical protein CHLNCDRAFT_136255 [Chlorella variabilis]	PRW39270.1 U6 snRNA phosphodiesterase [Chlorella sorokiniana], PRW39389.1 formate nitrite transporter [Chlorella sorokiniana]
OG0000031	XP_005846217.1 hypothetical protein CHLNCDRAFT_135475 [Chlorella variabilis]	PRW59761.1 cytochrome P450 [Chlorella sorokiniana]
OG0000031	XP_005849595.1 hypothetical protein CHLNCDRAFT_34731 [Chlorella variabilis]	PRW50749.1 cytochrome P450 [Chlorella sorokiniana]
OG0000032	XP_005851564.1 hypothetical protein CHLNCDRAFT_138049 [Chlorella variabilis]	PRW45713.1 hypothetical protein C2E21_5840 [Chlorella sorokiniana]
OG0000032	XP_005844943.1 hypothetical protein CHLNCDRAFT_138290 [Chlorella variabilis]	PRW33287.1 hypothetical protein C2E21_7824 [Chlorella sorokiniana]
