Orthogroup	Chlorella_VariabilisNC64A	Micractinium_SAG24180
OG0000003	XP_005844659.1 hypothetical protein CHLNCDRAFT_138538 [Chlorella variabilis]	PSC68724.1 hypothetical protein C2E20_7768 [Micractinium conductrix]
OG0000004	XP_005844033.1 hypothetical protein CHLNCDRAFT_54787 [Chlorella variabilis], XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis]	PSC71250.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC71709.1 squamosa promoter-binding 9 [Micractinium conductrix]
OG0000004	XP_005845592.1 hypothetical protein CHLNCDRAFT_53768 [Chlorella variabilis]	PSC72580.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC69133.1 squamosa promoter-binding 7 isoform B [Micractinium conductrix], PSC69134.1 squamosa promoter-binding 7 isoform C [Micractinium conductrix], PSC69132.1 squamosa promoter-binding 7 isoform A [Micractinium conductrix]
OG0000004	XP_005845837.1 hypothetical protein CHLNCDRAFT_136317 [Chlorella variabilis]	PSC69137.1 squamosa promoter binding [Micractinium conductrix], PSC71981.1 squamosa promoter binding [Micractinium conductrix]
OG0000004	XP_005844034.1 hypothetical protein CHLNCDRAFT_27387_ partial [Chlorella variabilis]	PSC72586.1 hypothetical protein C2E20_4320 [Micractinium conductrix]
OG0000004	XP_005843727.1 hypothetical protein CHLNCDRAFT_140043 [Chlorella variabilis]	PSC74766.1 squamosa promoter-binding 16 [Micractinium conductrix], PSC74759.1 copper responsive regulator 1 [Micractinium conductrix]
OG0000004	XP_005845539.1 hypothetical protein CHLNCDRAFT_136680 [Chlorella variabilis]	PSC74248.1 squamosa promoter-binding 6 isoform X1 [Micractinium conductrix]
OG0000004	XP_005842938.1 hypothetical protein CHLNCDRAFT_37677 [Chlorella variabilis]	PSC71707.1 squamosa promoter-binding 15 [Micractinium conductrix]
OG0000004	XP_005847945.1 hypothetical protein CHLNCDRAFT_17840_ partial [Chlorella variabilis]	PSC69488.1 Squamosa promoter-binding 11 [Micractinium conductrix]
OG0000004	XP_005851959.1 hypothetical protein CHLNCDRAFT_133640 [Chlorella variabilis], XP_005845547.1 hypothetical protein CHLNCDRAFT_136695 [Chlorella variabilis], XP_005852265.1 hypothetical protein CHLNCDRAFT_133643 [Chlorella variabilis]	PSC68538.1 squamosa promoter-binding 3 [Micractinium conductrix]
OG0000004	XP_005843197.1 hypothetical protein CHLNCDRAFT_28394 [Chlorella variabilis]	PSC68456.1 squamosa promoter binding [Micractinium conductrix]
OG0000005	XP_005847129.1 hypothetical protein CHLNCDRAFT_52799 [Chlorella variabilis]	PSC71104.1 Histone H2A [Micractinium conductrix], PSC71088.1 Histone H2A [Micractinium conductrix], PSC72221.1 Histone H2A [Micractinium conductrix]
OG0000005	XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]	PSC69436.1 Histone H2A [Micractinium conductrix]
OG0000006	XP_005845485.1 hypothetical protein CHLNCDRAFT_25821 [Chlorella variabilis], XP_005844803.1 hypothetical protein CHLNCDRAFT_13714_ partial [Chlorella variabilis], XP_005847493.1 hypothetical protein CHLNCDRAFT_12761_ partial [Chlorella variabilis]	PSC74167.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000006	XP_005847121.1 hypothetical protein CHLNCDRAFT_24126 [Chlorella variabilis]	PSC72144.1 kinase [Micractinium conductrix]
OG0000006	XP_005848395.1 hypothetical protein CHLNCDRAFT_144680 [Chlorella variabilis]	PSC70863.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000006	XP_005844632.1 hypothetical protein CHLNCDRAFT_13628_ partial [Chlorella variabilis], XP_005844631.1 hypothetical protein CHLNCDRAFT_36848 [Chlorella variabilis]	PSC69274.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000006	XP_005847828.1 hypothetical protein CHLNCDRAFT_134046 [Chlorella variabilis]	PSC70242.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000007	XP_005843694.1 hypothetical protein CHLNCDRAFT_27806 [Chlorella variabilis]	PSC69424.1 histone H2B [Micractinium conductrix]
OG0000007	XP_005843134.1 hypothetical protein CHLNCDRAFT_28493 [Chlorella variabilis], XP_005843124.1 hypothetical protein CHLNCDRAFT_55388 [Chlorella variabilis], XP_005846939.1 hypothetical protein CHLNCDRAFT_23970 [Chlorella variabilis], XP_005843643.1 hypothetical protein CHLNCDRAFT_27834 [Chlorella variabilis], XP_005843706.1 hypothetical protein CHLNCDRAFT_27882 [Chlorella variabilis]	PSC75933.1 Histone [Micractinium conductrix], PSC73921.1 Histone [Micractinium conductrix], PSC71210.1 Histone [Micractinium conductrix], PSC72154.1 Histone [Micractinium conductrix], PSC71158.1 Histone [Micractinium conductrix], PSC72107.1 Histone [Micractinium conductrix], PSC72209.1 Histone [Micractinium conductrix], PSC72316.1 Histone [Micractinium conductrix], PSC71283.1 Histone [Micractinium conductrix], PSC68365.1 Histone [Micractinium conductrix], PSC68331.1 Histone [Micractinium conductrix], PSC72134.1 Histone [Micractinium conductrix], PSC72315.1 Histone [Micractinium conductrix]
OG0000008	XP_005843696.1 hypothetical protein CHLNCDRAFT_139973 [Chlorella variabilis], XP_005847450.1 hypothetical protein CHLNCDRAFT_134363 [Chlorella variabilis], XP_005846938.1 hypothetical protein CHLNCDRAFT_48891 [Chlorella variabilis]	PSC68336.1 Histone H4 [Micractinium conductrix]
OG0000008	XP_005843707.1 hypothetical protein CHLNCDRAFT_27849 [Chlorella variabilis]	PSC72347.1 Histone H4 [Micractinium conductrix]
OG0000009	XP_005844470.1 hypothetical protein CHLNCDRAFT_138797 [Chlorella variabilis]	PSC69092.1 left border a [Micractinium conductrix]
OG0000009	XP_005844472.1 hypothetical protein CHLNCDRAFT_54401 [Chlorella variabilis], XP_005843698.1 hypothetical protein CHLNCDRAFT_139978 [Chlorella variabilis]	PSC73088.1 Polysaccharide deacetylase domain-containing [Micractinium conductrix]
OG0000009	XP_005847883.1 hypothetical protein CHLNCDRAFT_145232 [Chlorella variabilis], XP_005847882.1 hypothetical protein CHLNCDRAFT_145231 [Chlorella variabilis]	PSC70814.1 polysaccharide deacetylase [Micractinium conductrix]
OG0000009	XP_005850876.1 hypothetical protein CHLNCDRAFT_140524 [Chlorella variabilis]	PSC71479.1 polysaccharide deacetylase [Micractinium conductrix]
OG0000009	XP_005846123.1 hypothetical protein CHLNCDRAFT_136061 [Chlorella variabilis]	PSC76360.1 Polysaccharide deacetylase domain-containing [Micractinium conductrix]
OG0000009	XP_005845576.1 hypothetical protein CHLNCDRAFT_136749 [Chlorella variabilis]	PSC74020.1 polysaccharide deacetylase [Micractinium conductrix]
OG0000009	XP_005844473.1 hypothetical protein CHLNCDRAFT_138801 [Chlorella variabilis], XP_005848430.1 hypothetical protein CHLNCDRAFT_144776 [Chlorella variabilis]	PSC69105.1 hypothetical protein C2E20_7356 [Micractinium conductrix]
OG0000009	XP_005842704.1 hypothetical protein CHLNCDRAFT_136266_ partial [Chlorella variabilis]	PSC74206.1 left border a [Micractinium conductrix]
OG0000009	XP_005849744.1 hypothetical protein CHLNCDRAFT_142762 [Chlorella variabilis]	PSC77048.1 polysaccharide deacetylase [Micractinium conductrix]
OG0000009	XP_005843107.1 hypothetical protein CHLNCDRAFT_141534 [Chlorella variabilis]	PSC74790.1 hypothetical protein C2E20_2386 [Micractinium conductrix]
OG0000009	XP_005843753.1 hypothetical protein CHLNCDRAFT_139841 [Chlorella variabilis]	PSC67809.1 ribonucleases P MRP subunit POP1 [Micractinium conductrix], PSC75877.1 left border a [Micractinium conductrix]
OG0000011	XP_005849952.1 hypothetical protein CHLNCDRAFT_143307 [Chlorella variabilis], XP_005849701.1 hypothetical protein CHLNCDRAFT_51171 [Chlorella variabilis]	PSC76957.1 kinase [Micractinium conductrix], PSC69706.1 kinase [Micractinium conductrix]
OG0000011	XP_005850969.1 hypothetical protein CHLNCDRAFT_140750 [Chlorella variabilis]	PSC72637.1 kinase [Micractinium conductrix]
OG0000012	XP_005847128.1 hypothetical protein CHLNCDRAFT_24354 [Chlorella variabilis]	PSC72203.1 histone H3 [Micractinium conductrix]
OG0000012	XP_005843648.1 histone H3.2 precursor [Chlorella variabilis]	PSC72265.1 histone H3 [Micractinium conductrix]
OG0000012	XP_005843099.1 hypothetical protein CHLNCDRAFT_141512 [Chlorella variabilis]	PSC68334.1 histone H3 [Micractinium conductrix]
OG0000013	XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis]	PSC70880.1 sulfur stress regulator [Micractinium conductrix]
OG0000013	XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis]	PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix]
OG0000013	XP_005849560.1 hypothetical protein CHLNCDRAFT_57249 [Chlorella variabilis], XP_005849559.1 hypothetical protein CHLNCDRAFT_142950 [Chlorella variabilis]	PSC74495.1 sulfur stress regulator [Micractinium conductrix]
OG0000013	XP_005851920.1 hypothetical protein CHLNCDRAFT_33664 [Chlorella variabilis]	PSC74454.1 sulfur stress regulator [Micractinium conductrix]
OG0000014	XP_005851021.1 hypothetical protein CHLNCDRAFT_29941 [Chlorella variabilis]	PSC69049.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	XP_005846491.1 hypothetical protein CHLNCDRAFT_31767 [Chlorella variabilis]	PSC68358.1 peptidyl-prolyl cis-trans isomerase CYP19-3 [Micractinium conductrix]
OG0000014	XP_005845180.1 hypothetical protein CHLNCDRAFT_26227_ partial [Chlorella variabilis]	PSC73928.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	XP_005846899.1 hypothetical protein CHLNCDRAFT_13673_ partial [Chlorella variabilis]	PSC72208.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Micractinium conductrix]
OG0000014	XP_005851644.1 hypothetical protein CHLNCDRAFT_12885_ partial [Chlorella variabilis]	PSC76028.1 peptidyl-prolyl cis-trans cyclophilin-type [Micractinium conductrix]
OG0000014	XP_005849876.1 hypothetical protein CHLNCDRAFT_143107 [Chlorella variabilis]	PSC76324.1 peptidyl-prolyl cis-trans isomerase B [Micractinium conductrix]
OG0000015	XP_005843522.1 hypothetical protein CHLNCDRAFT_17890_ partial [Chlorella variabilis], XP_005845058.1 hypothetical protein CHLNCDRAFT_26263_ partial [Chlorella variabilis], XP_005844706.1 hypothetical protein CHLNCDRAFT_26569_ partial [Chlorella variabilis], XP_005849118.1 hypothetical protein CHLNCDRAFT_17888_ partial [Chlorella variabilis]	PSC74858.1 reverse transcriptase [Micractinium conductrix], PSC71750.1 DNase I [Micractinium conductrix], PSC72806.1 hypothetical protein C2E20_3905 [Micractinium conductrix], PSC72775.1 hypothetical protein C2E20_3906 [Micractinium conductrix]
OG0000016	XP_005848904.1 hypothetical protein CHLNCDRAFT_51574 [Chlorella variabilis]	PSC75488.1 polyubiquitin [Micractinium conductrix]
OG0000016	XP_005850582.1 hypothetical protein CHLNCDRAFT_48528 [Chlorella variabilis]	PSC71615.1 polyubiquitin-B [Micractinium conductrix]
OG0000016	XP_005844299.1 hypothetical protein CHLNCDRAFT_27202 [Chlorella variabilis]	PSC67370.1 bi-major isoform [Micractinium conductrix]
OG0000016	XP_005845753.1 ubiquitin_ partial [Chlorella variabilis], XP_005846791.1 hypothetical protein CHLNCDRAFT_24467_ partial [Chlorella variabilis]	PSC68113.1 ubiquitin-60S ribosomal L40 [Micractinium conductrix]
OG0000016	XP_005850414.1 hypothetical protein CHLNCDRAFT_15978_ partial [Chlorella variabilis]	PSC72465.1 SDE2-like protein [Micractinium conductrix]
OG0000017	XP_005850773.1 expressed protein [Chlorella variabilis], XP_005842793.1 hypothetical protein CHLNCDRAFT_55644 [Chlorella variabilis]	PSC76120.1 Reverse transcriptase-related [Micractinium conductrix], PSC75431.1 RNA-directed DNA polymerase from mobile element jockey [Micractinium conductrix], PSC76992.1 RNA-directed DNA polymerase from mobile element jockey [Micractinium conductrix], PSC72954.1 reverse poly isoform B [Micractinium conductrix], PSC67114.1 hypothetical protein C2E20_9200 [Micractinium conductrix], PSC68936.1 reverse transcriptase [Micractinium conductrix]
OG0000018	XP_005850135.1 hypothetical protein CHLNCDRAFT_15266_ partial [Chlorella variabilis]	PSC71636.1 transcription factor MYB98-like [Micractinium conductrix]
OG0000018	XP_005843700.1 hypothetical protein CHLNCDRAFT_14655_ partial [Chlorella variabilis]	PSC74728.1 Myb A [Micractinium conductrix]
OG0000018	XP_005850232.1 hypothetical protein CHLNCDRAFT_20303_ partial [Chlorella variabilis]	PSC72450.1 myb-related B-like isoform A [Micractinium conductrix], PSC72449.1 myb-related B-like isoform B [Micractinium conductrix]
OG0000020	XP_005851635.1 hypothetical protein CHLNCDRAFT_33950 [Chlorella variabilis]	PSC76169.1 H_+_ hexose cotransporter 2 [Micractinium conductrix]
OG0000020	XP_005842790.1 hypothetical protein CHLNCDRAFT_59832 [Chlorella variabilis], XP_005845768.1 hypothetical protein CHLNCDRAFT_59732 [Chlorella variabilis], XP_005842681.1 hypothetical protein CHLNCDRAFT_28988_ partial [Chlorella variabilis]	PSC74047.1 H_+_ hexose cotransporter 2 isoform C [Micractinium conductrix], PSC74046.1 H_+_ hexose cotransporter 2 isoform A [Micractinium conductrix], PSC74048.1 H_+_ hexose cotransporter 2 isoform B [Micractinium conductrix]
OG0000020	XP_005845876.1 hypothetical protein CHLNCDRAFT_136418 [Chlorella variabilis]	PSC74912.1 H_+_ hexose cotransporter 2 [Micractinium conductrix], PSC76673.1 H_+_ hexose cotransporter 2 [Micractinium conductrix]
OG0000022	XP_005844733.1 hypothetical protein CHLNCDRAFT_138721 [Chlorella variabilis]	PSC67696.1 sel1 domain repeat-containing [Micractinium conductrix]
OG0000022	XP_005843644.1 hypothetical protein CHLNCDRAFT_139989 [Chlorella variabilis], XP_005843649.1 hypothetical protein CHLNCDRAFT_140002 [Chlorella variabilis], XP_005843126.1 hypothetical protein CHLNCDRAFT_141498 [Chlorella variabilis], XP_005843646.1 hypothetical protein CHLNCDRAFT_139993 [Chlorella variabilis], XP_005843098.1 hypothetical protein CHLNCDRAFT_141510 [Chlorella variabilis], XP_005843637.1 hypothetical protein CHLNCDRAFT_54971 [Chlorella variabilis], XP_005843130.1 hypothetical protein CHLNCDRAFT_141504 [Chlorella variabilis], XP_005843129.1 hypothetical protein CHLNCDRAFT_141502 [Chlorella variabilis], XP_005843132.1 hypothetical protein CHLNCDRAFT_141507 [Chlorella variabilis], XP_005843699.1 hypothetical protein CHLNCDRAFT_139979 [Chlorella variabilis]	PSC73306.1 U-box and intein containing von Willebrand factor type A isoform B [Micractinium conductrix], PSC73305.1 U-box and intein containing von Willebrand factor type A isoform A [Micractinium conductrix], PSC67610.1 ankyrin repeat [Micractinium conductrix]
OG0000023	XP_005847520.1 hypothetical protein CHLNCDRAFT_134556 [Chlorella variabilis]	PSC69922.1 Zn-finger CCCH type [Micractinium conductrix]
OG0000023	XP_005843420.1 hypothetical protein CHLNCDRAFT_16757_ partial [Chlorella variabilis]	PSC75384.1 zinc finger CCCH domain-containing 66-like [Micractinium conductrix]
OG0000023	XP_005843390.1 hypothetical protein CHLNCDRAFT_141228 [Chlorella variabilis]	PSC76370.1 Prolyl 4-hydroxylase subunit alpha-2 [Micractinium conductrix]
OG0000024	XP_005848138.1 hypothetical protein CHLNCDRAFT_145475 [Chlorella variabilis]	PSC74151.1 peptidase S8 [Micractinium conductrix]
OG0000024	XP_005843167.1 hypothetical protein CHLNCDRAFT_59329 [Chlorella variabilis]	PSC68481.1 subtilisin-like serine protease [Micractinium conductrix]
OG0000024	XP_005849223.1 hypothetical protein CHLNCDRAFT_51447 [Chlorella variabilis], XP_005846619.1 hypothetical protein CHLNCDRAFT_135242 [Chlorella variabilis]	PSC71480.1 subtilisin-like serine protease [Micractinium conductrix], PSC71786.1 peptidase S8 [Micractinium conductrix], PSC71832.1 peptidase S8 [Micractinium conductrix]
OG0000024	XP_005843052.1 hypothetical protein CHLNCDRAFT_55438 [Chlorella variabilis]	PSC74435.1 Extracellular basic protease [Micractinium conductrix]
OG0000024	XP_005850926.1 hypothetical protein CHLNCDRAFT_140655 [Chlorella variabilis]	PSC71482.1 alkaline serine protease [Micractinium conductrix]
OG0000024	XP_005848139.1 hypothetical protein CHLNCDRAFT_22903_ partial [Chlorella variabilis]	PSC76977.1 peptidase S8 [Micractinium conductrix]
OG0000025	XP_005848171.1 hypothetical protein CHLNCDRAFT_145560 [Chlorella variabilis], XP_005846122.1 hypothetical protein CHLNCDRAFT_136058 [Chlorella variabilis], XP_005850994.1 hypothetical protein CHLNCDRAFT_140816 [Chlorella variabilis], XP_005846121.1 hypothetical protein CHLNCDRAFT_136057 [Chlorella variabilis]	PSC74952.1 PHR1-LIKE 1 [Micractinium conductrix], PSC74956.1 LIM and cysteine-rich domains 1 [Micractinium conductrix]
OG0000025	XP_005850246.1 hypothetical protein CHLNCDRAFT_141917 [Chlorella variabilis]	PSC72439.1 Myb family transcription factor APL [Micractinium conductrix]
OG0000025	XP_005849749.1 hypothetical protein CHLNCDRAFT_142770 [Chlorella variabilis]	PSC71942.1 g2-like myb-family transcription factor [Micractinium conductrix], PSC67158.1 Acyl-[acyl-carrier] desaturase chloroplastic [Micractinium conductrix]
OG0000025	XP_005848101.1 hypothetical protein CHLNCDRAFT_30989_ partial [Chlorella variabilis]	PSC69534.1 Two-component response regulator ARR14 isoform 1 [Micractinium conductrix]
OG0000026	XP_005848688.1 hypothetical protein CHLNCDRAFT_57509 [Chlorella variabilis]	PSC75324.1 class V aminotransferase [Micractinium conductrix]
OG0000026	XP_005845649.1 hypothetical protein CHLNCDRAFT_136679 [Chlorella variabilis]	PSC74002.1 Ccr4p [Micractinium conductrix]
