Orthogroup	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P
OG0000003	XP_005850412.1 hypothetical protein CHLNCDRAFT_142315 [Chlorella variabilis]	KAI3428300.1 hypothetical protein D9Q98_006679 [Chlorella vulgaris]
OG0000003	XP_005852056.1 hypothetical protein CHLNCDRAFT_133040 [Chlorella variabilis]	KAI3429368.1 hypothetical protein D9Q98_005463 [Chlorella vulgaris]
OG0000003	XP_005852055.1 expressed protein [Chlorella variabilis]	KAI3429367.1 hypothetical protein D9Q98_005462 [Chlorella vulgaris]
OG0000003	XP_005850707.1 hypothetical protein CHLNCDRAFT_140796 [Chlorella variabilis]	KAI3436557.1 hypothetical protein D9Q98_005973 [Chlorella vulgaris]
OG0000003	XP_005850406.1 hypothetical protein CHLNCDRAFT_142302 [Chlorella variabilis]	KAI3428290.1 hypothetical protein D9Q98_006669 [Chlorella vulgaris]
OG0000003	XP_005850407.1 expressed protein [Chlorella variabilis]	KAI3428291.1 hypothetical protein D9Q98_006670 [Chlorella vulgaris]
OG0000003	XP_005851305.1 hypothetical protein CHLNCDRAFT_56786 [Chlorella variabilis]	KAI3433380.1 hypothetical protein D9Q98_003196 [Chlorella vulgaris]
OG0000004	XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis]	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris]
OG0000004	XP_005845592.1 hypothetical protein CHLNCDRAFT_53768 [Chlorella variabilis]	KAI3424143.1 hypothetical protein D9Q98_009503 [Chlorella vulgaris], KAI3424061.1 hypothetical protein D9Q98_009424 [Chlorella vulgaris]
OG0000004	XP_005845837.1 hypothetical protein CHLNCDRAFT_136317 [Chlorella variabilis]	KAI3425342.1 hypothetical protein D9Q98_009106 [Chlorella vulgaris]
OG0000004	XP_005843727.1 hypothetical protein CHLNCDRAFT_140043 [Chlorella variabilis]	KAI3424328.1 hypothetical protein D9Q98_009881 [Chlorella vulgaris]
OG0000004	XP_005848208.1 expressed protein [Chlorella variabilis]	KAI3426124.1 hypothetical protein D9Q98_008503 [Chlorella vulgaris]
OG0000004	XP_005845539.1 hypothetical protein CHLNCDRAFT_136680 [Chlorella variabilis]	KAI3424155.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris], KAI3424156.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris]
OG0000004	XP_005842938.1 hypothetical protein CHLNCDRAFT_37677 [Chlorella variabilis]	KAI3430979.1 hypothetical protein D9Q98_009383 [Chlorella vulgaris]
OG0000004	XP_005847945.1 hypothetical protein CHLNCDRAFT_17840_ partial [Chlorella variabilis]	KAI3437765.1 hypothetical protein D9Q98_000212 [Chlorella vulgaris]
OG0000004	XP_005843521.1 hypothetical protein CHLNCDRAFT_59250 [Chlorella variabilis], XP_005851469.1 hypothetical protein CHLNCDRAFT_19177_ partial [Chlorella variabilis]	KAI3433657.1 hypothetical protein D9Q98_003466 [Chlorella vulgaris]
OG0000004	XP_005844521.1 hypothetical protein CHLNCDRAFT_138913 [Chlorella variabilis]	KAI3437552.1 hypothetical protein D9Q98_000005 [Chlorella vulgaris]
OG0000004	XP_005848195.1 hypothetical protein CHLNCDRAFT_145623 [Chlorella variabilis]	KAI3437553.1 hypothetical protein D9Q98_000006 [Chlorella vulgaris]
OG0000004	XP_005843197.1 hypothetical protein CHLNCDRAFT_28394 [Chlorella variabilis]	KAI3427434.1 hypothetical protein D9Q98_010349 [Chlorella vulgaris]
OG0000005	XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis]	KAI3429680.1 hypothetical protein D9Q98_005765 [Chlorella vulgaris]
OG0000005	XP_005843647.1 hypothetical protein CHLNCDRAFT_54989 [Chlorella variabilis], XP_005843638.1 hypothetical protein CHLNCDRAFT_54972 [Chlorella variabilis], XP_005847129.1 hypothetical protein CHLNCDRAFT_52799 [Chlorella variabilis], XP_005843094.1 hypothetical protein CHLNCDRAFT_28450 [Chlorella variabilis], XP_005843702.1 hypothetical protein CHLNCDRAFT_27894 [Chlorella variabilis]	KAI3424375.1 hypothetical protein D9Q98_009928 [Chlorella vulgaris], KAI3424432.1 hypothetical protein D9Q98_009984 [Chlorella vulgaris], KAI3424402.1 hypothetical protein D9Q98_009955 [Chlorella vulgaris], KAI3428571.1 hypothetical protein D9Q98_007393 [Chlorella vulgaris], KAI3424353.1 hypothetical protein D9Q98_009906 [Chlorella vulgaris], KAI3424410.1 hypothetical protein D9Q98_009962 [Chlorella vulgaris], KAI3424383.1 hypothetical protein D9Q98_009936 [Chlorella vulgaris], KAI3428592.1 hypothetical protein D9Q98_007415 [Chlorella vulgaris]
OG0000005	XP_005848689.1 hypothetical protein CHLNCDRAFT_21904 [Chlorella variabilis]	KAI3427071.1 hypothetical protein D9Q98_007011 [Chlorella vulgaris]
OG0000005	XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]	KAI3429597.1 hypothetical protein D9Q98_005683 [Chlorella vulgaris]
OG0000006	XP_005847493.1 hypothetical protein CHLNCDRAFT_12761_ partial [Chlorella variabilis]	KAI3428490.1 hypothetical protein D9Q98_007315 [Chlorella vulgaris]
OG0000006	XP_005847121.1 hypothetical protein CHLNCDRAFT_24126 [Chlorella variabilis]	KAI3438102.1 hypothetical protein D9Q98_000544 [Chlorella vulgaris]
OG0000006	XP_005851910.1 hypothetical protein CHLNCDRAFT_17554_ partial [Chlorella variabilis], XP_005848072.1 hypothetical protein CHLNCDRAFT_145300 [Chlorella variabilis]	KAI3437833.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3437832.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris]
OG0000006	XP_005848611.1 hypothetical protein CHLNCDRAFT_30642 [Chlorella variabilis], XP_005845704.1 hypothetical protein CHLNCDRAFT_136834 [Chlorella variabilis]	KAI3436594.1 hypothetical protein D9Q98_006011 [Chlorella vulgaris], KAI3432561.1 hypothetical protein D9Q98_004110 [Chlorella vulgaris], KAI3436086.1 hypothetical protein D9Q98_002144 [Chlorella vulgaris]
OG0000006	XP_005845996.1 expressed protein [Chlorella variabilis], XP_005848610.1 hypothetical protein CHLNCDRAFT_57467 [Chlorella variabilis]	KAI3437831.1 hypothetical protein D9Q98_000278 [Chlorella vulgaris]
OG0000006	XP_005843211.1 hypothetical protein CHLNCDRAFT_13183_ partial [Chlorella variabilis]	KAI3427342.1 hypothetical protein D9Q98_010259 [Chlorella vulgaris]
OG0000006	XP_005844632.1 hypothetical protein CHLNCDRAFT_13628_ partial [Chlorella variabilis], XP_005844631.1 hypothetical protein CHLNCDRAFT_36848 [Chlorella variabilis]	KAI3430255.1 hypothetical protein D9Q98_004851 [Chlorella vulgaris]
OG0000006	XP_005847536.1 hypothetical protein CHLNCDRAFT_133720 [Chlorella variabilis]	KAI3425719.1 hypothetical protein D9Q98_007695 [Chlorella vulgaris]
OG0000006	XP_005847535.1 hypothetical protein CHLNCDRAFT_31062 [Chlorella variabilis]	KAI3425723.1 hypothetical protein D9Q98_007699 [Chlorella vulgaris], KAI3425720.1 hypothetical protein D9Q98_007696 [Chlorella vulgaris]
OG0000006	XP_005847828.1 hypothetical protein CHLNCDRAFT_134046 [Chlorella variabilis]	KAI3425961.1 hypothetical protein D9Q98_007931 [Chlorella vulgaris]
OG0000007	XP_005843116.1 hypothetical protein CHLNCDRAFT_37593 [Chlorella variabilis]	KAI3424460.1 hypothetical protein D9Q98_010011 [Chlorella vulgaris]
OG0000007	XP_005843694.1 hypothetical protein CHLNCDRAFT_27806 [Chlorella variabilis], XP_005843134.1 hypothetical protein CHLNCDRAFT_28493 [Chlorella variabilis], XP_005843124.1 hypothetical protein CHLNCDRAFT_55388 [Chlorella variabilis], XP_005846939.1 hypothetical protein CHLNCDRAFT_23970 [Chlorella variabilis], XP_005843643.1 hypothetical protein CHLNCDRAFT_27834 [Chlorella variabilis], XP_005843706.1 hypothetical protein CHLNCDRAFT_27882 [Chlorella variabilis]	KAI3424352.1 hypothetical protein D9Q98_009905 [Chlorella vulgaris], KAI3424382.1 hypothetical protein D9Q98_009935 [Chlorella vulgaris], KAI3424433.1 hypothetical protein D9Q98_009985 [Chlorella vulgaris], KAI3424411.1 hypothetical protein D9Q98_009963 [Chlorella vulgaris], KAI3424401.1 hypothetical protein D9Q98_009954 [Chlorella vulgaris], KAI3424376.1 hypothetical protein D9Q98_009929 [Chlorella vulgaris], KAI3428572.1 hypothetical protein D9Q98_007394 [Chlorella vulgaris], KAI3428591.1 hypothetical protein D9Q98_007414 [Chlorella vulgaris]
OG0000007	XP_005851845.1 hypothetical protein CHLNCDRAFT_48411 [Chlorella variabilis]	KAI3429596.1 hypothetical protein D9Q98_005682 [Chlorella vulgaris]
OG0000008	XP_005843696.1 hypothetical protein CHLNCDRAFT_139973 [Chlorella variabilis], XP_005847450.1 hypothetical protein CHLNCDRAFT_134363 [Chlorella variabilis], XP_005846938.1 hypothetical protein CHLNCDRAFT_48891 [Chlorella variabilis]	KAI3424399.1 hypothetical protein D9Q98_009952 [Chlorella vulgaris]
OG0000009	XP_005844474.1 hypothetical protein CHLNCDRAFT_138802 [Chlorella variabilis]	KAI3430403.1 hypothetical protein D9Q98_004998 [Chlorella vulgaris]
OG0000009	XP_005843698.1 hypothetical protein CHLNCDRAFT_139978 [Chlorella variabilis]	KAI3424387.1 hypothetical protein D9Q98_009940 [Chlorella vulgaris]
OG0000009	XP_005844469.1 hypothetical protein CHLNCDRAFT_138796 [Chlorella variabilis], XP_005844853.1 hypothetical protein CHLNCDRAFT_138342 [Chlorella variabilis], XP_005844471.1 hypothetical protein CHLNCDRAFT_58845 [Chlorella variabilis]	KAI3430405.1 hypothetical protein D9Q98_005000 [Chlorella vulgaris]
OG0000009	XP_005847883.1 hypothetical protein CHLNCDRAFT_145232 [Chlorella variabilis], XP_005847882.1 hypothetical protein CHLNCDRAFT_145231 [Chlorella variabilis]	KAI3437895.1 hypothetical protein D9Q98_000340 [Chlorella vulgaris]
OG0000009	XP_005850876.1 hypothetical protein CHLNCDRAFT_140524 [Chlorella variabilis]	KAI3436790.1 hypothetical protein D9Q98_006201 [Chlorella vulgaris]
OG0000009	XP_005846123.1 hypothetical protein CHLNCDRAFT_136061 [Chlorella variabilis]	KAI3431358.1 hypothetical protein D9Q98_004415 [Chlorella vulgaris]
OG0000009	XP_005844473.1 hypothetical protein CHLNCDRAFT_138801 [Chlorella variabilis]	KAI3430404.1 hypothetical protein D9Q98_004999 [Chlorella vulgaris]
OG0000009	XP_005848430.1 hypothetical protein CHLNCDRAFT_144776 [Chlorella variabilis]	KAI3426190.1 hypothetical protein D9Q98_008567 [Chlorella vulgaris]
OG0000009	XP_005842704.1 hypothetical protein CHLNCDRAFT_136266_ partial [Chlorella variabilis]	KAI3424242.1 hypothetical protein D9Q98_009598 [Chlorella vulgaris]
OG0000009	XP_005849744.1 hypothetical protein CHLNCDRAFT_142762 [Chlorella variabilis]	KAI3438445.1 hypothetical protein D9Q98_000875 [Chlorella vulgaris]
OG0000009	XP_005851433.1 hypothetical protein CHLNCDRAFT_56687 [Chlorella variabilis], XP_005843107.1 hypothetical protein CHLNCDRAFT_141534 [Chlorella variabilis]	KAI3433743.1 hypothetical protein D9Q98_003550 [Chlorella vulgaris]
OG0000009	XP_005843753.1 hypothetical protein CHLNCDRAFT_139841 [Chlorella variabilis]	KAI3438951.1 hypothetical protein D9Q98_001365 [Chlorella vulgaris]
OG0000011	XP_005849952.1 hypothetical protein CHLNCDRAFT_143307 [Chlorella variabilis], XP_005849701.1 hypothetical protein CHLNCDRAFT_51171 [Chlorella variabilis], XP_005850592.1 hypothetical protein CHLNCDRAFT_29775 [Chlorella variabilis], XP_005850969.1 hypothetical protein CHLNCDRAFT_140750 [Chlorella variabilis], XP_005847290.1 hypothetical protein CHLNCDRAFT_134359 [Chlorella variabilis], XP_005850996.1 hypothetical protein CHLNCDRAFT_19742_ partial [Chlorella variabilis], XP_005842654.1 hypothetical protein CHLNCDRAFT_29026_ partial [Chlorella variabilis], XP_005850995.1 hypothetical protein CHLNCDRAFT_29915_ partial [Chlorella variabilis], XP_005842566.1 hypothetical protein CHLNCDRAFT_59518_ partial [Chlorella variabilis]	KAI3436536.1 hypothetical protein D9Q98_005953 [Chlorella vulgaris], KAI3436537.1 hypothetical protein D9Q98_005954 [Chlorella vulgaris]
OG0000011	XP_005843486.1 hypothetical protein CHLNCDRAFT_140991 [Chlorella variabilis], XP_005850766.1 hypothetical protein CHLNCDRAFT_140944 [Chlorella variabilis]	KAI3436406.1 hypothetical protein D9Q98_005823 [Chlorella vulgaris]
OG0000012	XP_005847128.1 hypothetical protein CHLNCDRAFT_24354 [Chlorella variabilis]	KAI3424355.1 hypothetical protein D9Q98_009908 [Chlorella vulgaris]
OG0000012	XP_005843648.1 histone H3.2 precursor [Chlorella variabilis], XP_005852293.1 hypothetical protein CHLNCDRAFT_28967 [Chlorella variabilis], XP_005843095.1 histone H3 [Chlorella variabilis], XP_005843780.1 hypothetical protein CHLNCDRAFT_59160 [Chlorella variabilis]	KAI3428574.1 hypothetical protein D9Q98_007396 [Chlorella vulgaris]
OG0000013	XP_005842607.1 hypothetical protein CHLNCDRAFT_59511_ partial [Chlorella variabilis], XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis]	KAI3426414.1 hypothetical protein D9Q98_008783 [Chlorella vulgaris]
OG0000013	XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis]	KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris]
OG0000013	XP_005849560.1 hypothetical protein CHLNCDRAFT_57249 [Chlorella variabilis]	KAI3438617.1 hypothetical protein D9Q98_001040 [Chlorella vulgaris]
OG0000013	XP_005849559.1 hypothetical protein CHLNCDRAFT_142950 [Chlorella variabilis]	KAI3438616.1 hypothetical protein D9Q98_001039 [Chlorella vulgaris]
