Orthogroup	Chlorella_Sorokiniana1602	Scenedesmus_PABB004
OG0000011	PRW56437.1 kinase [Chlorella sorokiniana], PRW55899.1 kinase [Chlorella sorokiniana], PRW59693.1 kinase [Chlorella sorokiniana]	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]
OG0000011	PRW61362.1 laminin subunit alpha-2 isoform E [Chlorella sorokiniana]	KAF8057650.1 DNA-directed RNA polymerase II subunit RPB7 [Scenedesmus sp. PABB004], KAF8057640.1 HT1 [Scenedesmus sp. PABB004], KAF8066284.1 Gucy1b1 [Scenedesmus sp. PABB004], KAF8072490.1 Map3k20 [Scenedesmus sp. PABB004]
OG0000012	PRW57192.1 histone H3 [Chlorella sorokiniana]	KAF8069656.1 histone H3 [Scenedesmus sp. PABB004], KAF8069687.1 histone H3 [Scenedesmus sp. PABB004]
OG0000012	PRW57428.1 histone H3 [Chlorella sorokiniana]	KAF8069660.1 histone H3 [Scenedesmus sp. PABB004]
OG0000012	PRW32916.1 histone H3 [Chlorella sorokiniana], PRW57380.1 histone H3 [Chlorella sorokiniana], PRW59210.1 Histone [Chlorella sorokiniana]	KAF8069674.1 histone H3 [Scenedesmus sp. PABB004]
OG0000013	PRW20807.1 sulfur stress regulator [Chlorella sorokiniana], PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana], PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]
OG0000013	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]
OG0000014	PRW59726.1 peptidyl-prolyl cis-trans isomerase CYP19-3 isoform X2 [Chlorella sorokiniana]	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]
OG0000014	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]
OG0000014	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]
OG0000014	PRW58429.1 Peptidyl-prolyl cis-trans isomerase [Chlorella sorokiniana]	KAF8066173.1 hypothetical protein HT031_002495 [Scenedesmus sp. PABB004]
OG0000014	PRW57025.1 peptidyl-prolyl cis-trans isomerase B [Chlorella sorokiniana]	KAF8056125.1 Ppib [Scenedesmus sp. PABB004]
OG0000015	PRW05686.1 reverse transcriptase_ partial [Chlorella sorokiniana], PRW05743.1 Pol [Chlorella sorokiniana], PRW05685.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW44387.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW45629.1 Pol isoform B [Chlorella sorokiniana], PRW45726.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33714.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW18418.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56112.1 ERD4-related membrane_ partial [Chlorella sorokiniana], PRW21010.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW60954.1 hypothetical protein C2E21_0274 [Chlorella sorokiniana], PRW60796.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33265.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56022.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW20585.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW50991.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW57871.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW58827.1 Pol [Chlorella sorokiniana], PRW56997.1 ERD4-related membrane [Chlorella sorokiniana], PRW34092.1 Pol [Chlorella sorokiniana], PRW45630.1 Pol isoform A [Chlorella sorokiniana]	KAF8064658.1 LINE-1 retrotransposable element ORF2 protein [Scenedesmus sp. PABB004]
OG0000016	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]
OG0000016	PRW56465.1 ubiquitin-60S ribosomal L40 [Chlorella sorokiniana]	KAF8056382.1 UBI3 [Scenedesmus sp. PABB004]
OG0000016	PRW45491.1 40S ribosomal S27 [Chlorella sorokiniana]	KAF8064496.1 SDE2 [Scenedesmus sp. PABB004]
OG0000018	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]
OG0000018	PRW20403.1 Myb-related B isoform B [Chlorella sorokiniana], PRW20404.1 Myb-related B isoform A [Chlorella sorokiniana]	KAF8057715.1 MYB118 [Scenedesmus sp. PABB004]
OG0000018	PRW44975.1 transcription factor MYB44-like [Chlorella sorokiniana]	KAF8065600.1 hypothetical protein HT031_003201 [Scenedesmus sp. PABB004]
OG0000018	PRW56509.1 transcription factor Myb13 [Chlorella sorokiniana]	KAF8056861.1 MYB44 [Scenedesmus sp. PABB004], KAF8058933.1 MYB73 [Scenedesmus sp. PABB004]
OG0000023	PRW44501.1 D-tyrosyl-tRNA_Tyr_ deacylase [Chlorella sorokiniana]	KAF8058078.1 zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]
OG0000024	PRW55960.1 peptidase S8 [Chlorella sorokiniana], PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]
OG0000026	PRW50812.1 class V aminotransferase [Chlorella sorokiniana]	KAF8061965.1 hypothetical protein HT031_004225 [Scenedesmus sp. PABB004]
OG0000028	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana], PRW33315.1 serine threonine- phosphatase 6 regulatory ankyrin repeat subunit B-like [Chlorella sorokiniana], PRW58720.1 ankyrin repeat-containing protein [Chlorella sorokiniana], PRW20255.1 hypothetical protein C2E21_9214 [Chlorella sorokiniana], PRW57216.1 ankyrin repeat-containing protein [Chlorella sorokiniana]	KAF8071329.1 hypothetical protein HT031_001412 [Scenedesmus sp. PABB004]
OG0000029	PRW60661.1 hypothetical protein C2E21_0949 [Chlorella sorokiniana]	KAF8060533.1 EXPA15 [Scenedesmus sp. PABB004]
OG0000029	PRW44850.1 hypothetical protein C2E21_6254 [Chlorella sorokiniana]	KAF8069379.1 EXPA2 [Scenedesmus sp. PABB004]
OG0000031	PRW59761.1 cytochrome P450 [Chlorella sorokiniana]	KAF8068429.1 cyp-13A10 [Scenedesmus sp. PABB004]
OG0000031	PRW50749.1 cytochrome P450 [Chlorella sorokiniana]	KAF8072732.1 Cyp3a9 [Scenedesmus sp. PABB004]
OG0000035	PRW59728.1 3-ketoacyl- synthase 11 isoform A [Chlorella sorokiniana]	KAF8070895.1 hypothetical protein HT031_000976 [Scenedesmus sp. PABB004]
OG0000035	PRW61324.1 3-ketoacyl- synthase 4-like [Chlorella sorokiniana]	KAF8055285.1 KCS4 [Scenedesmus sp. PABB004], KAF8065770.1 KCS4 [Scenedesmus sp. PABB004], KAF8070862.1 KCS1 [Scenedesmus sp. PABB004], KAF8055276.1 KCS1 [Scenedesmus sp. PABB004], KAF8057691.1 KCS17 [Scenedesmus sp. PABB004], KAF8057911.1 KCS2 [Scenedesmus sp. PABB004]
OG0000036	PRW33642.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61610.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58034.1 kinase [Chlorella sorokiniana], PRW61254.1 kinase [Chlorella sorokiniana], PRW51042.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61026.1 kinase [Chlorella sorokiniana]	KAF8072834.1 TRZ1 [Scenedesmus sp. PABB004], KAF8059664.1 Map3k11 [Scenedesmus sp. PABB004]
OG0000039	PRW56320.1 lysine-specific demethylase 8 [Chlorella sorokiniana]	KAF8066381.1 hif1an [Scenedesmus sp. PABB004]
OG0000042	PRW33027.1 phosphate-repressible phosphate permease [Chlorella sorokiniana], PRW32920.1 phosphate transporter [Chlorella sorokiniana], PRW60515.1 phosphate-repressible phosphate permease [Chlorella sorokiniana]	KAF8065474.1 pho-4 [Scenedesmus sp. PABB004], KAF8066209.1 pho-4 [Scenedesmus sp. PABB004], KAF8059159.1 PHO89 [Scenedesmus sp. PABB004]
OG0000042	PRW33157.1 phosphate transporter [Chlorella sorokiniana]	KAF8062088.1 pho-4 [Scenedesmus sp. PABB004]
OG0000043	PRW45699.1 alpha-glucosidase isoform B [Chlorella sorokiniana], PRW45700.1 alpha-glucosidase isoform A [Chlorella sorokiniana], PRW44983.1 Glycosyl hydrolases family 31 isoform 1 [Chlorella sorokiniana]	KAF8057148.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062772.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062771.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062770.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062769.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8061064.1 alpha-glucosidase [Scenedesmus sp. PABB004]
OG0000046	PRW45736.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana], PRW58688.1 Amino acid permease 2 [Chlorella sorokiniana], PRW58712.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58414.1 serine threonine- kinase [Chlorella sorokiniana]	KAF8060501.1 Smyd3 [Scenedesmus sp. PABB004]
OG0000049	PRW59120.1 hypothetical protein C2E21_2482 [Chlorella sorokiniana]	KAF8054828.1 hypothetical protein HT031_006922 [Scenedesmus sp. PABB004], KAF8054826.1 hypothetical protein HT031_006920 [Scenedesmus sp. PABB004], KAF8054637.1 hypothetical protein HT031_006962 [Scenedesmus sp. PABB004], KAF8060108.1 AGO3 [Scenedesmus sp. PABB004], KAF8054806.1 MTK1 [Scenedesmus sp. PABB004], KAF8054761.1 hypothetical protein HT031_006935 [Scenedesmus sp. PABB004], KAF8063770.1 PSAT1 [Scenedesmus sp. PABB004], KAF8055670.1 hypothetical protein HT031_006692 [Scenedesmus sp. PABB004], KAF8058310.1 drkD [Scenedesmus sp. PABB004], KAF8058311.1 hypothetical protein HT031_005627 [Scenedesmus sp. PABB004], KAF8063020.1 hypothetical protein HT031_003859 [Scenedesmus sp. PABB004], KAF8063012.1 ALKBH8 [Scenedesmus sp. PABB004]
OG0000049	PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]	KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]
OG0000050	PRW33726.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW32665.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW33245.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW20392.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW51063.1 UPF0187 chloroplastic [Chlorella sorokiniana]	KAF8057910.1 hypothetical protein HT031_005856 [Scenedesmus sp. PABB004], KAF8069493.1 hypothetical protein HT031_001609 [Scenedesmus sp. PABB004]
OG0000051	PRW58610.1 DETOXIFICATION 16-like [Chlorella sorokiniana], PRW56350.1 MATE efflux family [Chlorella sorokiniana], PRW56780.1 DETOXIFICATION 16-like [Chlorella sorokiniana]	KAF8060322.1 DTX16 [Scenedesmus sp. PABB004]
OG0000052	PRW45252.1 zinc finger protein [Chlorella sorokiniana]	KAF8057270.1 hypothetical protein HT031_006078 [Scenedesmus sp. PABB004], KAF8072531.1 hypothetical protein HT031_000191 [Scenedesmus sp. PABB004], KAF8065866.1 hypothetical protein HT031_002926 [Scenedesmus sp. PABB004], KAF8056142.1 hypothetical protein HT031_006493 [Scenedesmus sp. PABB004], KAF8064531.1 Galns [Scenedesmus sp. PABB004], KAF8058413.1 hypothetical protein HT031_005537 [Scenedesmus sp. PABB004], KAF8065865.1 hypothetical protein HT031_002925 [Scenedesmus sp. PABB004], KAF8066216.1 MRL1 [Scenedesmus sp. PABB004], KAF8062975.1 REIL1 [Scenedesmus sp. PABB004]
OG0000053	PRW45586.1 hypothetical protein C2E21_6086 [Chlorella sorokiniana]	KAF8061300.1 RXLR124 [Scenedesmus sp. PABB004], KAF8062650.1 Eea1 [Scenedesmus sp. PABB004], KAF8062669.1 hypothetical protein HT031_003998 [Scenedesmus sp. PABB004], KAF8062646.1 hypothetical protein HT031_003975 [Scenedesmus sp. PABB004], KAF8062678.1 TATDN3 [Scenedesmus sp. PABB004], KAF8062639.1 hypothetical protein HT031_003968 [Scenedesmus sp. PABB004], KAF8062649.1 hypothetical protein HT031_003978 [Scenedesmus sp. PABB004], KAF8062697.1 hypothetical protein HT031_004026 [Scenedesmus sp. PABB004], KAF8062625.1 hypothetical protein HT031_003954 [Scenedesmus sp. PABB004], KAF8062704.1 hypothetical protein HT031_004033 [Scenedesmus sp. PABB004], KAF8057124.1 hypothetical protein HT031_006133 [Scenedesmus sp. PABB004], KAF8062707.1 hypothetical protein HT031_004036 [Scenedesmus sp. PABB004], KAF8062672.1 hypothetical protein HT031_004001 [Scenedesmus sp. PABB004], KAF8062687.1 Papln [Scenedesmus sp. PABB004]
OG0000055	PRW56793.1 Pentatricopeptide repeat-containing isoform A [Chlorella sorokiniana], PRW56794.1 Pentatricopeptide repeat-containing isoform B [Chlorella sorokiniana]	KAF8073197.1 MEE40 [Scenedesmus sp. PABB004]
OG0000060	PRW58431.1 LOV domain-containing [Chlorella sorokiniana]	KAF8060352.1 dhkB [Scenedesmus sp. PABB004]
OG0000062	PRW44943.1 Coiled-coil domain-containing 40 isoform B [Chlorella sorokiniana], PRW44942.1 Coiled-coil domain-containing 40 isoform A [Chlorella sorokiniana], PRW44941.1 Coiled-coil domain-containing 40 isoform C [Chlorella sorokiniana]	KAF8063043.1 CCDC40 [Scenedesmus sp. PABB004]
OG0000063	PRW50752.1 peroxisomal membrane PEX14-like isoform X1 [Chlorella sorokiniana]	KAF8069607.1 PEX14 [Scenedesmus sp. PABB004]
OG0000064	PRW44490.1 translation initiation factor [Chlorella sorokiniana]	KAF8072395.1 infB [Scenedesmus sp. PABB004]
OG0000064	PRW20747.1 Cullin-4 [Chlorella sorokiniana]	KAF8068312.1 CUL4A [Scenedesmus sp. PABB004]
OG0000064	PRW20452.1 cullin family [Chlorella sorokiniana]	KAF8071138.1 CUL3A [Scenedesmus sp. PABB004]
OG0000065	PRW20917.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50851.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50880.1 GPR1 FUN34 family [Chlorella sorokiniana], PRW33699.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW33593.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50916.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana]	KAF8060089.1 hypothetical protein HT031_005028 [Scenedesmus sp. PABB004]
OG0000066	PRW57891.1 hypothetical protein C2E21_3748 [Chlorella sorokiniana]	KAF8056438.1 ttuB [Scenedesmus sp. PABB004]
OG0000069	PRW51017.1 heat shock 83 isoform A [Chlorella sorokiniana], PRW51016.1 heat shock 83 isoform B [Chlorella sorokiniana], PRW51015.1 heat shock 83 isoform C [Chlorella sorokiniana]	KAF8069631.1 HSP81-3 [Scenedesmus sp. PABB004]
OG0000069	PRW20326.1 heat shock 90C isoform B [Chlorella sorokiniana], PRW20328.1 heat shock 90C isoform C [Chlorella sorokiniana], PRW20327.1 heat shock 90C isoform A [Chlorella sorokiniana]	KAF8068330.1 HSP90-5 [Scenedesmus sp. PABB004]
OG0000069	PRW58127.1 endoplasmin-like protein [Chlorella sorokiniana]	KAF8060354.1 HSP90B1 [Scenedesmus sp. PABB004]
OG0000071	PRW61198.1 Calcium calmodulin-dependent kinase type 1 [Chlorella sorokiniana], PRW61339.1 Pkinase-domain-containing [Chlorella sorokiniana], PRW57463.1 serine threonine kinase [Chlorella sorokiniana]	KAF8066277.1 Camk1 [Scenedesmus sp. PABB004]
OG0000071	PRW60879.1 Calcium calmodulin-dependent kinase type 1 [Chlorella sorokiniana]	KAF8055935.1 mlkA [Scenedesmus sp. PABB004]
OG0000072	PRW58570.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW58312.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW58483.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana], PRW56406.1 beta-Ig-H3 fasciclin [Chlorella sorokiniana]	KAF8065650.1 hypothetical protein HT031_003251 [Scenedesmus sp. PABB004]
OG0000073	PRW45604.1 cathepsin H [Chlorella sorokiniana], PRW45530.1 cathepsin h [Chlorella sorokiniana], PRW57488.1 thiol protease aleurain-like [Chlorella sorokiniana], PRW45427.1 thiol protease aleurain-like [Chlorella sorokiniana], PRW45707.1 Cathepsin [Chlorella sorokiniana], PRW56577.1 Cathepsin L [Chlorella sorokiniana], PRW56392.1 papain-like cysteine protease C1 [Chlorella sorokiniana], PRW45737.1 Maternal effect embryo arrest 18 [Chlorella sorokiniana], PRW21008.1 Cathepsin L [Chlorella sorokiniana]	KAF8056137.1 hypothetical protein HT031_006488 [Scenedesmus sp. PABB004]
OG0000076	PRW20388.1 acyl- --sterol O-acyltransferase 1-like isoform A [Chlorella sorokiniana], PRW20389.1 acyl- --sterol O-acyltransferase 1-like isoform B [Chlorella sorokiniana]	KAF8068287.1 ASAT1 [Scenedesmus sp. PABB004]
OG0000076	PRW60188.1 putative long-chain-alcohol O-fatty-acyltransferase 5 [Chlorella sorokiniana], PRW59291.1 putative long-chain-alcohol O-fatty-acyltransferase 5 [Chlorella sorokiniana], PRW57820.1 acyl- --sterol O-acyltransferase 1-like [Chlorella sorokiniana], PRW45129.1 Acyl- sterol acyl transferase [Chlorella sorokiniana], PRW56158.1 acyl- --sterol O-acyltransferase 1-like [Chlorella sorokiniana]	KAF8061301.1 AT7 [Scenedesmus sp. PABB004]
OG0000078	PRW57277.1 phosphofructokinase family [Chlorella sorokiniana]	KAF8059208.1 PFK5 [Scenedesmus sp. PABB004]
OG0000078	PRW61573.1 phosphofructokinase family [Chlorella sorokiniana]	KAF8067362.1 PFK5 [Scenedesmus sp. PABB004]
OG0000078	PRW56044.1 phosphofructokinase family isoform B [Chlorella sorokiniana], PRW56045.1 phosphofructokinase family isoform A [Chlorella sorokiniana], PRW58389.1 phosphofructokinase family [Chlorella sorokiniana]	KAF8065867.1 PFK5 [Scenedesmus sp. PABB004]
OG0000079	PRW56493.1 heat shock 70 [Chlorella sorokiniana]	KAF8065619.1 HSP70 [Scenedesmus sp. PABB004], KAF8070942.1 HSP70 [Scenedesmus sp. PABB004]
OG0000079	PRW58244.1 luminal-binding 5-like [Chlorella sorokiniana]	KAF8060359.1 BIP5 [Scenedesmus sp. PABB004]
OG0000080	PRW05945.1 MIS12-like protein [Chlorella sorokiniana], PRW51019.1 hypothetical protein C2E21_5409 [Chlorella sorokiniana], PRW50784.1 hypothetical protein C2E21_5410 [Chlorella sorokiniana], PRW56409.1 sulfotransferase [Chlorella sorokiniana], PRW61543.1 sulfotransferase [Chlorella sorokiniana], PRW44571.1 sulfotransferase [Chlorella sorokiniana]	KAF8065839.1 Herc2 [Scenedesmus sp. PABB004]
OG0000081	PRW56561.1 non-ribosomal peptide synthetase [Chlorella sorokiniana]	KAF8073158.1 acyl-activating enzyme 19-like protein [Scenedesmus sp. PABB004]
OG0000081	PRW56611.1 putative sodium metabolite cotransporter chloroplastic [Chlorella sorokiniana]	KAF8055673.1 BASS4 [Scenedesmus sp. PABB004]
