Orthogroup	Chlorella_Sorokiniana1602	Micractinium_SAG24180
OG0000003	PRW45267.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW45268.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana]	PSC72165.1 hypothetical protein C2E20_4409 [Micractinium conductrix], PSC73416.1 hypothetical protein C2E20_3417 [Micractinium conductrix], PSC75050.1 hypothetical protein C2E20_1732 [Micractinium conductrix], PSC68081.1 hypothetical protein C2E20_8267 [Micractinium conductrix]
OG0000003	PRW60261.1 Acyl-coenzyme A thioesterase THEM4 [Chlorella sorokiniana]	PSC68179.1 Acyl-coenzyme A thioesterase THEM4 isoform B [Micractinium conductrix], PSC68178.1 Acyl-coenzyme A thioesterase THEM4 isoform A [Micractinium conductrix]
OG0000003	PRW56718.1 hypothetical protein C2E21_4783 [Chlorella sorokiniana]	PSC68096.1 hypothetical protein C2E20_8274 [Micractinium conductrix], PSC75343.1 hypothetical protein C2E20_1137 [Micractinium conductrix]
OG0000003	PRW60976.1 hypothetical protein C2E21_0414 [Chlorella sorokiniana]	PSC68724.1 hypothetical protein C2E20_7768 [Micractinium conductrix]
OG0000004	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]	PSC71250.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC71709.1 squamosa promoter-binding 9 [Micractinium conductrix]
OG0000004	PRW45379.1 squamosa promoter-binding 7 isoform X2 [Chlorella sorokiniana], PRW45644.1 squamosa promoter-binding 12 [Chlorella sorokiniana]	PSC72580.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC69133.1 squamosa promoter-binding 7 isoform B [Micractinium conductrix], PSC69134.1 squamosa promoter-binding 7 isoform C [Micractinium conductrix], PSC69132.1 squamosa promoter-binding 7 isoform A [Micractinium conductrix]
OG0000004	PRW55998.1 squamosa promoter-binding 9 [Chlorella sorokiniana]	PSC69137.1 squamosa promoter binding [Micractinium conductrix], PSC71981.1 squamosa promoter binding [Micractinium conductrix]
OG0000004	PRW60923.1 squamosa promoter binding [Chlorella sorokiniana]	PSC74248.1 squamosa promoter-binding 6 isoform X1 [Micractinium conductrix]
OG0000004	PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana]	PSC71707.1 squamosa promoter-binding 15 [Micractinium conductrix]
OG0000004	PRW56499.1 squamosa promoter-binding -like _SBP domain_ transcription factor family [Chlorella sorokiniana], PRW20468.1 squamosa promoter-binding 6 [Chlorella sorokiniana]	PSC68456.1 squamosa promoter binding [Micractinium conductrix], PSC76211.1 squamosa promoter binding [Micractinium conductrix]
OG0000005	PRW32926.1 Histone H2A [Chlorella sorokiniana]	PSC71167.1 Histone H2A [Micractinium conductrix], PSC72168.1 Histone H2A [Micractinium conductrix], PSC72080.1 Histone H2A [Micractinium conductrix], PSC72210.1 Histone H2A [Micractinium conductrix], PSC72098.1 Histone H2A [Micractinium conductrix], PSC72071.1 Histone H2A [Micractinium conductrix], PSC68321.1 Histone H2A [Micractinium conductrix], PSC71227.1 Histone H2A [Micractinium conductrix], PSC68329.1 Histone H2A [Micractinium conductrix]
OG0000005	PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana]	PSC71104.1 Histone H2A [Micractinium conductrix], PSC71088.1 Histone H2A [Micractinium conductrix], PSC72221.1 Histone H2A [Micractinium conductrix]
OG0000006	PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PSC74167.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000006	PRW57168.1 kinase [Chlorella sorokiniana]	PSC72144.1 kinase [Micractinium conductrix]
OG0000006	PRW44985.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PSC74168.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000006	PRW33827.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58265.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61238.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33200.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PSC69274.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000006	PRW33991.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PSC70242.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000007	PRW60378.1 histone H2B [Chlorella sorokiniana], PRW32979.1 Histone [Chlorella sorokiniana], PRW56968.1 Histone [Chlorella sorokiniana], PRW33072.1 Histone [Chlorella sorokiniana], PRW57308.1 Histone [Chlorella sorokiniana], PRW20324.1 Histone [Chlorella sorokiniana], PRW56937.1 Histone isoform A [Chlorella sorokiniana], PRW57408.1 Histone [Chlorella sorokiniana], PRW56936.1 Histone isoform B [Chlorella sorokiniana], PRW32997.1 Histone [Chlorella sorokiniana], PRW33046.1 Histone [Chlorella sorokiniana], PRW33081.1 Histone [Chlorella sorokiniana], PRW57429.1 Histone [Chlorella sorokiniana], PRW57107.1 Histone [Chlorella sorokiniana]	PSC71210.1 Histone [Micractinium conductrix], PSC72154.1 Histone [Micractinium conductrix], PSC71158.1 Histone [Micractinium conductrix], PSC72107.1 Histone [Micractinium conductrix], PSC72209.1 Histone [Micractinium conductrix], PSC72316.1 Histone [Micractinium conductrix], PSC71283.1 Histone [Micractinium conductrix], PSC68365.1 Histone [Micractinium conductrix], PSC68331.1 Histone [Micractinium conductrix], PSC72134.1 Histone [Micractinium conductrix], PSC72315.1 Histone [Micractinium conductrix]
OG0000008	PRW20318.1 Histone H4 [Chlorella sorokiniana], PRW57322.1 Histone H4 [Chlorella sorokiniana]	PSC68336.1 Histone H4 [Micractinium conductrix]
OG0000008	PRW32931.1 Histone H4 isoform A [Chlorella sorokiniana]	PSC72060.1 Histone H4 [Micractinium conductrix]
OG0000008	PRW57273.1 Histone H4 [Chlorella sorokiniana]	PSC72277.1 Histone H4 [Micractinium conductrix]
OG0000009	PRW60004.1 polysaccharide deacetylase [Chlorella sorokiniana], PRW59662.1 polysaccharide deacetylase [Chlorella sorokiniana], PRW32546.1 polysaccharide deacetylase isoform B [Chlorella sorokiniana], PRW32547.1 polysaccharide deacetylase isoform A [Chlorella sorokiniana]	PSC73088.1 Polysaccharide deacetylase domain-containing [Micractinium conductrix]
OG0000009	PRW57102.1 hypothetical protein C2E21_4256 [Chlorella sorokiniana]	PSC70814.1 polysaccharide deacetylase [Micractinium conductrix]
OG0000009	PRW55946.1 polysaccharide deacetylase [Chlorella sorokiniana]	PSC71479.1 polysaccharide deacetylase [Micractinium conductrix]
OG0000009	PRW33708.1 polysaccharide deacetylase [Chlorella sorokiniana]	PSC76360.1 Polysaccharide deacetylase domain-containing [Micractinium conductrix]
OG0000009	PRW05840.1 hypothetical protein C2E21_9462 [Chlorella sorokiniana]	PSC74020.1 polysaccharide deacetylase [Micractinium conductrix]
OG0000009	PRW56282.1 hypothetical protein C2E21_4979 [Chlorella sorokiniana]	PSC69105.1 hypothetical protein C2E20_7356 [Micractinium conductrix]
OG0000009	PRW61361.1 left border a [Chlorella sorokiniana]	PSC74206.1 left border a [Micractinium conductrix]
OG0000009	PRW58939.1 hypothetical protein C2E21_2035 [Chlorella sorokiniana]	PSC77048.1 polysaccharide deacetylase [Micractinium conductrix]
OG0000009	PRW61372.1 polysaccharide deacetylase [Chlorella sorokiniana]	PSC74790.1 hypothetical protein C2E20_2386 [Micractinium conductrix]
OG0000009	PRW32927.1 peritrophic membrane chitin binding [Chlorella sorokiniana]	PSC67809.1 ribonucleases P MRP subunit POP1 [Micractinium conductrix], PSC75877.1 left border a [Micractinium conductrix]
OG0000011	PRW56437.1 kinase [Chlorella sorokiniana]	PSC69656.1 kinase [Micractinium conductrix]
OG0000011	PRW55899.1 kinase [Chlorella sorokiniana]	PSC72637.1 kinase [Micractinium conductrix]
OG0000012	PRW57192.1 histone H3 [Chlorella sorokiniana]	PSC72203.1 histone H3 [Micractinium conductrix]
OG0000012	PRW57380.1 histone H3 [Chlorella sorokiniana]	PSC72265.1 histone H3 [Micractinium conductrix]
OG0000012	PRW32917.1 histone H3 [Chlorella sorokiniana]	PSC71135.1 histone H3 [Micractinium conductrix], PSC71032.1 histone H3 [Micractinium conductrix]
OG0000013	PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]	PSC70880.1 sulfur stress regulator [Micractinium conductrix]
OG0000013	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]	PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix]
OG0000013	PRW59170.1 sulfur stress regulator isoform A [Chlorella sorokiniana], PRW59171.1 sulfur stress regulator isoform B [Chlorella sorokiniana]	PSC74495.1 sulfur stress regulator [Micractinium conductrix]
OG0000014	PRW56328.1 cyclophilin [Chlorella sorokiniana]	PSC69049.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	PRW59726.1 peptidyl-prolyl cis-trans isomerase CYP19-3 isoform X2 [Chlorella sorokiniana]	PSC68358.1 peptidyl-prolyl cis-trans isomerase CYP19-3 [Micractinium conductrix]
OG0000014	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]	PSC73928.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]	PSC72208.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Micractinium conductrix]
OG0000014	PRW58429.1 Peptidyl-prolyl cis-trans isomerase [Chlorella sorokiniana]	PSC76028.1 peptidyl-prolyl cis-trans cyclophilin-type [Micractinium conductrix]
OG0000014	PRW57025.1 peptidyl-prolyl cis-trans isomerase B [Chlorella sorokiniana]	PSC76324.1 peptidyl-prolyl cis-trans isomerase B [Micractinium conductrix]
OG0000015	PRW05686.1 reverse transcriptase_ partial [Chlorella sorokiniana], PRW05743.1 Pol [Chlorella sorokiniana], PRW05685.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW44387.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW45629.1 Pol isoform B [Chlorella sorokiniana], PRW45726.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33714.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW18418.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56112.1 ERD4-related membrane_ partial [Chlorella sorokiniana], PRW21010.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW60954.1 hypothetical protein C2E21_0274 [Chlorella sorokiniana], PRW60796.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33265.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56022.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW20585.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW50991.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW57871.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW58827.1 Pol [Chlorella sorokiniana], PRW56997.1 ERD4-related membrane [Chlorella sorokiniana], PRW34092.1 Pol [Chlorella sorokiniana], PRW45630.1 Pol isoform A [Chlorella sorokiniana]	PSC74858.1 reverse transcriptase [Micractinium conductrix], PSC71750.1 DNase I [Micractinium conductrix], PSC72806.1 hypothetical protein C2E20_3905 [Micractinium conductrix], PSC72775.1 hypothetical protein C2E20_3906 [Micractinium conductrix]
OG0000016	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]	PSC75488.1 polyubiquitin [Micractinium conductrix]
OG0000016	PRW33690.1 ubiquitin-NEDD8 RUB2 [Chlorella sorokiniana]	PSC67370.1 bi-major isoform [Micractinium conductrix]
OG0000016	PRW56465.1 ubiquitin-60S ribosomal L40 [Chlorella sorokiniana]	PSC68113.1 ubiquitin-60S ribosomal L40 [Micractinium conductrix]
OG0000016	PRW45491.1 40S ribosomal S27 [Chlorella sorokiniana]	PSC72465.1 SDE2-like protein [Micractinium conductrix]
OG0000018	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]	PSC71636.1 transcription factor MYB98-like [Micractinium conductrix]
OG0000018	PRW56509.1 transcription factor Myb13 [Chlorella sorokiniana]	PSC72450.1 myb-related B-like isoform A [Micractinium conductrix], PSC72449.1 myb-related B-like isoform B [Micractinium conductrix]
OG0000020	PRW58220.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	PSC76169.1 H_+_ hexose cotransporter 2 [Micractinium conductrix]
OG0000020	PRW33669.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	PSC74047.1 H_+_ hexose cotransporter 2 isoform C [Micractinium conductrix], PSC74046.1 H_+_ hexose cotransporter 2 isoform A [Micractinium conductrix], PSC74048.1 H_+_ hexose cotransporter 2 isoform B [Micractinium conductrix]
OG0000020	PRW33672.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	PSC74912.1 H_+_ hexose cotransporter 2 [Micractinium conductrix], PSC76673.1 H_+_ hexose cotransporter 2 [Micractinium conductrix]
OG0000022	PRW58506.1 voltage-gated ion channel superfamily [Chlorella sorokiniana], PRW44256.1 U-box domain-containing 17-like [Chlorella sorokiniana]	PSC73306.1 U-box and intein containing von Willebrand factor type A isoform B [Micractinium conductrix], PSC73305.1 U-box and intein containing von Willebrand factor type A isoform A [Micractinium conductrix], PSC67610.1 ankyrin repeat [Micractinium conductrix]
OG0000023	PRW44501.1 D-tyrosyl-tRNA_Tyr_ deacylase [Chlorella sorokiniana]	PSC69922.1 Zn-finger CCCH type [Micractinium conductrix]
OG0000023	PRW59139.1 zinc finger CCCH domain-containing 66-like [Chlorella sorokiniana]	PSC75384.1 zinc finger CCCH domain-containing 66-like [Micractinium conductrix]
OG0000023	PRW32871.1 zinc finger family isoform B [Chlorella sorokiniana], PRW32872.1 zinc finger family isoform A [Chlorella sorokiniana]	PSC76370.1 Prolyl 4-hydroxylase subunit alpha-2 [Micractinium conductrix]
OG0000024	PRW55960.1 peptidase S8 [Chlorella sorokiniana]	PSC71482.1 alkaline serine protease [Micractinium conductrix]
OG0000024	PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]	PSC76977.1 peptidase S8 [Micractinium conductrix]
OG0000025	PRW39202.1 Myb-related transcription factor [Chlorella sorokiniana], PRW56235.1 pseudo-response regulator 3 [Chlorella sorokiniana]	PSC74952.1 PHR1-LIKE 1 [Micractinium conductrix], PSC74956.1 LIM and cysteine-rich domains 1 [Micractinium conductrix]
OG0000025	PRW56722.1 PHR1-LIKE 1-like [Chlorella sorokiniana]	PSC72439.1 Myb family transcription factor APL [Micractinium conductrix]
OG0000026	PRW50812.1 class V aminotransferase [Chlorella sorokiniana]	PSC75324.1 class V aminotransferase [Micractinium conductrix]
OG0000026	PRW60635.1 alpha beta-hydrolase [Chlorella sorokiniana]	PSC74992.1 Sn1-specific diacylglycerol lipase beta [Micractinium conductrix]
OG0000027	PRW58424.1 serine threonine- kinase isoform B [Chlorella sorokiniana], PRW58423.1 serine threonine- kinase isoform A [Chlorella sorokiniana]	PSC76714.1 serine threonine-kinase [Micractinium conductrix]
OG0000027	PRW33522.1 serine threonine- kinase [Chlorella sorokiniana]	PSC70082.1 serine threonine-kinase [Micractinium conductrix]
OG0000027	PRW60292.1 serine threonine- kinase [Chlorella sorokiniana]	PSC68500.1 serine threonine-kinase [Micractinium conductrix]
OG0000027	PRW39362.1 serine threonine- kinase [Chlorella sorokiniana]	PSC68117.1 serine threonine-kinase [Micractinium conductrix]
OG0000028	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana]	PSC71672.1 hypothetical protein C2E20_4858 [Micractinium conductrix]
OG0000028	PRW33315.1 serine threonine- phosphatase 6 regulatory ankyrin repeat subunit B-like [Chlorella sorokiniana]	PSC72252.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC68771.1 ankyrin repeat PH and SEC7 domain containing [Micractinium conductrix], PSC72679.1 hypothetical protein C2E20_4057 [Micractinium conductrix]
OG0000028	PRW58720.1 ankyrin repeat-containing protein [Chlorella sorokiniana]	PSC73592.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Micractinium conductrix]
OG0000029	PRW60661.1 hypothetical protein C2E21_0949 [Chlorella sorokiniana]	PSC75221.1 hypothetical protein C2E20_1964 [Micractinium conductrix]
OG0000029	PRW44850.1 hypothetical protein C2E21_6254 [Chlorella sorokiniana]	PSC70356.1 hypothetical protein C2E20_6254 [Micractinium conductrix]
OG0000029	PRW39270.1 U6 snRNA phosphodiesterase [Chlorella sorokiniana], PRW39389.1 formate nitrite transporter [Chlorella sorokiniana]	PSC67656.1 U6 snRNA phosphodiesterase [Micractinium conductrix], PSC67673.1 U6 snRNA phosphodiesterase [Micractinium conductrix], PSC67670.1 U6 snRNA phosphodiesterase [Micractinium conductrix]
OG0000031	PRW59761.1 cytochrome P450 [Chlorella sorokiniana]	PSC71095.1 cytochrome P450 [Micractinium conductrix]
OG0000031	PRW50749.1 cytochrome P450 [Chlorella sorokiniana]	PSC76428.1 cytochrome P450 isoform A [Micractinium conductrix], PSC76426.1 cytochrome P450 isoform B [Micractinium conductrix], PSC76427.1 cytochrome P450 isoform C [Micractinium conductrix]
OG0000032	PRW45713.1 hypothetical protein C2E21_5840 [Chlorella sorokiniana]	PSC67873.1 hypothetical protein C2E20_8491 [Micractinium conductrix]
OG0000032	PRW33287.1 hypothetical protein C2E21_7824 [Chlorella sorokiniana]	PSC69234.1 hypothetical protein C2E20_7279 [Micractinium conductrix]
OG0000035	PRW59728.1 3-ketoacyl- synthase 11 isoform A [Chlorella sorokiniana]	PSC68386.1 3-ketoacyl-synthase 11-like [Micractinium conductrix]
