Orthogroup	Chlorella_Sorokiniana1602	Chlorella_A99
OG0000009	PRW61372.1 polysaccharide deacetylase [Chlorella sorokiniana]	PCFQ01000005.1 g811 [Chlorella sp. A99], PCFQ01000005.1 g814 [Chlorella sp. A99]
OG0000011	PRW56437.1 kinase [Chlorella sorokiniana]	PCFQ01000079.1 g1466 [Chlorella sp. A99]
OG0000012	PRW57380.1 histone H3 [Chlorella sorokiniana]	PCFQ01000023.1 g2231 [Chlorella sp. A99], PCFQ01000015.1 g3020 [Chlorella sp. A99], PCFQ01000015.1 g3003 [Chlorella sp. A99], PCFQ01000015.1 g3015 [Chlorella sp. A99], PCFQ01000015.1 g3027 [Chlorella sp. A99], PCFQ01000082.1 g616 [Chlorella sp. A99], PCFQ01000082.1 g609 [Chlorella sp. A99], PCFQ01000015.1 g2996 [Chlorella sp. A99]
OG0000013	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]	PCFQ01000004.1 g2688 [Chlorella sp. A99]
OG0000013	PRW59234.1 sulfur stress regulator [Chlorella sorokiniana]	PCFQ01000004.1 g2624 [Chlorella sp. A99]
OG0000014	PRW59726.1 peptidyl-prolyl cis-trans isomerase CYP19-3 isoform X2 [Chlorella sorokiniana]	PCFQ01000078.1 g2026 [Chlorella sp. A99]
OG0000014	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]	PCFQ01000058.1 g245 [Chlorella sp. A99]
OG0000014	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]	PCFQ01000046.1 g1865 [Chlorella sp. A99]
OG0000016	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]	PCFQ01000005.1 g825 [Chlorella sp. A99]
OG0000016	PRW33690.1 ubiquitin-NEDD8 RUB2 [Chlorella sorokiniana]	PCFQ01000001.1 g1003 [Chlorella sp. A99]
OG0000016	PRW56465.1 ubiquitin-60S ribosomal L40 [Chlorella sorokiniana]	PCFQ01000011.1 g2796 [Chlorella sp. A99]
OG0000018	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]	PCFQ01000008.1 g1163 [Chlorella sp. A99]
OG0000018	PRW56509.1 transcription factor Myb13 [Chlorella sorokiniana]	PCFQ01000077.1 g1778 [Chlorella sp. A99]
OG0000020	PRW58220.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	PCFQ01000079.1 g1504 [Chlorella sp. A99]
OG0000020	PRW33669.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	PCFQ01000001.1 g998 [Chlorella sp. A99]
OG0000020	PRW33672.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	PCFQ01000037.1 g2425 [Chlorella sp. A99]
OG0000023	PRW44501.1 D-tyrosyl-tRNA_Tyr_ deacylase [Chlorella sorokiniana]	PCFQ01000037.1 g2484 [Chlorella sp. A99]
OG0000024	PRW55960.1 peptidase S8 [Chlorella sorokiniana]	PCFQ01000010.1 g357 [Chlorella sp. A99], PCFQ01000010.1 g359 [Chlorella sp. A99]
OG0000024	PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]	PCFQ01000007.1 g1217 [Chlorella sp. A99]
OG0000025	PRW56235.1 pseudo-response regulator 3 [Chlorella sorokiniana]	PCFQ01000011.1 g2838 [Chlorella sp. A99]
OG0000026	PRW50812.1 class V aminotransferase [Chlorella sorokiniana], PRW32912.1 acid protease [Chlorella sorokiniana], PRW60635.1 alpha beta-hydrolase [Chlorella sorokiniana], PRW44257.1 polysaccharide biosynthesis export [Chlorella sorokiniana]	PCFQ01000058.1 g54 [Chlorella sp. A99]
OG0000027	PRW50927.1 serine threonine- kinase [Chlorella sorokiniana]	PCFQ01000079.1 g1422 [Chlorella sp. A99]
OG0000027	PRW58424.1 serine threonine- kinase isoform B [Chlorella sorokiniana], PRW58423.1 serine threonine- kinase isoform A [Chlorella sorokiniana]	PCFQ01000026.1 g2290 [Chlorella sp. A99]
OG0000027	PRW33901.1 serine threonine- kinase [Chlorella sorokiniana], PRW33856.1 serine threonine- kinase [Chlorella sorokiniana]	PCFQ01000079.1 g1499 [Chlorella sp. A99]
OG0000027	PRW33522.1 serine threonine- kinase [Chlorella sorokiniana]	PCFQ01000037.1 g2531 [Chlorella sp. A99]
OG0000027	PRW60292.1 serine threonine- kinase [Chlorella sorokiniana]	PCFQ01000018.1 g407 [Chlorella sp. A99], PCFQ01000018.1 g408 [Chlorella sp. A99]
OG0000027	PRW39362.1 serine threonine- kinase [Chlorella sorokiniana]	PCFQ01000010.1 g344 [Chlorella sp. A99]
OG0000029	PRW44850.1 hypothetical protein C2E21_6254 [Chlorella sorokiniana]	PCFQ01000020.1 g911 [Chlorella sp. A99]
OG0000029	PRW39270.1 U6 snRNA phosphodiesterase [Chlorella sorokiniana], PRW39389.1 formate nitrite transporter [Chlorella sorokiniana]	PCFQ01000010.1 g362 [Chlorella sp. A99]
OG0000032	PRW45713.1 hypothetical protein C2E21_5840 [Chlorella sorokiniana], PRW33287.1 hypothetical protein C2E21_7824 [Chlorella sorokiniana], PRW57195.1 hypothetical protein C2E21_4079 [Chlorella sorokiniana], PRW59320.1 hypothetical protein C2E21_2437 [Chlorella sorokiniana]	PCFQ01000001.1 g991 [Chlorella sp. A99]
OG0000035	PRW59728.1 3-ketoacyl- synthase 11 isoform A [Chlorella sorokiniana]	PCFQ01000078.1 g2024 [Chlorella sp. A99]
OG0000036	PRW58034.1 kinase [Chlorella sorokiniana]	PCFQ01000078.1 g2010 [Chlorella sp. A99]
OG0000036	PRW61254.1 kinase [Chlorella sorokiniana], PRW51042.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PCFQ01000010.1 g311 [Chlorella sp. A99], PCFQ01000082.1 g538 [Chlorella sp. A99]
OG0000037	PRW50945.1 chlorophyll a b-binding [Chlorella sorokiniana], PRW20612.1 chlorophyll a b-binding [Chlorella sorokiniana]	PCFQ01000006.1 g3252 [Chlorella sp. A99]
OG0000038	PRW32548.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]	PCFQ01000004.1 g2699 [Chlorella sp. A99]
OG0000038	PRW45079.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]	PCFQ01000009.1 g1721 [Chlorella sp. A99]
OG0000039	PRW56320.1 lysine-specific demethylase 8 [Chlorella sorokiniana], PRW56247.1 band 7 [Chlorella sorokiniana], PRW58679.1 band 7 [Chlorella sorokiniana], PRW33721.1 band 7 [Chlorella sorokiniana], PRW56123.1 band 7 [Chlorella sorokiniana]	PCFQ01000078.1 g2164 [Chlorella sp. A99], PCFQ01000002.1 g694 [Chlorella sp. A99]
OG0000042	PRW39173.1 sodium phosphate symporter [Chlorella sorokiniana], PRW33027.1 phosphate-repressible phosphate permease [Chlorella sorokiniana], PRW32920.1 phosphate transporter [Chlorella sorokiniana], PRW60515.1 phosphate-repressible phosphate permease [Chlorella sorokiniana], PRW33684.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform D [Chlorella sorokiniana], PRW33157.1 phosphate transporter [Chlorella sorokiniana]	PCFQ01000004.1 g2664 [Chlorella sp. A99]
OG0000043	PRW45699.1 alpha-glucosidase isoform B [Chlorella sorokiniana], PRW45700.1 alpha-glucosidase isoform A [Chlorella sorokiniana], PRW44983.1 Glycosyl hydrolases family 31 isoform 1 [Chlorella sorokiniana]	PCFQ01000020.1 g910 [Chlorella sp. A99]
OG0000045	PRW58352.1 ATP-binding cassette transporter [Chlorella sorokiniana]	PCFQ01000004.1 g2700 [Chlorella sp. A99]
OG0000047	PRW05902.1 16S rRNA methyltransferase G [Chlorella sorokiniana], PRW05921.1 hypothetical protein C2E21_9392 [Chlorella sorokiniana], PRW05910.1 RNA polymerase subunit sigma [Chlorella sorokiniana], PRW57571.1 hypothetical protein C2E21_3307 [Chlorella sorokiniana]	PCFQ01000079.1 g1389 [Chlorella sp. A99]
OG0000049	PRW58828.1 putative ubiquitin-like-specific protease 2B isoform X1 [Chlorella sorokiniana]	PCFQ01000004.1 g2665 [Chlorella sp. A99]
OG0000049	PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]	PCFQ01000011.1 g2855 [Chlorella sp. A99]
OG0000050	PRW51063.1 UPF0187 chloroplastic [Chlorella sorokiniana]	PCFQ01000005.1 g823 [Chlorella sp. A99]
OG0000051	PRW56780.1 DETOXIFICATION 16-like [Chlorella sorokiniana]	PCFQ01000079.1 g1472 [Chlorella sp. A99]
OG0000052	PRW45252.1 zinc finger protein [Chlorella sorokiniana]	PCFQ01000080.1 g1947 [Chlorella sp. A99]
OG0000057	PRW20711.1 polyketide synthase [Chlorella sorokiniana]	PCFQ01000016.1 g2270 [Chlorella sp. A99], PCFQ01000016.1 g2271 [Chlorella sp. A99]
OG0000059	PRW21133.1 putative GTP-binding -like isoform B [Chlorella sorokiniana], PRW21134.1 putative GTP-binding -like isoform A [Chlorella sorokiniana], PRW59349.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW58648.1 cobalamin biosynthesis [Chlorella sorokiniana]	PCFQ01000004.1 g2590 [Chlorella sp. A99]
OG0000060	PRW20982.1 LOV domain-containing isoform B [Chlorella sorokiniana], PRW20983.1 LOV domain-containing isoform A [Chlorella sorokiniana]	PCFQ01000020.1 g943 [Chlorella sp. A99]
OG0000062	PRW57843.1 sorcin-like [Chlorella sorokiniana]	PCFQ01000020.1 g871 [Chlorella sp. A99]
OG0000062	PRW45037.1 hypothetical protein C2E21_6480 [Chlorella sorokiniana]	PCFQ01000019.1 g1803 [Chlorella sp. A99]
OG0000062	PRW44943.1 Coiled-coil domain-containing 40 isoform B [Chlorella sorokiniana], PRW44942.1 Coiled-coil domain-containing 40 isoform A [Chlorella sorokiniana], PRW44941.1 Coiled-coil domain-containing 40 isoform C [Chlorella sorokiniana]	PCFQ01000011.1 g2914 [Chlorella sp. A99]
OG0000064	PRW44490.1 translation initiation factor [Chlorella sorokiniana]	PCFQ01000002.1 g733 [Chlorella sp. A99]
OG0000064	PRW20747.1 Cullin-4 [Chlorella sorokiniana]	PCFQ01000018.1 g479 [Chlorella sp. A99]
OG0000064	PRW20452.1 cullin family [Chlorella sorokiniana]	PCFQ01000002.1 g732 [Chlorella sp. A99]
OG0000065	PRW20917.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50851.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50880.1 GPR1 FUN34 family [Chlorella sorokiniana], PRW33699.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW33593.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana]	PCFQ01000079.1 g1443 [Chlorella sp. A99], PCFQ01000079.1 g1442 [Chlorella sp. A99]
OG0000069	PRW51017.1 heat shock 83 isoform A [Chlorella sorokiniana], PRW51016.1 heat shock 83 isoform B [Chlorella sorokiniana], PRW51015.1 heat shock 83 isoform C [Chlorella sorokiniana]	PCFQ01000005.1 g800 [Chlorella sp. A99]
OG0000069	PRW20326.1 heat shock 90C isoform B [Chlorella sorokiniana], PRW20328.1 heat shock 90C isoform C [Chlorella sorokiniana], PRW20327.1 heat shock 90C isoform A [Chlorella sorokiniana]	PCFQ01000082.1 g619 [Chlorella sp. A99]
OG0000069	PRW58127.1 endoplasmin-like protein [Chlorella sorokiniana]	PCFQ01000058.1 g50 [Chlorella sp. A99]
OG0000070	PRW57335.1 Potassium channel AKT1 [Chlorella sorokiniana], PRW57808.1 cyclic nucleotide-binding [Chlorella sorokiniana]	PCFQ01000058.1 g142 [Chlorella sp. A99], PCFQ01000081.1 g1628 [Chlorella sp. A99]
OG0000070	PRW20924.1 potassium voltage-gated channel subfamily H member 6 isoform X1 [Chlorella sorokiniana]	PCFQ01000007.1 g1186 [Chlorella sp. A99], PCFQ01000002.1 g655 [Chlorella sp. A99]
OG0000071	PRW61198.1 Calcium calmodulin-dependent kinase type 1 [Chlorella sorokiniana], PRW61339.1 Pkinase-domain-containing [Chlorella sorokiniana]	PCFQ01000046.1 g1858 [Chlorella sp. A99], PCFQ01000081.1 g1641 [Chlorella sp. A99], PCFQ01000079.1 g1436 [Chlorella sp. A99], PCFQ01000079.1 g1437 [Chlorella sp. A99]
OG0000071	PRW57463.1 serine threonine kinase [Chlorella sorokiniana]	PCFQ01000058.1 g242 [Chlorella sp. A99]
OG0000071	PRW60879.1 Calcium calmodulin-dependent kinase type 1 [Chlorella sorokiniana]	PCFQ01000079.1 g1323 [Chlorella sp. A99]
OG0000073	PRW45604.1 cathepsin H [Chlorella sorokiniana], PRW45530.1 cathepsin h [Chlorella sorokiniana], PRW57488.1 thiol protease aleurain-like [Chlorella sorokiniana], PRW45427.1 thiol protease aleurain-like [Chlorella sorokiniana], PRW45707.1 Cathepsin [Chlorella sorokiniana], PRW56577.1 Cathepsin L [Chlorella sorokiniana], PRW56392.1 papain-like cysteine protease C1 [Chlorella sorokiniana], PRW45737.1 Maternal effect embryo arrest 18 [Chlorella sorokiniana], PRW21008.1 Cathepsin L [Chlorella sorokiniana]	PCFQ01000073.1 g1975 [Chlorella sp. A99], PCFQ01000005.1 g782 [Chlorella sp. A99]
OG0000074	PRW61163.1 hypothetical protein C2E21_0045 [Chlorella sorokiniana]	PCFQ01000079.1 g1351 [Chlorella sp. A99]
OG0000075	PRW51076.1 SET and MYND domain-containing [Chlorella sorokiniana], PRW51040.1 histone lysine methyltransferase Set6 [Chlorella sorokiniana], PRW56765.1 HIT MYND zinc finger [Chlorella sorokiniana], PRW33761.1 Ankyrin repeat and MYND domain-containing 2 [Chlorella sorokiniana], PRW39186.1 histone lysine methyltransferase Set6 [Chlorella sorokiniana], PRW60540.1 histone-lysine N-methyltransferase SET domain containing [Chlorella sorokiniana], PRW34056.1 Tudor domain-containing [Chlorella sorokiniana], PRW60245.1 MYND finger domain [Chlorella sorokiniana], PRW33583.1 cre-set-18 [Chlorella sorokiniana], PRW50838.1 ubiquitin carboxyl-terminal hydrolase 18-like [Chlorella sorokiniana], PRW32982.1 MSS51 mitochondrial [Chlorella sorokiniana]	PCFQ01000081.1 g1616 [Chlorella sp. A99]
OG0000078	PRW57277.1 phosphofructokinase family [Chlorella sorokiniana]	PCFQ01000081.1 g1620 [Chlorella sp. A99]
OG0000078	PRW61573.1 phosphofructokinase family [Chlorella sorokiniana]	PCFQ01000001.1 g954 [Chlorella sp. A99]
OG0000078	PRW56044.1 phosphofructokinase family isoform B [Chlorella sorokiniana], PRW56045.1 phosphofructokinase family isoform A [Chlorella sorokiniana], PRW58389.1 phosphofructokinase family [Chlorella sorokiniana]	PCFQ01000011.1 g2872 [Chlorella sp. A99]
OG0000079	PRW56493.1 heat shock 70 [Chlorella sorokiniana]	PCFQ01000002.1 g739 [Chlorella sp. A99]
OG0000079	PRW45026.1 heat shock 70 kDa [Chlorella sorokiniana]	PCFQ01000079.1 g1274 [Chlorella sp. A99]
OG0000079	PRW58244.1 luminal-binding 5-like [Chlorella sorokiniana]	PCFQ01000058.1 g51 [Chlorella sp. A99]
OG0000082	PRW33292.1 hypothetical protein C2E21_7904 [Chlorella sorokiniana]	PCFQ01000004.1 g2633 [Chlorella sp. A99], PCFQ01000005.1 g842 [Chlorella sp. A99]
OG0000083	PRW56146.1 puromycin-sensitive aminopeptidase isoform X1 isoform B [Chlorella sorokiniana], PRW56145.1 puromycin-sensitive aminopeptidase isoform X1 isoform A [Chlorella sorokiniana]	PCFQ01000031.1 g3095 [Chlorella sp. A99]
OG0000083	PRW56133.1 hypothetical protein C2E21_5250 [Chlorella sorokiniana]	PCFQ01000011.1 g2844 [Chlorella sp. A99]
OG0000084	PRW20938.1 Cysteine chloroplastic chromoplastic [Chlorella sorokiniana]	PCFQ01000007.1 g1229 [Chlorella sp. A99]
OG0000084	PRW58555.1 Cysteine synthase [Chlorella sorokiniana]	PCFQ01000001.1 g974 [Chlorella sp. A99]
OG0000084	PRW56601.1 cysteine synthase A [Chlorella sorokiniana]	PCFQ01000008.1 g1137 [Chlorella sp. A99]
OG0000087	PRW61348.1 hexose phosphate transport isoform B [Chlorella sorokiniana], PRW61349.1 hexose phosphate transport isoform A [Chlorella sorokiniana]	PCFQ01000082.1 g584 [Chlorella sp. A99]
OG0000088	PRW59875.1 Pyruvate kinase [Chlorella sorokiniana], PRW57674.1 Pyruvate kinase [Chlorella sorokiniana]	PCFQ01000078.1 g2187 [Chlorella sp. A99]
OG0000088	PRW57773.1 pyruvate kinase isoform A [Chlorella sorokiniana], PRW57774.1 pyruvate kinase isoform B [Chlorella sorokiniana], PRW57775.1 pyruvate kinase isoform C [Chlorella sorokiniana]	PCFQ01000015.1 g3029 [Chlorella sp. A99]
OG0000089	PRW45466.1 beta-carotene hydroxylase [Chlorella sorokiniana]	PCFQ01000014.1 g1897 [Chlorella sp. A99], PCFQ01000001.1 g972 [Chlorella sp. A99]
OG0000090	PRW61457.1 serine acetyltransferase 2 [Chlorella sorokiniana], PRW44585.1 serine O-acetyltransferase [Chlorella sorokiniana]	PCFQ01000018.1 g427 [Chlorella sp. A99]
OG0000090	PRW61310.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]	PCFQ01000014.1 g1879 [Chlorella sp. A99]
OG0000091	PRW60266.1 Serine threonine- phosphatase 2A catalytic subunit beta isoform [Chlorella sorokiniana]	PCFQ01000013.1 g3307 [Chlorella sp. A99]
OG0000091	PRW20629.1 phytochrome-associated serine threonine- phosphatase 3-like [Chlorella sorokiniana]	PCFQ01000006.1 g3243 [Chlorella sp. A99]
OG0000092	PRW39286.1 short-chain dehydrogenase [Chlorella sorokiniana]	PCFQ01000082.1 g621 [Chlorella sp. A99]
OG0000092	PRW61045.1 Aspartic peptidase [Chlorella sorokiniana]	PCFQ01000001.1 g987 [Chlorella sp. A99]
OG0000093	PRW20784.1 Acetylserotonin O-methyltransferase [Chlorella sorokiniana], PRW39333.1 uridylate kinase [Chlorella sorokiniana], PRW57860.1 Inactive ubiquitin carboxyl-terminal hydrolase 54 [Chlorella sorokiniana]	PCFQ01000046.1 g1856 [Chlorella sp. A99]
OG0000093	PRW58266.1 ubiquitin carboxyl-terminal hydrolase [Chlorella sorokiniana]	PCFQ01000046.1 g1870 [Chlorella sp. A99], PCFQ01000046.1 g1867 [Chlorella sp. A99]
OG0000095	PRW59313.1 U3 small nucleolar RNA-associated 25 [Chlorella sorokiniana]	PCFQ01000037.1 g2440 [Chlorella sp. A99]
OG0000095	PRW44628.1 carotene isomerase [Chlorella sorokiniana], PRW44291.1 ABC transporter A family member 7-like isoform B [Chlorella sorokiniana], PRW44290.1 ABC transporter A family member 7-like isoform C [Chlorella sorokiniana]	PCFQ01000013.1 g3328 [Chlorella sp. A99]
OG0000096	PRW60015.1 ATP-binding cassette sub-family B member mitochondrial [Chlorella sorokiniana]	PCFQ01000046.1 g1869 [Chlorella sp. A99]
OG0000096	PRW21097.1 ATP-binding cassette sub-family B member mitochondrial isoform B [Chlorella sorokiniana]	PCFQ01000020.1 g942 [Chlorella sp. A99]
OG0000096	PRW21098.1 ATP-binding cassette sub-family B member mitochondrial isoform A [Chlorella sorokiniana]	PCFQ01000004.1 g2575 [Chlorella sp. A99]
OG0000097	PRW44590.1 CURVATURE THYLAKOID chloroplastic [Chlorella sorokiniana]	PCFQ01000037.1 g2444 [Chlorella sp. A99]
OG0000098	PRW61160.1 malate mitochondrial isoform B [Chlorella sorokiniana], PRW61159.1 malate mitochondrial isoform A [Chlorella sorokiniana]	PCFQ01000011.1 g2754 [Chlorella sp. A99]
OG0000098	PRW18311.1 malate glyoxysomal-like [Chlorella sorokiniana]	PCFQ01000006.1 g3182 [Chlorella sp. A99]
OG0000100	PRW61091.1 TOC75- chloroplastic [Chlorella sorokiniana]	PCFQ01000005.1 g864 [Chlorella sp. A99]
OG0000100	PRW61294.1 ru large subunit-binding subunit alpha [Chlorella sorokiniana]	PCFQ01000011.1 g2746 [Chlorella sp. A99]
OG0000100	PRW61354.1 ru large subunit-binding subunit chloroplastic isoform A [Chlorella sorokiniana], PRW61355.1 ru large subunit-binding subunit chloroplastic isoform B [Chlorella sorokiniana]	PCFQ01000011.1 g2762 [Chlorella sp. A99]
OG0000101	PRW61387.1 ATP-dependent Clp protease ATP-binding subunit-like protein chloroplastic [Chlorella sorokiniana]	PCFQ01000079.1 g1253 [Chlorella sp. A99]
