Orthogroup	Chlorella_Sorokiniana1602	Coccomyxa_SubellipsoideaC169
OG0000020	PRW58220.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana], PRW60271.1 sugar porter _SP_ family MFS transporter [Chlorella sorokiniana], PRW20825.1 sugar transport 9 [Chlorella sorokiniana], PRW33669.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana], PRW33672.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	EIE22313.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE20603.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE27221.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE19027.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE22323.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE26164.1 general substrate transporter [Coccomyxa subellipsoidea C-169], EIE21809.1 hexose transporter [Coccomyxa subellipsoidea C-169], EIE25646.1 general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0000022	PRW57847.1 ankyrin repeat [Chlorella sorokiniana], PRW56411.1 ankyrin repeat [Chlorella sorokiniana], PRW56453.1 ankyrin 2_3 unc44 [Chlorella sorokiniana]	EIE25368.1 hypothetical protein COCSUDRAFT_61587 [Coccomyxa subellipsoidea C-169]
OG0000022	PRW51129.1 vacuolar sorting 23A [Chlorella sorokiniana]	EIE22085.1 hypothetical protein COCSUDRAFT_48053 [Coccomyxa subellipsoidea C-169]
OG0000022	PRW58217.1 hypothetical protein C2E21_2886 [Chlorella sorokiniana]	EIE23044.1 U box_ partial [Coccomyxa subellipsoidea C-169], EIE25801.1 hypothetical protein COCSUDRAFT_60813 [Coccomyxa subellipsoidea C-169], EIE23042.1 U box_ partial [Coccomyxa subellipsoidea C-169], EIE23043.1 U box_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	PRW44501.1 D-tyrosyl-tRNA_Tyr_ deacylase [Chlorella sorokiniana]	EIE22970.1 hypothetical protein COCSUDRAFT_15840_ partial [Coccomyxa subellipsoidea C-169]
OG0000023	PRW59139.1 zinc finger CCCH domain-containing 66-like [Chlorella sorokiniana], PRW32871.1 zinc finger family isoform B [Chlorella sorokiniana], PRW32872.1 zinc finger family isoform A [Chlorella sorokiniana]	EIE18478.1 hypothetical protein COCSUDRAFT_9572_ partial [Coccomyxa subellipsoidea C-169]
OG0000024	PRW55960.1 peptidase S8 [Chlorella sorokiniana], PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]	EIE18942.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169], EIE18940.1 hypothetical protein COCSUDRAFT_68092 [Coccomyxa subellipsoidea C-169], EIE27460.1 hypothetical protein COCSUDRAFT_39124 [Coccomyxa subellipsoidea C-169]
OG0000025	PRW56235.1 pseudo-response regulator 3 [Chlorella sorokiniana]	EIE26260.1 hypothetical protein COCSUDRAFT_64410 [Coccomyxa subellipsoidea C-169], EIE20369.1 CheY-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000026	PRW50812.1 class V aminotransferase [Chlorella sorokiniana]	EIE25754.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0000027	PRW50927.1 serine threonine- kinase [Chlorella sorokiniana]	EIE26921.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000027	PRW33901.1 serine threonine- kinase [Chlorella sorokiniana], PRW33856.1 serine threonine- kinase [Chlorella sorokiniana], PRW33522.1 serine threonine- kinase [Chlorella sorokiniana], PRW21099.1 serine threonine- kinase [Chlorella sorokiniana], PRW60292.1 serine threonine- kinase [Chlorella sorokiniana], PRW39362.1 serine threonine- kinase [Chlorella sorokiniana]	EIE27191.1 hypothetical protein COCSUDRAFT_55214 [Coccomyxa subellipsoidea C-169]
OG0000028	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana], PRW33315.1 serine threonine- phosphatase 6 regulatory ankyrin repeat subunit B-like [Chlorella sorokiniana], PRW58720.1 ankyrin repeat-containing protein [Chlorella sorokiniana], PRW20255.1 hypothetical protein C2E21_9214 [Chlorella sorokiniana], PRW57216.1 ankyrin repeat-containing protein [Chlorella sorokiniana]	EIE21876.1 hypothetical protein COCSUDRAFT_56324 [Coccomyxa subellipsoidea C-169]
OG0000031	PRW59761.1 cytochrome P450 [Chlorella sorokiniana]	EIE20028.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000031	PRW50749.1 cytochrome P450 [Chlorella sorokiniana]	EIE20244.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE25682.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE20661.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE21561.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19061.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19060.1 cytochrome P450 [Coccomyxa subellipsoidea C-169], EIE19314.1 cytochrome P450 [Coccomyxa subellipsoidea C-169]
OG0000035	PRW59728.1 3-ketoacyl- synthase 11 isoform A [Chlorella sorokiniana]	EIE21150.1 hypothetical protein COCSUDRAFT_18014 [Coccomyxa subellipsoidea C-169]
OG0000035	PRW61324.1 3-ketoacyl- synthase 4-like [Chlorella sorokiniana]	EIE23299.1 hypothetical protein COCSUDRAFT_36731 [Coccomyxa subellipsoidea C-169], EIE26318.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE19204.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169], EIE20572.1 very-long-chain 3-ketoacyl-CoA synthase_ partial [Coccomyxa subellipsoidea C-169], EIE20573.1 hypothetical protein COCSUDRAFT_18466_ partial [Coccomyxa subellipsoidea C-169], EIE26289.1 hypothetical protein COCSUDRAFT_12451_ partial [Coccomyxa subellipsoidea C-169], EIE26326.1 very-long-chain 3-ketoacyl-CoA synthase [Coccomyxa subellipsoidea C-169]
OG0000036	PRW33642.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61610.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58034.1 kinase [Chlorella sorokiniana], PRW61254.1 kinase [Chlorella sorokiniana], PRW51042.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61026.1 kinase [Chlorella sorokiniana]	EIE26066.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18360.1 hypothetical protein COCSUDRAFT_49303 [Coccomyxa subellipsoidea C-169], EIE27057.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22387.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26119.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000037	PRW60030.1 Chlorophyll a-b binding of LHCII type chloroplastic [Chlorella sorokiniana]	EIE19993.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169]
OG0000037	PRW50945.1 chlorophyll a b-binding [Chlorella sorokiniana], PRW20612.1 chlorophyll a b-binding [Chlorella sorokiniana]	EIE26437.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26873.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169], EIE26815.1 major light-harvesting complex II protein m10 [Coccomyxa subellipsoidea C-169]
OG0000038	PRW50834.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana], PRW33249.1 Transcription initiation factor TFIID subunit 13 isoform A [Chlorella sorokiniana], PRW33248.1 Transcription initiation factor TFIID subunit 13 isoform B [Chlorella sorokiniana], PRW05940.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana], PRW05935.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana]	EIE20983.1 hypothetical protein COCSUDRAFT_43360 [Coccomyxa subellipsoidea C-169], EIE23576.1 hypothetical protein COCSUDRAFT_47351 [Coccomyxa subellipsoidea C-169], EIE27181.1 hypothetical protein COCSUDRAFT_45764 [Coccomyxa subellipsoidea C-169], EIE21077.1 hypothetical protein COCSUDRAFT_67068 [Coccomyxa subellipsoidea C-169], EIE23577.1 hypothetical protein COCSUDRAFT_41776 [Coccomyxa subellipsoidea C-169], EIE20154.1 hypothetical protein COCSUDRAFT_44111 [Coccomyxa subellipsoidea C-169]
OG0000038	PRW32548.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]	EIE22676.1 hypothetical protein COCSUDRAFT_66338 [Coccomyxa subellipsoidea C-169]
OG0000038	PRW45079.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]	EIE26902.1 hypothetical protein COCSUDRAFT_64713 [Coccomyxa subellipsoidea C-169]
OG0000039	PRW56320.1 lysine-specific demethylase 8 [Chlorella sorokiniana]	EIE24680.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]
OG0000042	PRW39173.1 sodium phosphate symporter [Chlorella sorokiniana]	EIE25118.1 phosphate transporter [Coccomyxa subellipsoidea C-169], EIE21753.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000042	PRW33027.1 phosphate-repressible phosphate permease [Chlorella sorokiniana], PRW32920.1 phosphate transporter [Chlorella sorokiniana], PRW60515.1 phosphate-repressible phosphate permease [Chlorella sorokiniana]	EIE25112.1 PHO4-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25102.1 phosphate transporter [Coccomyxa subellipsoidea C-169]
OG0000043	PRW45699.1 alpha-glucosidase isoform B [Chlorella sorokiniana], PRW45700.1 alpha-glucosidase isoform A [Chlorella sorokiniana], PRW44983.1 Glycosyl hydrolases family 31 isoform 1 [Chlorella sorokiniana]	EIE23320.1 hypothetical protein COCSUDRAFT_53571 [Coccomyxa subellipsoidea C-169], EIE23322.1 hypothetical protein COCSUDRAFT_928_ partial [Coccomyxa subellipsoidea C-169], EIE27126.1 hypothetical protein COCSUDRAFT_21230 [Coccomyxa subellipsoidea C-169], EIE21337.1 hypothetical protein COCSUDRAFT_56560 [Coccomyxa subellipsoidea C-169], EIE19743.1 hypothetical protein COCSUDRAFT_31111 [Coccomyxa subellipsoidea C-169], EIE26263.1 hypothetical protein COCSUDRAFT_64412 [Coccomyxa subellipsoidea C-169]
OG0000044	PRW56980.1 ARM repeat-containing [Chlorella sorokiniana]	EIE27217.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0000046	PRW45736.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana], PRW58688.1 Amino acid permease 2 [Chlorella sorokiniana], PRW58712.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58414.1 serine threonine- kinase [Chlorella sorokiniana]	EIE25620.1 hypothetical protein COCSUDRAFT_83627 [Coccomyxa subellipsoidea C-169]
OG0000048	PRW50814.1 hypothetical protein C2E21_5439 [Chlorella sorokiniana], PRW33015.1 hypothetical protein C2E21_8112 [Chlorella sorokiniana]	EIE25390.1 hypothetical protein COCSUDRAFT_40648 [Coccomyxa subellipsoidea C-169], EIE26410.1 hypothetical protein COCSUDRAFT_52327 [Coccomyxa subellipsoidea C-169], EIE25391.1 hypothetical protein COCSUDRAFT_65225 [Coccomyxa subellipsoidea C-169]
OG0000049	PRW58828.1 putative ubiquitin-like-specific protease 2B isoform X1 [Chlorella sorokiniana]	EIE23933.1 hypothetical protein COCSUDRAFT_62462 [Coccomyxa subellipsoidea C-169]
OG0000049	PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]	EIE24013.1 hypothetical protein COCSUDRAFT_65695 [Coccomyxa subellipsoidea C-169]
OG0000050	PRW33726.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW32665.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW33245.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW20392.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW51063.1 UPF0187 chloroplastic [Chlorella sorokiniana]	EIE19187.1 UPF0187-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000051	PRW58610.1 DETOXIFICATION 16-like [Chlorella sorokiniana], PRW56350.1 MATE efflux family [Chlorella sorokiniana], PRW56780.1 DETOXIFICATION 16-like [Chlorella sorokiniana]	EIE25012.1 MATE efflux family protein [Coccomyxa subellipsoidea C-169]
OG0000052	PRW45252.1 zinc finger protein [Chlorella sorokiniana]	EIE22213.1 hypothetical protein COCSUDRAFT_16438 [Coccomyxa subellipsoidea C-169]
OG0000053	PRW45586.1 hypothetical protein C2E21_6086 [Chlorella sorokiniana]	EIE27332.1 DUF1295-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22535.1 DUF1295-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000054	PRW60973.1 exostosin-like glycosyltransferase [Chlorella sorokiniana]	EIE25250.1 hypothetical protein COCSUDRAFT_40557 [Coccomyxa subellipsoidea C-169]
OG0000055	PRW56793.1 Pentatricopeptide repeat-containing isoform A [Chlorella sorokiniana], PRW56794.1 Pentatricopeptide repeat-containing isoform B [Chlorella sorokiniana]	EIE25181.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0000055	PRW33527.1 Pentatricopeptide repeat-containing [Chlorella sorokiniana]	EIE22781.1 hypothetical protein COCSUDRAFT_47692 [Coccomyxa subellipsoidea C-169]
OG0000055	PRW59967.1 Pentatricopeptide repeat-containing [Chlorella sorokiniana]	EIE21414.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0000059	PRW21133.1 putative GTP-binding -like isoform B [Chlorella sorokiniana], PRW21134.1 putative GTP-binding -like isoform A [Chlorella sorokiniana]	EIE19800.1 cobW-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000059	PRW59349.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW58648.1 cobalamin biosynthesis [Chlorella sorokiniana]	EIE25747.1 cobW-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000060	PRW58431.1 LOV domain-containing [Chlorella sorokiniana]	EIE21790.1 hypothetical protein COCSUDRAFT_7070_ partial [Coccomyxa subellipsoidea C-169], EIE24815.1 hypothetical protein COCSUDRAFT_46955 [Coccomyxa subellipsoidea C-169]
OG0000062	PRW57843.1 sorcin-like [Chlorella sorokiniana]	EIE22227.1 EF-hand [Coccomyxa subellipsoidea C-169]
OG0000062	PRW44943.1 Coiled-coil domain-containing 40 isoform B [Chlorella sorokiniana], PRW44942.1 Coiled-coil domain-containing 40 isoform A [Chlorella sorokiniana], PRW44941.1 Coiled-coil domain-containing 40 isoform C [Chlorella sorokiniana]	EIE22210.1 hypothetical protein COCSUDRAFT_55906 [Coccomyxa subellipsoidea C-169]
OG0000063	PRW50752.1 peroxisomal membrane PEX14-like isoform X1 [Chlorella sorokiniana]	EIE19534.1 hypothetical protein COCSUDRAFT_48772 [Coccomyxa subellipsoidea C-169]
OG0000064	PRW44490.1 translation initiation factor [Chlorella sorokiniana]	EIE27388.1 initiation factor 2_ partial [Coccomyxa subellipsoidea C-169]
OG0000064	PRW20747.1 Cullin-4 [Chlorella sorokiniana]	EIE20444.1 Cullin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000064	PRW20452.1 cullin family [Chlorella sorokiniana]	EIE18972.1 Cullin-domain-containing protein [Coccomyxa subellipsoidea C-169]
