Orthogroup	Chlorella_Sorokiniana1602	Chlorella_KRBP
OG0000126	PRW56265.1 Thioredoxin chloroplastic [Chlorella sorokiniana], PRW55935.1 hypothetical protein C2E21_4946 [Chlorella sorokiniana], PRW61558.1 sulfoquinovosyl transferase SQD2-like [Chlorella sorokiniana]	QAXK01000372.1_2577-4525
OG0000128	PRW44516.1 obg-like ATPase 1 isoform B [Chlorella sorokiniana], PRW44517.1 obg-like ATPase 1 isoform A [Chlorella sorokiniana], PRW33830.1 Golgi-localized GRIP domain-containing [Chlorella sorokiniana], PRW58916.1 ribonuclease [Chlorella sorokiniana]	QAXK01009125.1_10140-8059
OG0000137	PRW60485.1 E3 ubiquitin- ligase RNF185 isoform X1 [Chlorella sorokiniana], PRW20581.1 MMS19 nucleotide excision repair [Chlorella sorokiniana], PRW60259.1 variable flagella 1 [Chlorella sorokiniana]	QAXK01002137.1_9267-10854
OG0000152	PRW33012.1 Ubiquinone biosynthesis COQ4 mitochondrial [Chlorella sorokiniana], PRW32999.1 mitogen activated kinase [Chlorella sorokiniana], PRW56562.1 serine threonine- kinase CTR1-like isoform X1 [Chlorella sorokiniana]	QAXK01008299.1_4185-5535
OG0000163	PRW56576.1 ADP-ribosylation factor 1 [Chlorella sorokiniana], PRW44304.1 Arf6 -family small GTPase [Chlorella sorokiniana], PRW56446.1 ADP-ribosylation factor [Chlorella sorokiniana]	QAXK01013733.1_9353-8061
OG0000165	PRW56006.1 3-hydroxyisobutyryl- mitochondrial [Chlorella sorokiniana], PRW55988.1 E3 ubiquitin- ligase listerin [Chlorella sorokiniana]	QAXK01004609.1_12369-13533
OG0000175	PRW58897.1 60S ribosomal L9 [Chlorella sorokiniana], PRW58872.1 Mechanosensitive ion channel 10 [Chlorella sorokiniana], PRW44384.1 Mechanosensitive ion channel 10 [Chlorella sorokiniana]	QAXK01006319.1_3560-2355
OG0000177	PRW39185.1 2-C-methyl-D-erythritol 2_4-cyclodiphosphate synthase [Chlorella sorokiniana], PRW56764.1 Golgi apparatus [Chlorella sorokiniana], PRW33289.1 golgi apparatus 1 [Chlorella sorokiniana]	QAXK01000575.1_15675-16655
OG0000187	PRW33716.1 DNA ligase 1 isoform X1 [Chlorella sorokiniana], PRW32907.1 DNA ligase 1-like isoform A [Chlorella sorokiniana], PRW32906.1 DNA ligase 1-like isoform B [Chlorella sorokiniana]	QAXK01014854.1_51-3845
OG0000189	PRW56914.1 V-type proton ATPase 16 kDa proteolipid subunit [Chlorella sorokiniana], PRW57393.1 phosphatidylinositol_ceramide inositolphosphotransferase 1 isoform B [Chlorella sorokiniana], PRW57392.1 phosphatidylinositol_ceramide inositolphosphotransferase 1 isoform A [Chlorella sorokiniana]	QAXK01000217.1_14674-15859
OG0000192	PRW20727.1 cell division control 2-like protein A isoform X1 [Chlorella sorokiniana], PRW61001.1 plant specific cyclin dependent kinase [Chlorella sorokiniana], PRW20833.1 cell division control 2-like protein [Chlorella sorokiniana]	QAXK01001504.1_2221-4972
OG0000199	PRW33008.1 Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 [Chlorella sorokiniana]	QAXK01013035.1_1945-4404
OG0000199	PRW58470.1 Clavaminate synthase [Chlorella sorokiniana]	QAXK01010173.1_3319-5256
OG0000201	PRW56130.1 U5 small nuclear ribonucleo 200 kDa helicase-like [Chlorella sorokiniana], PRW32955.1 activating signal cointegrator 1 complex subunit 3 isoform A [Chlorella sorokiniana], PRW32956.1 activating signal cointegrator 1 complex subunit 3 isoform B [Chlorella sorokiniana], PRW32957.1 activating signal cointegrator 1 complex subunit 3 isoform C [Chlorella sorokiniana], PRW33009.1 leucine-rich alpha-2-glyco -like [Chlorella sorokiniana]	QAXK01000736.1_9467-8726
OG0000207	PRW56807.1 Exosome complex component CSL4 isoform B [Chlorella sorokiniana], PRW56806.1 Exosome complex component CSL4 isoform A [Chlorella sorokiniana]	QAXK01004998.1_5108-4093
OG0000215	PRW32925.1 farnesyltransferase geranylgeranyltransferase type-1 subunit alpha [Chlorella sorokiniana], PRW59428.1 serine threonine [Chlorella sorokiniana], PRW59245.1 von Willebrand factor type EGF andpentraxin domain-containing 1 Flags_ Precursor [Chlorella sorokiniana], PRW59345.1 serine threonine [Chlorella sorokiniana]	QAXK01013809.1_3869-6090
OG0000217	PRW59002.1 NAD_P_-binding [Chlorella sorokiniana]	QAXK01003927.1_26651-24094
OG0000222	PRW33959.1 naphthoate synthase [Chlorella sorokiniana]	QAXK01005046.1_1470-3041
OG0000225	PRW61541.1 glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 isoform A [Chlorella sorokiniana], PRW61200.1 glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 [Chlorella sorokiniana], PRW58946.1 E3 UFM1- ligase 1-like protein [Chlorella sorokiniana]	QAXK01000132.1_14211-8944
OG0000226	PRW57217.1 RNA polymerase II C-terminal domain phosphatase-like 4 [Chlorella sorokiniana], PRW58514.1 phosphatase 2C 6 [Chlorella sorokiniana], PRW58680.1 phosphatase [Chlorella sorokiniana], PRW58215.1 RNA polymerase II C-terminal domain phosphatase-like 3 [Chlorella sorokiniana]	QAXK01001147.1_264-2985
OG0000234	PRW45618.1 eukaryotic initiation factor 4A-1-like isoform B [Chlorella sorokiniana], PRW45619.1 eukaryotic initiation factor 4A-1-like isoform A [Chlorella sorokiniana]	QAXK01001703.1_3693-800
OG0000234	PRW60850.1 eukaryotic initiation factor 4A-3 [Chlorella sorokiniana]	QAXK01001715.1_46567-44103
OG0000243	PRW61565.1 cobalamin-dependent methionine synthase [Chlorella sorokiniana], PRW44368.1 KRI1-like protein [Chlorella sorokiniana]	QAXK01017572.1_4284-1659
OG0000255	PRW56852.1 Mitochondrial inner membrane protease subunit 2 [Chlorella sorokiniana], PRW56850.1 hypothetical protein C2E21_4857 [Chlorella sorokiniana], PRW45470.1 mitochondrial inner membrane protease subunit 1-like [Chlorella sorokiniana]	QAXK01003493.1_20875-19869
OG0000256	PRW57760.1 DEAD DEAH box [Chlorella sorokiniana], PRW60806.1 putative phosphoinositide phosphatase SAC9 isoform X1 [Chlorella sorokiniana]	QAXK01000928.1_4721-1230
OG0000260	PRW34029.1 homogentisate phytyltransferase chloroplastic isoform B [Chlorella sorokiniana], PRW34028.1 homogentisate phytyltransferase chloroplastic isoform A [Chlorella sorokiniana], PRW57528.1 homogentisate chloroplastic [Chlorella sorokiniana]	QAXK01007811.1_6343-7669
OG0000262	PRW57187.1 formate--tetrahydrofolate ligase [Chlorella sorokiniana]	QAXK01001305.1_3092-9737
OG0000268	PRW39197.1 transport SEC13-like protein B isoform B [Chlorella sorokiniana], PRW39198.1 transport SEC13-like protein B isoform A [Chlorella sorokiniana], PRW58969.1 kinase and PP2C-like domain-containing [Chlorella sorokiniana]	QAXK01007959.1_4344-7510
OG0000269	PRW56783.1 Secretory carrier-associated membrane 1 [Chlorella sorokiniana], PRW56439.1 floral homeotic [Chlorella sorokiniana]	QAXK01000159.1_2526-4128
OG0000276	PRW20734.1 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Chlorella sorokiniana], PRW20613.1 mitochondrial import receptor subunit TOM9-2-like [Chlorella sorokiniana]	QAXK01013106.1_2869-3857
OG0000290	PRW60861.1 Leucyl-cystinyl aminopeptidase [Chlorella sorokiniana], PRW60384.1 WD repeat-containing 55-like protein [Chlorella sorokiniana]	QAXK01007708.1_8045-6769
OG0000293	PRW20925.1 calcium-dependent kinase 26-like [Chlorella sorokiniana], PRW57858.1 calcium-dependent kinase 29-like [Chlorella sorokiniana], PRW57740.1 keratin-associated 5-1-like [Chlorella sorokiniana], PRW57981.1 Calcium-dependent kinase [Chlorella sorokiniana]	QAXK01000427.1_18710-23853
OG0000297	PRW58863.1 putative anion transporter chloroplastic [Chlorella sorokiniana], PRW58838.1 putative anion transporter chloroplastic [Chlorella sorokiniana]	QAXK01003382.1_7730-10683
OG0000298	PRW59169.1 cytosolic Fe-S cluster assembly factor narfl [Chlorella sorokiniana]	QAXK01006215.1_8306-11634
OG0000299	PRW58194.1 COP9 signalosome complex subunit 5b-like [Chlorella sorokiniana]	QAXK01000488.1_8485-5165
OG0000300	PRW33953.1 inorganic pyrophosphatase isoform A [Chlorella sorokiniana], PRW33952.1 inorganic pyrophosphatase isoform B [Chlorella sorokiniana], PRW20574.1 LOW PSII ACCUMULATION chloroplastic [Chlorella sorokiniana]	QAXK01000495.1_4618-6885
OG0000301	PRW56106.1 peptidylglycine alpha-amidating monooxygenase [Chlorella sorokiniana], PRW59617.1 peptidase M3 [Chlorella sorokiniana]	QAXK01005324.1_4296-8149
OG0000302	PRW20261.1 Spermatogenesis-associated [Chlorella sorokiniana], PRW56325.1 cell division cycle 48-like protein [Chlorella sorokiniana]	QAXK01009146.1_0-3841
OG0000304	PRW60098.1 dynamin-related 3B-like isoform B [Chlorella sorokiniana], PRW60097.1 dynamin-related 3B-like isoform A [Chlorella sorokiniana]	QAXK01014492.1_877-182
OG0000315	PRW39159.1 Eukaryotic translation initiation factor 3 subunit B [Chlorella sorokiniana], PRW33076.1 alpha-glucan water chloroplastic [Chlorella sorokiniana]	QAXK01002353.1_19232-23410
OG0000316	PRW59363.1 6-phosphogluconate decarboxylating [Chlorella sorokiniana], PRW59001.1 5 -3 exoribonuclease 1 [Chlorella sorokiniana]	QAXK01003905.1_19782-15375
OG0000317	PRW50984.1 26S protease regulatory subunit 6B-like protein [Chlorella sorokiniana], PRW57564.1 26S proteasome regulatory subunit 4-like protein B [Chlorella sorokiniana]	QAXK01008437.1_3645-238
OG0000320	PRW39347.1 histone deacetylase isoform A [Chlorella sorokiniana], PRW39346.1 histone deacetylase isoform B [Chlorella sorokiniana], PRW60354.1 riboflavin kinase isoform B [Chlorella sorokiniana], PRW60355.1 riboflavin kinase isoform A [Chlorella sorokiniana]	QAXK01008510.1_15994-20405
OG0000321	PRW44838.1 AP-2 complex subunit sigma [Chlorella sorokiniana], PRW58003.1 AP-1 complex subunit sigma-1 [Chlorella sorokiniana]	QAXK01000378.1_25585-26545
OG0000340	PRW45647.1 ferrochelatase- chloroplastic [Chlorella sorokiniana], PRW56139.1 chaperone 1 [Chlorella sorokiniana]	QAXK01005276.1_5688-3058
OG0000352	PRW58854.1 thioredoxin domain-containing 9-like protein [Chlorella sorokiniana], PRW56455.1 amine oxidase [Chlorella sorokiniana]	QAXK01000899.1_7462-5804
OG0000353	PRW56898.1 U5 small nuclear ribonucleo 40 kDa [Chlorella sorokiniana]	QAXK01000970.1_11060-12297
OG0000355	PRW05929.1 Serine threonine- kinase chloroplastic [Chlorella sorokiniana], PRW05883.1 putative ubiquitin conjugation factor E4 [Chlorella sorokiniana]	QAXK01000575.1_38061-33279
OG0000356	PRW56671.1 DEAD-box ATP-dependent RNA helicase 10 [Chlorella sorokiniana], PRW56033.1 RNA helicase [Chlorella sorokiniana]	QAXK01001458.1_25468-28021
OG0000362	PRW59736.1 serine threonine- kinase tricorner-like [Chlorella sorokiniana], PRW57390.1 serine threonine kinase [Chlorella sorokiniana]	QAXK01002504.1_1584-235
OG0000372	PRW18290.1 GDP-mannose 3_5-epimerase 2 [Chlorella sorokiniana], PRW18309.1 pescadillo-family BRCT domain-containing [Chlorella sorokiniana]	QAXK01000007.1_3483-1851
OG0000374	PRW59214.1 NADH_ubiquinone oxidoreductase 76 kDa subunit [Chlorella sorokiniana]	QAXK01001576.1_25385-29462
OG0000375	PRW32534.1 4-aminobutyrate aminotransferase [Chlorella sorokiniana], PRW32482.1 CCAAT enhancer-binding zeta [Chlorella sorokiniana]	QAXK01008707.1_239-2925
OG0000383	PRW58416.1 mitochondrial uncoupling 1-like [Chlorella sorokiniana], PRW60786.1 mitochondrial uncoupling 1-like [Chlorella sorokiniana]	QAXK01011194.1_5918-9002
OG0000390	PRW33035.1 Testosterone 17-beta-dehydrogenase 3 [Chlorella sorokiniana]	QAXK01005078.1_1174-132
OG0000394	PRW60676.1 telomerase Cajal body 1 [Chlorella sorokiniana], PRW44502.1 GDA1 CD39 nucleoside phosphatase family [Chlorella sorokiniana], PRW60811.1 apyrase 2-like [Chlorella sorokiniana]	QAXK01008702.1_3083-212
OG0000408	PRW45481.1 arginine--tRNA chloroplastic mitochondrial-like isoform X2 isoform B [Chlorella sorokiniana], PRW45480.1 arginine--tRNA chloroplastic mitochondrial-like isoform X2 isoform A [Chlorella sorokiniana]	QAXK01003094.1_1529-6518
OG0000412	PRW58841.1 ABC transporter I family member 19-like [Chlorella sorokiniana], PRW20596.1 ABC transporter I family member 20 [Chlorella sorokiniana]	QAXK01007672.1_3589-1228
OG0000417	PRW05894.1 putative retrotransposon protein [Chlorella sorokiniana], PRW56319.1 putative retrotransposon protein [Chlorella sorokiniana], PRW33979.1 putative retrotransposon protein [Chlorella sorokiniana], PRW20263.1 putative retrotransposon protein [Chlorella sorokiniana], PRW58283.1 hypothetical protein C2E21_3113 [Chlorella sorokiniana], PRW34022.1 hypothetical protein C2E21_7249 [Chlorella sorokiniana], PRW32529.1 hypothetical protein C2E21_8305 [Chlorella sorokiniana], PRW20742.1 multiple myeloma tumor-associated 2-like protein [Chlorella sorokiniana]	QAXK01003046.1_10052-9637
OG0000418	PRW58928.1 Cell division protease ftsH isoform 1 [Chlorella sorokiniana], PRW56441.1 hypothetical protein C2E21_4760 [Chlorella sorokiniana]	QAXK01005097.1_6985-2749
OG0000431	PRW20738.1 urea carboxylase [Chlorella sorokiniana], PRW57134.1 Peptidyl-prolyl cis-trans isomerase PASTICCINO1 [Chlorella sorokiniana]	QAXK01001330.1_10692-5073
OG0000443	PRW32941.1 chorismate mutase [Chlorella sorokiniana], PRW20213.1 glycosyltransferase family 64 C5-like [Chlorella sorokiniana], PRW57205.1 glycosyltransferase family 64 C5 [Chlorella sorokiniana]	QAXK01002390.1_2379-454
OG0000446	PRW58966.1 DNA excision repair ERCC-8-like isoform A [Chlorella sorokiniana], PRW58967.1 DNA excision repair ERCC-8-like isoform B [Chlorella sorokiniana]	QAXK01006391.1_1754-3793
OG0000449	PRW32533.1 DNA excision repair ERCC-1 [Chlorella sorokiniana], PRW58436.1 anaphase-promoting complex subunit 2 [Chlorella sorokiniana]	QAXK01017753.1_1728-436
OG0000452	PRW56186.1 putative 18S rRNA _guanine-N_7__-methyltransferase [Chlorella sorokiniana]	QAXK01003135.1_2479-16
OG0000455	PRW20614.1 magnesium-protoporphyrin IX methyltransferase chloroplast precursor [Chlorella sorokiniana], PRW20654.1 armadillo repeat-containing 6 [Chlorella sorokiniana]	QAXK01015054.1_2845-4309
OG0000468	PRW60039.1 Rab family GTPase [Chlorella sorokiniana], PRW58406.1 Rab8 -family small GTPase [Chlorella sorokiniana]	QAXK01006097.1_2371-905
OG0000470	PRW45063.1 multisubstrate pseudouridine synthase 7-like [Chlorella sorokiniana], PRW20658.1 leucine--tRNA cytoplasmic [Chlorella sorokiniana]	QAXK01000050.1_24428-29981
OG0000471	PRW57595.1 histone chaperone asf1 [Chlorella sorokiniana]	QAXK01001670.1_7180-6388
OG0000474	PRW45659.1 Chaperone dnaJ 10 [Chlorella sorokiniana], PRW45693.1 Structure-specific endonuclease subunit SLX1 [Chlorella sorokiniana]	QAXK01000042.1_28045-28765
OG0000479	PRW45617.1 ER membrane complex subunit 7-like protein [Chlorella sorokiniana], PRW45519.1 sister chromatid cohesion DCC1 [Chlorella sorokiniana]	QAXK01004028.1_58546-56431
OG0000499	PRW05873.1 twinkle-like protein chloroplastic mitochondrial isoform X2 [Chlorella sorokiniana]	QAXK01009964.1_53-2582
OG0000501	PRW57544.1 putative S-acyltransferase 7 [Chlorella sorokiniana]	QAXK01015180.1_1811-4048, QAXK01019765.1_356-165
OG0000506	PRW59248.1 Nicotinamide N-methyltransferase-like [Chlorella sorokiniana], PRW59317.1 DDT domain-containing protein [Chlorella sorokiniana]	QAXK01002250.1_1739-4040
OG0000512	PRW21065.1 glutamate--cysteine chloroplastic isoform B [Chlorella sorokiniana], PRW21064.1 glutamate--cysteine chloroplastic isoform A [Chlorella sorokiniana]	QAXK01000565.1_7520-10250
OG0000517	PRW57028.1 hypothetical protein C2E21_4128 [Chlorella sorokiniana], PRW57029.1 hypothetical protein C2E21_4128 [Chlorella sorokiniana]	QAXK01001595.1_3107-7081
OG0000519	PRW57514.1 putative UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC [Chlorella sorokiniana], PRW57286.1 glycylpeptide N-tetradecanoyltransferase 1-like [Chlorella sorokiniana]	QAXK01004538.1_836-4145
OG0000520	PRW60705.1 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [Chlorella sorokiniana], PRW60289.1 ubiquitin-40S ribosomal S27a [Chlorella sorokiniana]	QAXK01002274.1_7306-5678
OG0000521	PRW61285.1 Sorting and assembly machinery component 50 [Chlorella sorokiniana]	QAXK01000876.1_25410-28882
OG0000522	PRW61303.1 succinate dehydrogenase subunit b560 [Chlorella sorokiniana]	QAXK01010222.1_2855-4006
OG0000528	PRW60765.1 random slug 5-like [Chlorella sorokiniana], PRW60466.1 Thylakoid lumenal 19 kDa chloroplastic [Chlorella sorokiniana]	QAXK01011871.1_1755-3976
OG0000535	PRW60177.1 kinesinlike KIF6 [Chlorella sorokiniana], PRW60045.1 6-phosphogluconolactonase 1 [Chlorella sorokiniana]	QAXK01008326.1_3715-2230
OG0000542	PRW20959.1 vacuolar sorting-associated 45-like protein [Chlorella sorokiniana], PRW20928.1 mitochondrial substrate carrier family P-like [Chlorella sorokiniana]	QAXK01007731.1_21245-25168
OG0000546	PRW20496.1 putative phosphatase 2C 12 [Chlorella sorokiniana], PRW20471.1 Qa- SYP4 Tlg2p Syntaxin 16-type [Chlorella sorokiniana]	QAXK01003383.1_11610-10089
OG0000552	PRW44859.1 Serine carboxypeptidase 24 isoform B [Chlorella sorokiniana], PRW44858.1 Serine carboxypeptidase 24 isoform A [Chlorella sorokiniana], PRW56461.1 hypothetical protein C2E21_4630 [Chlorella sorokiniana], PRW56649.1 serine carboxypeptidase-like 25 [Chlorella sorokiniana]	QAXK01001452.1_4877-8338
OG0000565	PRW34003.1 3-dehydroquinate synthase-like protein isoform X1 isoform A [Chlorella sorokiniana], PRW34004.1 3-dehydroquinate synthase-like protein isoform X1 isoform B [Chlorella sorokiniana]	QAXK01012018.1_21-2846
OG0000572	PRW33897.1 pyrophosphate-energized membrane proton pump 2 isoform B [Chlorella sorokiniana], PRW33896.1 pyrophosphate-energized membrane proton pump 2 isoform A [Chlorella sorokiniana]	QAXK01002353.1_6519-15187
OG0000573	PRW21017.1 Serine threonine- kinase TOUSLED [Chlorella sorokiniana]	QAXK01003348.1_1486-6
OG0000577	PRW44496.1 ADP_ATP carrier 1 [Chlorella sorokiniana]	QAXK01003132.1_5372-2862
OG0000585	PRW33594.1 DNA RNA polymerase [Chlorella sorokiniana]	QAXK01002652.1_31218-33264
OG0000586	PRW56616.1 ABC-type nitrate sulfonate bicarbonate transport periplasmic component [Chlorella sorokiniana], PRW59704.1 mitochondrial-processing peptidase subunit alpha-like [Chlorella sorokiniana]	QAXK01001200.1_17606-19818
OG0000594	PRW56906.1 Transaldolase [Chlorella sorokiniana]	QAXK01013585.1_2213-468
OG0000595	PRW57533.1 Ras-related RABA1f [Chlorella sorokiniana], PRW59514.1 Rab family GTPase [Chlorella sorokiniana]	QAXK01010664.1_1473-417
OG0000611	PRW57668.1 Ubiquitin domain-containing 2 [Chlorella sorokiniana], PRW57718.1 ubiquitin domain-containing 1-like [Chlorella sorokiniana]	QAXK01011586.1_4054-3461
OG0000616	PRW60128.1 small nuclear ribonucleo -associated B [Chlorella sorokiniana], PRW61371.1 leucine-rich repeat containing [Chlorella sorokiniana], PRW50975.1 hypothetical protein C2E21_5537 [Chlorella sorokiniana]	QAXK01001265.1_8774-9883
OG0000618	PRW58777.1 40S ribosomal S15a-1 [Chlorella sorokiniana], PRW59199.1 40S ribosomal S15a-4 [Chlorella sorokiniana]	QAXK01000835.1_1-309
OG0000626	PRW60112.1 lon protease-like protein peroxisomal [Chlorella sorokiniana], PRW32895.1 SDA1 [Chlorella sorokiniana]	QAXK01003230.1_4778-8012
OG0000635	PRW56800.1 Ribulose-phosphate 3- chloroplastic [Chlorella sorokiniana], PRW60648.1 Ribulose-phosphate 3- cytoplasmic isoform [Chlorella sorokiniana]	QAXK01004870.1_4878-5513
OG0000637	PRW45665.1 N-alpha-acetyltransferase 20 [Chlorella sorokiniana]	QAXK01001575.1_13855-13334
OG0000638	PRW61620.1 MON2-like protein isoform X1 isoform B [Chlorella sorokiniana], PRW61621.1 MON2-like protein isoform X1 isoform A [Chlorella sorokiniana]	QAXK01010124.1_10448-8669
OG0000649	PRW59873.1 Diaminopimelate decarboxylase chloroplastic [Chlorella sorokiniana]	QAXK01000254.1_6101-3555
OG0000653	PRW44268.1 aspartate-semialdehyde dehydrogenase-like [Chlorella sorokiniana], PRW59105.1 iodothyronine deiodinase [Chlorella sorokiniana]	QAXK01000123.1_7289-10291
OG0000654	PRW58479.1 ligase [Chlorella sorokiniana], PRW58378.1 splicing RNP complex component [Chlorella sorokiniana]	QAXK01000799.1_92299-89512
OG0000660	PRW05815.1 plant intracellular Ras-group-related LRR 7 isoform A [Chlorella sorokiniana], PRW05814.1 plant intracellular Ras-group-related LRR 7 isoform B [Chlorella sorokiniana]	QAXK01014960.1_11495-10348
OG0000661	PRW20978.1 guanine nucleotide-binding -like NSN1 [Chlorella sorokiniana], PRW21071.1 glycerophosphodiesterase GDE1 isoform A [Chlorella sorokiniana], PRW21072.1 glycerophosphodiesterase GDE1 isoform B [Chlorella sorokiniana]	QAXK01004242.1_3727-7707
OG0000662	PRW60336.1 glycerol transporter [Chlorella sorokiniana], PRW32674.1 plant MCA23-20 [Chlorella sorokiniana]	QAXK01000452.1_6301-4533
OG0000664	PRW55916.1 CBL-interacting serine threonine- kinase 3-like [Chlorella sorokiniana]	QAXK01015723.1_3192-4172
OG0000671	PRW58033.1 peptidyl-prolyl cis-trans FKBP-type [Chlorella sorokiniana], PRW59184.1 DNA-directed RNA polymerase III subunit RPC6 [Chlorella sorokiniana]	QAXK01001535.1_15806-14316
OG0000676	PRW60160.1 zinc finger CCCH domain-containing 56-like [Chlorella sorokiniana], PRW59319.1 U6 snRNA-associated Sm LSm1 [Chlorella sorokiniana]	QAXK01015338.1_519-166
OG0000678	PRW39323.1 SKP1 1B [Chlorella sorokiniana]	QAXK01001500.1_1992-2978
OG0000679	PRW39147.1 50S ribosomal chloroplastic-like [Chlorella sorokiniana]	QAXK01006881.1_8512-9541
OG0000688	PRW56676.1 60S ribosomal export NMD3 [Chlorella sorokiniana], PRW56421.1 isoamylase chloroplastic [Chlorella sorokiniana]	QAXK01003305.1_27047-24211
OG0000689	PRW60860.1 2-isopropylmalate synthase isoform B [Chlorella sorokiniana], PRW60859.1 2-isopropylmalate synthase isoform A [Chlorella sorokiniana], PRW33127.1 histidine kinase [Chlorella sorokiniana], PRW60838.1 2-isopropylmalate synthase [Chlorella sorokiniana]	QAXK01001638.1_16082-13313
OG0000691	PRW56400.1 divinyl chlorophyllide a 8-vinyl- chloroplastic [Chlorella sorokiniana]	QAXK01001186.1_10565-8532
OG0000693	PRW56826.1 tRNA-dihydrouridine_16 17_ synthase [NAD_P__+_]-like [Chlorella sorokiniana]	QAXK01008377.1_3630-1851
OG0000694	PRW56098.1 HD domain-containing 2-like [Chlorella sorokiniana], PRW56091.1 coiled-coil domain-containing 61-like isoform X1 [Chlorella sorokiniana]	QAXK01012986.1_3546-2582
OG0000697	PRW58866.1 peptide deformylase [Chlorella sorokiniana]	QAXK01000899.1_15443-14285
OG0000704	PRW60822.1 Transmembrane 18 [Chlorella sorokiniana]	QAXK01006701.1_1896-1296
